Country,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,0.3,0.3,0.3,0.3,0.5,0.3,0.5,0.5,0.9,1,0.5,0.7,0.2,0.6,0.3,0.2,0.1,0.1,0.2,0.4,0.2,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.4667,0.5333,0.6,0.5,0.5,0.5,0.4,0.5,0.6,0.5,0.45,0.4,0.5,0.5,0.6,0.5,0.6,0.6,0.5,0.5,0.6,0.7,0.7,0.7,0.7,0.7,0.6,0.7,0.7,0.7,0.6,0.6,0.6,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,
Australia,1.5,1.3,1.7,1.5,1.8,1.7,1.7,1.8,2.2,1.7,1.9,2.2,1.8,1.9,1.8,2.2,2.1,2.1,2.1,2,2,2.2,2.3,2.3,2.2,2.3,2.1,2.2,2.7,2.4,2.6,2.5,2.5,2.5,2.4,2.6,2.4,2.7,2,2.1,2.4,2.2,2.3,2.2,2.4,2.2,2.3,1.8,2.2,2.1,2.25,2.4,2.2,2.3,2.3,2.2,2.1,,
Austria,,,,,,,,,,,,,,,1.3,1.3,1.4,1.3,1.2,1.1,1.2,1.1,1.4,1.3,1.5,1.5,1.3,1.4,1.4,1.5,1.3,1.5,1.5,1.3,1.8,1.6,1.5,1.5,1.4,1.7,2,1.5,1.7,1.5,1.8,1.5,1.5,1.5,1.4,1.4,1.6,1.4,1.4,1.5,1.2,1.8,1.6,1.4,1.3
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.4,0.2,0.1,0.1333,0.1667,0.2,,,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.6,0.9,0.9,0.9,1.1,0.7,0.2,2.1,1.625,1.15,0.675,0.2,0.7,0.6556,0.6111,0.5667,0.5222,0.4778,0.4333,0.3889,0.3444,0.3,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.2,1.25,1.3,1.35,1.4,1.6,1.4,1.4,1.4,,
Belgium,0.3,0.4,0.4,0.5,0.4,0.4,0.4,0.3,0.4,0.5,0.5,0.6,0.5,0.5,0.9,0.7,0.8,0.7,0.6,0.6,0.6,0.8,0.7,0.8,0.8,0.6,0.8,0.7,0.6,0.7,0.9,1,0.9,1.2,1.2,1,1.1,0.9,1.2,1.1,1.1,1.3,1.1,1.2,1.3,1.3,1.4,1.2,1.4,1.4,1.3,1.1,1.4,1.3,1.4,1.3,1.5,1,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,1.2,1.1,1,0.9,0.8,0.7,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,
Bulgaria,,,,,,,,,,,,0.4,0.4,0.5,0.5,0.8,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.8,0.6,0.6,0.6,0.5,0.4,0.9,0.8,0.7,0.7,0.5,0.8,0.4,0.5,0.6,0.7,1,0.7,0.8,0.8,0.7,0.7,0.7,0.8,0.7,0.7,0.6,0.9,0.8,0.7,1.1,0.9,0.8,0.7,0.7,
Canada,0.4,0.5,0.6,0.6,0.6,0.7,0.8,0.8,0.7,0.7,0.7,0.8,0.8,0.8,1,0.8,0.7,1,0.8,1,0.9,1,1,1,0.9,0.9,1,1.1,1.2,1.1,1.2,1,1.1,1,1,0.9,1,1.1,1.1,1.1,1.2,1.1,1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1,1,1.2,1.1,1.2,1,1.1,,
Chile,0.2,0.1,0.15,0.2,0.1,0.1,0.5,0.2,0.4,0.2,0.3,0.2,0.5,0.4923,0.4846,0.4769,0.4692,0.4615,0.4538,0.4462,0.4385,0.4308,0.4231,0.4154,0.4077,0.4,0.3,0.4,0.4,0.4,0.4,1,0.6,0.7,0.7,0.8,0.7,0.7,0.6,0.6,0.7,0.7,0.8,0.7,0.7,0.7,0.7,0.6,0.7,0.7,0.5,0.6,0.7,0.6,0.5,0.9,0.7,0.6,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.4,0.6,0.5,0.5,0.3,0.4,0.3,0.3,0.4,0.5,0.4,0.4,0.5,0.4,0.5,0.3,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,,
"Costa Rica",,,,,,,,,,,,0.4,0.2,0.1923,0.1846,0.1769,0.1692,0.1615,0.1538,0.1462,0.1385,0.1308,0.1231,0.1154,0.1077,0.1,0.1,0.5,0.4,0.3,0.2,0.6,0.1,0.6,0.1,0.1,0.5,0.6,0.5,0.4,0.5,0.6,0.9,0.5,0.3,0.8,0.5,0.5,0.6,0.4,0.6,0.7,0.2,0.6,0.6,0.6,0.6,0.4,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,1.3,1.3,1.3,1.3,1.3,1.5,1.1,1.1,1.2,1.5,1.2,1.5,1.7,1.2,1.5,1.9,1.8,1.5,2.3,2.1,1.9,1.7,1.8,1.6,1.9,1.9,1.7,1.6
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.3,0.4,0.3,0.2,0.3,0.3,0.3,0.4,0.3,0.3,0.1,0.3,0.4,0.2,0.4,0.4,0.4,0.3,0.4,0.3,0.3,0.3,0.2,0.3,0.4,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.3,
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.8,1.9,1.9,1.6,1.9,1.9,1.9,1.5,1.5,1.5,1.6,1.6,1.5,1.7,1.5,1.5,1.5,1.5,1.2,1.2,1.5,1.3,1.3,1.4,1.4,1.1
Czechoslovakia,0.3,0.2,0.3,0.4,0.3,0.3,0.4,0.4,0.6,0.6,0.6,0.5,0.7,0.7,0.7,0.9,0.9,0.8,0.9,0.8,1,1,1.1,1.3,1.3,1.4,1.5,1.4,1.4,1.4,1.6,1.3,1.4,1.8,1.8,1.6,1.6,,,,,,,,,,,,,,,,,,,,,,
