Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.798310351,-22.23635606,17.69810319,-5.109251183,14.70044629,-14.91632976,44.5629549,-6.375134483,-7.592323528,18.22478942,0.005267433,-0.100705113,-5.657217847,5.97175186,3.837655892,-5.000343875
Albania,,,,,,,,,,,,,,,,,,,,,1.969078183,0.724384885,8.759645902,-4.147546671,6.393114076,3.805417054,-3.122202656,-6.467904565,12.62601821,3.635252261,-17.40021262,18.49800689,10.40693774,8.296108176,13.20746381,2.983540011,-17.10000001,6.199999997,5.400000027,6.699999949,2.700000004,2.000000064,2.899999958,6.300000033,0.699999974,3.099999946,2.700000015,7.100000028,1.899999983,7.64973595,4.773034831,5.394265723,1.135051974,1.961960155,0.76783674,2.047388888,0.835331495,0.927485902
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.6,12.8,-1.2,19.5,5.4,2.3,8.1,2.5,-3.8,21.1,4.9,11.6,7.2,8.2,2.5,6,1.8,1,5
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.022842415,9.073096171,4.549134155,16.30310755,5.577322782,4.752971789,5.732631739,8.537911523,9.15619379,7.110377051,4.019669624,17.3236807,10.214245,3.887213455,0.470400353,
"Antigua and Barbuda",,,,,,,,,,,,,,,,,,14.10047887,-27.38748413,-5.343103399,-18.26164719,-16.53919448,-2.037381032,-6.143826543,-4.362834393,6.962689039,14.5254268,6.291334991,5.204139736,6.08629266,3.461710474,4.371840479,4.034554669,-1.25363049,-8.405250621,-2.077133657,4.950263134,4.242571804,3.306639973,3.322728594,-2.125680882,12.01276493,5.990243578,-1.956683055,11.72035954,5.701508422,-0.939689842,-6.868141534,-14.05730213,1.66552701,13.59596445,1.522520617,7.727556759,-16.95668987,2.607683353,3.744043567,14.96062992,1.065449011
Argentina,,,,,,0.91748306,2.545519331,-4.255366374,4.444495961,-9.290894877,1.573616093,1.924221585,10.7147354,2.728396491,-2.747213096,4.719644089,2.444911363,2.784402317,2.86384178,-6.006531908,3.494103705,7.478221152,2.027512519,0.35831021,-1.69511856,0.178732596,-2.727992339,7.866173312,-8.217715239,8.480510723,4.093147897,0.187998716,2.425672187,7.277588547,5.552498334,-0.890091314,0.608914675,8.296077103,2.374349492,-1.765876735,1.491126224,-2.650506664,6.770418038,0.38332477,18.78847945,-0.52555081,8.537582928,-2.185821337,-26.10145648,39.52397782,-2.428483193,-12.87515309,11.47661962,3.104253191,7.541961722,-4.716943353,3.045099527,-14.27918956
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.999996739,-8.700001288,-5.799997739,3.099995697,4.000002755,1.994688228,-4.499539797,12.85923609,1.400004972,-1.099999992,12.13713128,3.869017254,4.213302957,14.53794519,11.27815014,0.483597757,10.30000802,3.000000012,5.922553817,-15.90577663,14,9.500000009,7.6,6.100000006,13.2,-4.999999999,-5.100000003,-8.499999998
Australia,,,,,,,,,,,,,,,,8.268063982,2.669519588,-3.269984618,21.70924387,-12.29874399,-12.32698962,16.35695883,-21.8636642,43.30157965,0.193537529,-6.983287142,1.069929123,-2.157405753,4.409952066,8.193782519,5.544554455,-5.306888234,5.2606041,4.14105716,-14.65142014,21.14270896,8.080627899,0.554546955,10.2911729,6.717661766,3.837679543,3.155972174,-21.6033953,25.51396592,4.284088804,2.857142857,-15.03848431,8.092334495,17.08168802,-0.747946588,3.46740638,0.974084004,-0.727940526,1.143379321,1.425738211,-7.393486432,9.412537538,-2.611716271
Austria,,,,,,,,,,,,,,,,,-2.216184213,1.350709754,3.211754491,-2.253804565,-3.800924191,6.757961753,-3.454724001,0.250253561,-3.349128977,2.057546642,-1.040951472,3.051581322,-0.501560401,7.62291474,-2.985208856,-2.074955213,-1.830337267,7.80159493,0.27215988,-0.056941506,0.315194584,5.147575223,4.873501533,-3.598387302,-0.682198777,-1.616131234,-2.457551385,8.580357789,-2.310380336,-1.495327634,9.423132391,7.175844163,-6.606852553,-5.076501725,14.25428558,-7.234485823,-2.979538738,2.779666321,2.098126045,4.486157675,2.530505584,4.051021755
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.29999465,-12.80000291,-6.999997762,2.999995668,-6.900004408,6.200012147,7.099988011,19.58733785,11.09999947,6.399468556,5.608740895,4.995566066,7.498123123,0.899170668,3.997231355,6.114808652,3.488827911,-2.181818182,5.777571252,6.611509738,4.889774054,-2.582989589,6.583324932,2.604363728,4.20625653,4.596765632
