"Data Item",1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"Median square footage",1525,1560,1535,1590,1610,1655,1645,1595,1550,1520,1565,1605,1605,1660,1755,1810,1850,1905,1890,1920,1945,1940,1920,1950,1975,2000,2028,2057,2103,2114,2137,2140,2227,2248,2277,2215,2135,2169,2233,2306,2384
"Average square footage",1660,1695,1645,1700,1720,1755,1760,1740,1720,1710,1725,1780,1785,1825,1905,1995,2035,2080,2075,2095,2095,2100,2095,2120,2150,2190,2223,2266,2324,2320,2330,2349,2434,2469,2521,2519,2438,2392,2480,2505,2598
