"Data Item",1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
China,730.4000244,669.8,609.2,548.5999756,503.2,457.8,412.3999939,441.3,470.2,499.1000061,480.8667,462.6333,444.3999939,392.5,340.6,288.7000122,293.2,297.7,302.2000122,283.0333,263.8667,244.6999969,203.0333,161.3667,119.6999969,112.2667,104.8333,97.40000153
"Sub-Saharan Africa",160.8000031,171,181.2,191.3999939,196.1,200.8,205.5,214.9667,224.4333,233.8999939,246.1,258.3,270.5,274.8667,279.2333,283.6000061,290.9,298.2,305.5,308.1333,310.7667,313.3999939,312.4,311.4,310.3999939,307.8667,305.3333,302.7999878
World,1545.300049,1486.6334,1427.9667,1369.300049,1332.5,1295.7,1258.900024,1294.1667,1329.4333,1364.699951,1355.8333,1346.9666,1338.099976,1275.4,1212.7,1150,1160.6333,1171.2667,1181.900024,1153.4333,1124.9667,1096.5,1026.3667,956.2333,886.0999756,859.3667,832.6333,805.9000244
"World excluding China",814.9000244,816.8334,818.7667,820.7000732,829.3,837.9,846.5,852.8667,859.2333,865.5999756,874.9666,884.3333,893.6999512,882.9,872.1,861.2999878,867.4333,873.5667,879.7000122,870.4,861.1,851.7999878,823.3333,794.8666,766.3999634,747.1,727.8,708.5
