Country,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Belgium,,2.867,19.806,38.57,1767.952,2615.442,3111.376,3260.964,2972.733,3270.345,3351.133,4082.133,6282.17,7229.994,9017.23,10266.315,10936.855,11232.642,10741.4,11133.612,11169.836,11324.897,10926.43,10586.861,10777.624,11293.624,12354.812,12030.879,12774.127,12550.006,12078.83,12342.303,12347.255,12329.794,12403.545,12155.97,12568.248,11875.297,12306.339,12494.497,12570.073,10501.121,11113.285,8783.206,6802.6,11342.358
Canada,1112.006,1879.23,4070.876,4044.93,3466.978,4729.875,6984.356,8537.653,9775.655,10400.575,11165.912,11038.327,13550.642,14466.949,16339.122,19242.9,20794.155,21904.363,21327.855,19398.415,22624.843,21300.305,24643.819,28196.926,25561.114,24235.868,21535.905,18636.2,19152.2,18971.861,19987.182,19682.533,19517.309,23555.4,23986.182,25530.012,24361.976,25023.394,23478.261,23626.024,24389.861,24721.612,26956.83,27957.818,26431.448,26918.521
"Czech Republic",,,,,,,,,,,,,52.121,322.891,624.673,1602.467,2788.745,3079.321,3236.206,3279.727,3161.673,3192.424,3290.673,3381.885,3187.212,3348.788,3256.012,3434.267,3480.915,3541.636,3843.679,4883.236,6742.4,6885.982,6470.439,6813.297,6844.533,6942.515,7114.091,7321.809,7392.762,7926.092,8033.778,7923.678,7016.395,6302.735
Finland,,,,,,,693.212,850.618,1757.006,1829.976,3821.788,4371.927,4617.939,4916.855,4966.891,4966.891,5119.867,5095.891,4974.97,5007.806,5084.685,5019.273,5193.358,5062.794,5007.806,5075.564,5445.103,5695.024,5987.164,5858.164,5934.782,5810.212,5923.836,5919.927,6064.564,5969.442,6104.176,5982.994,6131.018,5941.818,6042.673,5990.552,6151.867,6145.091,6057.788,6048.667
France,2433.018,3802.764,3841.594,3829.606,4755.539,4111.842,4687.261,7944.055,10413.818,15962.382,27448.594,28384.952,37595.291,49836.739,58401.818,66234.333,69196.121,71802.442,79206.261,81851.412,86349.212,88200.818,95952.024,93813.23,98308.685,103549.212,103065.267,101112.545,102742.376,108193.733,109734.958,113822.303,114945.515,116814.321,117671.194,117322.503,114596.303,114522.552,106779.685,111675.17,115287.691,110863.382,110414.879,113747.77,113996.388,105078.709
Germany,1619.927,2481.491,3154.897,3768.103,6290.509,7696.479,10751.303,11433.57,13576.6,14495.236,17107.693,19444.152,20397.588,27268.219,36216.772,34097.9,37053.388,40987.905,42247.902,39836.267,38377.175,41400.664,39959.365,39290.21,39918.197,41717.235,44405.631,42125.406,44304.073,44200.352,44643.121,42958.824,43015.636,43538.152,42493.121,43591.315,36624.012,38698.697,35164.097,36629.745,28137.897,25919.879,25354.364,25312.406,23919.988,22056.133
Hungary,,,,,,,,,,,,,644.479,981.442,1688.727,1934.739,2863.018,3503.848,3620.079,3578.382,3577.079,3639.103,3595.321,3661.255,3655.261,3712.707,3657.196,3651.671,3691.628,3709.865,3696.366,3650.636,2885.624,3120.237,3621.2,3522.203,3837.81,3874.89,4032.264,4119.4,4099.737,4128.36,4017.575,4096.803,4145.588,4204.02
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4404.764,5075.303,5053.152,4633.576,4433.17,4514.739,4899.915,4419.097,3890.067,4856.655,6845.079,8414.188,8565.079,8920.024,9408.4,9750.055,
Italy,876.939,944.958,818.824,888.667,990.303,992.127,882.152,1153.964,684.873,575.418,705.461,1773.164,1507.085,1794.794,1830.497,2282.388,45.345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,2084.848,2475.758,2529.703,5133.679,6547.727,8881.194,8250.527,15457.327,18344.842,21523.715,22886.424,26693.879,29784.927,34990.012,41586.994,43861.042,48930.873,46559.618,47656.77,52713.309,55628.97,58397.909,64957.624,70135.867,75902.558,78755.152,83179.461,86610.6,82512.048,83927.921,83356.933,76903.285,62548.842,73606.097,79421,79074.655,68756.218,67269.721,72904.545,75114.485,26519.533,4153.8,2424.418,2441.8785,2459.339,4706.545
"South Korea",,,,,,,18.503,605.648,821.43,906.127,754.976,984.309,2336.333,3073.067,4363.848,7378.018,10245.467,10450.564,12343.606,13782.673,14674.988,14732.061,15151.115,15284.806,17468.164,19265.042,20089.079,23373.497,26859.103,28396.679,29222.539,31038.964,33793.309,34065.121,38251.497,38764.891,37250.248,39340.57,38510.018,38725.018,40321.752,39176.127,36167.952,40760.612,42937.976,42216.879
Mexico,,,,,,,,,,,,,,,,,,,96.945,765.4,1105.491,1021.315,1285.048,1104.709,2200.297,2053.055,2724.897,2414.515,2606.582,2142.442,2274.048,2540.127,2736.885,2396.012,2815.848,2831.745,2715.776,2554.982,2736.624,1532.103,2629.255,2285.515,3075.152,2521.885,3017.036,2753.824
Netherlands,105.545,84.958,288.752,854.006,869.121,1009.067,966.848,1058.061,909.255,1094.545,953.297,1015.582,935.315,967.109,1016.103,1098.715,926.715,957.727,1047.376,912.642,867.558,990.303,1028.873,1033.824,1047.115,1084.121,627.539,993.952,998.642,1023.139,1036.17,1020.273,1047.115,996.036,1041.642,904.042,1094.545,1086.467,1107.055,1034.345,1079.17,1020.273,753.412,1066.139,1062.491,1032
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4361.764,4553.309,6548.248,11295.188,13152.527,13835.055,14292.418,16191.455,17823.891,18277.345,19253.576,22503.333,25381.467,29087.024,34540.206,44508.648,
Slovakia,,0.782,60.461,126.655,48.733,115.188,29.709,4.952,559.521,1178.721,1337.691,1521.939,1602.727,1886.527,2445.006,3053.261,3000.358,2990.194,3168.188,3136.655,3046.224,2879.697,2993.321,3282.333,2980.552,2931.558,2885.691,2969.345,3418.37,4298.436,4507.437,4724.248,4703.585,4491.286,4673.088,4749.366,4044.729,4400.759,3723.706,3857.749,4068.975,4088.597,4147.998,4081.998,3994.135,3920.594
Slovenia,,,,,,,,,,,,,,,,,,,,1204.521,1290.521,1034.867,1030.958,1201.133,1245.436,1211.036,1307.982,1313.976,1223.806,1240.745,1370.006,1440.63,1356.976,1422.648,1533.406,1445.842,1484.152,1634.782,1495.618,1474.248,1619.667,1440.63,1381.212,1660.061,1471.903,1489.364
Spain,657.509,1238.139,1705.667,1882.358,1966.012,1968.879,1700.194,1993.376,1746.061,1351.503,2493.479,2285.776,2778.321,6016.352,7308.436,9761.782,10755.473,13151.745,14626.776,14142.57,14483.964,14537.127,14609.576,14414.903,14451.909,14679.939,14410.994,15373.933,15337.188,16211.261,16602.691,16422.352,16125,16576.109,14995.012,15669.2,14360.176,15368.721,13749.836,16154.97,15041.661,16019.455,14783.139,14934.03,14934.03,15276.467
Sweden,23.455,381.788,550.139,535.285,3119.194,4167.873,5189.448,6197.473,5482.891,6902.933,9819.376,10175.364,10685.891,13271.624,15261.352,18229.655,17560.939,18092.315,17096.539,17769.424,20004.382,16559.952,15999.909,19064.897,18225.485,19356.255,18223.661,19176.176,19073.236,14936.897,18792.042,17750.139,17568.758,20193.321,18861.885,17454.612,17452.527,16649.861,13596.6,15070.327,15760.152,16688.43,17319.097,16907.339,14684.63,16329.836
Switzerland,362.503,1000.727,1644.424,1841.703,2022.564,2068.952,2114.558,2187.788,3076.956,3741.544,4005.383,3955.453,4105.607,4817.969,5891.145,5903.348,6015.21,5959.554,5972.453,6180.938,6003.422,6133.855,6109.053,6373.264,6512.384,6576.515,6645.142,6757.723,6758.439,6918.256,7015.287,7122.897,7190.024,7053.597,6109.074,7280.605,7307.752,7249.593,7246.183,6895.147,6991.593,6662.794,6803.479,7209.938,6043.401,5542.536
