Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,1815,1681,1042,929,798,731,683,695,803,742,759,757,913,912,,,,,,,,
"Antigua and Barbuda",,,,,,,,,,,,,29,11,3,2.8182,2.6364,2.4545,2.2727,2.0909,1.9091,1.7273,1.5455,1.3636,1.1818,1,1,1,1,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830,871,558,562,494.5,427,445,387
Armenia,,,,,,,,,,,,,,,,,,,,,92,61.5,31,33,15,15,11,10,9,5,17,16,15,27,22,17,17,15,12,13,8,6,4,2,9,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289,216,226,229,197,188,195,
Austria,,,,,,513,318,471,528,430,399,404,258,241,227,251,187,230,183,179,198,206,171,195,160,168,148,132,136,129,125,122,120,103,132,124,107,108,115,150,185,73,98,91,64,67,59
Azerbaijan,,,,,,,,,,,,,,219,199,184,255,200,200,200,100,120,148,141,93,78,67,65,44,34,37,27,59,52,72,54,81,128,72,70.8,69.6,68.4,67.2,66,88,50,65
Bahrain,,,,,,,,,,15,10,12,23,24,26,28,12,16,11,8,11,4,25,22,6,20,14,9,15,16,16,10,14,21,14,29,25,22,23,,,,,,,,
Barbados,,,,,,,1,1,2,3,5,2,5,3,2,3,6,4,3,2,2.5,3,4,3.5,3,2.5,2,1,1.0588,1.1176,1.1765,1.2353,1.2941,1.3529,1.4118,1.4706,1.5294,1.5882,1.6471,1.7059,1.7647,1.8235,1.8824,1.9412,2,4,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,198,169,147,141,107,72,78
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,82,82,67,72,,,
