Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Belize,160000,170000,181818,175000,169231,164286,165517,170543,177632,173077,175000,176471,179310,179259,190000,191667,200000,200000,200000,200000,200000,200000,200000,200000,200000,218750,218750,218750,145000,120000,19600,122778,126250,115000,340000,125000,66667,40000,35000,30000,37500,112000,128333,115000,110000,100588,117273,90455,88571,90000,86428,88095,88095,85091,93463,93761
Bhutan,66667,66071,66667,67241,66667,67213,66667,66406,66923,65672,66176,65714,66197,66667,67123,67568,68000,68421,68831,68354,68750,69136,69512,72000,71154,69231,71698,71852,73333,75177,77994,78526,76936,77603,80000,78832,80000,80320,82034,81863,82000,82846,82258,84987,86429,83810,88709,91635,80333,109440,125793,158600,148187,154511,146941,155025
Bolivia,33077,33077,32857,32857,33571,33571,33333,33333,34000,34321,34146,36145,27576,27875,26479,37986,34735,36145,36571,32410,32068,34826,25101,30346,30877,32860,31932,33417,33451,33354,39344,33133,34570,34000,34043,34091,34146,33986,34000,33740,34211,33457,33529,33425,33417,31495,33292,33253,32387,29958,30112,30201,29490,29778,29704,29508
Botswana,50000,50000,51667,53333,53333,54098,54098,55738,57377,62295,61290,62903,62903,63492,66667,67692,69231,67123,67123,66216,67568,69231,70513,71795,71250,72840,73810,75000,75000,75000,75241,75789,76356,77320,77778,77911,77670,75455,75561,75968,76667,78640,81358,84458,90724,94778,98659,102480,106119,109487,112501,116471,116374,117664,117080,117580
Brunei,30000,30000,25563,1549,3688,14396,14390,15394,15022,10104,6667,8750,8889,9965,11750,13450,9746,5100,5656,4208,289,240,14949,22982,4777,10000,10000,10000,10000,9574,10000,9909,9936,9963,10000,10015,10000,10000,10088,10000,10133,10000,10197,10255,10316,10428,10503,10577,10650,10719,10783,11111,11087,10956,10924,10913
Bulgaria,66667,100000,100000,150000,100000,66667,66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,52632,52632,52632,52632,52632,52632,52632,52632,52632,52381,52174,52083,72917,70652,66667,70652,68000,64444,63492,71429,83333,75000,100000,106250,112500,100000,120000,120000,130000,125224,121947,123257,121834,120000,123371,125000,126233,129412,127778,130000,126088,122727,123651,123211,121739,122294,121719,121163,120605,120035,119476,117742,118590,118096,118099,117526
Cameroon,46875,46154,46154,46154,46154,46154,46154,46154,46154,46154,46154,46154,46154,46154,46154,46154,46154,46154,46875,46875,46875,46875,46875,46875,46875,46875,46875,46875,46875,48839,123336,121882,120429,118975,117522,116069,114615,113162,111708,110255,108802,107348,105895,104061,102227,100393,99911,97240,95000,96341,91655,87500,86458,84479,82877,81952
China,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,100000,100000,100000,100000,100000,100000,102881,104775,106689,108620,114328,116932,124880,126410,127913,129363,133333,133333,125000,126923,129507,130351,128763,130769,142857,142857,145022,143712,143363
Taiwan,100469,102687,102574,100278,104318,108058,120053,138090,114142,166094,175706,185918,176039,203309,184400,149771,158649,161739,171648,170509,164094,116827,122744,120700,126774,111491,123346,131740,170465,174710,,,,,,,,,,,,,,,,,,,,,,,,,,
