Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albania,0.4,1.84,3.28,4.72,6.16,7.6,9.04,10.48,11.92,13.36,14.8,,,,,,,,,,,,,,,
Australia,374.05,369.884,365.718,361.552,357.386,353.22,349.054,344.888,340.722,336.556,332.39,410.977,489.564,568.151,646.738,725.325,803.912,882.499,961.086,1039.673,1118.26,,,,,
Austria,8,8.16,8.32,8.48,8.64,8.8,8.96,9.12,9.28,9.44,9.6,9.55,9.5,9.45,9.4,9.35,9.3,9.25,9.2,9.15,9.1,9.1,9.1,9.1,9.1,9.1
Azerbaijan,0.4,0.685,0.97,1.255,1.54,1.825,2.11,2.395,2.68,2.965,3.25,3.397,3.544,3.691,3.838,3.985,4.132,4.279,4.426,4.573,4.72,4.776,4.832,4.888,4.944,5
Belarus,42.56,40.216,37.872,35.528,33.184,30.84,28.496,26.152,23.808,21.464,19.12,18.916,18.712,18.508,18.304,18.1,17.896,17.692,17.488,17.284,17.08,18.674,20.268,21.862,23.456,25.05
Belgium,,,,,,,,,,,,,,,,,,,,,0.7,0.86,1.02,1.18,1.34,1.5
Bhutan,9.91,9.915,9.92,9.925,9.93,9.935,9.94,9.945,9.95,9.955,9.96,9.176,8.392,7.608,6.824,6.04,5.256,4.472,3.688,2.904,2.12,2.138,2.156,2.174,2.192,2.21
Bulgaria,1.9,5.036,8.172,11.308,14.444,17.58,20.716,23.852,26.988,30.124,33.26,31.814,30.368,28.922,27.476,26.03,24.584,23.138,21.692,20.246,18.8,17.42,16.04,14.66,13.28,11.9
Chile,3.6,8.419,13.238,18.057,22.876,27.695,32.514,37.333,42.152,46.971,51.79,64.03,76.27,88.51,100.75,112.99,125.23,137.47,149.71,161.95,174.19,165.33,156.47,147.61,138.75,129.89
China,1128.54,1125.78,1123.02,1120.26,1117.5,1114.74,1111.98,1109.22,1106.46,1103.7,1100.94,1095.43,1089.92,1084.41,1078.9,1073.39,1067.88,1062.37,1056.86,1051.35,1045.84,1037.11,1028.38,1019.65,1010.92,1002.19
"Costa Rica",,,,,,,,,,,0.55,1.748,2.946,4.144,5.342,6.54,7.738,8.936,10.134,11.332,12.53,12.876,13.222,13.568,13.914,14.26
Croatia,3.27,3.31,3.35,3.39,3.43,3.47,3.51,3.55,3.59,3.63,3.67,3.333,2.996,2.659,2.322,1.985,1.648,1.311,0.974,0.637,0.3,0.928,1.556,2.184,2.812,3.44
"Dominican Republic",35.6,32.373,29.146,25.919,22.692,19.465,16.238,13.011,9.784,6.557,3.33,4.786,6.242,7.698,9.154,10.61,12.066,13.522,14.978,16.434,17.89,,,,,
Estonia,2.79,3.795,4.8,5.805,6.81,7.815,8.82,9.825,10.83,11.835,12.84,13.814,14.788,15.762,16.736,17.71,18.684,19.658,20.632,21.606,22.58,19.422,16.264,13.106,9.948,6.79
Finland,8.65,7.804,6.958,6.112,5.266,4.42,3.574,2.728,1.882,1.036,0.19,0.287,0.384,0.481,0.578,0.675,0.772,0.869,0.966,1.063,1.16,,,,,
Georgia,0.23,0.327,0.424,0.521,0.618,0.715,0.812,0.909,1.006,1.103,1.2,,,,,,,,,,,,,,,
Germany,4,3.8,3.6,3.4,3.2,3,2.8,2.6,2.4,2.2,2,2,2,2,2,2,2,2,2,2,2,2.2,2.4,2.6,2.8,3
Guadeloupe,0.16,0.155,0.15,0.145,0.14,0.135,0.13,0.125,0.12,0.115,0.11,0.138,0.166,0.194,0.222,0.25,0.278,0.306,0.334,0.362,0.39,0.35,0.31,0.27,0.23,0.19
Hungary,5.35,5.208,5.066,4.924,4.782,4.64,4.498,4.356,4.214,4.072,3.93,3.877,3.824,3.771,3.718,3.665,3.612,3.559,3.506,3.453,3.4,2.944,2.488,2.032,1.576,1.12
Iceland,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
Iraq,1.4,1.33,1.26,1.19,1.12,1.05,0.98,0.91,0.84,0.77,0.7,,,,,,,,,,,,,,,
Ireland,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Italy,,,,,,,,,,,,,,,,,,,,,50.65,,,,,
Jamaica,0.86,1.215,1.57,1.925,2.28,2.635,2.99,3.345,3.7,4.055,4.41,4.399,4.388,4.377,4.366,4.355,4.344,4.333,4.322,4.311,4.3,4.146,3.992,3.838,3.684,3.53
Kyrgyzstan,2.3,2.27,2.24,2.21,2.18,2.15,2.12,2.09,2.06,2.03,2,2,2,2,2,2,2,2,2,2,2,3.382,4.764,6.146,7.528,8.91
Latvia,6.8,7.327,7.854,8.381,8.908,9.435,9.962,10.489,11.016,11.543,12.07,11.067,10.064,9.061,8.058,7.055,6.052,5.049,4.046,3.043,2.04,2.088,2.136,2.184,2.232,2.28
Lithuania,,,,,,,,,,,13.14,11.864,10.588,9.312,8.036,6.76,5.484,4.208,2.932,1.656,0.38,0.478,0.576,0.674,0.772,0.87
Luxembourg,0.09,0.101,0.112,0.123,0.134,0.145,0.156,0.167,0.178,0.189,0.2,,,,,,,,,,,,,,,
Martinique,0.02,0.038,0.056,0.074,0.092,0.11,0.128,0.146,0.164,0.182,0.2,0.215,0.23,0.245,0.26,0.275,0.29,0.305,0.32,0.335,0.35,0.352,0.354,0.356,0.358,0.36
Mexico,464,445.434,426.868,408.302,389.736,371.17,352.604,334.038,315.472,296.906,278.34,259.069,239.798,220.527,201.256,181.985,162.714,143.443,124.172,104.901,85.63,75.454,65.278,55.102,44.926,34.75
Mongolia,0.14,0.136,0.132,0.128,0.124,0.12,0.116,0.112,0.108,0.104,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Montenegro,,,,,,,,,,,,,,,,,,,,,27.7,24.5,21.3,18.1,14.9,11.7
Nepal,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,,,,,,,,,,,,,,,
"New Zealand",1.3,1.45,1.6,1.75,1.9,2.05,2.2,2.35,2.5,2.65,2.8,2.551,2.302,2.053,1.804,1.555,1.306,1.057,0.808,0.559,0.31,1.028,1.746,2.464,3.182,3.9
Norway,2.06,2.362,2.664,2.966,3.268,3.57,3.872,4.174,4.476,4.778,5.08,5.932,6.784,7.636,8.488,9.34,10.192,11.044,11.896,12.748,13.6,13.574,13.548,13.522,13.496,13.47
Portugal,,,,,,,,,,,,,,,,,,,,,25.1,,,,,
Russia,31.86,87.345,142.83,198.315,253.8,309.285,364.77,420.255,475.74,531.225,586.71,552.678,518.646,484.614,450.582,416.55,382.518,348.486,314.454,280.422,246.39,212.358,178.326,144.294,110.262,76.23
Serbia,0.14,2.406,4.672,6.938,9.204,11.47,13.736,16.002,18.268,20.534,22.8,20.62,18.44,16.26,14.08,11.9,9.72,7.54,5.36,3.18,1,0.846,0.692,0.538,0.384,0.23
Singapore,0.5,0.471,0.442,0.413,0.384,0.355,0.326,0.297,0.268,0.239,0.21,0.194,0.178,0.162,0.146,0.13,0.114,0.098,0.082,0.066,0.05,0.052,0.054,0.056,0.058,0.06
Slovenia,4.5,4.228,3.956,3.684,3.412,3.14,2.868,2.596,2.324,2.052,1.78,1.652,1.524,1.396,1.268,1.14,1.012,0.884,0.756,0.628,0.5,,,,,
Spain,185.15,177.642,170.134,162.626,155.118,147.61,140.102,132.594,125.086,117.578,110.07,102.9507,95.8313,88.712,81.5927,74.4733,67.354,60.2347,53.1153,45.996,38.8767,31.7573,24.638,17.5187,10.3993,3.28
Sudan,226.98,225.236,223.492,221.748,220.004,218.26,216.516,214.772,213.028,211.284,209.54,198.415,187.29,176.165,165.04,153.915,142.79,131.665,120.54,109.415,98.29,97.416,96.542,95.668,94.794,93.92
Sweden,12.62,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,3.46,3.426,3.392,3.358,3.324,3.29,3.256,3.222,3.188,3.154,3.12,3.144,3.168,3.192,3.216,3.24,3.264,3.288,3.312,3.336,3.36,3.36,3.36,3.36,3.36,3.36
Turkey,16.06,17.648,19.236,20.824,22.412,24,25.588,27.176,28.764,30.352,31.94,32.257,32.574,32.891,33.208,33.525,33.842,34.159,34.476,34.793,35.11,35.884,36.658,37.432,38.206,38.98
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,0.7
"United States",48.9,69.91,90.92,111.93,132.94,153.95,174.96,195.97,216.98,237.99,259,235.9,212.8,189.7,166.6,143.5,120.4,97.3,74.2,51.1,28,,,,,
Uruguay,,,,,,,,,,,0.56,2.255,3.95,5.645,7.34,9.035,10.73,12.425,14.12,15.815,17.51,,,,,
Uzbekistan,5.8,5.84,5.88,5.92,5.96,6,6.04,6.08,6.12,6.16,6.2,5.95,5.7,5.45,5.2,4.95,4.7,4.45,4.2,3.95,3.7,3.84,3.98,4.12,4.26,4.4
