Country,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,,,,,,,44.23260117,50.4764,56.7203,62.9641,69.20790863,,,,,
Albania,,,,,,,,,,,,,,80.74411011,78.27243805,81.85243225,,,,
Algeria,,,74.19705963,73.03012848,76.67134094,89.91510773,85.13352966,85.80499268,83.59430695,82.98761749,85.68421936,85.12808228,85.27883911,85.6933,86.10778046,85.2676,84.4273,83.58708954,83.61814117,
Angola,,19.13999939,21.9949,24.8499,27.7048,30.5598,33.4147,36.2697,39.1246,41.9796,44.8345,47.6894989,51.21218109,51.15462112,,,,,,
"Antigua and Barbuda",,,,,,,,,,,,,58.81578827,62.6303,66.4447403,49.53020096,57.9158,66.30136871,,
Armenia,,,,,,71.76541901,73.0725,74.3796,75.6867,76.9938,78.301,79.6081,80.9152,82.2223,83.5294,84.8365,86.1436,87.4507,88.7578125,
Aruba,,,83.55114746,87.82849121,85.1471,82.4657,79.78437042,74.85868073,80.77436829,84.585,88.3957,92.2064,96.01706696,,,,,,,
Azerbaijan,,81.48838806,86.95892334,77.0158,67.0726,57.12947083,60.8927002,64.23580933,58.68700027,60.76937866,65.52921295,70.39447784,69.47057343,66.32138824,75.04873657,75.61956024,77.98285675,78.37206268,71.89633179,
Bahamas,,,81.73622894,81.2767,80.8171,80.3575,79.8979,79.4383,78.97875977,79.73783112,76.91143036,74.81625366,75.05986023,,,,,,,
Bahrain,,,88.43106079,82.41438293,81.12822723,74.88873291,75.50241089,74.76428223,74.44519043,80.15720367,77.4469,74.7365799,76.08722687,82.02301788,82.6108017,82.2050705,79.47524261,81.04647064,84.26203918,
Bangladesh,,,,,,,,,,87.53196716,90.43675995,91.17727661,94.3666687,92.42482758,,,,,,
Barbados,,,76.53575134,72.64956665,73.0382309,73.26834106,82.39621735,82.87854004,85.46602631,80.10214233,82.667099,85.80043793,78.66155243,77.92350006,77.10382843,52.3917,27.6796,2.967530012,,
Belarus,,,77.27012634,81.65361786,77.7208,73.78794098,73.80355835,74.7076,75.6116,76.5156,77.4196,78.3236,79.2276,80.1316,81.0357,81.9397,82.84367371,80.25771332,81.60064697,
Belize,,,,70.79178619,67.85411072,64.5259,61.1977,57.86951065,59.9438,62.01810837,62.17750168,58.4214592,59.55084991,65.31507874,61.81396866,64.01042175,62.30810165,63.49206161,61.19073868,
Benin,,,,,,,41.54486084,44.01858902,45.08692169,47.5351,49.9834,52.4316,54.8798,57.32804871,52.08378983,,,,,
Bermuda,,,,,,,,,,,,,,67.17172241,65.56121826,62.23957825,,,,
Bhutan,,,,,,,,,29.46453094,31.8957,34.3269,36.7581,39.1893,41.6205,44.0517,46.4829,48.91411972,58.08366013,,
Bolivia,,,73.52947235,71.81137085,72.47395325,73.86885834,73.40985107,73.54656982,75.09929657,73.77629852,68.48428345,56.73041153,60.58398056,61.02310944,63.30318069,75.37692261,80.0610199,84.03617859,88.66348267,
Botswana,,23.61647034,24.64879036,24.98967934,26.90295029,29.5051,32.1072,34.7094,37.3115,39.9137,42.5158,45.118,47.7201,50.3222,52.9244,55.52653122,54.87789154,,,
Brunei,,,,,,,,,64.63146973,65.3287,66.0259,66.72312164,64.62703705,70.52754211,71.9325,73.3375,74.74243164,69.49320984,,
Bulgaria,,,,,,87.52990723,87.6163,87.7028,87.7892,87.8756,87.962,88.0484,88.1349,88.2213,88.3077,88.3941,88.48055267,87.81128693,84.80072784,
"Burkina Faso",,,16.28819084,17.6752491,18.10503006,16.1104908,19.44598961,24.24488068,27.36202049,25.39476967,30.91036987,40.99621964,33.03034973,19.41571999,15.91456985,26.7221508,28.3964901,27.2536,26.11070061,
Burundi,,,,23.78812981,25.811,27.8339,29.8567791,31.05867958,30.15876961,53.31707001,49.44208145,51.9912,54.5402298,70.28791046,70.1488266,70.05361938,71.66349792,71.32803345,66.94132233,
"Cape Verde",,,,66.46511841,67.1302,67.79528046,76.00575256,72.60028839,78.95522308,77.44297028,82.44032288,83.80425262,90.51573944,97.6847229,99.35778046,99.3022,99.24658966,96.93795013,92.97106171,
Cambodia,,,64.42474365,72.37288666,74.12661743,75.43756104,80.5379,85.638237,92.5864563,88.42858887,90.50591278,81.29705811,84.0234,86.74973297,94.4812088,91.79498291,,,,
Cameroon,,,,,,,,,,,,,48.99636078,63.2139,77.43153381,72.6491,67.8667,63.08427811,61.75257111,
"Central African Republic",,,,,,,,,,,,,,36.96595001,,,,,,
Chad,,,17.31601906,20.92118073,21.12475967,22.81428909,25.7673,28.7204,31.6735,34.6265,37.5796,40.5326,43.4857,46.4388,49.39181137,,,,,
Chile,,,,,,,,,,,,,,,,,84.06452942,85.67471313,,
China,,,,,,,,,,,,,,,,,,,82.6354599,
Colombia,,,,,,,,,,,64.54432678,68.38195038,68.22975922,66.98944092,68.93811035,68.65339661,70.09587097,66.24842072,64.89073181,
Comoros,,,18.53570938,20.4076,22.2795,24.1514,26.0233,27.8951,29.767,31.6389,33.5108,35.3827,37.2546,39.1265,40.9983,42.8702,44.74211884,41.0737114,,
"Congo (Kinshasa)",,,25.01783943,27.0272,29.0365,31.0459,33.0552,35.0646,37.0739,39.0833,41.09262085,46.6244812,49.94837952,49.2237587,54.748909,59.2408,63.73263168,64.91269684,,
