Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,,,,,,,,,20.32185,,,,,
Albania,,,92.74214,90.9737,89.2052,87.4367,85.6682,83.8998,82.1313,80.36283,82.3405,84.3183,86.29597,86.91226,,,,
Algeria,,,,14.67492,14.9381,15.2014,15.4646,15.72782,17.6383,19.54882,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,100,100
Angola,,,33.68056,33.1686,32.6567,32.1447,31.6328,31.1209,30.6089,30.097,29.585,29.0731,28.5612,28.0492,27.5373,27.02533,,
Argentina,,,93.81913,93.9099,94.0007,94.0915,94.1822,94.273,94.3638,94.4546,94.5453,94.6361,94.7269,94.8177,94.9084,94.9992,95.09,
Armenia,,,96.794,97.0089,97.2239,97.4388,97.6538,97.8687,98.0837,98.2986,98.5136,98.7285,98.94344,,,,,
Aruba,,88.71164,88.7267,88.7418,88.7569,88.7719,88.787,88.8021,88.8172,88.8322,88.8473,88.86238,,,,,,
Azerbaijan,90.31221,90.9576,91.6031,92.2485,92.894,93.5394,94.1848,94.8303,95.47572,96.86,98.2443,98.08531,98.11782,98.17912,98.28427,98.31786,98.35486,98.41533
Bahrain,,,42.33926,43.1107,43.8821,44.6535,45.4249,46.1964,46.9678,47.7392,48.5106,49.28206,,,,,,
Bangladesh,,,28.63771,27.9483,27.2588,26.5693,25.8799,25.1904,24.50095,23.3868,22.2726,21.1584,20.04425,24.0447,28.0451,32.0456,36.046,40.04648
Belarus,98.36337,98.3852,98.407,98.4289,98.4507,98.4725,98.4944,98.5162,98.538,98.5598,98.58168,,,,,,,
Benin,,,,7.99832,8.0477,8.097,8.1463,8.19567,8.0006,7.8056,7.6105,7.4155,7.2204,7.02535,,,,
Bhutan,,,,,,,17.2903,16.9543,16.6182,16.2822,15.9461,15.6101,15.274,14.93796,,,,
Bolivia,,,48.07854,49.575,51.0715,52.5679,54.0644,55.5608,57.0573,60.06086,61.25341,64.17,67.08661,72.30374,70.6936,69.0835,67.47343,
"Bosnia and Herzegovina",,83.19954,84.2485,85.2975,86.3464,87.3954,88.4444,89.4933,90.5423,91.5913,92.6402,93.6892,94.73817,90.3888,86.03942,,,
Botswana,,,,,30.86753,,,,,,,,,,,,,
Brazil,,62.02373,62.9583,63.893,64.8276,65.76217,66.9226,68.08303,68.94603,69.13946,69.19827,70.64101,71.96234,72.82942,72.3247,73.55055,,
Brunei,,,37.64087,40.0413,42.4418,44.8423,47.2427,49.6432,52.0437,54.4441,56.8446,59.245,61.64551,,,,,
Bulgaria,,,96.17109,96.3057,96.4403,96.5749,96.7096,96.8442,96.9788,97.1134,97.248,97.3826,97.51726,,,,,
"Burkina Faso",,,,,4.82604,4.9726,5.11913,2.98367,9.0643,8.9686,8.8728,8.7771,8.6814,8.5857,8.4899,8.39421,,
Burundi,,18.64754,18.7627,18.8778,18.993,19.1081,19.2233,19.3384,19.4536,19.56871,20.4629,21.357,22.2512,23.1453,24.0395,24.93363,,
"Ivory Coast",,11.13028,12.3073,13.4843,14.6613,15.8383,17.0154,18.1924,19.3694,20.5464,21.7234,22.9004,24.0774,25.25446,21.6236,17.99265,,
"Cape Verde",,,,,,,,,,,,,,33.19853,34.4055,35.6124,36.81937,
Cambodia,,,,,,38.14517,40.5802,43.0152,45.4502,47.88518,40.11155,,,,,,,
Cameroon,,25.97114,25.057,24.1429,23.2287,22.3146,21.4004,20.4863,19.57216,21.7563,23.9403,26.12444,,,,,,
"Cayman Islands",,,,,,,,,94.70526,,,,,,,,,
"Central African Republic",,14.21637,16.3667,18.517,20.6673,22.8177,24.968,27.1183,29.2687,31.419,33.5693,35.71963,,,,,,
Chad,,6.49618,5.5308,4.5655,3.6001,2.63473,3.151,3.6673,4.1836,4.7,5.2163,5.7326,6.2489,6.7652,7.2815,7.7978,8.31409,7.02806
Chile,,,,85.34285,86.9877,88.6325,90.2774,91.9222,93.567,95.21185,95.31332,92.1847,89.05599,88.9718,88.88762,,,
China,,58.72222,60.2407,61.7593,63.2778,64.7963,66.3148,67.8334,69.3519,70.8704,72.3889,73.90746,,,,,,
Macau,,,56.179,56.9573,57.7357,58.514,59.2924,60.07071,62.5826,65.0946,67.6065,70.1184,72.63037,74.3443,76.0582,77.7722,79.4861,81.20001
Colombia,,,,,,74.96786,75.97301,74.87179,75.69847,76.77858,76.07097,76.30098,78.13191,78.709,79.2862,79.86329,80.27944,
Comoros,,38.18182,36.064,33.9461,31.8283,29.7105,27.5926,25.4748,23.3569,21.2391,19.1212,17.0034,14.8856,12.76771,,,,
"Congo (Brazzaville)",,,,,,,,,,,,,73.08353,,,,,
"Costa Rica",,82.64349,83.3463,84.0492,84.752,85.4549,86.1577,86.8606,87.5634,88.2662,88.9691,89.6719,90.37477,,,,,
Croatia,,,93.06429,93.4687,93.8731,94.2775,94.6819,95.0863,95.4906,95.895,96.2994,96.7038,97.10822,,,,,
Cuba,,,,99.16398,99.16398,99.16398,99.16398,99.16398,99.16398,99.16398,99.16398,99.16398,99.16398,99.16398,,,,
