Country,2014,2015,2016,2017
Afghanistan,,2,2,2
Albania,,2,2,2
Algeria,,1.3,1.3,1.3
"Antigua and Barbuda",,3,3,3
Argentina,,2.8,2.8,2.8
Armenia,,1.9,1.9,1.9
Australia,,1,1,1
Austria,,1.1,1.1,1.1
Azerbaijan,,1.5,1.5,1.5
Bahamas,,3,3,3
Bahrain,,2.5,2.5,2.5
Bangladesh,4,4,4,4
Barbados,,1.8,1.8,1.8
Belarus,,3,3,1.5
Belgium,,0.9,0.9,0.9
Belize,,2,2,2
Benin,,4,4,4
Bolivia,,1.8,1.8,1.8
"Bosnia and Herzegovina",,3.3,3.3,3.3
Botswana,,1.7,1.7,1.7
Brazil,4,4,4,4
Brunei,,2.5,2.5,2.5
Bulgaria,,3.3,3.3,3.3
"Burkina Faso",,4,4,4
Burundi,,5,5,5
Cambodia,,6,6,6
Cameroon,,2.8,2.8,2.8
Canada,,0.8,0.8,0.8
"Central African Republic",,4.8,4.8,4.8
Chad,,4,4,4
Chile,,3.2,3.2,3.2
China,1.7,1.7,1.7,1.7
Colombia,,1.7,1.7,1.7
"Congo (Brazzaville)",,3.3,3.3,3.3
"Costa Rica",,3,3,3
"Ivory Coast",,2.2,2.2,2.2
Croatia,,3.1,3.1,3.1
Cyprus,,1.5,1.5,1.5
"Czech Republic",,2.1,2.1,2.1
Denmark,,1,1,1
Djibouti,,2.3,2.3,2.3
Dominica,,4,4,4
"Dominican Republic",,3.5,3.5,3.5
Ecuador,,5.3,5.3,5.3
Egypt,,2.5,2.5,2.5
"El Salvador",,3.5,3.5,3.5
Estonia,,3,3,3
Ethiopia,,3,3,3
Fiji,,1.8,1.8,1.8
Finland,,0.9,0.9,0.9
France,,1.9,1.9,1.9
Gabon,,5,5,5
Gambia,,2,2,2
Georgia,,2,2,2
Germany,,1.2,1.2,1.2
Ghana,,1.9,1.9,1.9
Greece,,3.5,3.5,3.5
Guatemala,,3,3,3
Guinea,,3.8,3.8,3.8
Guyana,,3,3,3
Honduras,,3.8,3.8,3.8
"Hong Kong",,0.8,0.8,0.8
Hungary,,2,2,2
Iceland,,1,1,1
India,4.3,4.3,4.3,4.3
Indonesia,1.9,1.9,1.9,1.9
Iran,,4.5,4.5,4.5
Ireland,,0.4,0.4,0.4
Israel,,2,2,2
Italy,,1.8,1.8,1.8
Jamaica,,1.1,1.1,1.1
Japan,0.6,0.6,0.6,0.6
Jordan,,3,3,3
Kazakhstan,,1.5,1.5,1.5
Kenya,,4.5,4.5,4.5
"South Korea",,1.5,1.5,1.5
Kosovo,,2,2,2
Kuwait,,4.2,4.2,4.2
Kyrgyzstan,,1.5,1.5,1.5
Latvia,,1.5,1.5,1.5
Lebanon,,3,3,3
Lesotho,,2.6,2.6,2.6
Liberia,,3,3,3
Lithuania,,2.3,2.3,2.3
Luxembourg,,2,2,2
