Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Ecuador,,-0.095596224,-0.06790366,-0.099405833,-0.113052733,-0.068271443,-0.160406575,-0.089298949,-0.196237221,-0.173039719,-0.119744293,-0.020777568,-0.169955462
Egypt,,,-0.128950313,-0.095816918,-0.108507991,-0.08480709,-0.160536587,-0.146938071,-0.150372088,-0.135590494,-0.097959556,-0.15103294,-0.161944747
"El Salvador",,-0.066849828,-0.027574731,-0.089955635,-0.114353083,-0.074294984,-0.135765418,-0.163661525,-0.158239514,-0.20256269,-0.164656565,-0.193339467,-0.180290967
Estonia,,-0.272757232,-0.255336732,-0.226364776,-0.237503305,-0.2069,-0.176281899,-0.201046899,-0.210579932,-0.162878647,-0.1735695,-0.158623278,-0.109588325
Ethiopia,,,,,,,,-0.032520976,0.002870347,0.090263993,0.122134089,0.048651736,0.011871224
Finland,,-0.016036268,-0,0.01599697,0.0481,0.080165938,0.090361446,-0.012045811,0.028551169,-0.011547559,0.10091465,-0.03667929,-0.012173655
France,,0.115197815,0.0367,-0.041863956,-0.092475362,-0.114192359,-0.113141216,-0.159649923,-0.135102838,-0.128684133,-0.149804667,-0.10183014,-0.133584961
Gabon,,,,,,,-0.231514409,-0.215515137,-0.166420281,-0.2192121,-0.215216756,-0.226150796,-0.2508322
Georgia,,-0.247897834,-0.248725966,-0.207155779,-0.215583831,-0.231506154,-0.239501297,-0.254449189,-0.240373746,-0.220717177,-0.192947656,-0.237453327,-0.231422603
Germany,,,0.156656623,0.1368,0.116938382,0.084651679,0.022298362,0.060317129,0.013549269,0.077234603,0.166920766,0.138018474,0.135307536
Ghana,,0.222712591,0.147164509,0.128903836,0.014246345,0.082434684,0.018694997,0.047719266,-0.05797568,0.007766452,-0.032958232,0.094788618,0.084990479
Greece,,,-0.198117048,-0.2493,-0.300489306,-0.309963763,-0.322952121,-0.310992062,-0.277969718,-0.293942839,-0.278119117,-0.266483158,-0.296734989
Guatemala,,0.167737812,0.131275326,0.201126203,0.192472264,0.162360236,0.00512925,0.016726265,0.041540116,0.104445033,0.048312992,0.008398513,-0.0617286
Guinea,,,,,,,0.051496875,0.011558649,0.101489045,0.016414611,0.017058531,-0.043400712,0.054307584
Guyana,,,0.115275688,,,,,,,,,,
Haiti,,0.402793795,0.3328,0.262830973,0.2411,0.219462141,0.246202111,0.2925466,0.292677075,0.287922472,0.309000641,0.294325322,0.384510309
