Country,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Iraq,,,1027,892,958,927,891,803,922,721,634,680,310,104,282,214,152,106,233,171,89,64,76,73,38,49,37,22,20,18,16,18,9,6,9,17,11,10,11,10,3,6,5,8,3,4
Israel,1,2,2,1.8,1.6,1.4,1.2,1,2,1,1,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
Jamaica,,,,,,9,6,3,2.5,2,2,1.9,1.8,1.7,1.6,1.5,1.4,1.3,1.2,1.1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Jordan,,,37,38,18,21,23,15,26,21,24,8,13,8,6,7,9,6,6,6,5,2,2,2,1,3,3,4,3,4,1,1,1,,,,,,,,,,,,,
Kenya,,,,,,,,,497,337,177,17,23,420.25,817.5,1214.75,1612,1077.3333,542.6667,8,50,30,23,27,71,259,1278,132,95,41,78,56,38,52,30,9,7,4.5,2,1,36,32,317,,,
Kiribati,,,,,,,,,,,,,,,,,1,2,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,,,4,4,3,9,9,5,1,3,2,1.75,1.5,1.25,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
Laos,,,,,,,,,,,,,,,,,4,20,12,5,10,6,17,12,17,18,21,17,16,17,14,12,8,15,5,8,7,6,11,18,18.5,19,16,17,16,5
Lebanon,,,,,,,,,,,,,,,,,,,,,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
Lesotho,,,,,,,,,10,3,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,,,,,,,207,192.9167,178.8333,164.75,150.6667,136.5833,122.5,108.4167,94.3333,80.25,66.1667,52.0833,38,119,59,24,74,84,166,174,152,43,21,40,1,13,22,13,8,4,4,3,12,8.6667,5.3333,2,6,22,14,39
Libya,,,,,,,,,,10,12.5,15,8,10,10,7,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,,,,,,,,,,,,,,,234,183,208,32,17,20,6,7,61,46,39,26,13,18,6,6,7,34,5,10,8,6,6,43,9,8,7,13,27,17,30,46
Malawi,,,,,,,163,395,358,405,274,391,327,196,201,206,211,147.5,84,37,14,6,1,8,1,6,12,15,7,7,11,6,6,7,5,7,4,8,1,7,1,2,2,3,9,2
Malaysia,171,108,76,86,80,53,60,38,47,36,64,49,51,40,15,21,11,13,28,20,9,12,9,11,13,10,20,8,4,8,14,6,11,14,13,5,10,3,9,6,8,16,6,16,26,30
Maldives,,,,,,,,,,,,,,,,56,28.5,1,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,,,,,,,,,,,,455,398.75,342.5,286.25,230,203,171,73,40,28,33,37,9,31,29,73,34,37,37,25,20,17,19,6,13,7,11,10,12,13,8,8,7,10,17
Mauritania,,,,,,,,,,,58,99,120,44,34,20,16,26,6,3.5,1,1,1,1,11,9,8.5,8,4,4,2,2,2,2,2,1,1,2.25,3.5,4.75,6,2,2,3,,
Mauritius,,,,,,,4,2,7,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
