Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Honduras,,,,,,,,,,63.3473,61.8015,60.2558,58.71,57.16422,55.018,52.8718,50.7256,48.5794,46.4332,44.2869,42.1407,39.99452,44.51876,45.85497,50.78434,45.18722,45.68507,47.72664,44.1414,40.5562,36.9709,33.3857,29.8005,26.2153,22.63,19.04479,21.4267,23.80858,28.28311,20.21096,25.2006,30.44255,30.34513,24.55428,20.9859,17.41759,17.30883,
"Hong Kong",,,,,,,,,,3.64686,2.5494,2.80726,1.46629,1.99215,2.41023,0.99292,1.074,1.1551,1.23625,1.23656,2.74002,1.43997,1.62076,1.1419,0.82132,0.597,0.6075,0.618,0.6285,0.639,0.6495,0.66,0.67052,0.68245,0.74367,0.6579,0.5721,0.48624,0.43947,0.5071,0.5748,0.97776,1.00286,1.55039,1.69768,1.75453,1.15538,
Hungary,,6.0809,5.34846,5.21925,4.83936,4.07119,4.10237,4.14962,4.00904,2.92612,3.58595,3.28009,2.78213,2.9408,2.86806,3.16659,3.36979,3.26159,2.25189,2.1879,1.77242,2.36114,2.44225,2.8154,3.1885,3.5616,3.93478,6.21304,3.92415,3.57107,5.58672,3.45319,2.63998,2.70584,2.0031,1.96858,2.04596,1.33139,2.30155,1.9277,1.52024,1.55263,2.03073,1.73983,2.08523,1.57084,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52762,1.89449,2.44815,1.05171,2.215,2.332,2.30905,1.83033,2.5228,6.83102,5.2016,3.5722,1.94278,2.90968,2.08263,,,,,,
India,,,,61.715,60.6034,59.4919,58.3803,57.2687,56.1571,55.0456,53.934,52.8224,51.7109,50.5993,49.4877,48.3761,47.26457,38.04528,38.5205,38.9957,39.4709,39.9461,40.4213,40.8965,41.37166,40.688,40.0043,39.3207,38.637,37.95333,40.99366,38.62689,36.9215,35.2161,33.5107,31.8053,30.1,28.3946,26.6892,24.9838,23.2784,21.573,19.8676,18.16225,6.7338,9.83655,12.26263,
Indonesia,,42.12541,41.96997,54.54263,50.86447,49.6559,40.99761,22.79617,25.0346,27.273,29.5115,31.74992,30.92639,26.93413,24.54807,20.11527,19.87554,21.56837,20.54987,22.56302,21.17816,22.03695,18.34189,10.50113,19.23721,15.08385,17.02837,16.4447,15.861,15.2774,14.6937,14.11002,13.63064,14.89864,16.55319,17.7098,18.8664,20.02296,12.13033,8.20033,12.00075,11.02493,18.19804,18.05865,12.845,7.6313,2.41768,
Iran,,,,,,,,,,,,,,16.93301,14.77118,15.5825,16.82231,13.06404,11.27571,9.42287,9.24413,10.05883,9.40615,10.88008,9.63999,8.4593,7.2786,6.098,4.9173,3.7366,2.55591,6.27084,12.48326,11.0189,9.5545,8.0901,6.6257,5.1613,3.69685,6.83687,1.86929,3.82423,3.373,2.9218,2.47052,2.11579,4.04544,
Iraq,,38.8559,25.50176,27.09831,31.10787,32.4031,33.6982,34.9934,36.2886,37.5838,38.879,40.1742,41.46936,37.5361,33.60289,30.66303,28.24118,27.42368,41.90169,42.6836,43.4656,44.2475,45.0295,45.8114,46.5934,47.3753,48.1573,48.9392,49.7212,50.50315,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87285,0.92421,1.1782,0.66156,0.8279,1.23213,1.154,1.1106,1.08138,1.08769,1.05974,1.16067,0.76176,1.10599,0.77791,1.42068,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1543,5.1676,4.18085,2.8834,1.5859,0.28838,0.59914,0.50135,0.42518,0.33944,0.35798,0.48225,0.66545,1.05956,0.58234,0.82428,0.76304,,
"Ivory Coast",,,19.3106,23.36008,15.53337,23.39329,9.80828,10.14808,13.2839,16.4197,19.5555,22.6913,25.8271,28.963,32.09877,30.99605,28.22507,25.5105,22.79596,27.76162,36.83973,29.83171,41.55916,18.94064,28.50983,31.3247,32.98951,34.50623,19.51437,37.61133,12.68548,14.6479,16.6103,18.5727,20.5352,22.4976,24.45999,31.8431,39.22628,32.0916,24.9569,17.82219,26.88125,25.96117,17.25672,17.99746,26.73599,
Jamaica,,,,,,,,,,,,,,18.37762,19.0894,19.8012,20.513,21.22478,18.219,15.2132,12.2074,12.4644,12.7214,12.9785,13.2355,13.4925,13.7495,14.0065,14.2636,14.5206,14.77759,14.15058,14.0061,13.8616,13.7171,13.5726,13.4281,13.2836,13.13916,13.3346,13.5301,13.7255,13.92094,5.14892,5.6401,6.1313,6.62247,
Japan,,0.37694,0.32825,0.25652,0.18077,0.22117,0.27938,0.20463,0.15963,0.43707,0.18435,0.14054,0.15615,0.16653,0.11949,0.16545,0.09977,0.08691,0.13518,0.12292,0.08299,0.03503,0.036,0.0369,0.0379,0.0389,0.0398,0.0408,0.0417,0.0427,0.0436,0.0446,0.0455,0.0465,0.0475,0.0484,0.0494,0.0503,0.0513,0.0522,0.0532,0.0541,0.0551,0.05606,0.03542,0.06538,,
Jordan,,28.60526,14.2052,12.84451,14.94623,14.40528,13.30034,13.10044,10.53679,7.95527,9.34255,6.24045,10.64671,4.33901,6.8718,9.4046,11.9373,14.4701,17.00289,5.72065,5.1372,4.5538,3.9704,3.62217,3.6056,3.589,3.5724,3.5558,3.5392,3.52261,3.8223,4.122,4.42163,2.78707,4.60817,5.5912,6.57419,5.4559,4.3376,3.2193,2.10094,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,6.75188,7.4232,8.09459,9.73903,8.1751,6.6112,5.0473,5.23246,1.79325,0.3312,0.55856,0.72927,0.4217,0.5474,1.05098,1.22227,0.16057,0.44765,0.72416,1.10425,1.22778,0.96839,1.74667,0.82272
Kenya,,,24.17635,30.2727,36.36906,48.00247,42.64423,49.91799,42.1603,34.40251,40.40368,39.8317,39.2598,38.6878,38.1159,37.5439,36.972,36.4001,35.8281,35.2562,34.6842,34.1123,33.5403,32.9684,32.3964,31.8245,31.2525,30.6806,30.1086,29.5367,28.9647,28.3928,27.8208,27.2489,22.36874,20.8315,19.2942,17.7569,16.2197,14.6824,13.1451,11.6079,10.0706,8.5333,6.99607,,,
Kiribati,,,,,,,,,,,18.45912,19.0351,19.611,20.187,20.763,21.3389,21.9149,22.4908,23.0668,23.6428,24.2187,24.7947,25.3706,25.9466,26.5225,27.0985,27.6745,28.2504,28.8264,29.4023,29.9783,30.55426,25.8246,21.09494,,,,,,,,,,,,,,
Kuwait,,,4.91217,2.35289,3.83481,23.385,42.93512,24.9391,6.94316,2.26373,2.8884,3.51306,5.36454,7.97617,7.47491,8.99446,9.70799,9.6103,9.5126,9.4149,9.3172,9.2195,9.1218,9.0242,8.92646,1.62329,4.44842,6.5984,8.74833,5.98886,5.15177,1.70798,2.53882,1.58292,1.9869,2.3909,2.7949,3.1989,3.6029,4.00694,4.9677,5.92846,4.30151,4.1753,4.0491,3.92287,7.72842,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,3.78114,4.2064,4.6316,5.0568,5.48203,6.9665,7.85212,6.51663,4.17538,3.13314,1.91988,3.50357,1.65296,3.77916,2.35218,4.70502,2.94636,2.25683,1.20556,3.28245,1.66515,2.38778,
Laos,,,,,,,,,,,,,,,,,,,,,,,46.41143,46.86658,46.0728,45.2791,44.48537,40.27655,45.70563,45.43352,46.52182,37.34463,35.53146,37.10036,36.67396,37.76598,38.38731,33.02494,31.54795,28.94615,31.98412,30.05264,26.66258,22.38513,21.27702,20.36597,18.91803,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,24.74692,3.98832,2.65196,2.7727,2.8934,3.0141,2.66162,3.62214,2.17835,1.75328,1.82932,2.24791,2.94096,4.72372,4.46587,5.39934,6.91244,9.71279,7.55777,6.4827,4.83411,3.41392,3.56049,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.68477,3.68059,9.25101,11.2585,5.75143,9.9537,12.19373,5.51089,10.69132,8.16609,8.849,9.53192,6.71228,8.2388,9.7653,12.8395,15.91363,5.96744,
Lesotho,78.02553,68.47587,58.61843,41.22481,60.33926,65.88462,68.77206,65.66429,62.68483,59.72679,51.34677,49.32212,54.2095,55.3012,48.34199,53.70341,47.12045,46.76938,54.31687,49.09083,43.19797,48.42531,53.27308,32.0386,36.16788,50.04621,45.01614,39.27222,45.84893,40.33264,44.97002,41.00533,32.77327,42.90287,38.72924,36.88174,53.60687,34.76095,40.62815,30.70193,36.14547,36.09785,43.24563,32.64052,35.14403,30.71761,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.2345,,,,,,,,,
Libya,,11.20814,13.30635,12.37797,11.1624,9.94675,17.33474,28.44234,24.4295,20.41659,18.35838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1713,16.7771,20.60125,22.7644,24.92763,17.7218,10.516,3.31015,2.71837,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,1.98988,1.65383,1.3786,1.10329,0.82746,1.39918,1.73083,2.1264,1.46851,2.08192,3.29072,2.251,1.97545,1.58079,1.70656,3.60615,2.50047,3.33647,2.79053,1.7172,1.75613,,
Luxembourg,,,,,,13.86752,9.65315,10.77864,12.91977,13.0953,13.2708,13.4463,13.62182,13.675,13.7283,13.7815,13.8347,13.8879,13.9411,13.9943,14.0476,14.1008,14.154,14.2072,14.2604,14.3136,14.3669,14.4201,14.4733,14.5265,14.5797,14.6329,14.6862,14.7394,14.7926,14.8458,14.899,14.9522,15.0055,15.0587,15.1119,15.1651,15.21833,17.06504,,,,
Macau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93051,1.72623,,,,,,,,
"Macedonia (F.Y.R.O.M.)",,,,,,,,,,,,,,,,,,,,,,,,2.14831,3.11898,1.35418,2.89371,2.30344,1.64147,2.72289,3.38037,2.46983,4.12256,1.80671,1.81805,5.64682,2.50694,2.587,2.6671,2.7472,2.8273,2.9074,2.9875,3.62856,2.64567,,,
Madagascar,,60.7091,75.06008,68.5862,62.11229,62.3567,62.6011,62.8454,63.0898,63.3342,63.5786,63.823,64.0674,64.3118,64.5561,64.8005,65.0449,65.2893,65.53369,67.13922,60.60094,78.24005,68.59363,71.87757,72.2662,59.24025,60.2539,61.2675,62.28108,47.57747,63.85966,65.31761,44.59039,40.13758,57.1178,64.02135,57.5333,57.33938,50.61281,65.41531,60.4807,59.34143,62.0302,59.94878,57.42686,64.89794,,
Malawi,,,,62.6417,56.08016,68.85974,67.80373,69.96564,68.35707,60.13863,66.81129,60.23032,72.68888,69.28998,58.70044,59.37137,45.91291,61.63909,47.7336,53.77363,60.58944,46.55635,65.20574,70.1648,70.889,71.6131,68.5248,65.4365,62.34816,63.74598,62.84424,67.19544,66.8495,66.5035,66.15751,63.86316,64.06864,40.12876,58.0513,47.18735,49.09825,50.88378,37.66974,45.92779,,,,
Malaysia,,,,,,,,,,,4.43575,3.97972,2.97552,3.93591,2.39455,2.7856,3.1767,3.5677,4.23968,4.58468,3.65496,4.1218,4.5887,4.4158,4.2429,4.07,3.8971,3.7242,3.5512,3.3783,3.2054,3.0325,2.8596,2.2836,1.7075,1.1315,1.30643,1.9446,2.5828,3.221,3.8592,4.4974,5.1356,5.77376,8.01266,5.8166,3.62044,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,5.77921,6.5374,7.2957,8.0539,8.8121,9.5703,10.3286,11.0868,11.845,12.6033,13.3615,14.1197,14.8779,15.6362,16.3944,17.15262,17.84163,15.1046,12.3676,9.63059,6.67083,
Mali,,54.69321,54.12232,50.87408,51.5925,52.31091,41.79746,43.9154,38.60633,57.94807,62.86733,60.992,59.11662,64.42585,60.61565,62.47337,59.87521,58.96535,57.0061,55.0469,53.0877,51.1285,49.1693,47.2101,45.2509,43.2917,41.3325,39.3732,37.414,35.45482,16.62778,24.15666,33.88511,21.57344,19.60805,26.4784,25.0513,23.62412,20.79446,22.66339,24.50689,38.40749,,,,,,
Malta,,,,30.19797,23.9121,17.6263,11.3404,5.05458,6.2431,8.5218,8.75959,7.814,6.8684,5.9228,4.97716,4.4894,4.0016,3.5138,3.026,2.5382,2.0504,1.56265,2.51084,4.6559,6.80094,4.4374,2.07376,3.26106,2.86091,1.84506,2.06606,1.77218,2.61962,3.0198,3.4199,3.82,4.22017,5.10889,20.32728,12.2889,4.25059,5.53651,1.73703,3.12446,3.42694,,,
"Marshall Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.60871,29.26928,17.85249,16.53218,,,,,,,,,
Martinique,,,,,,22.96932,11.08954,29.8488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,28.11615,28.4889,28.8616,29.2343,29.6071,29.9798,30.3525,30.7252,31.098,31.4707,31.8434,32.21615,48.17014,27.27353,26.38899,26.58013,31.15009,37.79698,43.64143,41.53524,41.65856,43.55775,48.8954,54.2331,59.57081,59.9225,60.2743,60.62599,55.4171,45.51693,32.1396,18.76223,23.0397,27.3172,31.5946,35.87207,34.1146,32.3572,30.5997,28.84225,
Mauritius,,,,,,,,,,,,,,2.33352,5.04813,4.19467,2.70411,6.78065,2.05985,4.33606,2.69136,3.39669,2.13415,2.1918,2.2494,2.3071,2.3647,2.42239,1.86999,1.54913,2.57921,3.67965,1.6114,2.4523,4.13038,2.29101,2.52871,2.74576,3.83132,2.23263,2.60447,2.6611,4.19319,1.76145,3.97393,3.5371,4.95647,
Mexico,,,,,51.6392,44.80593,35.36725,40.61135,30.34085,36.07661,35.06835,34.35863,31.23416,29.68568,32.14596,29.05587,28.48802,31.04212,28.32468,30.24653,28.44097,24.48375,22.13064,18.95489,17.9154,16.07429,16.73469,14.9944,13.25409,12.77502,12.84835,11.01002,8.84568,9.61618,8.37591,7.86462,7.6512,8.48747,5.98961,5.84772,4.99479,4.24733,5.42703,4.28735,4.28263,7.80525,1.34163,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,3.85293,4.0054,4.1578,4.3102,4.4627,4.61508,10.47481,4.70421,3.93156,4.64255,3.79108,2.97921,3.75706,4.43256,4.83609,4.74862,4.64679,4.21749,5.38253,4.93988,5.24107,5.16521,5.00557,
Monaco,,,,,,,,,,,,,,,,,,,,,,18.13305,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,8.8053,4.8524,5.4009,5.9494,6.49788,6.6241,6.7503,6.8764,7.0026,7.1288,7.255,7.3812,7.5074,7.6335,7.7597,7.8859,8.0121,8.13829,9.59101,15.807,12.43509,12.77833,11.10127,11.47156,7.96114,9.10258,8.5172,7.9318,7.3464,6.761,6.1756,5.5903,5.0049,4.4195,3.8341,3.2487,2.6633,2.07793,2.71654,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5014,16.3279,13.1545,9.981,6.80757,1.97608,
Morocco,,32.59591,34.71139,31.1573,25.0582,10.9822,19.80928,16.97798,15.39787,18.13722,19.76374,19.74323,23.05809,20.5939,32.08549,32.29806,31.04023,33.42226,36.83571,24.35525,26.47264,31.80063,26.2576,26.49759,25.78461,28.13949,31.7812,32.34012,30.09883,24.91029,26.72238,22.02788,24.40824,30.59056,27.38303,26.29382,22.42404,23.78898,21.92666,9.48217,10.57586,11.76349,8.44058,10.74566,11.16116,7.36996,4.94733,
Mozambique,,,,,,,,,,,,,79.37658,63.89479,65.97292,60.34502,66.28653,76.82897,65.81717,58.1711,67.06008,65.48465,64.7324,56.98998,53.46582,56.8871,60.3084,63.7296,67.1509,70.57217,67.03219,68.34016,63.6631,58.9861,54.309,60.91082,55.04826,56.69406,63.82331,64.55468,73.039,69.42676,68.40503,69.25083,66.77021,,,
Namibia,,,,,,,,,,,,,,,,,,,,,,47.19714,36.2661,25.33512,35.51049,33.42136,28.7998,24.17821,27.87177,17.72719,18.38659,16.71232,18.41104,26.66648,23.57111,23.10548,21.2159,19.3264,17.4368,15.53728,13.4939,11.4506,9.40721,,,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,47.82404,46.9658,46.1076,45.2494,44.3912,43.533,42.6748,41.8166,40.95835,38.8581,36.7579,34.65772,32.31236,38.44153,38.3988,38.356,38.3133,39.5983,40.8833,42.1683,43.4532,44.73823,39.63986,29.90174,23.14897,26.45056,
Netherlands,,5.22411,5.00757,4.73178,3.97595,2.93991,3.76083,3.78615,3.55835,2.85138,3.06512,4.9307,5.01477,5.50402,5.88082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Caledonia",,,,,,,,,,,,,17.08011,10.58663,30.13445,6.42688,5.49546,6.27528,7.66092,5.68313,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,70.19992,76.95135,71.75494,76.6343,74.8475,73.0606,71.27382,73.99949,77.67794,62.30746,62.7007,63.0939,63.48719,77.53288,66.37926,80.35049,65.09397,64.45764,71.06787,59.09968,56.13027,59.78859,48.78716,47.26558,59.42975,58.362,57.2942,56.2264,55.1586,54.09087,48.19038,36.11952,48.23873,45.13801,49.19745,49.79572,56.14599,51.59073,,,,,,,,,,
Niger,,48.34046,46.55361,48.8332,45.26815,38.42077,33.70199,27.49989,29.0873,30.6748,32.26219,31.3451,30.428,29.5109,28.5937,27.6766,26.7595,25.8424,24.92529,31.31198,19.91512,42.68714,38.21123,42.152,46.0927,50.03348,33.12619,36.02777,41.92962,44.89301,30.94135,34.95764,33.92652,30.83909,30.6026,30.366,30.12952,26.03289,33.20501,38.33739,30.67039,35.1835,39.69668,35.60446,,,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.68383,16.3548,19.0259,21.6969,24.3679,27.03889,22.25171,50.27582,52.94948,20.00902,35.62462,,,,,,,,
Norway,,0.74568,2.7428,1.46831,1.15594,3.30162,0.72136,1.04318,1.16543,0.60815,0.63563,0.4934,0.5896,0.6859,0.78208,0.27311,1.00201,0.54434,0.59922,1.63417,1.00372,0.61433,1.61826,1.531,1.4437,1.3564,1.2691,1.1818,1.09448,0.41741,0.95915,1.00567,0.83985,0.75103,0.16898,0.83294,0.58871,1.07506,0.5291,0.90114,0.71481,1.51155,1.4598,0.42509,0.52515,0.44157,0.8978,
Oman,,,,,46.42989,43.15382,42.0919,41.03004,39.8622,33.6034,27.3446,21.0857,14.82691,13.04209,7.41448,10.84776,11.36563,9.66671,8.98957,9.14751,8.5476,7.94768,7.4399,6.93209,6.89316,6.30417,6.14524,7.39097,7.79668,8.091,5.49846,4.82666,2.69775,3.1132,3.5287,3.9442,4.3596,4.7751,5.1906,5.606,6.0215,6.43695,1.32483,1.6298,1.93483,0.89993,1.8595,
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.32355,32.555,34.7864,37.0179,39.24932,38.49257,47.79435,39.00805,37.63039,20.41011,21.5697,22.72936,,
Panama,14.40276,22.24588,23.25408,24.49184,23.4763,24.66437,19.3561,22.50403,25.73555,27.32348,27.06462,21.99905,25.62514,18.68756,21.88437,18.46547,20.21293,27.91102,21.28948,20.2493,19.2092,18.1691,17.1289,16.0888,15.0487,14.0085,12.9684,11.9282,10.8881,9.84796,13.79341,11.97474,13.8371,15.6994,17.56178,14.76367,11.76777,14.78634,13.17463,6.24514,6.15739,8.39036,6.76026,14.0387,,,,
"Papua New Guinea",,,,,,,,,,,,,,,,,37.21205,41.25028,38.82937,53.69302,47.84313,37.88399,38.5553,39.2266,47.69355,42.10559,47.33771,43.81919,,,,,,,,,,,,,,,,,,,,
Paraguay,60.31752,64.61496,57.37364,60.24723,62.35282,54.59006,54.91029,52.1806,51.2361,50.2915,49.34697,49.36783,46.70108,47.84352,47.36821,50.01374,47.44114,44.15586,43.15808,41.49107,37.04639,33.08936,31.02205,35.22234,33.70754,27.58381,26.9723,26.36078,25.75093,26.68575,25.6159,24.5461,23.47634,23.525,16.02334,23.79604,20.9083,20.8085,21.91319,17.39618,19.88428,15.85323,,,,,,
Peru,,,37.88739,39.65045,38.89326,34.11754,37.11948,31.34166,37.77967,34.63883,29.614,29.278,28.942,28.6059,28.2699,27.9339,27.5979,27.2618,26.9258,26.5898,26.2538,25.9177,25.5817,23.7793,21.9769,20.1745,18.3722,16.5698,14.76739,16.91247,19.07456,21.88551,18.9048,15.92407,14.43883,15.09485,10.29267,18.03525,12.39974,9.59707,9.5714,9.5457,9.5199,9.49423,8.6316,7.7691,6.90646,
Philippines,,,,,,,,,,,,,34.84109,33.05224,35.16166,34.18636,25.00329,29.86506,29.90696,28.62093,28.8434,29.0659,29.2884,29.5108,29.7333,29.9558,30.1783,30.40073,29.70187,28.051,26.4001,24.74928,26.60946,27.84335,28.48005,29.56835,26.75872,24.73807,24.22016,22.6706,21.121,19.5714,18.0218,16.4722,14.92256,12.48245,,
Poland,,4.83327,4.83621,4.83387,3.81078,2.89346,2.93406,3.55801,3.66918,3.29859,2.66867,2.80856,3.27277,3.06344,3.11913,2.59502,2.97994,3.14618,5.20697,5.49204,5.21694,2.7991,1.7691,0.73911,8.95551,2.34839,6.6032,10.8581,6.2663,1.67452,0.78559,1.83726,0.78695,0.23299,0.78041,1.55025,2.699,2.5706,2.44224,0.65487,1.46771,1.53057,2.24279,2.17893,2.05254,1.99558,,
Portugal,,45.77462,40.24928,35.56398,33.5972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Puerto Rico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.92142,,,
Qatar,,8.85321,9.1433,8.95404,9.04376,11.68689,7.16751,15.46747,13.22531,10.68609,6.74363,3.32625,4.2524,5.17855,3.56692,4.8529,6.9213,8.9897,11.0582,13.12659,11.8985,10.6703,9.44222,5.12613,8.01706,4.02495,5.1032,6.1815,7.2598,8.3381,9.4164,10.4947,11.573,12.6513,13.7296,14.80791,10.5972,6.38654,5.5613,4.7361,3.9109,3.0856,2.26042,2.0138,1.7671,1.52048,3.80578,
Reunion,,,,,,15.83969,11.0129,15.91095,14.3328,12.7547,11.1766,9.5984,8.0203,6.4422,4.86402,6.32737,3.98273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,3.71635,4.7803,5.8443,6.90833,5.4577,4.00706,1.17217,5.23843,4.8527,4.467,4.33374,5.53721,4.17332,4.75012,4.77066,5.07398,6.29972,6.5047,6.70961,6.45209,2.89955,5.23133,5.95006,,,,,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,3.39809,3.7661,4.1341,4.5021,4.8701,5.23807,1.76081,2.33,2.8992,3.4684,4.0376,4.6067,5.17593,4.79862,3.854,3.7037,3.5533,3.40296,2.68529,3.55324,0.7184,2.78226,,
Rwanda,,69.57402,67.71901,65.5639,62.70776,57.291,51.87426,54.75716,41.4391,28.12108,22.00262,37.12102,52.4066,45.76349,43.56064,43.68741,38.08732,40.229,41.02766,49.04276,49.9055,48.04422,50.5386,53.033,55.5274,58.0217,60.5161,63.0105,65.5049,67.99926,68.89793,69.64232,63.28347,68.87084,67.3794,65.8879,64.3964,62.9049,61.41342,63.02343,63.71,64.3966,65.25253,65.444,55.28429,41.91788,42.93864,
"Saint Kitts and Nevis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.30103,27.2057,28.1104,29.0151,29.9198,30.8245,31.7292,32.63387,29.554,26.47417,23.2005,19.92676,7.1777,5.8955,4.61333,,,
"Saint Lucia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.24373,6.486,6.7283,6.9705,7.21277,7.89647,8.23799,10.42671,10.1696,9.91253,9.101,8.2895,7.478,
"Saint Pierre and Miquelon",,,,,,,,,,,,9.75452,1.58046,1.6831,1.78571,7.72023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saint Thomas and Principe",,,,,,,,,,,49.45797,23.11133,28.90843,21.12056,21.81994,20.1559,18.4919,16.82785,20.3819,23.9359,27.4899,31.044,34.598,38.152,41.7061,45.2601,48.8141,52.3681,55.92217,52.7918,49.6615,46.5312,43.40087,38.70062,31.08971,29.0504,27.0111,24.97177,31.97006,33.86937,30.0749,26.2804,22.4859,18.6915,14.897,11.1025,7.30803,
"Saint Vincent and Grenadines",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.42725,23.3247,15.2222,7.11968,10.30051,8.70325,12.17959,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,7.28792,18.09791,16.74615,14.4961,12.2461,9.99606,9.43008,9.8598,10.2895,11.78467,14.78347,15.27232,11.81172,14.7161,17.6206,20.525,23.42941,10.04949,9.8043,9.5591,9.3139,6.74006,13.18711,
"San Marino",,3.22936,2.9889,2.7484,2.5079,2.2675,2.027,1.7865,1.546,1.3055,1.0651,0.8246,0.5841,0.34364,1.2967,2.2498,3.20285,1.13556,1.3879,1.6403,1.8927,2.1451,2.3975,2.6498,2.9022,3.1546,3.407,3.6593,3.9117,4.1641,4.4165,4.6689,4.9212,5.1736,5.426,5.6784,5.9308,6.1831,6.43551,5.5418,4.6481,3.75441,,,,,,
"Saudi Arabia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.73373,5.3784,4.023,2.6676,1.31228,7.4389,13.5655,19.6921,25.81873,,
Senegal,,29.16393,34.66941,31.4335,28.1977,24.9618,21.7259,18.49,15.25416,18.94167,17.8288,16.59311,15.08695,17.97261,17.87422,19.51466,17.3916,15.26844,18.78187,15.03256,17.8382,20.64385,18.7652,16.88653,20.5899,24.29332,19.10717,16.35945,23.2773,30.1951,37.11298,40.83837,28.53712,27.78857,36.25171,46.51106,44.0463,41.58158,42.40267,40.42868,40.80487,38.63309,42.59205,34.47678,41.82483,37.63079,37.94226,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3376,1.63833,1.89081,1.43733,1.93312,1.60196,0.78248,1.69967,1.64293,1.88778,1.46995,
Seychelles,9.56519,10.1198,10.6744,11.22906,10.94655,18.722,17.4495,16.177,14.9045,13.63203,5.35823,4.6641,6.34253,4.60933,2.51188,5.1241,7.11579,7.28476,6.21099,7.3662,8.5215,9.67673,7.40738,8.16271,7.3996,6.6365,5.87337,8.51005,6.2029,3.89573,10.12638,2.79265,2.08208,15.12106,13.6894,12.2578,10.8261,9.3945,7.96284,6.9932,6.02354,5.4555,4.8875,4.3195,3.7515,3.18344,,
"Sierra Leone",,,,,,,,51.70695,51.7224,51.7379,51.7533,51.7688,51.7843,51.7997,51.8152,51.8307,51.8461,51.8616,51.8771,51.8925,51.908,51.9235,51.9389,51.9544,51.9699,51.9853,52.0008,52.0163,52.0317,52.0472,52.0627,52.0781,52.0936,52.1091,52.1245,52.14,52.1555,52.1709,52.1864,52.2019,52.2173,52.2328,52.24828,51.1342,50.0201,48.90594,52.97114,
Singapore,,6.63139,5.57812,6.23363,4.75062,5.04488,3.80714,8.89384,12.86878,7.05811,9.9391,12.88124,5.63767,5.77006,5.5922,5.4143,5.2364,5.0586,4.8807,4.7028,4.5249,4.3471,4.1692,3.9913,3.8134,3.6355,3.4577,3.2798,3.1019,2.924,2.7462,2.5683,2.3904,2.2125,2.0347,1.8568,1.6789,1.501,1.32316,,,,,,,,,
