Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.98342,5.40111,6.58912,11.10937,15.75779,,,,,,,,,,,,
Bhutan,,,,,,,86.84128,88.92927,75.19192,72.1092,69.0265,65.9439,62.8612,59.7785,56.6958,53.6131,50.5304,47.4477,44.365,41.2823,38.1996,35.117,32.0343,28.95157,27.9426,26.9336,25.9246,24.91567,23.50568,18.49261,18.60948,17.6696,16.7298,15.78989,14.01496,15.67961,12.56725,14.69216,10.47665,13.50269,8.96636,5.09876,21.14169,18.6756,16.2095,13.7433,11.27721,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.08151,9.74988,3.26918,5.28106,3.52417,4.05902,5.31773,
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25642,19.43609,16.6926,17.22785,13.48278,2.96266,4.40475,1.64261,
Botswana,50.34548,39.6075,28.8695,18.13145,14.19248,18.35458,16.52113,25.11511,21.39975,13.26836,26.83192,19.09137,17.024,14.95659,12.45419,11.82229,14.3456,16.869,19.3923,21.91563,22.4801,23.04457,16.87136,16.34205,18.6079,14.30408,15.4229,16.5417,17.66044,17.96699,15.52922,16.39859,15.98329,14.94975,16.221,13.19989,11.1426,9.0852,7.02788,6.7679,6.5079,6.2479,5.98795,,,,,
Brazil,,57.90892,59.7939,60.5341,60.74854,60.26708,49.13891,49.2065,54.18895,54.04457,58.38967,49.8091,46.7174,43.62563,52.87113,49.3563,45.8415,42.3268,38.812,35.2972,31.7824,28.26759,29.08459,25.99417,25.1189,24.2436,23.3683,22.4931,21.6178,20.7425,19.86723,15.38028,16.28975,19.37534,,,,,,,,,,,,,,
Brunei,,,,,,27.24027,26.449,25.6578,24.8665,24.0753,23.284,22.4928,21.7015,20.91025,19.5706,18.2309,16.8913,15.5516,14.212,12.8723,11.5327,10.193,8.8533,7.51368,12.253,10.7546,9.2562,7.7579,6.25949,5.5841,4.9087,4.2334,3.558,2.88261,2.95139,3.45871,4.17003,3.75183,3.33395,3.8629,3.41948,3.63081,4.2682,4.9056,5.5429,6.1803,6.81768,
Bulgaria,,4.90935,4.65068,4.22571,4.51982,4.17168,4.39954,3.19866,5.45927,3.44352,2.72132,3.2898,2.89688,3.40286,3.00978,4.79526,3.73882,4.67282,3.62629,17.37423,5.0965,7.77787,8.76113,11.67827,8.4973,5.6595,10.55677,11.08035,9.65463,7.06382,5.27672,7.2839,6.12932,6.3338,7.74811,5.15987,5.87581,6.30892,6.22256,2.63402,3.36246,3.06135,4.0033,2.15607,3.88261,6.51146,,
"Burkina Faso",,50.12345,53.22556,47.58227,39.89574,41.77744,38.51875,40.84459,37.66424,35.648,33.51393,26.21312,30.4102,29.76234,27.75047,27.0988,26.44703,32.77283,32.58409,36.25553,29.22159,27.7953,26.369,24.9427,23.5164,27.913,32.3097,36.7063,41.1029,38.95661,38.66418,41.66884,33.44351,30.77706,31.06635,35.5634,27.98144,30.99669,28.86196,36.37404,33.7043,31.03449,30.92551,30.50298,33.75976,31.18867,34.36371,
"Burma (Myanmar)",,73.20471,70.4484,67.69201,66.8435,65.995,65.1466,64.2981,63.4496,62.6011,61.7526,60.9041,60.0556,59.2072,58.3587,57.5102,56.6617,55.8132,54.9647,54.1163,53.2678,52.4193,51.5708,50.7223,49.8738,49.0253,48.1769,47.3284,46.4799,45.6314,44.78292,40.78645,34.5966,31.03572,29.763,28.49029,29.1114,29.7326,30.3537,25.20767,25.1272,25.0468,24.9663,24.8859,24.8054,24.725,24.64454,
