Country,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,,0.384960915,0.340315934,0.334747486,0.3403,0.345910779
Albania,0.34,0.4142,0.488329931,0.552432626,0.323642621,0.318,0.312323937
"Antigua and Barbuda",,,,,0.742228781,0.7266,0.711009789
Argentina,0.39,0.3679,0.345792463,0.36024222,0.445075757,0.4606,0.476170354
Australia,0.88,0.8666,0.853194551,0.873742671,0.829583725,0.8289,0.828239203
Austria,0.8,0.8047,0.809487203,0.830133396,0.837529721,0.836,0.83439004
Bahamas,,,,,0.638636287,0.6466,0.654617931
Bangladesh,0.41,0.4299,0.449778227,0.472378885,0.490420258,0.4971,0.503773295
Barbados,,,,,0.754051222,0.7514,0.748818549
Belarus,0.26,0.2718,0.283580234,0.318328244,0.324251922,0.3064,0.288496289
Belgium,0.72,0.7347,0.7494199,0.799627408,0.797589792,0.792,0.786495562
Belize,,,,0.454764052,0.457635119,0.4712,0.484677216
Bolivia,0.25,0.2448,0.239696917,0.269160816,0.255508876,0.2498,0.244011585
"Bosnia and Herzegovina",0.51,0.5108,0.511525055,0.581365374,0.570882269,0.4917,0.412434409
Botswana,0.79,0.7632,0.736414229,0.750959621,0.626824674,0.6148,0.602866372
Brazil,0.62,0.62,0.619901114,0.600469403,0.613929055,0.6369,0.65991983
Bulgaria,0.41,0.4104,0.410848781,0.412714203,0.360007802,0.3562,0.352292324
"Burkina Faso",0.41,0.4117,0.413372412,0.360574097,0.388653915,0.4539,0.519096252
Cambodia,0.26,0.2613,0.262628346,0.252649838,0.251091815,0.2502,0.249259671
Cameroon,0.27,0.2848,0.299587229,0.346828033,0.312150043,0.2975,0.282850485
Canada,0.78,0.7848,0.789604897,0.833927687,0.857924791,0.8556,0.853207133
Chile,0.66,0.6534,0.646819724,0.634232907,0.613882583,0.5936,0.573343402
China,0.45,0.4267,0.40338822,0.455890438,0.379975176,0.3876,0.395189265
Colombia,0.49,0.5038,0.517579442,0.539897558,0.474774056,0.4789,0.482968474
"Costa Rica",,,,0.696384343,0.715715082,0.7312,0.746756806
"Ivory Coast",0.35,0.3614,0.37289393,0.432799846,0.402190976,0.4017,0.401229412
Croatia,0.49,0.4697,0.449498797,0.481784806,0.502769594,0.5084,0.513956091
"Czech Republic",0.68,0.6664,0.652864916,0.680951444,0.705483497,0.7188,0.732041286
Denmark,0.92,0.9183,0.91667255,0.957299822,0.944079005,0.9454,0.946694578
Dominica,,,,,0.626949274,0.6407,0.654527781
"Dominican Republic",0.43,0.3956,0.36123272,0.382485326,0.384191914,0.3853,0.386455368
Ecuador,0.28,0.2731,0.266149511,0.330468068,0.324093199,0.3452,0.366319162
Egypt,0.64,0.538,0.435933384,0.496544811,0.468837794,0.4514,0.433981441
"El Salvador",0.43,0.4234,0.416828405,0.448198296,0.474408975,0.4653,0.456180967
Estonia,0.81,0.8112,0.812411672,0.807667699,0.80916612,0.8179,0.826540974
Ethiopia,0.34,0.3453,0.350588428,0.348691984,0.345259178,0.3293,0.313355454
Finland,0.87,0.8507,0.831497043,0.860849447,0.881156369,0.8887,0.896228495
France,0.75,0.7214,0.692834063,0.709670771,0.695199561,0.6958,0.696415489
Georgia,0.38,0.4023,0.424508451,0.562316199,0.541325843,0.5144,0.487409233
Germany,0.82,0.8277,0.835382143,0.875773418,0.866205845,0.8635,0.860696148
Ghana,0.7,0.6773,0.65452995,0.697135714,0.687198952,0.704,0.720827975
Greece,0.58,0.5699,0.559773981,0.624350055,0.599956486,0.6255,0.651009403
Grenada,,,,,0.771998588,0.7491,0.726206693
Guatemala,0.43,0.4356,0.441236822,0.421767006,0.479193364,0.4804,0.481574699
Guyana,,,,,0.609912248,0.6125,0.61513545
Honduras,,,,0.308701972,0.316546219,0.3347,0.352819418
"Hong Kong",0.82,0.8174,0.81484043,0.781889844,0.72435388,0.743,0.761563521
Hungary,0.64,0.6257,0.611432584,0.431924178,0.430593004,0.4321,0.433695405
India,0.67,0.6706,0.671110314,0.702867439,0.681966149,0.6777,0.673348586
Indonesia,0.54,0.5628,0.585630279,0.647054741,0.633372748,0.6466,0.659912356
Iran,0.48,0.4775,0.474944877,0.482804944,0.5228667,0.5032,0.483517768
Italy,0.67,0.6683,0.66651689,0.695006757,0.688626734,0.6913,0.693900681
Jamaica,0.65,0.6559,0.661806531,0.712841376,0.741269569,0.7072,0.673215584
Japan,0.84,0.8261,0.812261327,0.840272563,0.774741257,0.7611,0.747374428
Jordan,0.61,0.5455,0.480923626,0.48692269,0.621420574,0.613,0.604606574
Kazakhstan,0.31,0.2865,0.262987207,0.322442193,0.433892721,0.4354,0.436977143
Kenya,0.39,0.4526,0.515270156,0.563772916,0.511779594,0.5194,0.527050899
Kyrgyzstan,0.3,0.3388,0.377503823,0.407022251,0.327495723,0.3085,0.2895695
Lebanon,0.47,0.4652,0.460453581,0.495641183,0.491518964,0.4752,0.458898688
Liberia,0.49,0.4888,0.487691677,0.492243583,0.512098894,0.5145,0.516920086
"Macedonia (F.Y.R.O.M.)",,,0.390644465,0.353657363,0.324951203,0.3418,0.358596546
Madagascar,0.41,0.3823,0.354565528,0.376157064,0.381600846,0.3856,0.389510302
Malawi,0.51,0.5325,0.55505804,0.625514545,0.600367345,0.6077,0.615079427
Malaysia,0.59,0.5859,0.581752115,0.566597542,0.544283071,0.5386,0.533014346
Mexico,0.49,0.4973,0.504677707,0.470382217,0.444447289,0.4541,0.463791651
Moldova,0.34,0.3313,0.322682357,0.33237533,0.33115301,0.343,0.354917096
Mongolia,0.42,0.4307,0.441349703,0.485100339,0.475118623,0.5005,0.525782182
Morocco,0.53,0.5424,0.554863061,0.573612844,0.587014741,0.5592,0.531447933
"Burma (Myanmar)",,,0.375041023,0.458298749,0.496865303,0.4814,0.465979851
Nepal,0.55,0.5583,0.566551744,0.633288049,0.625225868,0.6232,0.621201538
Netherlands,0.84,0.8455,0.851074939,0.908194588,0.913748839,0.9106,0.907431619
"New Zealand",0.91,0.9053,0.900590771,0.895803631,0.897986639,0.8807,0.863413174
Nicaragua,0.24,0.2436,0.247243619,0.294294762,0.29713894,0.3062,0.315335252
Nigeria,0.49,0.4923,0.494646298,0.524185608,0.565182817,0.5781,0.59095718
Norway,0.91,0.909,0.907955729,0.905294734,0.907964015,0.9266,0.945303127
Pakistan,0.52,0.5227,0.52533024,0.534296576,0.5537439,0.5513,0.548808412
Panama,0.31,0.3147,0.319315755,0.428694115,0.474047848,0.4681,0.462229276
Peru,0.49,0.4688,0.447628178,0.463301317,0.492399902,0.5071,0.521830361
Philippines,0.54,0.57,0.60009624,0.676049417,0.586803525,0.5838,0.580849214
Poland,0.72,0.7277,0.735404613,0.786142241,0.62280214,0.5908,0.558833192
Portugal,0.65,0.6526,0.655258999,0.758833203,0.754364294,0.7615,0.76854416
"South Korea",0.55,0.663,0.775919274,0.840332183,0.623373806,0.608,0.592606211
Romania,0.51,0.5333,0.556638573,0.629613822,0.663381823,0.6572,0.651052022
Russia,0.27,0.2847,0.299391303,0.320953549,0.371528002,0.3717,0.371875621
Senegal,0.44,0.4727,0.505319746,0.571299335,0.571107505,0.5147,0.458383616
Serbia,0.31,0.3181,0.326150382,0.362183027,0.32281327,0.3355,0.348198413
"Sierra Leone",0.44,0.4299,0.419748806,0.377352457,0.407862381,0.4162,0.42448169
Singapore,0.7,0.6963,0.692540655,0.82252273,0.794979151,0.7705,0.746101146
Slovenia,0.54,0.5422,0.54446963,0.552458412,0.532228467,0.5441,0.555895051
"South Africa",0.63,0.6161,0.602257437,0.631049812,0.656719401,0.6575,0.658295692
Spain,0.74,0.6671,0.594213809,0.621389907,0.628188532,0.6232,0.618277626
"Sri Lanka",0.59,0.5607,0.53143767,0.439968446,0.497400939,0.5487,0.599995904
"Saint Kitts and Nevis",,,,,0.781780764,0.793,0.804232374
"Saint Lucia",,,,,0.688473522,0.7092,0.729986011
"Saint Vincent and Grenadines",,,,,0.548890094,0.5424,0.535947374
Suriname,,,,,0.568356636,0.5679,0.567470376
Sweden,0.88,0.8615,0.842956595,0.868728975,0.833711475,0.8339,0.834127518
Tanzania,0.5,0.5038,0.507650595,0.542053141,0.556291873,0.5355,0.51465421
Thailand,0.49,0.5083,0.526629779,0.590812721,0.579940389,0.5619,0.543921243
"Trinidad and Tobago",,,,,0.768731213,0.7745,0.780321724
Tunisia,0.55,0.5489,0.547721754,0.590391813,0.616768291,0.5635,0.510139593
Turkey,0.46,0.4492,0.438317359,0.397795752,0.291977433,0.2846,0.277163394
Uganda,0.48,0.4302,0.380335448,0.372403056,0.416461593,0.4231,0.429649346
Ukraine,0.23,0.2384,0.246789805,0.221256569,0.239564513,0.2691,0.298678621
"United Arab Emirates",0.61,0.6178,0.625597335,0.651637313,0.670433186,0.6215,0.572617649
"United Kingdom",0.76,0.775,0.790065419,0.829588379,0.85043221,0.8468,0.843196148
"United States",0.76,0.7468,0.733506416,0.799654182,0.832816379,0.8161,0.79937945
Uruguay,0.68,0.6862,0.692493087,0.722635755,0.721310553,0.7049,0.688580005
Uzbekistan,0.19,0.2089,0.227826571,0.212341004,0.207007783,0.2048,0.202512124
Venezuela,0.23,0.1934,0.156866203,0.177863543,0.143796901,0.1426,0.141480867
Vietnam,0.28,0.2697,0.259334697,0.278114384,0.355214972,0.3649,0.374653161
Zambia,0.35,0.3642,0.378461203,0.400396576,0.423271254,0.3988,0.374399651
Zimbabwe,0.29,0.2733,0.256672335,0.258691735,0.311204981,0.3199,0.32855604
