Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Barbados,23.51,23.33,25,26.04,25.41,26.25,26.7,27.75,31.63,34.55,38.97,41.71,46.22,51.18,51.38,54.7,58.63,67.21,68.64,72.07,75.42,78.42,72.35,73.7,70.93,75.62,82.5,85.02,98.08,97.38,95.26,83.26,80.29,84.61,89.62,96.05,89.14,88.37,92.23,85.3,87.55,83.17,90.48,97.23,103.34,99.42,104.75,101.83,102.95,101.9,102.61,107.01,106.94,104.23
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.16,114.58,109.06,97.67,92.9,94.73,98.08,91.97,84.94,90.02,88.07,85.53,91.1,101.16,107.75,110.07,114.16,123.09,126.21,127.08,132.9,136.25,132.88
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.97,108.33,108.71,104.96,103.74,98.75,97.51,98.08,93.13,95.64,100.45,104.16,102.98,105.87,108.4
Belize,13.65,14.07,15.05,15.24,16.64,17.21,18.12,18.63,15.54,16.76,20.92,21.28,26.52,24.76,23.69,28.6,28.45,28.3,30.8,32.78,34.06,33.89,43.93,45.54,45.85,49.06,50.76,52.12,33.11,52.09,52.71,58.48,56.97,55.82,56.24,58.63,60.44,58.72,63.31,64.46,76.24,99.16,101.04,105.32,97.94,96.75,94.08,91.74,94.64,97.6,97.64,102.96,113.87,105.91
Benin,28.78,30.18,33.49,35.71,36.79,38.72,40.81,41.66,43.85,44.57,44.91,47.01,47.73,51.17,55.03,56.97,56.96,59.65,61.67,65.81,67.41,71.73,79.53,84.65,90.56,79.17,77.06,72.67,69.05,70.49,68.92,70.88,72.87,78.15,76.5,79.1,80.13,84.36,82.57,82.64,85.42,88.89,86.89,95.93,99.01,105.06,100.71,101.02,110.92,116.3,124.02,126.69,129.08,116.03
Bermuda,171.16,181.62,195.12,208.38,193.21,214.86,221.33,201.31,175.34,169.2,170.91,136.41,109.56,91.89,95.25,93.28,88.89,89.8,95.9,107.58,108.94,110.82,114.15,109.25,107.96,102.72,111.28,111.96,116.25,130.35,122.54,116.97,111.11,103.12,95.11,92.39,91.65,96.88,97.63,99.78,102.04,105.79,104.27,98.67,100.44,100.88,103.32,111.01,108.8,110.35,112.21,114.81,114.26,114.31
Bhutan,42.53,45.5,48.24,49.56,50.84,51.6,53.07,54.08,55.75,57.19,58.51,59.89,61.01,62.84,64.66,66.69,68.19,69.97,71.05,73.67,75.49,77.98,80.97,83.88,86.78,84.87,87.5,88.29,91.8,97.95,98.16,87.96,87.03,90.68,97.61,101.33,102.11,103.41,109.32,98.71,99.24,96.03,100.11,100.67,99.66,99.67,100.95,102.31,95.71,95.76,95.83,96.48,96.5,98.02
Bolivia,19.91,20.48,20.82,20.76,21.43,22.58,23.02,23.31,24.25,28,28.72,31.98,32.93,33.73,36.06,37.52,39.27,39.95,42.23,48.97,47.54,47.79,49.25,46.87,49.69,47.91,50.11,54.19,56.71,64.74,61.4,58.68,60.5,65.48,69.18,71.29,73.56,77.3,79.17,80.08,80.77,86.46,88.54,91.89,97.67,110.43,125.52,129.42,117.54,127,128.05,132.14,134.18,133.91
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.56,88.81,76.1,66.83,45.75,61.01,77.2,71.29,74.24,69.82,70.34,75.03,90.26,100.94,108.8,118.55,129.43,132.99,129.51,129.59,131.21,119.22,126.69
Botswana,54.58,61.03,67.43,75.26,74.49,76.02,76.23,75.95,75.26,86.45,86.45,88.18,86.25,82.62,82.14,88.84,86.77,70.8,96.22,69.35,89.72,97.25,90.51,102.11,97.5,95.46,84.29,84.4,88.97,98.08,106.02,106.31,102.86,92.54,113.84,101.07,95.97,94.22,80.23,88.65,96.6,88.08,90.12,98.93,101.87,99.2,104.29,113.48,119.83,131.04,150.59,136.57,137.12,113.4
Brazil,13.63,13.93,14.09,15.12,15.98,16.08,16.45,17.96,18.83,19.28,19.18,20.89,21.87,21.85,23.43,25.38,25.64,26.99,28.68,31.92,32.92,33.32,34.37,34.99,36.08,37.72,40.41,42.81,44.18,44.91,48.97,51.59,53.44,56.49,62.2,66.49,67.01,68.41,74.14,77.58,80.39,85.71,89.58,96.3,100.9,102.8,107.69,111.51,111.42,116.59,118.85,121.42,127.53,124.58
"British Virgin Islands",142.47,140.18,119.35,82.35,83.73,98.09,72.35,80.58,64.56,62.42,66.12,66.91,68.04,72.37,72.48,76.02,77.1,75.69,75.8,77.33,77.86,80.06,80.06,83.75,85.89,87.59,87.23,89.79,89.45,90.77,93.99,96.86,99.58,99.52,93.93,99.58,99.58,99.58,99.58,99.58,99.58,99.58,99.72,99.82,100.04,100.14,109.08,99.72,99.72,99.72,99.72,99.72,99.72,99.72
Brunei,8.08,13.69,12.54,10.23,8.1,8.75,8.48,9.68,11.1,12.37,14.03,10.92,11.98,18.31,15.28,17.23,18.74,16.35,18.22,24.37,27.44,30.49,31.43,33.48,53.65,39.86,27.6,21.89,27.59,19.98,23.62,37.69,36.99,39.95,39.81,31.45,46.4,57.08,73.31,83.37,98.76,111.24,107.46,100.59,69.05,130.36,137.81,142.32,142.38,149.85,161.98,167.21,183.03,170.7
Bulgaria,108.31,110.76,109.49,119.82,134.86,144.3,152.18,158.73,151.45,150.06,158.04,164.78,167.09,168.67,180.7,193.25,194.71,202.1,216.84,218.32,222.59,229.96,237.69,243.13,240.78,247.84,246.27,247.57,247.94,238.07,201.78,196.95,167.69,143.62,142.57,148.27,137.78,146.72,155.6,152.82,138.89,106.92,92.44,98.84,99.13,102.04,94.26,94.86,94.68,93,91.5,90.92,90.56,89.42
"Burkina Faso",20.65,21.49,21.98,23.31,26.74,24.99,25.49,25.88,26.82,27.49,29.1,26.03,20.92,19.8,22.42,21.35,21.72,23.97,26.09,25.53,25.67,26.95,29.78,30.46,33.92,35.22,36.47,37.2,39.59,54.82,57.14,57.91,60.13,64.93,65.38,67.21,68.95,70.36,72.01,75.8,81.16,81.25,94.19,97.64,100.91,101.45,101.91,102.91,104.83,106.4,109.05,109.42,84.55,99.97
Burundi,59.81,61.26,61.74,64.23,69.39,71.98,76.69,80.03,90.02,90.9,93.61,100.71,104.86,106.73,114.43,129.81,119.69,120.42,119.16,114.66,99.77,102.03,106.49,108.57,103.47,119,120.34,129.25,129.11,110.84,116.29,112.11,111.8,104.92,87.71,82.71,77.04,81.96,98.99,89.88,87.01,85.27,85.45,79.99,101.58,118.43,113.11,109.66,115.83,117.29,128.76,140.16,125.16,141.62
"Cape Verde",10.11,10.14,11.23,12.01,12.96,13.88,14.08,14.97,15.37,15.86,16.15,15.96,16.19,14.13,14.32,14.28,15.85,17.22,17.76,19.13,22.12,30.19,23.17,22.76,30.67,34.95,39.79,48.38,48.36,50.81,53.92,81.52,83.33,66.68,91.7,63.37,75.74,88.03,89.76,83.68,87.91,88.7,89.01,93.74,99.89,106.37,114.33,121.51,127.44,121.59,73.14,74.64,76.77,76.23
Cambodia,18.71,20.78,21.2,20.29,22.23,23.95,28.98,32.26,37.05,37.08,36.85,36.55,36.21,32.96,26.65,22.23,19.31,17.3,14.93,15.21,18.31,28.07,30.99,35.77,40.68,42.22,45.12,50.39,55.59,53.69,56.1,65.76,68.71,67.67,69.79,72.78,77.73,79.17,82.78,91.16,91.84,89.43,92.91,95.4,100.65,103.95,99.12,92.94,90.96,95.42,95.9,90,89.61,92.31
Cameroon,25.19,25.18,25.91,24.97,26.2,27.97,29.34,30.78,31.05,34.32,36.32,37.45,37.09,37.38,38.12,40.71,42.46,44.03,45.47,46.19,45.09,46.82,47.79,54.22,55.98,58.93,62.99,68.17,70.54,73.84,74.01,74.62,77.41,74.61,77.45,80.21,78.28,81.14,88.75,86.43,89.52,89.12,88.18,96.72,99.21,104.07,104.63,111.35,111.22,114.88,120.47,121.1,123.63,98.88
Canada,47.47,47.32,47.82,49.77,53.06,52.67,52.8,54.11,53.41,55.25,55.07,55.65,54.41,54.8,56.14,59.11,59.84,58.94,57.37,60.3,60.66,62.7,62.17,63.65,64.84,63.78,63.47,66.78,67.03,68.1,67.02,70.69,69.62,71.35,74.81,79.7,81.94,86.13,88.11,89.06,94.09,98.31,91.85,97.82,101.71,100.47,102.54,101.33,97.2,97.31,95.48,88.62,85.59,89.81
"Cayman Islands",,,,,,216.37,216.37,216.37,219.14,219.14,221.91,221.91,221.91,224.69,224.69,227.46,227.46,227.46,230.24,233.01,235.78,235.78,235.78,166.44,166.44,177.53,166.44,247.88,310.47,190.12,89.4,97.8,89.4,104.28,103.3,102.49,101.85,101.35,100.98,100.71,100.52,100.39,100.31,97.8,100.98,101.22,102.11,101.61,101.11,100.61,100.11,99.61,99.11,98.61
"Central African Republic",14.34,14.76,15.24,15.51,16.29,16.48,18.39,17.41,19.08,20.24,21.26,21.46,22.23,23.11,25.01,24.61,26.19,28.5,27.68,30.56,32.6,35,38.51,39.19,42.28,44.14,50.96,54.09,55.36,56.3,58.99,62.64,64.52,65.3,68.18,80.57,73.2,74.5,75.52,91.4,83.8,87.77,85.2,91.46,102.79,105.75,111.48,112.64,115.04,120.94,125.69,127.72,128.36,105.42
Chad,52.43,54.41,54.3,54.88,55.06,58.13,57.03,57.77,55.74,56.76,56.65,58.58,50.42,45.39,50.9,54.36,56.35,61.5,65.43,67.22,68.64,70.17,67.73,53.36,55.12,65.94,68.79,71.01,72.64,74.33,77.21,79.31,75.53,75.8,79.8,81.35,91.12,91.22,91.44,90.2,91.95,94.2,96.27,98.24,99.73,102.03,105.97,107.76,110.31,113.07,113.27,114.44,115.15,113.15
Chile,25.41,26.8,28.3,26.39,28.83,30.83,31.27,34.9,35.86,37.52,32.42,27.18,26.88,37.24,39.85,37.97,36.22,36.08,37.88,40.71,45.3,44.37,42.57,40.81,40.65,42.53,44.21,47.05,51.08,55.62,56.27,58.06,63.87,69.29,73.74,76.01,79.83,82.64,81.02,83.5,89.33,87.18,88.3,94.73,97.8,107.48,109.29,113.28,108.65,108.32,112.74,117.44,111.68,109.92
China,4.35,4.9,6.65,8.06,8.98,9.63,10.05,10.01,9.94,9.96,11.18,12.2,12.41,12.5,12.95,12.94,13.12,14.2,16.63,18.6,19.36,20.66,21.54,24.88,27.33,28.9,31.56,35.27,37.15,40.1,44.23,48.06,53.02,59.34,65.03,68.53,70.9,76.38,79.34,84.07,85.32,88.09,92.96,95.83,100.34,103.83,107.68,111.92,115.77,119.1,119.83,124.77,126.54,124.43
Colombia,28.2,29.99,30.86,31.72,32.79,31.44,31.66,32.4,33.69,35.95,38.84,37.77,36.81,38.39,41.48,45.79,45.81,45.19,47.85,47.71,50.75,50.94,47.95,50.57,51.35,53.11,54.05,59.38,63.8,68.69,70.97,67.01,69.12,72.96,79.39,79.54,81.24,84.79,82.24,86.09,87.97,89.13,89.42,95.03,98.41,106.56,108.64,116.31,106.27,106.12,110.3,117.77,121.61,118.63
Comoros,52.94,56.78,60.64,64.44,68.21,72.13,71.95,75.13,76.45,76.56,79.84,87.99,94.21,97.73,100.83,105.06,108.08,111.78,96.59,95.44,94.31,94.19,93.48,93.97,92.2,88.03,91.14,94.35,96.09,92.5,94.23,95.87,98.22,100.16,98.6,98.52,93.9,99.08,102.87,98.98,97.48,97.98,97.22,98.68,99.47,101.86,103.73,107.13,111.79,115.12,111.93,112.92,112.99,112.39
"Congo (Kinshasa)",81.16,81.5,81.68,83.15,78.56,78.69,79.24,79.41,79.83,81.42,76.34,76.23,81.49,82.02,82.23,82.83,82.95,81.19,82.49,82.53,83.49,84.45,85.94,87.71,89.65,92.36,95.34,97.05,100,99.45,96.24,100.27,101.28,102.59,100.58,101.96,104.27,104.92,102.95,101.42,99.78,97.92,99.13,99.52,100.16,100.31,100.35,100.83,102.84,115.83,119.56,120.55,121.14,59.6
"Congo (Brazzaville)",26.54,27.22,28.34,28.61,28.5,28.57,28.18,29.18,30.3,31.27,32.96,33.34,33.42,33.79,34.74,36.99,37.14,40.86,42.7,42.31,43.61,44.9,45.99,46.28,47.62,49.32,50.08,50.4,50.12,51.5,52.35,53.66,55.07,56.06,57.14,58.13,60.07,65.47,67.94,67.25,67.25,74.81,75.62,88.37,101.23,110.41,119.17,128.03,133.16,157.33,162.72,163.61,164.1,46.36
"Costa Rica",20.09,19.36,22.33,23.77,23.35,21.46,23.05,26.38,27.81,29.76,31.93,33.03,33.24,35.55,43.56,49.96,51.76,49.13,53.15,51.81,53.33,47.82,50.05,53.25,62.19,61.93,64.87,64.47,66.25,70.89,75.75,72.77,72.92,80.76,86.36,86.11,83.52,85.09,91.3,91.29,91.55,91.38,93.62,94.11,102.38,103.51,110.47,114.07,118.32,120.54,121.4,122.23,123.18,125.51
