Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.5,0.2,0.4,0.6,0.8,0.7,0.6,1.2,1.4,1.1,0.9,1.2,1.1,0.6,0.4,0.7,0.3,0.4,0.4,0.1,0.3,0.6,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8667,0.8333,0.8,0.8,0.8,0.6,0.7,0.9,1,0.7,0.7,0.6,0.9,0.9,1,1.2,1.3,1,1.2,1.1,1,1.2,1.1,1.2,1.1,1.2,1.3,1.1,1.2,1.3,1.3,1.2,1.2,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,
Australia,,,,,,1.8,2,2.3,2.2,2.5,2.2,2.2,2.5,2.8,2.6,2.7,3,2.6,2.7,3.3,3.3,2.8,3,3.2,3.3,3.5,3.5,4.1,4.1,4.1,4.2,4.3,4.5,4.2,4.6,4.5,4.4,5.3,4.9,4.9,5,4.8,4.7,5.2,5.2,5,4.7,4.6,4.8,4.7,4.4,4.8,4.9,5,5.2,4.9,4.6,4.9,5.4,5,5.2,5.4,,
Austria,,,,,,,,,,,,,,,,,,,,1.4,1.6,1.6,1.7,2,1.6,1.7,1.7,1.7,1.7,2,2.4,1.9,1.8,2.2,2.2,1.9,2.4,3.1,2.4,2.4,2.4,2.9,2.9,2,2.7,2.4,2.2,2.8,2.4,2.5,2.2,2.2,2.4,2.8,2.4,2.8,2.6,2.4,2.6,2.5,2.5,2.4,2.5,2.6
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.8,0.5,0.1,0.1667,0.2333,0.3,,,,,,
Barbados,1.2,1.1759,1.1517,1.1276,1.1034,1.0793,1.0552,1.031,1.0069,0.9828,0.9586,0.9345,0.9103,0.8862,0.8621,0.8379,0.8138,0.7897,0.7655,0.7414,0.7172,0.6931,0.669,0.6448,0.6207,0.5966,0.5724,0.5483,0.5241,0.5,1.25,2,1.3,0.6,0.8,0.7,0.6,0.65,0.7,1.3,0.4,0.4167,0.4333,0.45,0.4667,0.4833,0.5,0.5167,0.5333,0.55,0.5667,0.5833,0.6,0.7333,0.8667,1,0.8,0.6,0.8,1,1.1,1.2,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,1.5,1.525,1.55,1.575,1.6,1.6,1.9,1.8,1.7,,
Belgium,,,,,,0.4,0.4,0.6,0.5,0.6,0.6,0.3,0.4,0.4,0.6,0.6,0.5,0.6,0.5,0.9,1,0.9,0.9,1,1.1,0.9,0.7,0.7,1,1.1,0.9,0.9,1.1,0.9,1.1,1.1,1.1,1.3,1.2,1.3,1.4,1.2,1.5,1.2,1.5,1.1,1.5,1.5,1.3,1.7,1.6,1.5,1.4,1.8,1.5,1.8,1.6,1.8,1.8,1.7,1.7,1.8,1.5,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,2.8412,2.7824,2.7235,2.6647,2.6059,2.5471,2.4882,2.4294,2.3706,2.3118,2.2529,2.1941,2.1353,2.0765,2.0176,1.9588,1.9,1.9,1.9,1.9,1.9,1.9,1.55,1.2,1.125,1.05,0.975,0.9,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.7,0.8,0.8,0.8,0.8,0.8,0.9,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,
Bulgaria,,,,,,,,,,,,,,,,,0.3,0.8,0.5,0.9,0.8,0.6,0.8,0.7,0.6,0.8,0.8,0.9,0.9,0.8,0.5,0.7,0.7,1.3,0.9,0.9,0.9,1.1,1,1,0.7,0.8,0.8,1.1,1.3,1,1.1,0.9,0.9,1.3,1,1.2,1,1.3,1.1,1.6,1.4,1.4,1.4,1.5,1.6,1.3,1.3,
Canada,,,,,,0.6,0.7,0.8,0.8,0.6,0.8,0.9,0.7,0.9,1,0.9,0.8,1.1,1,1.1,1,0.9,1.1,1.1,1.3,1.3,1.2,1.2,1.5,1.3,1.3,1.6,1.6,1.7,1.6,1.9,1.7,1.5,1.6,1.9,1.9,2,1.9,1.8,2,2,1.9,2,2,2.1,2,2,2.1,1.9,2,1.9,2.2,1.9,2.1,2.2,2.2,2,,
Chile,,,,,,0.1,0.1,0.3,0.2,0.2,0.1,0.2,0.5,0.5,0.3,0.6,0.4,0.5,0.5077,0.5154,0.5231,0.5308,0.5385,0.5462,0.5538,0.5615,0.5692,0.5769,0.5846,0.5923,0.6,0.5,0.6,0.7,0.8,0.8,0.8,0.6,0.7,0.9,0.7,1,0.8,0.8,0.9,1.1,0.9,0.9,1,1.1,1.2,0.9,1.1,1.3,1,1.1,0.9,0.7,0.7,0.7,0.8,1.1,0.7,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.4,0.6,0.6,0.4,0.6,0.5,0.5,0.5,0.6,0.7,0.5,0.5,0.4,0.5,0.5,0.7,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.6,,
"Costa Rica",,,,,,,,,,,,,,,,,0.6,0.7,0.6615,0.6231,0.5846,0.5462,0.5077,0.4692,0.4308,0.3923,0.3538,0.3154,0.2769,0.2385,0.2,0.7,0.3,0.8,0.55,0.3,1,0.2,0.8,0.5,0.8,0.3,0.8,0.9,1.5,0.9,0.8,0.6,0.9,1,0.6,0.8,1.4,0.9,0.7,0.6,1.2,1.1,0.7,0.7,1.1,1,0.9,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.9,1.9,1.8,1.7,1.3,1.9,2,1.7,2.1,1.2,1.9,2.2,2.7,2.8,2.9,3.3,2.3,2.9,2.9,3,2.2,2.8,3.5,2.8,2.8,3.2,2.6,2.8
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.3,0.6,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.3,0.5,0.5,0.3,0.4,0.4,0.5,0.5,
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,2.7,2.9,2.7,2.7,2.9,3.7,2.8,3,2.7,2.9,2.6,2.5,2.8,2.4,2.7,2.5,2.7,2.6,2.3,2.5,2.4,2.2,2.7,2.4,2.2,2.4,2.4
Czechoslovakia,,,,,,0.2,0.3,0.4,0.3,0.3,0.4,0.5,0.6,0.9,0.8,1,0.9,1,1.1,1.2,1.2,1.2,1.4,1.5,1.4,1.4,1.8,1.8,1.7,2,2.2,2.6,2.1,2.3,2.3,2.2,2.4,2.4,2.6,2.6,2.4,2.6,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,0.8,1.3,1.2,1.4,0.7,1.2,1.1,1.6,1.4,1.2,1.2,1.5,1.6,2,2.1,2,2.1,2.2,1.7,2.4,1.8,2.4,2.1,1.8,2.3,2.4,2.3,2.5,2.8,3,1.9,3,2.7,3.2,3.1,3.4,2.8,2.9,2.7,2.8,2.8,2.8,2.8,2.6,3.2,2.5,3,2.4,2.8,2.6,2.7,3,2.8,3.3,2.9,2.9,3,3.3,
"Dominican Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.2,0.18,0.16,0.14,0.12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.15,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.6,0.3,0.3,0.7,0.5,0.6,0.7,0.7,0.5,0.3,0.6,0.4,0.7,0.5,0.4,0.3,0.5,0.4,0.4,0.5,0.3,0.5,0.3,0.2,0.6,0.5,0.4,0.4,0.6,0.3,0.5,0.5,0.4,
"El Salvador",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.2,0.1,0.1143,0.1286,0.1429,0.1571,0.1714,0.1857,0.2,0.18,0.16,0.14,0.12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
"England and Wales",,,,,,0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.8,0.8,0.9,0.9,0.9,0.9,1.1,1,1.1,1.2,1.2,1.2,1.3,1.2,1.4,1.4,1.3,1.4,1.4,1.5,1.6,1.7,1.6,1.8,1.7,1.9,1.8,1.7,1.8,1.9,2,1.8,1.9,2,2,1.9,2.2,2.2,2.2,2.2,2.2,2.3,2.1,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1.3,1.6,1.9,2.5,1.7,2,2.1,1.8,2.5,2.1,2.7,2.3,3.2,2.6,2.5,3,1.9,
Finland,,,,,,1,0.8,1,0.6,1.3,0.8,1.1,0.8,0.8,1.1,1.4,1.5,1.6,1.7,1.7,2.1,1.7,2.2,2,1.9,2,2,2.4,1.9,2.1,1.5,2.2,2.3,1.7,2.4,2.3,2.1,2.2,2.3,1.9,2.1,2.2,2.1,2.5,2.3,2.7,1.9,2,2.2,2,2,2.2,2.1,2.3,2,2.6,2.8,2.4,2.2,2.2,2.3,2.8,2.3,2.7
France,,,,,,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,1.1,0.6,0.6,0.5,0.5,0.4,0.5,0.6,0.6,0.8,0.8,1,1,1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.4,1.4,1.4,1.5,1.4,1.5,1.5,1.5,1.6,1.6,1.7,1.6,1.6,1.7,1.6,1.7,1.7,1.7,1.8,1.8,1.8,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,1.1,0.9,1,1.2,1.4,1.6,0.5,0.5,0.1,0.35,0.6,0.2,0.6,1.1,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.525,1.55,1.575,1.6,1.6,1.7,1.6,1.6,1.7,1.8,1.8,1.7,1.8,1.8,1.7,1.9,1.9,1.8,1.7,1.6,1.7,1.6,1.6,1.8,1.7,1.6,1.8,1.7,1.7,1.7,1.8,1.7,1.8,1.9,1.9,1.8,1.9
Greece,,,,,,,,,,,,,,,,,0.2,0.4,0.4,0.3,0.3,0.4,0.2,0.4,0.3,0.4,0.4,0.3,0.6,0.5,0.6,0.5,0.4,0.5,0.5,0.6,0.7,0.5,0.7,0.4,0.5,0.8,0.6,0.5,0.7,0.8,0.6,0.5,0.6,0.8,0.9,0.9,0.7,0.9,0.9,1,1.1,1,1,1.1,1.2,0.9,1.2,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.7,1,0.8,0.7,0.8,0.1,0.3,0.2,0.1,
"Hong Kong",,,,,,,,,,,,,,,,,0.5,0.3,0.3,0.1,0.2,0.2,0.2,0.1,0.3,0.2,0.2,0.2,0.2,0.1,0.4,0.1,0.4,0.2,0.3,0.1,0.4,0.4,0.2,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.3,0.5,0.3,0.5,0.1,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.2,0.4,0.3
Hungary,,,,,,,,,,,,,,,,,,,,,1.2,0.9,0.9,1.4,1.4,1.3,1.4,1.1,1.3,1.4,1.5,2.3,2.1,1.6,2,1.8,2,2.2,2.2,2.2,2.4,2.6,2.3,2.3,2.5,2.3,2.2,2.3,2.1,2.2,2.5,2.5,2.4,2.1,2.8,2.4,2.3,2.6,2.5,2.3,2.7,2.6,2.7,2.3
Iceland,,,,,,,,,,,,,,,,,,,,,,0.9,1,1.1,1.5,1.9,1.15,0.4,3.7,1,0.5,1.1,4,0.7,0.8,0.8,0.8,1.5,1.7,0.8,0.9,1.4,1.3,1.7,1.9,1.8,2.6,0.3,1.4,0.3,2.3,2.4,1.6,2.5,1.9,1.6,2.4,1.2,3.5,1.6,,,,
