Country,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Barbados,343.9,342.74,341.58,340.42,339.26,338.1,336.76,335.42,334.08,332.74,331.4,329.42,327.44,325.46,323.48,321.5,320.24,318.98,317.72,316.46,315.2,314.28,313.36,312.44,311.52,310.6,309.5,308.4,307.3,306.2,305.1,304.02,302.94,301.86,300.78,299.7,298.7,297.7,296.7,295.7,294.7,293.68,292.66,291.64,290.62,289.6,288.5,287.4,286.3,285.2,284.1,282.8,281.5
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5657,5673.2,5689.4,5705.6,5721.8,5738,5769,5800,5831,5862,5893,5926.2,5959.4,5992.6,6025.8,6059,6067.4,6075.8,6084.2,6092.6,6101,6099,6097
Belgium,1991,1979,1967,1955,1943,1931,1924,1917,1910,1903,1896,1892.2,1888.4,1884.6,1880.8,1877,1874.2,1871.4,1868.6,1865.8,1863,1861.2,1859.4,1857.6,1855.8,1854,1848.6,1843.2,1837.8,1832.4,1827,1820.6,1814.2,1807.8,1801.4,1795,1789.2,1783.4,1777.6,1771.8,1766,1754.6,1743.2,1731.8,1720.4,1709,1697.6,1686.2,1674.8,1663.4,1652,1636,1620
Belize,223124,217061.8,210999.6,204937.4,198875.2,192813,188417,184021,179625,175229,170833,168389,165945,163501,161057,158613,155576.8,152540.6,149504.4,146468.2,143432,139679.6,135927.2,132174.8,128422.4,124670,122103.4,119536.8,116970.2,114403.6,111837,109081.6,106326.2,103570.8,100815.4,98060,95023.2,91986.4,88949.6,85912.8,82876,80865.2,78854.4,76843.6,74832.8,72822,71165.2,69508.4,67851.6,66194.8,64538,62508.5,60479
Benin,10543,10365.6,10188.2,10010.8,9833.4,9656,9461.6,9267.2,9072.8,8878.4,8684,8485,8286,8087,7888,7689,7493.8,7298.6,7103.4,6908.2,6713,6531.4,6349.8,6168.2,5986.6,5805,5625.4,5445.8,5266.2,5086.6,4907,4755.4,4603.8,4452.2,4300.6,4149,4031,3913,3795,3677,3559,3453.4,3347.8,3242.2,3136.6,3031,2950,2869,2788,2707,2626,2526,2426
Bhutan,404772,395165.8,385559.6,375953.4,366347.2,356741,346154,335567,324980,314393,303806,293738.6,283671.2,273603.8,263536.4,253469,246513.6,239558.2,232602.8,225647.4,218692,212877.8,207063.6,201249.4,195435.2,189621,187674.8,185728.6,183782.4,181836.2,179890,175012,170134,165256,160378,155500,151472.2,147444.4,143416.6,139388.8,135361,131179.4,126997.8,122816.2,118634.6,114453,112538.6,110624.2,108709.8,106795.4,104881,102776,100671
Bolivia,149557,146740.2,143923.4,141106.6,138289.8,135473,132814.4,130155.8,127497.2,124838.6,122180,119677.6,117175.2,114672.8,112170.4,109668,107408.8,105149.6,102890.4,100631.2,98372,96454.8,94537.6,92620.4,90703.2,88786,87125.2,85464.4,83803.6,82142.8,80482,78970.8,77459.6,75948.4,74437.2,72926,71607.8,70289.6,68971.4,67653.2,66335,65227.8,64120.6,63013.4,61906.2,60799,59851.2,58903.4,57955.6,57007.8,56060,54790,53520
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8719,8959.8,9200.6,9441.4,9682.2,9923,9908,9893,9878,9863,9848,9831.6,9815.2,9798.8,9782.4,9766,9772,9778,9784,9790,9796,9819.5,9843
Botswana,22255,21681.8,21108.6,20535.4,19962.2,19389,18820.2,18251.4,17682.6,17113.8,16545,15993.4,15441.8,14890.2,14338.6,13787,13317.4,12847.8,12378.2,11908.6,11439,11092.6,10746.2,10399.8,10053.4,9707,9442.4,9177.8,8913.2,8648.6,8384,8194.4,8004.8,7815.2,7625.6,7436,7318.6,7201.2,7083.8,6966.4,6849,6747.6,6646.2,6544.8,6443.4,6342,6221.2,6100.4,5979.6,5858.8,5738,5574.5,5411
Brazil,112287,109293,106299,103305,100311,97317,95002.8,92688.6,90374.4,88060.2,85746,83796.8,81847.6,79898.4,77949.2,76000,74305.2,72610.4,70915.6,69220.8,67526,66162.4,64798.8,63435.2,62071.6,60708,59696.6,58685.2,57673.8,56662.4,55651,54821.4,53991.8,53162.2,52332.6,51503,50754.6,50006.2,49257.8,48509.4,47761,47179.4,46597.8,46016.2,45434.6,44853,44426.8,44000.6,43574.4,43148.2,42722,42162.5,41603
Brunei,94866,90977,87088,83199,79310,75421,72325.6,69230.2,66134.8,63039.4,59944,57736.6,55529.2,53321.8,51114.4,48907,47414.2,45921.4,44428.6,42935.8,41443,40357.8,39272.6,38187.4,37102.2,36017,35063.6,34110.2,33156.8,32203.4,31250,30487.4,29724.8,28962.2,28199.6,27437,26900,26363,25826,25289,24752,24341,23930,23519,23108,22697,22350,22003,21656,21309,20962,20523.5,20085
