Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Algeria,,,,,,,,,,,9,9,9,24,9,26,8,10,18,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,14,14,13.5,13,7,11
Armenia,,,,,,,,,,1,1,1,1,1,5,1,1,1,1,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,22,12,17,12,16,12,8,
Austria,,,,,,,,,,,,,,,4,8,5,3,7,7.5,8,2,5,5,6,7,2
Azerbaijan,,,,,,,,,,,,,2,1,2,3,3,2,2.3333,2.6667,3,3.3333,3.6667,4,4,5,7
Belarus,,,,,,,,,,17,27,12,18,20,15,16,11,12,13,19,9,11,4,14,9,1,8
Belgium,,,,,,,,,,,,,,,,,,,,3,6,1,4,2,,,
Belize,,,,,,,,,,,,,,,,,,,,8,6,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,2,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,189,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,5,9,5,6,7,6,7,
Canada,,,,31,24,36,27,27,34,33,19,27,24,25,24,21,25,32,31,20,21,23,28.5,34,22,,
Chile,,,,,,,,,,,,,,,,,,,,32,19.5,7,8,7,,,
Croatia,,,,,,,,,,,4,5,4,2,2,2,5,6,3,2,2.5,3,2.6667,2.3333,2,1,3
Cyprus,,,,,,,,,,,,,2,1.8333,1.6667,1.5,1.3333,1.1667,1,1,1.6667,2.3333,3,1,1,1,
"Czech Republic",,,,,16,18,24,23,15,9,7,9,9,10,9,13,4,11,8,8,9,,,,,,
Denmark,,5,4,2,6,5,2,9,6,5,5,4,,,,,,,,,,,,,,,
"Dominican Republic",,,,,,,,,,,,,,,,,,,67,,,,,,,,
Egypt,,,,,,,,,,,,,,,,,,,,,,11,8,9.5,11,,
"El Salvador",34,21,6,17,8,8,5,1,18,15,22,10,5,5,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,
Finland,,,,,,,,,5,3,1,2,2,3,4,5,4,5,,,,,,,,,
France,,,,,,,56,44,42,53,41,37.8,34.6,31.4,28.2,25,33,42,43,50,49,47.3333,45.6667,44,,,
Germany,143,146.25,149.5,152.75,156,134,120,107,112,123,102,101,120,83,89,77,69,55,71,55,58,48,48.5,49,68,59,
Greece,,,,,,,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,2,,
Guyana,,,,,,,,,,2,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Hungary,,,,,9,5,10,4,13,5,8,9,14,5,9,4,8,2,9,7,6,4,2,3,4,8,4
Ireland,,,,,,,,,,,6,3.5,1,1.1429,1.2857,1.4286,1.5714,1.7143,1.8571,2,1.5,1,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Italy,,,,,68,60,59,67,85,85,80,60,42,46,41,41,42,42,27,30,33,36,23,31,20,15,13
Kazakhstan,,,,,,,,,17,24,20,10,18,19,27,32,24,19,15,,,,,,,,
"South Korea",,,,,,,,,,,,,,,,,,48,43,40,35,34,35,36,38,32,38
Kyrgyzstan,,,,,,,,,,,,,,,,,2,2,1,1.2,1.4,1.6,1.8,2,2,2,1
Latvia,,,,,,,,,,,,,,,,,,,,,,4,3,3,2.5,2,3
Lithuania,,,,,,8,7,7,6,5,4,3,4,3,6,7,6,4,8,6,3,5,2,1,3,3,
Luxembourg,,,,,,,,,,,,,4,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,,,
Macau,,,,,,,,,,,2,2,2,2,1.5,1,1,1,1,2,1,2,3,5,1,5,3
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,8,11,14,
Malta,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,
Mauritius,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,
Mexico,,,,,,,,,,,,,98,86,106,95,81,72,92,99,81,124,117,98,97,105,91
Moldova,,,,,,,,,,,,,,,,,,,,2,5,3.6667,2.3333,1,1,2,4
"Burma (Myanmar)",,,,,,,,,,1,1,1,1,1.5,2,3,2,1,2,,,,,,,,
Netherlands,,,,,,,,,,2,2,2,2,3,4,2,6,3,3,2.3333,1.6667,1,,,,,
"New Zealand",,,,6,4,4,4,4,4,4,4,4,4,4,4,4,4.3333,4.6667,5,7,4,3.5,3,,,,
Nicaragua,,,,,,,,,,4,5,6,1,2,,,,,,,,,,,,,
Norway,,,,,,,,,2,4,3,1,3,2,2,1.8,1.6,1.4,1.2,1,1,11,3,4,,,
Panama,,,,,,,,,,3,3,2,4,3,2.5,2,9,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,3,7,8.3333,9.6667,11,
Poland,,32,36,39,34,43,38,41,37,33,42,40,32,34,39,25,26,32,25,19,25,16,22,17,12,17,
Portugal,,,,,,,,,,8,21,21,17,13,8,13,8,7,6.8333,6.6667,6.5,6.3333,6.1667,6,,,
"Puerto Rico",,,,,,,,,,,,,,,1,1.7273,2.4545,3.1818,3.9091,4.6364,5.3636,6.0909,6.8182,7.5455,8.2727,9,
Romania,,,,,,,28,53,40,28,42,29,29,24,38,54,36,36,37,35,30,26,11,10,4,5,8
Russia,560,480,490,460,410,430,270,290,270,260,260,280,260,210,230,210,220,169,188,162,115,128,148,126,107,89,83
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3
Slovakia,,,,8,9,9,5,3,7,10,5,2,5,5,7,2,2,12,2,1.6667,1.3333,1,1,1,3,,
Spain,,,,36,31,28,22,28,30,26,34,27,20,30,24,15,22,22,17,19,10,9,11,9,13,16,11
"Sri Lanka",,,,,,,,,,2,2,,,,,,,,,,,,,,,,
Sweden,,,,,,,,,3,5,3,5,4,2,10,6,2,7,5,4,1,7,4,1,1,2,4
Switzerland,,,,,,,,,,,,,,,,,,,,5,5.5,6,8.5,11,4,2,
Turkey,,,,,,,,,,,,,14,15,11,15,14,14,15,24,23,32,9,24,37,33,36
Ukraine,,180,167,156,127,149,108,96,101,94,88.5,83,91,63,72,82,74,87,67,41,31,44,40,38,43,29,
"United Kingdom",,,,,,,3,4,5,1,6,4,7,7,7,7,5,5.6667,6.3333,7,5,5,6,7,6,,
"United States",,,,,,,,,,,,,,446,415,406,444,429,387,335,355,385,351,319,361,,
Venezuela,,,,,,,,,,,,,,,,,,,,39,19,22,12,,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,6,3,3,3,,
