Country,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.5,0.7,0.5667,0.4333,0.3,0.6,0.1,0.4,0.4,0.3,0.4,0.3,0.2,0.4,0.2,0.5,0.1,0.3,0.2,0.4,0.3,0.1,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.4,0.3,0.3,0.3,0.3,0.4,0.3,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,
Australia,1,0.7,0.9,0.8,0.8,0.9,1.1,1.3,1.1,0.7,0.9,1,1,1.1,1,0.9,0.9,1,0.7,0.8,0.8,0.8,0.7,0.5,0.4,0.5,0.4,0.5,0.4,0.5,0.4,0.4,0.3,0.4,0.4,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,,
Austria,1.7,1.7,1.6,1.6,1.7,1.5,1.5,1.5,1.7,1.6,1.5,1.6,1.9,1.5,1.1,1.1,0.9,1.2,0.9,1.3,0.8,0.8,1.1,0.7,0.9,0.8,0.7,0.8,1,0.6,0.7,0.6,0.9,0.6,0.6,0.7,0.8,0.9,0.9,0.7,1.1,0.7,0.6,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.2
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,
Barbados,,,,,,,0.8,0.8,0.8,0.8,0.8,0.8,1.6,1.5946,1.5892,1.5838,1.5784,1.573,1.5676,1.5622,1.5568,1.5514,1.5459,1.5405,1.5351,1.5297,1.5243,1.5189,1.5135,1.5081,1.5027,1.4973,1.4919,1.4865,1.4811,1.4757,1.4703,1.4649,1.4595,1.4541,1.4486,1.4432,1.4378,1.4324,1.427,1.4216,1.4162,1.4108,1.4054,1.4,0.6,0.7667,0.9333,1.1,0.9333,0.7667,0.6,,
Belgium,1.3,1.3,1.1,1.5,1.2,1.2,1.4,1.1,1.2,1.2,1.2,1.2,1.5,1.2,1.2,1,0.9,1.3,1.1,1,0.8,0.8,0.8,0.9,1,0.7,0.9,0.8,0.7,0.6,0.7,0.8,0.5,0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.1,0.2,0.3,0.2,0.3,0.2,0.2,0.1,0.2,0.2,0.1,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,1.75,1.4,1.05,0.7,0.7,0.9333,1.1667,1.4,1.25,1.1,0.95,0.8,0.65,0.5,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,
