Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Australia,81.3,83.7,88.3,86.6,95.7,83.1,87.2,82.5,81.2,77.2,79.6,85.7,80.9,76.2,77.6,80.7,80.7,80.9,83,103.3,96.7,96.1,96.6,96.6,95.7,94.4,88.7,87.6,93.3,95.6,98.6,98.8,107.6,124.4,136.6,129,127.8,129.4,135.5,120.3,139,130.9,122.8,123.3,133.7
Belgium,107,95.9,89.7,91.4,85.7,92,93.5,101.2,107.7,113.5,107.4,91.5,81.9,77.1,74.1,71.7,68.2,72.7,74.3,78.1,82.7,81.1,81.1,82,86.6,82.1,84.2,83.2,87,91.6,93.4,91.9,95.9,102.1,109.1,118.7,128.3,135.9,135.7,135.3,141.3,143.8,146.9,149,148.9
Canada,95.2,94.9,90.4,88.5,101.1,96.1,98.5,96.8,87,90.7,87.6,92.1,82.5,83.1,76.7,71.8,76.5,90.3,99.2,110.9,101.8,99.1,99.9,101.1,104.4,98.7,95.4,98,93.8,91.5,90,88.5,91.9,98.1,102.4,106.5,106.9,116.2,121.8,116.4,125.7,123.8,128.4,127.5,130
France,,,,,,,,,93.6,94.2,100.7,101.7,94.5,89,85.3,83.2,84.5,89.5,93.9,95.6,96.3,98,92.7,88.8,88.2,83.4,78.2,75.9,74.3,77.9,80.2,82.4,85,93.7,102.7,116.9,129.5,133.2,134.3,125.5,124.7,130.8,132.9,130,127.2
Germany,,,,,,,,,,,,140.7,138.8,136.3,127.8,120.2,116.3,111.2,108,104.9,105.9,105.6,103,105.1,105.2,106.2,102.9,100.6,97.5,95.1,93.4,90.1,89.7,86.1,83.5,81.9,79.3,78.5,76.8,76.9,77.5,78.2,81.4,85.6,88.9
Ireland,,,,,,,,80.2,89.4,95.9,102.2,99.3,97.5,92.4,97.1,88.2,84.4,79.1,79.9,77.2,83.9,80.7,80.6,73.7,78.2,71.8,73,76.4,80.5,96.2,109.8,110.3,114.2,131,138.4,140.6,148.6,166.2,147.5,130.7,116.9,107.5,90,86.5,92.3
Italy,108.1,101.5,98.4,94,98.9,124,107,114.6,101.1,118.6,94.9,126.8,115.5,109.1,95.1,81.1,77,74.6,75.9,85.3,99.7,102.3,102.7,104.9,97.4,92,85.2,77.5,78.2,79.8,82.8,85.5,90,95.8,101.6,108.7,112.8,115.2,117.2,117.7,117.4,114.1,116.6,110.4,104.6
Japan,123.6,129,131.9,143.5,141.9,118,106,100.7,97.6,99.1,106.8,110.4,113.7,115.7,113.7,112.8,109.8,114.5,117,116.4,112.9,124.9,115.5,110.5,105.6,103,101.7,99.2,96,95.3,92.2,89.6,87.7,84.1,79.8,74.3,72.2,68.5,69.9,68.2,67.6,68.9,67.4,67.2,68.6
Netherlands,,,,,,,,,,,97.5,86.4,68.3,72.8,69.3,66.4,64.9,67.6,71.2,71.1,62.8,64.4,64.6,70.5,76,78.4,83.8,88,92.8,100.6,117.9,119.5,123.6,129.8,134.2,139.1,143.6,141.6,144.8,142.8,141.5,134.5,130.3,118.8,115.1
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.4,89.2,92.8,124.4,123.5,123.8,111.4,77.4,76.3,,
"South Africa",,,,,,,,,,,,,,,,,,,,,,,,,,76.8,73.4,67.2,73.4,71.9,74,78.4,81.4,88.5,102.8,122.7,130.9,135,136.4,124.6,125.9,116.3,103.6,106.8,
"South Korea",,,,,,,,,,,,,,,,,237,198.5,189,187.4,189.3,179.4,148.4,130.6,109.5,96.2,85.2,79.7,76.1,67.4,66,63.3,68.4,71.9,70.4,65.5,65.8,70.7,68.8,67.5,66.2,64.2,65.7,62.7,60.6
Spain,,79.4,72.3,69.6,77.1,76.8,72.8,77.2,87.1,84.5,77.9,71.7,61.8,63.9,65.5,66.6,61.8,79.1,93.4,105.6,111.9,112.5,108.9,98.8,102.4,92.9,90.5,89.6,88.1,93.1,92.1,92.8,101.4,114,131.5,147,157.2,166.2,166,146.4,147.1,135,129.6,119,114.1
Sweden,,,,,,,,,,,118.4,113.5,105.6,95.5,89.3,84.4,81.7,84.2,93,103,109.5,100.1,89.6,74.1,75.2,74.5,74.1,78.4,83,87.5,89.7,94,93.3,97.2,103.6,110.2,119.5,119.9,125.4,117.9,128.6,125.2,116.7,117.1,121.8
Switzerland,119.5,117,121.1,137.9,123.7,115.7,108.5,105.4,106,112.6,117.4,111.4,112.4,111.7,113.2,114.2,116.9,116.6,123.9,135.6,130.1,114.7,108,99.8,98.2,92.4,86.7,91.3,78.4,75.8,72.4,71,75.1,78.5,79.6,79.6,78.7,76.7,75.2,79,82.5,85.5,89,91.6,92.8
"United States",110.3,108.9,109.1,110.5,111.7,111.9,106.6,110.3,113.6,118.1,117,111.4,108.8,105.5,99.8,98,98,100.9,102,101.3,99.8,95.4,91.1,88.6,88.7,86.3,84.9,83.5,82.9,84.8,86.7,90.2,93.1,99.4,104.6,115.2,121,117.2,105,92.3,89.1,81.7,76.7,82.7,88.3
