Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Dominican Republic",73,73,74,74,75,75,76,76,77,77,78,78,78,79,79,80,80,81,81,82,82,83,83,83,84,84
Ecuador,57,58,60,61,62,64,65,66,67,69,70,71,72,73,74,75,76,77,79,80,81,82,83,84,85,85
Egypt,73,75,76,77,78,79,80,81,82,83,84,86,87,88,89,90,91,92,93,94,95,95,95,95,95,95
"El Salvador",51,52,53,54,56,57,58,59,61,62,62,63,64,65,66,67,68,69,69,70,71,72,73,73,74,75
"Equatorial Guinea",,,,,81,81,81,81,81,81,80,80,79,79,78,78,78,77,77,76,76,75,75,75,75,75
Eritrea,9,9,9,10,10,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,15,16,16
Estonia,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97
Ethiopia,3,3,3,3,3,3,3,5,6,7,9,10,11,13,14,15,17,18,19,20,22,23,24,26,27,28
Fiji,57,59,61,63,65,66,68,70,71,73,75,76,78,79,81,82,84,85,87,88,90,91,91,91,91,91
Finland,97,97,97,97,97,97,97,97,97,97,97,97,98,98,98,98,98,98,98,98,98,98,98,98,98,98
France,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"French Guiana",,,76,76,76,77,77,78,79,80,81,82,83,84,85,87,88,89,90,91,92,92,92,92,92,
"French Polynesia",98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99,99,99
Gabon,,,,,38,38,38,38,38,39,39,39,39,39,40,40,40,40,41,41,41,41,41,42,42,42
Gambia,,,60,60,60,60,60,60,60,60,60,60,60,59,59,59,59,59,59,59,59,59,59,59,59,59
Georgia,98,98,98,98,98,98,98,98,97,96,96,95,94,94,93,93,92,91,91,90,89,89,88,88,87,86
Germany,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Ghana,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15
Greece,93,93,93,93,94,94,94,95,95,95,96,96,96,97,97,97,97,98,98,98,99,99,99,99,99,99
Greenland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Grenada,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
Guadeloupe,,,,,,,,,,,,,95,95,95,95,96,96,96,97,97,97,97,97,97,
Guam,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,90,90,90,90,90,90,90,90,90,90
Guatemala,47,48,49,50,50,51,52,52,53,54,55,55,56,57,57,58,59,60,60,61,62,62,63,64,64,64
Guinea,8,9,9,10,10,11,11,12,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,20,20
"Guinea Bissau",,,,,11,11,11,11,11,12,12,13,14,14,15,16,16,17,18,18,19,20,20,21,21,21
Guyana,76,76,76,77,77,77,78,78,79,79,79,80,80,80,81,81,82,82,82,83,83,84,84,84,84,84
Haiti,18,18,18,19,19,19,20,20,20,21,21,22,22,23,23,24,24,25,25,26,26,26,27,27,27,28
Honduras,48,50,51,53,54,56,57,59,60,62,63,65,66,68,69,71,72,73,75,76,77,79,80,81,83,83
Hungary,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
Iceland,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
India,17,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,40
Indonesia,35,36,38,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,61
Iran,71,72,72,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,89,90,90,90,90
Iraq,,72,72,72,72,72,72,73,74,75,75,76,77,78,79,79,80,81,82,83,83,84,85,86,86,86
Ireland,89,89,89,89,89,89,89,89,89,89,89,89,89,90,90,90,90,90,90,90,90,90,90,90,91,91
Israel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Italy,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Jamaica,80,80,80,80,80,80,80,80,81,81,81,81,81,81,81,81,81,81,81,82,82,82,82,82,82,82
Japan,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Jordan,97,97,97,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99,99,99,99,99,99
Kazakhstan,96,96,96,96,96,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,98,98,98,98
Kenya,25,25,25,25,26,26,26,26,26,27,27,27,27,28,28,28,28,29,29,29,29,29,30,30,30,30
Kiribati,28,29,29,30,30,31,31,32,33,34,34,35,35,36,36,37,37,37,38,38,39,39,40,40,40,40
"North Korea",,,53,53,53,53,53,55,57,59,61,63,65,67,69,70,72,74,76,78,80,82,82,82,82,82
"South Korea",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Kuwait,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Kyrgyzstan,91,91,91,91,91,91,91,92,92,92,92,92,92,92,92,92,92,93,93,93,93,93,93,93,93,93
Laos,,,,,20,20,21,21,22,25,28,31,34,37,40,43,47,50,53,56,59,62,65,68,71,71
Latvia,,,,,,,,82,82,82,82,82,82,83,83,84,84,84,85,85,86,86,87,87,87,88
Lebanon,,,,,,,,,83,83,83,83,83,82,82,82,82,82,81,81,81,81,81,81,81,81
Lesotho,,,,,23,23,23,23,23,23,24,24,25,25,26,26,27,27,28,28,29,29,29,30,30,30
Liberia,,,,,14,13,13,13,13,13,13,13,14,14,14,14,15,15,15,15,16,16,16,16,17,17
Libya,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97
Lithuania,83,83,84,84,84,85,85,85,86,86,87,87,87,88,88,89,89,89,90,90,91,91,91,92,92,92
Luxembourg,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
Madagascar,9,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,12,12,12,12,12
Malawi,29,30,30,31,31,32,32,33,33,34,34,35,35,36,36,37,37,37,38,38,39,39,40,40,41,41
Malaysia,86,87,87,88,88,89,89,90,90,91,91,92,92,93,93,93,94,94,95,95,95,96,96,96,96,96
Maldives,68,68,68,68,68,70,72,74,76,78,79,82,84,85,87,89,91,93,94,96,97,98,98,98,98,98
Mali,14,14,15,15,16,16,16,17,17,18,18,18,19,19,20,20,21,21,22,22,22,23,23,24,24,25
Malta,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Marshall Islands",65,65,66,66,67,67,68,69,69,70,70,71,71,72,72,73,73,74,74,75,75,76,76,77,77,77
Martinique,,,,,,,,,,,,,92,92,92,92,92,92,92,92,92,92,92,92,92,
Mauritania,16,16,16,16,17,18,19,20,22,23,24,25,26,27,28,30,31,32,33,34,36,37,38,40,40,40
Mauritius,91,91,91,91,91,91,91,91,91,91,91,92,92,92,92,92,92,92,92,93,93,93,93,93,93,93
Mexico,66,67,68,69,70,71,72,72,73,74,75,76,76,77,78,79,79,80,81,82,82,83,84,84,85,85
Micronesia,19,19,19,21,23,25,27,28,30,32,34,36,38,40,41,43,45,47,49,51,53,55,57,57,57,57
Monaco,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Mongolia,,,46,46,46,46,46,47,47,48,48,49,50,51,52,53,54,54,55,56,57,57,58,59,59,60
Montenegro,,,,,,,,,89,89,89,89,89,90,90,91,91,92,93,93,94,94,95,95,96,96
