Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Australia,,,,,28,27,26,26.6667,27.3333,28,28.32,28.64,28.96,29.28,29.6,31.05,32.5,32.15,31.8,31.45,31.1,31.0333,30.9667,30.9,30.1,29.3,28.5,28,27.5,27,25.9333,24.8667,23.8,23.2,22.6,22,21.2667,20.5333,19.8,19.2,18.6,18,17.5,17,16.5,16.1333,15.7667,15.4,14.9667,14.5333,14.1,13.1667,12.2333,11.3,11.1333,10.9667,10.8
Austria,,,,,,,,,,,,,9.8,10.3429,10.8857,11.4286,11.9714,12.5143,13.0571,13.6,14.1571,14.7143,15.2714,15.8286,16.3857,16.9429,17.5,17.6182,17.7364,17.8545,17.9727,18.0909,18.2091,18.3273,18.4455,18.5636,18.6818,18.8,18.8667,18.9333,19,19.0667,19.1333,19.2,19.2667,19.3333,19.4,19.7375,20.075,20.4125,20.75,21.0875,21.425,21.7625,22.1,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7,19.75,19.8,19.85,19.9,19.8333,19.7667,19.7,19.2,18.7,18.2,17.7,17.4833,17.2667,17.05,16.8333,16.6167,16.4,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7,13.2667,12.8333,12.4,12.3,12,11.5,11.7,10.7,9.2,8.6,7.3,5.4,
Canada,,,,,30,30,31,31,31,30,30,30,30,30.0143,30.0286,30.0429,30.0571,30.0714,30.0857,30.1,29.5,28.9,28.6,28.3,28.05,27.8,25.8,26.4,27,29.4,26.7,25.6,24.9333,24.2667,23.6,22.85,22.1,22.2,22.3,21.6,20.9,20.2,18.6,17,16.3,15.6,15.85,16.1,15.1,14.2,13.7,14,13.5,12.9,11.7,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5,28.0833,27.6667,27.25,26.8333,26.4167,26,,,,,,,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.36,3.22,3.08,2.94,2.8,2.6,2.4,2.2,2,2.2,2.1,2,1.9333,1.8667,1.8,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,10.24,9.88,9.52,9.16,8.8,8.52,8.24,7.96,7.68,7.4,7.15,6.9,6.6667,6.4333,6.2,
"Costa Rica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1,13.62,13.14,12.66,12.18,11.7,11.32,10.94,10.56,10.18,9.8,9.5,9.2,8.9,8.6,8.3,
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,20.7333,20.4667,20.2,19.2333,18.2667,17.3,17.5667,17.8333,18.1,22.6,20.1,19.4,19.5,18.8,18.8,18,16.5,18.8,19.6,17.4,18.5,14.8,
Denmark,,,,,,,,,,,47,45,46,46,46,46,47,47,46,45,44,44,43,43,43,42,45,42,42,41,42,41,39,39,35,33,32,30,30,27,29,25.5,26,25,23,24,23,21,22,17,19.3,18.0333,16.7667,15.5,17,17,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,16.2,17.9,19.65,21.4,21.1,20.8,20.05,19.3,19.65,20,18.75,17.5,19.3,21.1,20.3,19.5,18.3,17.1,17.9,18.7,18.5,18.3,17.05,15.8,15.65,15.5
Finland,,,,,,,,,,,,,,,,,,,17.4,18.3,16.6,18.5,16,18.5,17.1,14.3,18.3,21.1,20.3,19.2,20,21.6,20,18.6,18.6,19.5,18.2,19.7,20.4,20.1,20.3,19.7,19.9,19.3,19.5,18.2,18.9,16.6,17.6,16,15.7,14.8,14,13.2,14,14.5,
France,11,10.8,10.6,10.4,10.2,10,10,10,10.381,10.7619,11.1429,11.5238,11.9048,12.2857,12.6667,13.0476,13.4286,13.8095,14.1905,14.5714,14.9524,15.3333,15.7143,16.0952,16.4762,16.8571,17.2381,17.619,18,19,22,22,22,21,21,21,19,22,23,22,21,21,21,20.05,19.1,20.25,21.4,21.85,22.3,21.5,20.7,20.45,20.2,19.8,19.4,,
Germany,,,,,,,,,,,,,,,,,,,16.5,16.6364,16.7727,16.9091,17.0455,17.1818,17.3182,17.4545,17.5909,17.7273,17.8636,18,17.9333,17.8667,17.8,17.8,17.8,17.8,18.075,18.35,18.625,18.9,18.95,19,19.05,19.1,18.95,18.8,18.5,18.2,17.9,17.6,17.475,17.35,17.225,17.1,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,28,27,28.075,29.15,30.225,31.3,31.05,30.8,32.15,33.5,26.1,25.16,24.22,23.28,22.34,21.4,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,26.3333,25.6667,25,24.3333,23.6667,23,23.5333,24.0667,24.6,24.1167,23.6333,23.15,22.6667,22.1833,21.7,21.52,21.34,21.16,20.98,20.8,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.6,32.3,32.9,29.8,28.8,28.9,26.5,25.6,26.7,27.2,25.8,25.1,25.5,22,22.1,20.4,19.2,18.6,19.2,17,17.6,15,15.2,13.9,14.2,12.8,12.1,13,11,10.8
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5.8,5.6,5.4,5.2,5,4.84,4.68,4.52,4.36,4.2,4.1,4,3.8667,3.7333,3.6,
Ireland,,,,,,,,,,,,,43.3,42.2,40.3,39.2,37.2,38.3,35.3,34.9,34.1,33.68,33.26,32.84,32.42,32,27,27,27,27,29,27,30,26,28,29,30,31,32,30.75,29.5,28.25,27,26,25,24,23,22,21.375,20.75,20.125,19.5,18.875,18.25,17.625,17,17
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,15.85,15.7,15.55,15.4,15.35,15.3,15.5,15.7,14.8,13.9,12.5,11.1,11.85,12.6,12,11.4,10.8,11.4,12.75,14.1
Italy,,,,,,,,,,,,,,,,,,,,,16.7,17.0333,17.3667,17.7,17.6,17.5,17.4,17.5,17.6,17.7,17.8,17.4,17,16.6,16.9,17.4,18,17.5,17.5,17.3,17.4,17.1,17.2,17.6,17,16.4,17.2,16.6,16.4,17.1,17.1,16.8,16.5,15.9,14.9,15.8,15.3
Japan,,,,,,15.7,18,17.7,15.4,15.4,15.6,14.7,15.5,15.1,16.7,15.1,15.4,15.1,16.2,15.4,14.4,15.3,15.4,13.5,14,13.7,12.6,13.4,13.1,9.4,9.7,9.7,9,8.9,9.1,10.6,9.8,11.6,10.9,10.3,11.5,9.9,10.2,11.3,12,11.3,10,11,9.1,10.9,8.4,9.7,9,8.2,8.5,7.9,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13.25,13.5,13.75,14,14.25,14.5,,
