Country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,39,39.4667,39.9333,40.4,37.8667,35.3333,32.8,34.8,
Albania,,,,,,,,,,,,,,,,,,,,,7.5,8.025,8.55,9.075,9.6,,,,,,,
Algeria,,,,,,,,,,,,,,,,,,,,,,1.8,1.9,2,2.1,2.2,2.3,2.4,2.5,,,
Armenia,,,,,,,,,,,,,,,,19.1,17.26,15.42,13.58,11.74,9.9,9.36,8.82,8.28,7.74,7.2,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,12.2,11.96,11.72,11.48,11.24,11,,,,,
Bangladesh,,,,,,,,,,73.3,71.7,70.1,68.5,67.4333,66.3667,65.3,66.15,67,67.85,68.7,66.4,64.1,66.2,65.875,65.55,65.225,64.9,58.6,52.3,58.6,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,6.6,6.1143,5.6286,5.1429,4.6571,4.1714,3.6857,3.2,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,25.9,,,,,
Benin,,,,,,,,,,,,38.8,38.38,37.96,37.54,37.12,36.7,36.24,35.78,35.32,34.86,34.4,33.9833,33.5667,33.15,32.7333,32.3167,31.9,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,25.8,,,,,,
Bolivia,,,,,23.7,23.94,24.18,24.42,24.66,24.9,23.975,23.05,22.125,21.2,22.12,23.04,23.96,24.88,25.8,24.98,24.16,23.34,22.52,21.7,,,,,,,,
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,5.5,5.1667,4.8333,4.5,4.1667,3.8333,3.5,,,,
Botswana,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,,21.8,21.99,22.18,22.37,22.56,22.75,22.94,23.13,23.32,23.51,23.7,24.89,26.08,27.27,28.46,29.65,30.84,32.03,33.22,34.41,35.6,,,,,,,,,,
"Burkina Faso",,,,,,,,,61.7,61.8,61.9,62,62.1,62.2,62.3,59.7,57.1,54.5,51.9,50.5333,49.1667,47.8,48.75,49.7,50.65,51.6,,,,,,
Burundi,,,17.3,17.3278,17.3556,17.3833,17.4111,17.4389,17.4667,17.4944,17.5222,17.55,17.5778,17.6056,17.6333,17.6611,17.6889,17.7167,17.7444,17.7722,17.8,18.32,18.84,19.36,19.88,20.4,,,,,,
"Cape Verde",,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,24.8,24.5,24.2,23.9,23.6,23.3,22.32,21.34,20.36,19.38,18.4,18.425,18.45,18.475,18.5,,
Cameroon,,,,,,,57.7,55.6571,53.6143,51.5714,49.5286,47.4857,45.4429,43.4,44.0333,44.6667,45.3,45.9333,46.5667,47.2,41.75,36.3,36.72,37.14,37.56,37.98,38.4,,,,,
"Central African Republic",,,,,,,,,,,57,57.3273,57.6545,57.9818,58.3091,58.6364,58.9636,59.2909,59.6182,59.9455,60.2727,60.6,62.425,64.25,66.075,67.9,,,,,,
Chad,,,,,,,,,,,,,71.4,71.4143,71.4286,71.4429,71.4571,71.4714,71.4857,71.5,70.9333,70.3667,69.8,69.2333,68.6667,68.1,67.86,67.62,67.38,67.14,66.9,
Colombia,,23.3,22.975,22.65,22.325,22,22.72,23.44,24.16,24.88,25.6,24.76,23.92,23.08,22.24,21.4,21.74,22.08,22.42,22.76,23.1,23.08,23.06,23.04,23.02,23,23.08,23.16,23.24,23.32,23.4,
Comoros,,,,,,,,,,,,29.7,29.8188,29.9375,30.0563,30.175,30.2938,30.4125,30.5313,30.65,30.7688,30.8875,31.0063,31.125,31.2438,31.3625,31.4813,31.6,,,,
"Congo (Kinshasa)",,,,,,,,,,,,,,,,,,,,,,,39.1,39.2,39.3,39.4,38.875,38.35,37.825,37.3,,
"Congo (Brazzaville)",,,,,,,,,,,,,,,,,,,,,30.8,31.425,32.05,32.675,33.3,33.0667,32.8333,32.6,,,,
"Costa Rica",,,,,,,,,,,,,,,,,,,,,,,,,,,21.2,,,,,
"Ivory Coast",,,,,,,,,,43.5,41.44,39.38,37.32,35.26,33.2,33.4167,33.6333,33.85,34.0667,34.2833,34.5,34.3143,34.1286,33.9429,33.7571,33.5714,33.3857,33.2,,,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,40.4,35.6,30.8,26,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,5.4,,,,,,,,,,
"Dominican Republic",,34.4,33.56,32.72,31.88,31.04,30.2,31.68,33.16,34.64,36.12,37.6,35.4,33.2,31,34.4,37.8,41.2,40.975,40.75,40.525,40.3,39.6,40,40.4,40.8,39.3667,37.9333,36.5,,,
Ecuador,,,26,25.7765,25.5529,25.3294,25.1059,24.8824,24.6588,24.4353,24.2118,23.9882,23.7647,23.5412,23.3176,23.0941,22.8706,22.6471,22.4235,22.2,,,,,,,,,,,,
Egypt,,,,30.5,29.55,28.6,27.65,26.7,26.7333,26.7667,26.8,25.34,23.88,22.42,20.96,19.5,19.1667,18.8333,18.5,17.55,16.6,16.6,16.6,16.6,16.7333,16.8667,17,17.1333,17.2667,17.4,,
"El Salvador",37.7,37.1278,36.5556,35.9833,35.4111,34.8389,34.2667,33.6944,33.1222,32.55,31.9778,31.4056,30.8333,30.2611,29.6889,29.1167,28.5444,27.9722,27.4,27,26.6,26.2,25.8,25.4,,,,,,,,
"Equatorial Guinea",,,,,,,,,,,,,,,,,,,,,,,,,,,29.5,,,,,
Eritrea,,,,,,,,,,,54.2,53.1714,52.1429,51.1143,50.0857,49.0571,48.0286,47,46.2125,45.425,44.6375,43.85,43.0625,42.275,41.4875,40.7,,,,,,
Ethiopia,,,,,,,,,,,,,,,,49.1,49.12,49.14,49.16,49.18,49.2,47.8333,46.4667,45.1,43.7333,42.3667,41,,,,,
Gabon,,,,,,,,,,,,,,,,33.6,32.625,31.65,30.675,29.7,28.725,27.75,26.775,25.8,24.825,23.85,22.875,21.9,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,35.9,36.025,36.15,36.275,36.4,34.4,32.4,30.4,,,
Georgia,,,,,,,,,,,,,,,,,,,,,17.2,16.56,15.92,15.28,14.64,14,,,,,,
Ghana,,,,40.9,40.24,39.58,38.92,38.26,37.6,37.18,36.76,36.34,35.92,35.5,33.98,32.46,30.94,29.42,27.9,25.9333,23.9667,22,23.3,24.6,23.3,22,20.7,20.7,20.7,20.7,,
Guatemala,,,41.2,40.875,40.55,40.225,39.9,39.575,39.25,38.925,38.6,37.525,36.45,35.375,34.3,34.5333,34.7667,35,34.3286,33.6571,32.9857,32.3143,31.6429,30.9714,30.3,30.1667,30.0333,29.9,29.7667,29.6333,29.5,
Guinea,,,,,,,,,,,,,,,64.5,64.2667,64.0333,63.8,63.5667,63.3333,63.1,61.4714,59.8429,58.2143,56.5857,54.9571,53.3286,51.7,,,,
"Guinea Bissau",,,,,,,,,,,,,,,,,,,,,,24.1,23.575,23.05,22.525,22,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,28.2,24,19.8,21.4,23,,,,,,,
Haiti,,,,,,,,,,,23.8,23.86,23.92,23.98,24.04,24.1,25.0667,26.0333,27,27.9667,28.9333,29.9,27.8333,25.7667,23.7,21.6333,19.5667,17.5,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,38.8,37.9333,37.0667,36.2,35.3333,34.4667,33.6,,,,
India,,,,,,,,,50.2,50.1667,50.1333,50.1,50.0667,50.0333,50,49.6286,49.2571,48.8857,48.5143,48.1429,47.7714,47.4,,,,,,,,,,
Indonesia,,,35.1,34.85,34.6,34.35,34.1,33,31.9,30.8,30.4,30,29.6,28.7,27.8,26.9,26,25.1,24.2,23.65,23.1,22.55,22,21,20,19,18,17,13.6,,,
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,16.7,17,,,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,17,18.46,19.92,21.38,22.84,24.3,,,,,
Jamaica,,,,,,,,,,,,,,,,,,,,,8.6,8.4833,8.3667,8.25,8.1333,8.0167,7.9,,,,,
Jordan,,,,,,16.4,15.9857,15.5714,15.1571,14.7429,14.3286,13.9143,13.5,13.02,12.54,12.06,11.58,11.1,10.8,10.5,10.2,9.9,9.6,9.9,10.2,9.6,9,8.4,,,,
Kazakhstan,,,,,,,,,,,18.5,17.475,16.45,15.425,14.4,13.3857,12.3714,11.3571,10.3429,9.3286,8.3143,7.3,7.06,6.82,6.58,6.34,6.1,,,,,
Kenya,,,,,31,30.275,29.55,28.825,28.1,27.4,26.7,26,25.3,24.6,24.6,24.6,24.6,24.6,24.6,24.9,25.2,25.5,25.8,26.1,26.4,25.7,25,24.3,23.6,22.9,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,20.3,,,,,,,
Kyrgyzstan,,,,,,,,,,,,,21.2,20,18.8,17.6,16.4,15.2,14,12.8,11.6,10.4,9.9667,9.5333,9.1,8.6667,8.2333,7.8,9.7,11.6,,
