Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,18,18,19,19,20,20,20,20,19,18,20,21,21,21,21,22,22,22,23,24,25,26,28,29,30,30,31,30,31,32,31,32,31,32,31,32
Iceland,,,,,,,,,,,,,,,13,14,15,15,14,15,15,17,18,19,19,19,20,22,24,25,25,25,25,24,25,25,26,27,27,28,29,29,28,28,29,28,29,31,32,33,32,33,34,36,39,40,40,43,43,45,44,43,44,45,44,44,46,46
Indonesia,,,,,,,,,,,,,,,,,,,,,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,7,7,7,8,8,8,7,7,8,8,8,8,8,9,9,9,9,10,10,10,11,11,12,12,13,13
Ireland,7,7,7,8,8,8,8,9,9,9,10,10,10,11,11,11,11,12,13,14,14,15,16,17,17,19,19,20,22,21,23,24,25,25,27,27,27,28,30,31,33,34,36,36,37,39,41,44,46,48,51,53,55,57,59,59,60,60,59,62,66,70,70,68,72,73,75,76
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,26,26,26,27,28,29,29,29,30,30,30,29,29,30,30,30,31,31,33,33,32,32,34,34,35,36,36,36,36,37,37,38,39,39,39,39
Italy,8,8,9,10,10,10,11,11,12,13,13,14,16,17,18,20,21,22,24,25,26,27,28,30,31,31,32,34,35,37,38,38,38,38,39,40,41,41,42,44,44,44,45,46,48,49,49,50,50,50,52,52,52,51,52,52,52,52,52,50,52,52,52,52,52,52,52,52
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,11,,,,,,,,,,,,,,,
Japan,3,3,3,4,4,4,4,4,4,5,5,6,6,6,7,7,8,9,10,11,12,12,13,14,15,15,16,16,17,18,18,19,19,19,20,21,22,23,24,25,27,28,29,30,30,31,32,33,34,35,36,37,38,38,39,40,40,41,41,41,42,42,43,44,44,45,45,45
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,13,14,14,16,16,18,19,21,23,24,26,24,24,25,26,27,27,28,29,30,30
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,15,16,17,17,18,20,21,22,23,25,27,28,29,28,30,32,32,33,34,34,33,34
Luxembourg,,,,,,,,,,,,,,,,,,,,,45,45,47,51,52,49,50,52,55,56,57,58,58,61,65,65,69,69,73,78,76,81,81,82,85,83,82,83,85,88,90,88,89,89,90,92,93,96,90,88,91,91,89,91,93,94,95,96
Malaysia,,,,,,,,,,,,,,,,,,,,,7,7,7,8,8,8,9,9,10,10,11,11,11,11,12,11,11,12,12,13,13,15,15,16,17,18,18,19,18,18,19,19,19,20,21,22,22,23,25,24,23,24,24,25,26,27,28,28
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,26,27,28,30,32,33,33,34,36,36,36,37,37,36,37,38,38,39,41,43,43,44
Mexico,8,8,9,9,9,10,11,11,12,12,13,13,13,14,15,15,16,16,17,18,18,18,19,19,19,19,19,19,20,20,21,22,21,20,20,19,18,18,17,18,18,18,18,18,18,17,17,18,18,18,19,19,19,19,19,19,20,20,20,19,19,19,19,19,20,20,20,20
Netherlands,14,15,15,16,17,18,19,19,19,20,22,22,23,23,25,26,26,28,29,29,30,32,33,35,37,39,40,42,43,44,44,44,44,46,47,48,49,49,50,51,52,52,52,53,54,54,54,55,56,58,60,60,61,61,62,64,65,65,66,64,65,66,66,66,67,68,68,68
"New Zealand",,,,,,,,,,,,,,,,,,,,,24,25,26,27,27,26,27,25,24,24,24,26,27,27,28,28,28,28,29,31,31,31,31,31,31,31,32,33,33,34,35,35,35,36,36,36,37,38,38,39,39,40,41,41,40,41,40,40
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,9,9,10,9,9,8
Norway,14,14,15,16,17,17,18,19,19,20,21,22,23,24,25,26,27,29,30,32,32,34,36,38,39,41,44,45,47,49,50,50,51,53,56,57,58,59,59,62,64,66,68,70,73,75,78,80,80,81,84,87,88,91,93,94,93,91,89,89,89,89,89,90,90,92,92,93
Pakistan,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,6,6,6,7,6,6,6,7,7,7,7,7,8,7,8,7,7,7,7,7,8,8,8,9,9
Peru,19,21,21,22,22,23,24,25,24,24,27,29,30,31,33,35,37,38,37,37,38,39,38,39,39,42,41,41,40,41,42,42,41,34,35,35,35,37,34,29,27,26,26,26,28,28,28,29,28,28,26,26,26,28,28,30,31,32,35,35,37,39,40,42,42,43,44,45
Philippines,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,8,8,8,9,9,9,10
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,15,16,16,17,17,18,20,20,22,23,23,24,24,25,25,26,28,29,30,30,31,31,32,33
Portugal,5,5,5,6,6,6,6,7,7,7,8,8,9,9,10,11,11,12,14,14,15,16,17,19,18,17,17,18,19,20,21,21,22,21,21,22,23,23,24,25,25,26,27,27,27,27,28,28,29,29,29,30,30,30,31,31,32,32,32,32,33,34,34,34,34,34,35,35
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,12,12,12,12,13,15,16,18,19,20,21,23,22,22,22,24,25,26,27,29,30
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,18,16,16,16,16,15,16,17,18,19,20,21,22,24,26,27,25,27,28,28,29,29,28,28,28
Singapore,8,8,8,9,9,9,9,9,9,8,9,9,10,10,10,10,11,12,13,15,16,17,18,19,20,20,21,22,22,23,24,24,24,25,27,28,30,31,32,32,34,34,35,38,40,41,41,41,39,42,43,42,44,47,51,53,54,55,51,50,55,56,56,57,57,58,60,60
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,16,16,17,18,19,21,22,23,24,24,25,27,29,30,31,33,35,36,35,37,38,38,40,40,41,42,42
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,26,28,29,30,31,32,32,33,34,37,39,40,40,38,39,40,40,39,40,40,41,41
"South Africa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,15,17,17,17,17,18,19,19,20,20,20,20,20,19,19,19
"South Korea",2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,5,5,6,6,6,6,6,6,7,8,8,9,9,10,10,11,12,12,13,14,15,16,17,17,19,20,20,22,23,24,25,26,27,28,29,31,33,32,34,33,34,35,36
Spain,5,5,6,6,6,6,7,7,7,7,7,8,9,10,11,12,13,14,15,16,16,17,19,20,21,22,23,24,26,28,29,31,32,34,36,37,37,38,39,40,40,40,41,42,44,45,45,45,45,45,45,45,45,45,45,46,46,46,47,48,49,50,51,51,51,52,52,53
"Sri Lanka",,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,6,6,6,7,7,7,7,8,8,9,10,9,9,9,9,9,10,10,10,11,11,11,12,12,13,13,14,14,14,15,16
"Saint Lucia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11,11,13,14,14,14,15,14,14,13,14,14,15,14,13,13,,,,,,,,,,,,,,,,
Sweden,13,13,14,14,15,15,16,16,17,17,18,19,20,21,22,23,24,26,27,28,29,30,32,33,34,34,35,35,35,36,36,36,36,36,37,37,38,39,39,39,40,40,41,42,43,44,44,46,47,48,50,50,52,54,56,57,59,59,58,57,59,59,59,60,60,62,62,63
Switzerland,19,20,20,20,21,22,23,23,23,25,26,27,27,28,29,30,31,31,32,33,35,36,37,38,39,39,39,41,41,42,43,43,42,43,45,46,45,45,45,46,46,48,48,49,49,50,51,52,53,53,54,56,56,56,56,58,59,60,61,59,61,61,61,62,62,62,61,62
Taiwan,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,9,10,10,10,11,11,12,13,13,14,16,16,17,18,20,21,22,23,24,26,28,28,30,31,32,34,35,36,37,39,41,42,42,45,46,46,47,48,49,51,51
Thailand,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,4,4,5,5,6,6,7,7,8,7,7,7,7,8,8,9,9,9,10,10,10,10,11,11,11,12,13,13,14,14
Turkey,,,,,,,,,,,,,,,,,,,,,9,10,10,11,11,12,13,14,14,14,14,14,15,15,16,17,18,19,20,19,20,20,21,23,21,22,22,24,24,23,24,23,24,26,28,30,31,33,33,31,32,34,34,37,38,39,40,40
"United Kingdom",14,14,14,14,15,15,15,15,16,16,16,17,17,18,19,19,20,21,22,22,23,24,24,26,25,26,27,27,28,28,29,30,31,32,32,33,34,35,35,35,35,36,38,39,40,40,41,42,43,44,45,46,47,49,49,50,51,52,51,51,51,52,52,52,52,52,52,53
"United States",19,19,19,20,21,21,21,22,23,23,24,24,25,26,27,28,29,29,30,30,31,32,33,33,33,34,35,35,35,36,36,37,37,38,38,39,40,41,41,42,42,43,45,45,45,46,47,48,49,51,52,54,56,58,60,61,62,63,63,65,67,67,67,68,68,69,69,70
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,15,16,16,16,17,18,20,20,20,20,20,20,20,21,21,22,22,23,25,25,26,28,28,28,29,29
Venezuela,20,21,22,22,24,25,27,30,30,31,30,28,29,29,31,32,32,33,35,35,37,36,35,36,35,34,37,39,38,37,31,30,29,28,28,28,28,28,28,25,25,27,27,27,25,25,24,24,23,22,23,22,20,19,20,21,23,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,3,3,4,4,4,4,5,5,5,5
