Country,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,7,466,26,28174,43964,43979,32455,31107,20320,18808,16199,14457,8107,10357,4561,1170,1609,792,993.8571,1195.7143,1397.5714,1599.4286,1801.2857,2003.1429,2205,3609,6532,8762,2486,798,466,1296,1990,1141,1599,2861,1989,3013,2787,430,492,1154,638,1511,2012,353
Albania,,,,,,,,,3,17,22686.5,45356,68025.5,90695,113364.5,136034,102027.25,68020.5,34013.75,7,29,15,1204,2386,1901,797,662,18,16,8,7,6,68,22,18,14,10,28,9,11,13,15,17,12,1469,488
Algeria,10517,8899,15646,12015,10696,14937,15527,20849,29584,22126,22553,20114,3975,2500,2634,4169,1796,5969,8823,3141,5913,8204,21003,19573,3301,2503,2594.5,2686,5862,15374,3289,2302,944,580.5,217,107,103,112,18,25,44,63,41,112,3356,2585
Andorra,,,,,,,,,,,,,,,,,,,,,,,,5,3.5,2,2,5,1,,,,,,,,,,,,,,,,,
Angola,5881,2153,5492,12940,20408,19682,29656,19714,30067,22589,22685,22822,15580,13368,21009,19820,29069,18382,16772,9273,5480,635,251,8183,2576,350,2219,9046,11945,1196,29,258,765,1014,265,2807,1190,1449,4458,8523,11699,119,53,29,57,2987
"Antigua and Barbuda",1388,3,9,4,10,534,2291,247,128.5,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Argentina,23803,23108,39291,36538,9551,9985,16102,17582,4432,7106,31751,9240,6448,8024,4751,4009,1967,42093,20551,5087,134,655,59,125,10229,313,6,5.6667,5.3333,5,4.6667,4.3333,4,3.6667,3.3333,3,17,3,2,1.5,1,1.6667,2.3333,3,14,130
Armenia,,,,,,,,,,,,,,,,,879,192,46,338,149,187,2027,802,52,41,15,69,40,4,1783,2281,137,1,1.3333,1.6667,2,4.6667,7.3333,10,13,33,2,1,19,7
Australia,,,,,,,,,,,,,,,248,169,880,1380,1425,4536,4895,1198,498,853,327,235,108,141,32,91,70,10,10.5,11,65,104,70,190,199,158,340,74,99,81,103,286
Austria,,,,,,,,,,,,,,,,,,,,60,50.1667,40.3333,30.5,20.6667,10.8333,1,23.25,45.5,67.75,90,15,9,23,20,448,49,52,68,36,76.5,117,309,27,95,77,
Azerbaijan,,,,,,,,,,,,,,,,,2026,6122,535,1321,6478,474,151,678,2891,1081,210,574,4353,1978,827,1238,222,113.5,5,36.8,68.6,100.4,132.2,164,142.2,120.4,98.6,76.8,55,281
Bahamas,432,14,933,1831,222,1659,484,45,50,2868,36,26,85,42,22,59,72,61.8571,51.7143,41.5714,31.4286,21.2857,11.1429,1,1.0909,1.1818,1.2727,1.3636,1.4545,1.5455,1.6364,1.7273,1.8182,1.9091,2,2.0909,2.1818,2.2727,2.3636,2.4545,2.5455,2.6364,2.7273,2.8182,2.9091,3
Bahrain,3874,1009,4661,1263,1660,1781,1861,329,1147,438,1134,1910,97,22,5,181,59,7,12,2,2.5,3,74,4,4,38,6,5,8,12,11,4,3,7,2,3,11.6,20.2,28.8,37.4,46,37.4,28.8,20.2,11.6,3
Bangladesh,,3030,40171,22973,18576,31895,11077,10441,18116,9569,11851,11699,14352,13631,11471,27327,1705,9292,5768,5443,9571,4995,4929,10329,6522,5666,5098,4414,3484,4067,9743,25934,6192,2924,2660,718,788,5625,1986,237,289,240,972,4001,2263,5827
Barbados,200,382,270,1711,35,16,27,41,6,6,5,7,2,2,1,2,51,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,224,1351,2324,3874,820,1516,395,135,517,153,21,45,14,21,2,1,149,1,1,1,1,50,10,16,64,2,10,1,259,201
Belgium,,,,,,,,,,,,,,,47616,81044,44130,7216,9565,7373,11346,10650,7221,3869,2922.5,1976,1029.5,83,63.5,44,61,26,15,64,98,33,40,576,109,39,70,47,207,367,117,480
Belize,8,429,1341,19,216,255,607,186,6,11,4,7,124,224,74,2,25,7,11,8.6667,6.3333,4,,,,,,,,,,,,,,,,,,,,,,,,
Benin,16364,13235,9514,15502,23269,11096,18635,12378,11850,11774,13437,13210,7374,13180,5275,3281,4338.5,5396,3049,4102,7557,10469,1365,9521,648,2573,4244,5859,1588,217,262,210,176,341,928,1461,392,426,288,637,786,55,89,97,493,437
Bhutan,,,,,440,894,1642,1102,1868,1356,1321,819,948,673,382,554,173,441,103,505,683,148,9,169,66,9920,418,756,27,15,3,11,2,11,7,6,21,10,1,4.3333,7.6667,11,45,66,18,2
Bolivia,5318,2244,6427,8194,3363,5802,4181,7654,720,2034,1270,217,346,987,1793,669,820,2108,4937,3391,1441,76,7,7,1004,1441,122,,,,,,,,,,,,,,,,,,,
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,512,179,144,249,875,125,2031,3937,2811,133,43,35.5,28,18,28,23,17,166,8,22,45,10,22,1511,3000,1677,133,18,62,1404
Botswana,5625,8832,3495,8637,2483,8556,4091,2157,1512,6542,9249,1684,1018,126,711,3771,1218,565,566,5327,2447,478,1030,5032,700,439,2672,1,7,59,1,5,6,1,92.5,184,853,8,7,1,1,1,1,,,
Brazil,20061,19764,73631,54410,51345,65552,99263,61281,39370,58259,80875,75993,129126,66059,26179,22853,61435,42537,7934,6037,35,793,580,52284,2781,908,36,1,1,2,4,6,57,59.75,62.5,65.25,68,43,2,220,876,214,3586,6958,10330,20901
Brunei,,,133,1135.5,2138,249,485,775,243,558,541,617,440,63,28,39,12,31.5,51,50,40.75,31.5,22.25,13,12,23,42,11,17.5,24,16,9,7,5,3,2,3,4,1,1,1,4,1,1,1,1
Bulgaria,41335,20162,16877,806,423,249,10763,9239,281,326,292,972,1370,1560,404,111,147,2028,20258,354,121,172,695,23,80,24,46,8,6.75,5.5,4.25,3,1,1,1,2249,22004,157,1,14,9.6667,5.3333,1,165,13,1231
"Burkina Faso",11329,33683,22563,32317,9213,29672,13713,17327,20940,21395,30094,17461,11722,28282,7782,7474,9804,6590,21751,14445,2925,5669,18534,1438,3477,5516,6074,4174,1744,2946,77,253,125,12,395,54118,2511,860,7362,375,343,99,226,49,4072,672
Burundi,20025,30949,37019,58755,49629,43557,49227,58970,42051,49302,28587,36740,39631,23297,33261,28014,13282,10397,22344,23869,7192,14782,16099,1273,1449,2928,18363,9689.5,1016,224,2,393,784,43,173,305,495,129,49,35.6667,22.3333,9,16,18,9,112
"Cape Verde",,,440,204,261,306,1279,150,1282,1385,49,3048,1749,450,7,1,4,7,1,15.5,30,10,4297,8584,289,1,2,,,,,,,,,,,,,,,,,,,
Cambodia,,,,,,,32240,40774,57605,10368,38329,44557,17219,9281,4934,9256,2473,2186,2759,1262,946,2038,2814,3826,1993,13827,12237,3761,1361,653,352,264,188,394,4211,4779,1156,722,15,25.25,35.5,45.75,56,10,3,684
Cameroon,34750,21013.5,7277,15557,23837,19406.6667,14976.3333,10546,33876,58904,38580,47178,31936,16654,23207,24314,21150,14622,27442,10892,1548,2463,11770,7504,10731,10894,14629,23934,1448,899,358,605,196,100,495,251,240,504,609,760,831,1809,338,712,814,2809
Canada,11985,13143,9158,7508,5858,22444,13864,2307,1064,934,4078,2816,14941,2385,609,11145,1033,6178,2742,203,523,2361,327,579,12,29,206,34,6,15,7,6,13,101,62,14,99,803,10,83,418,195,11,45,28,113
