Country,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.203,0.305,0.305,0.305,0.305,0.305,0.305,0.305,0.305,0.305,0.2915,0.278,0.2645,0.251,0.2375,0.224,0.224,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.2631,0.2933,0.3234,0.3536,0.3837,0.4139,0.444,0.4741,0.5043,0.5344,0.5646,0.5947,0.6249,0.655,0.637,0.701,0.647,0.714,0.733,0.697,0.719,0.798,0.836,0.836,0.759,0.763,0.701,0.631
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,0.33,0.427,0.303,0.261,0.26,0.307,0.383,0.468,0.553,0.59,0.498,0.406,0.314,0.287,0.287,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.2571,0.2382,0.2193,0.2004,0.1815,0.1626,0.1437,0.1248,0.1059,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.149,0.607,0.859,0.705,0.87,0.87,0.87,0.882,0.879,0.888,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.909,0.909,0.909,0.822,0.828,0.828,0.828,0.845,0.844,0.92
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.4841,0.4223,0.3604,0.2986,0.2367,0.1749,0.113,0.042,0.042,0.0428,0.0435,0.0443,0.0451,0.0458,0.0466,0.0474,0.0482,0.0489,0.0497,0.0505,0.0512,0.052,0.052,0.052,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.069,0.069,0.069,0.0653,0.0617,0.058,0.138,0.138,0.138,0.138,0.138,0.133,0.133,0.133,0.133,0.133,0.133,0.14,0.125,0.127,0.156,0.135,0.125,0.124,0.155,0.136,0.168,0.175,0.164,0.14,0.087
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.067,0.106,0.053,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.136,0.136,0.136,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.126,0.126,0.126,0.126,0.126,0.133,0.116,0.118,0.083,0.083,0.1,0.118,0.118,0.118,0.118,0.165,0.208,0.319
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.473,0.473,0.518,0.518,0.518,0.518,0.518,0.518,0.544,0.544,0.544,0.659,0.652,0.633,0.633,0.633,0.633,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.605,0.5355,0.466,0.567,0.567,0.567,0.567,0.567,0.567,0.554,0.554,0.554,0.595,0.595,0.519,0.443,0.367,0.291,0.291,0.282,0.299,0.299,0.299,0.299,0.299,0.299,0.3545,0.41,0.4655,0.521,0.521,0.521,0.521,0.598,0.675,0.675,0.681,0.6483,0.6155,0.5828,0.55,0.5173,0.4845,0.4518,0.419,0.425,0.425,0.4365,0.448,0.4595,0.471,0.4825,0.494,0.5055,0.517,0.585,0.585,0.585,0.604,0.604,0.623,0.588,0.597,0.597,0.597,0.597,0.717,0.675,0.675,0.675,0.675,0.722,0.742,0.714,0.782,0.782,0.738,0.738,0.712,0.689,0.689,0.708,0.708,0.709,0.693,0.693,0.693,0.811,0.778,0.664,0.698
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.432,0.389,0.388,0.356,0.356,0.379,0.362,0.362,0.319,0.247,0.255,0.239,0.242,0.242,0.229,0.229,0.246,0.246,0.248,0.263,0.263,0.263,0.268,0.357,0.357,0.307,0.365,0.351,0.848,0.704
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.769,0.769,0.769,0.769,0.769,0.769,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.826,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.867,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.893,0.893,0.893,0.893,0.893,0.893,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.891,0.889,0.889,0.889,0.889,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.922,0.922,0.922,0.922,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.964,0.956,0.956,0.956,0.96,0.959,0.955
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.195,0.195,0.2021,0.2091,0.2162,0.2232,0.2303,0.2373,0.2444,0.2514,0.2585,0.2656,0.2726,0.2797,0.2867,0.2938,0.3008,0.3079,0.3149,0.322,0.3473,0.3727,0.398,0.4233,0.4487,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.55,0.587,0.624,0.624,0.624,0.624,0.64,0.64,0.64,0.64,0.64,0.64,0.526,0.526,0.526,0.5338,0.5417,0.5495,0.5574,0.5652,0.5731,0.5809,0.5888,0.5966,0.6045,0.6123,0.6202,0.628,0.613,0.593,0.601,0.601,0.601,0.601,0.601,0.601,0.601,0.601,0.601,0.601,0.601,0.601,0.601,0.601,0.601,0.601,0.601,0.601,0.662,0.632,0.632,0.632,0.716,0.716,0.716,0.752,0.752,0.752,0.768,0.768,0.768,0.768,0.768,0.818,0.818,0.818,0.818,0.818,0.818,0.878,0.861,0.861,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.871,0.871,0.871,0.88,0.88,0.854,0.893,0.893,0.893,0.898,0.892,0.886,0.899
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,0.242,0.293,0.135,0.113,0.108,0.108,0.108,0.108,0.097,0.097,0.097,0.097,0.097,0.097,0.065,0.07,0.07,0.07,0.07,0.059,0.059,0.059,0.078,0.078,0.078,0.09,0.078,0.067,0.044
Baden,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
