Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Bangladesh,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2
Brazil,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9,4,4,4,9,9,11,11,12,13,13,13,13,13
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,6,7,7,7,7,7,12,10,9,12,6,5,5,4,4,4,4,4,3,1,1,5,7,4,3,3,3,3,4,5,2,2,2,3,3,2,3,2,2,2,2,3,2,2,1,2,3,4,4,4,5,6,6
Cameroon,7,6,14,5,5,14,9,11,6,6,2,6,7,9,20,20,20,21,20,22,26,22,15,55,52,59,47,40,29,37,36,34,38,36,36,29,28,27,27,26,25,19,17,19,19,14,9,10,17,16,16,9,7
"Hong Kong",,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Taiwan,17,18,18,18,16,16,16,17,13,14,16,15,15,13,11,13,13,16,15,15,13,15,18,18,14,11,12,10,9,10,10,8,9,9,8,7,8,8,6,5,5,5,4,2,2,2,2,2,2,2,1,1,1
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Congo (Brazzaville)",2,2,3,3,4,4,6,5,5,4,3,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
