Country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Haiti,,,,,,,,,,,14.5,15.2,15.9,16.6,17.3,18,17.3333,16.6667,16,15.3333,14.6667,14,14.0333,14.0667,14.1,14.1333,14.1667,14.2,,,,
Honduras,,,,,,,,,,,,27.7,27.86,28.02,28.18,28.34,28.5,27.1,25.7,24.3,22.9,21.5,21.9167,22.3333,22.75,23.1667,23.5833,24,,,,
India,,,,,,,,,23.2,22.7667,22.3333,21.9,21.4667,21.0333,20.6,19.9429,19.2857,18.6286,17.9714,17.3143,16.6571,16,,,,,,,,,,
Indonesia,,,10.9,11.225,11.55,11.875,12.2,11.8667,11.5333,11.2,11.5333,11.8667,12.2,11.9,11.6,11.3,11,10.7,10.4,9.925,9.45,8.975,8.5,8.7,8.9,9.1,9.3,9.5,,,,
Jamaica,,,,,,,,,,,,,26.6,25.525,24.45,23.375,22.3,21.225,20.15,19.075,18,16.925,15.85,14.775,13.7,,,,,,,
Jordan,,,,,,7.4,7.1571,6.9143,6.6714,6.4286,6.1857,5.9429,5.7,5.42,5.14,4.86,4.58,4.3,4.26,4.22,4.18,4.14,4.1,4.4,4.7,4.6333,4.5667,4.5,,,,
Kazakhstan,,,,,,,,,,,8.7,8.2,7.7,7.2,6.7,6.7571,6.8143,6.8714,6.9286,6.9857,7.0429,7.1,,,,,,,,,,
Kenya,,,,,25.4,24.175,22.95,21.725,20.5,20.58,20.66,20.74,20.82,20.9,21.32,21.74,22.16,22.58,23,22.1167,21.2333,20.35,19.4667,18.5833,17.7,17.78,17.86,17.94,18.02,18.1,19.2,
Kyrgyzstan,,,,,,,,,,,,,9.4,9.1933,8.9867,8.78,8.5733,8.3667,8.16,7.9533,7.7467,7.54,7.3333,7.1267,6.92,6.7133,6.5067,6.3,,,,
Laos,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,20.2,20.08,19.96,19.84,19.72,19.6,19.5,19.4,19.3,19.2,19.1,,
Liberia,,45.4,44.7667,44.1333,43.5,42.8667,42.2333,41.6,40.9667,40.3333,39.7,39.0667,38.4333,37.8,37.1667,36.5333,35.9,35.2667,34.6333,34,33.3667,32.7333,32.1,34.85,37.6,36.5,35.4,33.35,31.3,,,
Madagascar,,,,,,,,29,30.34,31.68,33.02,34.36,35.7,35.4571,35.2143,34.9714,34.7286,34.4857,34.2429,34,33.54,33.08,32.62,32.16,31.7,34.4,37.1,36.25,35.4,36.5667,37.7333,38.9
Malawi,,,,,,,,34.7,34.4875,34.275,34.0625,33.85,33.6375,33.425,33.2125,33,33.275,33.55,33.825,34.1,32.6833,31.2667,29.85,28.4333,27.0167,25.6,30.65,35.7,35.95,36.2,32.6,29
Maldives,,,,,,,,,,,,,,,,,,,,,6.1,5.1,4.1,3.1,2.1,,,,,,,
Mali,,,50.6,49.5889,48.5778,47.5667,46.5556,45.5444,44.5333,43.5222,42.5111,41.5,41.28,41.06,40.84,40.62,40.4,39.42,38.44,37.46,36.48,35.5,36.0429,36.5857,37.1286,37.6714,38.2143,38.7571,39.3,38.5,37.7,
Mauritania,,,,,,,,,,,,,,,,,15.8,,,,,,,,,,,,,,,
Mexico,,,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,8.1,7.85,7.6,7.35,7.1,6.85,6.6,6.35,6.1,,,,,,,,,,,
Morocco,,,7.6,7.5,7.4,7.3,7.2,7.1,7.05,7,6.95,6.9,6.85,6.8,6.75,6.7,6.65,6.6,6.55,6.5,,,,,,,,,,,,
Mozambique,,,,,,,,,,,,,40,40.1667,40.3333,40.5,40.6667,40.8333,41,40.5625,40.125,39.6875,39.25,38.8125,38.375,37.9375,37.5,,,,,
Namibia,,,,,,,,21.5,21.0125,20.525,20.0375,19.55,19.0625,18.575,18.0875,17.6,17.2857,16.9714,16.6571,16.3429,16.0286,15.7143,15.4,15.9333,16.4667,17,17.5333,18.0667,18.6,,,
Nepal,,,,,,,,,,,,23.9,23.4,22.9,22.4,21.9,21.4,20.82,20.24,19.66,19.08,18.5,18.14,17.78,17.42,17.06,16.7,,,,,
Nicaragua,,,,,,,,,,,,,,27,26.2333,25.4667,24.7,24.7833,24.8667,24.95,25.0333,25.1167,25.2,,,,,,,,,
Niger,,,,,,,,36.2,37.35,38.5,39.65,40.8,41.95,43.1,42.625,42.15,41.675,41.2,40.725,40.25,39.775,39.3,39.4833,39.6667,39.85,40.0333,40.2167,40.4,,,,
Nigeria,,10.4,14.875,19.35,23.825,28.3,27.5889,26.8778,26.1667,25.4556,24.7444,24.0333,23.3222,22.6111,21.9,22.725,23.55,24.375,25.2,24.74,24.28,23.82,23.36,22.9,24.4,25.9,24.7667,23.6333,22.5,27,31.5,
Pakistan,,,,,,,15.7,15.2875,14.875,14.4625,14.05,13.6375,13.225,12.8125,12.4,11.9875,11.575,11.1625,10.75,10.3375,9.925,9.5125,9.1,8.9,8.7,8.5,8.3,8.1,7.9,,,
Paraguay,,,,,,16.8,16.3333,15.8667,15.4,14.9333,14.4667,14,13.9,13.8,13.7,13.6,13.5,13.4,13.3,13.2,12.8,12.4,12,11.6,,,,,,,,
Peru,,12.7,12.4833,12.2667,12.05,11.8333,11.6167,11.4,11.9,12.4,12.9,13.4,13.3,13.2,13.1,13,12.8667,12.7333,12.6,12.4667,12.3333,12.2,12.9,13.6,13.7,13.5,12.5,13.2,,,,
Philippines,,,,,,,,,6.5,6.64,6.78,6.92,7.06,7.2,7.36,7.52,7.68,7.84,8,8.38,8.76,9.14,9.52,9.9,9.94,9.98,10.02,10.06,10.1,,,
Romania,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,
Rwanda,,,,,,,,10.5,10.0375,9.575,9.1125,8.65,8.1875,7.725,7.2625,6.8,6.26,5.72,5.18,4.64,4.1,4.6333,5.1667,5.7,5.9,6.1,5.8667,5.6333,5.4,6.35,7.3,
"Saint Thomas and Principe",,,,,,,,,,,,,,,,,,,,,,,,,22.8,,,,,,,
Senegal,,30.5,29.5429,28.5857,27.6286,26.6714,25.7143,24.7571,23.8,23.425,23.05,22.675,22.3,21.875,21.45,21.025,20.6,20.175,19.75,19.325,18.9,18.4,18.1,17.8,17.5,18.1,18.7,17.1,15.5,17.6,,
"Sierra Leone",,,,,,,,,,,,,,,,,,,,,,,,34,32.78,31.56,30.34,29.12,27.9,,,
"South Africa",,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,
"Sri Lanka",,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
