Country,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,4.409574696,12.57896735,14.8661727,16.9461491,14.55329816,13.7309155,11.61954249,13.97424492,20.29962346,13.22422321,12.9736,12.723,12.4724,12.2218,11.9712,11.7206,11.47,11.2193,10.9687,10.7181,10.4675,10.2169,9.9663,9.7157,9.4651,9.2145,8.9639,8.7133,8.4626,8.212,7.9614,7.7108,7.4602,7.2096,6.959,6.7084,6.4578,6.2072,5.9566,5.7059,5.4553,5.2047,4.9541,4.7035,4.4529,4.2023,3.9517,3.7011,3.450456006,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.859217847,0.81208223,1.169276448,1.978161984,1.851368789,1.448359706,2.009642961,0.939453931,2.627711908,8.662729513,13.68709309,7.453003161,21.814272,11.60241446,17.9732269,21.19194706,26.59078127,31.00305182,1.567523363,8.806638495,11.1789816,0.849838671
Algeria,,,,,59.29276527,65.1364,70.97996543,67.61800629,70.23646817,74.85203677,78.9158,82.979568,92.51028218,92.39138561,93.6056727,95.99430945,96.06850219,97.73095784,98.44517506,97.97747844,97.93673256,98.32378913,97.52970356,97.5224561,97.51086256,97.40477223,94.82183061,95.59007134,96.47399161,96.88382454,95.85411919,95.24022967,96.55741649,94.55674562,92.05111797,96.31965408,96.21682815,96.4844317,97.22213604,96.61197473,96.10536774,97.26684634,97.37868561,98.02786435,97.90890757,97.78888216,97.578776,97.70154455,97.34599821,97.19690097,97.13549124,96.72200034,95.76423179,94.32585987,93.99212825,94.51674062
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171317198,0.008100625,0.006131506,0.014452566,0.099533597,0.136743307,0.213197239,0.003412345,0.006610765,0.001981084,0.001979857,0.000708131,0.006046357,0.00776776,0.067625008,0.001744115,0.003082301,0.09857008,0.128315737,0.123137978,,,
Angola,3.04073582,3.6316,4.2224,4.8132,5.404,5.9948,6.5856,7.176447654,13.3846842,19.94713774,26.84086642,31.39472746,51.64151368,55.166,58.6905,62.215,65.73949948,71.90704201,77.96925028,82.12398696,83.3855,84.647,85.9086,87.1701,88.4316,89.6931,90.9546,92.2162,93.47768034,94.83153609,94.887,94.9424,94.9978,95.0532,95.1086,95.164,95.2195,95.2749,95.3303,95.3857,95.4411,95.4965,95.552,95.6074,95.6628,95.7182156,96.165,96.61177534,96.53454737,96.55676824,97.17792429,96.67956813,96.19440336,94.99479502,,
"Antigua and Barbuda",,,,,,,,,,,,95.52496354,95.58053694,91.9452984,46.0146,0.083817485,0.015360385,0.0416,0.0679,0.0942,0.1205,0.1467,0.173,0.1993,0.2256,0.2518,0.2781,0.3044,0.3307,0.3569,0.3832,0.4095,0.4358,0.462,0.4883,0.5146,0.5409,0.5671,0.5934,0.6197,0.646,0.6722,0.6985,0.724794167,0.676,0.6272,0.5784,0.5296,0.4808,0.432,0.3832,0.3344,0.2856,0.2368,0.188,0.139206347
Argentina,1.080846673,0.822615007,0.432268863,0.615568721,0.878622057,0.525258658,0.905895163,0.358795438,0.429985458,0.488016439,0.322420189,0.171398382,0.314088278,0.494938172,0.503027415,0.492338389,0.807152517,0.62153584,3.464286932,6.780998477,7.1879412,4.265832302,4.091021674,7.307023528,2.241260118,1.34305051,1.524761511,3.387066245,7.800724803,6.256089037,8.721508322,9.464930882,10.48015283,10.37251244,12.99693109,11.73512914,8.667461629,12.22694351,17.73846718,17.12850647,17.0886499,17.12277692,15.99355312,16.38292025,15.40737468,10.99399808,9.447404365,10.34150974,8.12833646,6.119544664,6.374851618,4.758953527,4.751054465,2.611328071,2.532450612,2.865930674
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.740452368,4.7267,8.712978961,10.60785446,8.485239092,3.44490138,2.042303246,3.191339313,2.27720046,2.074116413,1.202724406,0.260615963,0.095418931,3.122871723,8.432720836,7.925194197,6.072730452,6.339750761,6.419701019,3.821998178,3.792964809
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,0.213454205,0.725837079,0.003946842,4.464506993,4.217,3.9695,3.722,3.4745,3.227,2.9794,2.7319,2.4844,2.2369,1.9894,1.7419,1.4944,1.2469,0.9994,0.7518,0.5043,0.2568,0.009318303,0.107469641,0.008437259,0.045857888,0.007036553,0.250656882,0.21533707,0.105049448,
Australia,,3.090529041,2.792618398,3.14492325,3.473815246,3.708591856,4.643527251,4.846593543,5.584824481,6.423086672,6.330870394,6.315477161,8.836919486,11.87486662,12.76315828,13.61313021,14.1659178,12.2444724,11.13926396,16.00640297,18.21982862,23.15693871,24.35702705,26.91108933,22.82888029,20.93769507,17.33031712,17.39474729,21.45436229,23.16558078,22.99979274,22.17236068,18.72537996,19.05253612,19.06438287,19.69421101,19.65591466,19.42212715,21.8804272,21.66596195,21.65209623,20.94319396,21.29230762,26.73189685,25.48688899,24.4223209,34.26717454,31.98203885,30.82319977,29.88328634,30.35744296,27.32312622,28.01940925,26.86441582,27.65392091,32.03142117
