Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Burkina Faso",,,,,,8.68515,8.9904,9.2957,9.6009,9.9062,10.2114,10.5167,10.8219,11.1272,11.4324,11.7377,12.043,12.3482,12.6535,12.9587,13.264,13.56923,13.425,13.2808,13.1366,12.9924,12.84817,14.1303,15.4124,16.6945,17.9766,19.2587,20.5408,21.82292,22.6883,23.55372,22.47258,28.72921,29.5678,30.4064,31.245,32.0836,32.9222,33.7608,34.5994,,
Burundi,,,,,,,,,,22.50855,23.8609,25.2133,26.5657,27.9181,29.2704,30.6228,31.9752,33.3276,34.68,36.0323,37.38472,39.5766,41.7685,43.9604,46.1523,48.3442,50.5361,52.728,54.9198,57.1117,59.30362,57.9012,56.4987,55.0963,53.6938,52.2914,50.889,49.4865,48.08406,50.3317,52.5793,54.8269,57.0745,59.3221,61.56973,,
"Ivory Coast",,,,,,,,,,,,,,,,,,,34.13928,34.3604,34.5815,34.8026,35.0237,35.2448,35.4659,35.687,35.908,36.1291,36.35024,42.5455,48.74076,48.0942,47.4476,46.801,46.1544,45.5078,44.8612,44.2146,43.568,42.9214,42.2748,41.6282,40.98163,42.445,43.90842,,
"Cape Verde",,,,,,,,,,,,,,,,,,,,,62.79686,63.821,64.8451,65.8693,66.8934,67.9175,68.9417,69.9658,70.9899,72.0141,73.0382,74.0623,75.0865,76.1106,77.1347,78.1589,79.183,80.2071,81.2313,82.2554,83.2795,84.3037,85.32779,85.8153,86.3028,86.79029,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.33503,68.3809,69.4267,70.4725,71.5183,72.5641,73.60995,74.6041,75.5982,76.5924,77.58654,73.90003,,,,,,,
Cameroon,,,,,,,41.21621,42.3492,43.4823,44.6153,45.7484,46.8814,48.0144,49.1475,50.2805,51.4136,52.5466,53.6796,54.8127,55.9457,57.0788,58.2118,59.3448,60.4779,61.6109,62.744,63.877,65.01,66.1431,67.2761,68.40916,68.7336,69.058,69.3824,69.7067,70.0311,70.3555,70.67994,70.8835,71.087,71.29051,,,,,,
"Cayman Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.86782,,,,,,,,,
"Central African Republic",,,,,,18.23617,19.4199,20.6036,21.7873,22.971,24.1547,25.3384,26.5222,27.7059,28.8896,30.0733,31.257,32.4407,33.62442,35.0428,36.4612,37.8796,39.298,40.7164,42.1348,43.5532,44.9716,46.39,47.8084,49.2268,50.64517,49.2559,47.8667,46.4774,45.0881,43.6989,42.3096,40.9204,39.5311,38.1419,36.75261,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,10.89465,13.0032,15.1117,17.2202,19.3287,21.4372,23.5457,25.65421,26.336,27.0178,27.6996,28.38143,28.1652,27.949,27.7328,27.5165,27.3003,27.0841,26.8679,26.6517,26.4354,26.2192,26.00299,22.31155
Chile,,,,,,,,,,,,,91.1284,91.4447,91.7609,92.0772,92.3935,92.7098,93.026,93.3423,93.6586,93.9749,94.29114,94.4337,94.5762,94.7188,94.8613,95.0039,95.1464,95.289,95.4315,95.5741,95.71662,96.2054,96.6941,97.1828,97.6715,98.1603,98.64901,98.55368,97.6283,96.70301,96.485,96.26706,,,
China,,,,,,,,,,,,,65.50509,67.0401,68.5751,70.1101,71.6451,73.1801,74.7151,76.2501,77.78506,79.0986,80.4121,81.7256,83.0391,84.3526,85.6662,86.9797,88.2932,89.6067,90.92021,91.3406,91.7611,92.1815,92.6019,93.0223,93.4428,93.8632,94.2836,94.7041,95.12448,,,,,,
Macau,,,,,,,,,,,,90.37818,90.424,90.4699,90.5158,90.5616,90.6075,90.6533,90.6992,90.7451,90.7909,90.8368,90.8826,90.9285,90.9744,91.0202,91.0661,91.1119,91.1578,91.2037,91.2495,91.29537,91.7362,92.1771,92.618,93.0589,93.49975,93.9278,94.3559,94.7839,95.212,95.64004,95.8197,95.9994,96.1791,96.3588,96.53849
Colombia,,,,,,,,,,,,,,,,,,,,,,,,91.06309,91.1111,91.1591,91.20716,91.4067,91.6063,91.8059,92.0055,92.205,92.4046,92.6042,92.80378,92.84866,92.29968,92.65179,93.37818,93.24469,93.37233,93.58053,93.7824,93.9843,94.18625,94.24505,
Comoros,,,,,,,,,,,47.91923,48.9477,49.9762,51.0047,52.0332,53.0617,54.0902,55.1187,56.1472,57.1757,58.2042,59.2327,60.2612,61.2897,62.3182,63.3467,64.3752,65.4037,66.4322,67.4607,68.48923,66.8815,65.2737,63.666,62.0582,60.4504,58.8427,57.2349,55.6272,54.0194,52.4117,50.8039,49.19614,,,,
"Congo (Brazzaville)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.31117,,,,,
"Costa Rica",,,,,,,,,,,,,,,92.62904,92.769,92.9089,93.0489,93.1888,93.3288,93.4687,93.6087,93.7486,93.8886,94.0285,94.1685,94.3084,94.4483,94.5883,94.7282,94.86819,95.099,95.3297,95.5605,95.7912,96.022,96.2528,96.4835,96.7143,96.9451,97.1758,97.40658,,,,,
