Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5,39.22,38.94,38.66,38.38,38.1,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,59.3,57.9737,56.6474,55.3211,53.9947,52.6684,51.3421,50.0158,48.6895,47.3632,46.0368,44.7105,43.3842,42.0579,40.7316,39.4053,38.0789,36.7526,35.4263,34.1,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.2,35.32,32.44,29.56,26.68,23.8,23.75,23.7,23.65,23.6,22.025,20.45,18.875,17.3,15.725,14.15,12.575,11,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,17,17.1,17.2,17.3,17.4,17.92,18.44,18.96,19.48,20,17.9667,15.9333,13.9,11.8667,9.8333,7.8,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8,23.9333,24.0667,24.2,24.3333,24.4667,24.6,23.5857,22.5714,21.5571,20.5429,19.5286,18.5143,17.5,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.3,60.49,59.68,58.87,58.06,57.25,56.44,55.63,54.82,54.01,53.2,53.0667,52.9333,52.8,52.6667,52.5333,52.4,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.3,34.1538,34.0077,33.8615,33.7154,33.5692,33.4231,33.2769,33.1308,32.9846,32.8385,32.6923,32.5462,32.4,31.575,30.75,29.925,29.1,
"Burkina Faso",,,,,,,,,,,,,,,,,,,,,,,,36.4,36.8,37.2,37.6,38,38.4,38.8,39.3,39.8,40.3,40.8,39.3333,37.8667,36.4,35.425,34.45,33.475,32.5,30.8,28.7,27.4,26.1,24.55,23,19.4,22,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,56.3,53.6,50.9,50.6,50.3,50,49.7,47.3667,45.0333,42.7,42.525,42.35,42.175,42,39.8333,37.6667,35.5,,,,,
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10.95,10.9,10.85,10.8,10.75,10.7,10.4,10.1,9.8,9.5,9.2,8.9,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2,20.16,20.12,20.08,20.04,20,18.425,16.85,15.275,13.7,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,31.88,31.76,31.64,31.52,31.4,30.36,29.32,28.28,27.24,26.2,23.725,21.25,18.775,16.3,16.25,16.2,16.15,16.1,,,
Brazil,,,,,,,,,,,,,,,,,,,,18.5,17.4429,16.3857,15.3286,14.2714,13.2143,12.1571,11.1,10.6182,10.1364,9.6545,9.1727,8.6909,8.2091,7.7273,7.2455,6.7636,6.2818,5.8,,,,,,,,,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.4,42.1,40.8,39.5,38.2,36.9,35.6,34.3,33,31.7,32.65,33.6,,,,,,,,,
