Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,880,837,1390,1991,552,1981,1843,628,307,55,48,2,4.8333,7.6667,10.5,13.3333,16.1667,19,59,150,120,11,10,8,4,9,31,17,31,38,30,81,46,17,28,20,13,,,
Albania,1,1,1,1,1,1,1,1,1,1,1,1,1,1,46.6667,92.3333,138,,,,,,,,,,,,,,,,,,,,,,,
Algeria,116,114,71,132,108,66,29,35,9,18,2,1.5,1,1,4,4,7,8,9,10,5.5,1,,,,,,,,,,,,,,,,,,
Angola,32,12,6,4.5,3,14,37,15,37.3333,59.6667,82,104.3333,126.6667,149,54,152,81,15,7,1103,115,1,3.25,5.5,7.75,10,2,8,29,29,33,5,20.625,36.25,51.875,67.5,83.125,98.75,114.375,130
Argentina,32,2,12,26,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,,,,,,,,,,,,3,1,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,21,22,69,16,5,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,6,5,4.75,4.5,4.25,4,3.75,3.5,3.25,3,2.75,2.5,2.25,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,65,98,319,128,128,89,158,102,540,449,374,287,209,233,289,49,97,173,299,393,198,168,138,108,78,48,18,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,1,1,1,1,1.1667,1.3333,1.5,1.6667,1.8333,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,155,215,138,59,52,89,95,74,31,55,81,18,89,17,57,7,6,3,8,37,1,1.3333,1.6667,2,6,6,6,6,6,20,18.8,17.6,16.4,15.2,14,12.8,11.6,10.4,9.2,8
Bhutan,6,6.25,6.5,6.75,7,2,6,21,36,32.6,29.2,25.8,22.4,19,15.6,12.2,8.8,5.4,2,,,,,,,,,,,,,,,,,,,,,
Bolivia,48,9,10,7,6,5,4,7,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,1,1,4,2,5,3,2,1,1,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3,2.7143,2.4286,2.1429,1.8571,1.5714,1.2857,1,,,,,,,,,,,,,,,
Brazil,1342,122,69,45,82,329,612,197,107,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,15,8,1,1,1,1,1,1,1,1,23.5,46,41.6,37.2,32.8,28.4,24,19.6,15.2,10.8,6.4,2,,,,,,,,,,,,,,,,,,
"Burkina Faso",145,128,120,132,105,123,95,50,21,44,18,15,4,3,5,12,7.5,3,6,5,3.6667,2.3333,1,11,9,8.25,7.5,6.75,6,15,13.6,12.2,10.8,9.4,8,6.6,5.2,3.8,2.4,1
Burundi,43,102,32,37,46,25,22,9,12,22,10,7,13,5,43,10,27,18.3333,9.6667,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,,,,,,,,,,
"Cape Verde",17,10,2,48,3,6,6,3,2,6.5,11,15.5,20,24.5,29,33.5,38,42.5,47,51.5,56,,,,,,,,,,,,,,,,,,,
Cambodia,591,568,815,130,974,931,628,306,104,179,63,84,146,135,297,130,84,8,7.125,6.25,5.375,4.5,3.625,2.75,1.875,1,1,,,,,,,,,,,,,
Cameroon,255,333,230,151,137,134,107,55,123,43,38,75,37,30,12,8,51,21,16,1,1.25,1.5,1.75,2,13,1,2,2.3333,2.6667,3,4.25,5.5,6.75,8,5,,,,,
Canada,,,,,1,1,1.6667,2.3333,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Central African Republic",21,149,69,70,176,63,95,52,54,43,28,10,2,11,32,4,3,10,6,18,3,2.3333,1.6667,1,30,23.25,16.5,9.75,3,14,9,4,6.125,8.25,10.375,12.5,14.625,16.75,18.875,21
Chad,,,,24,9,45,9,29.3333,49.6667,70,90.3333,110.6667,131,151.3333,171.6667,192,93,326,4,110,60,48.3333,36.6667,25,24,2,1,22,37,64,27,132,17,4,5,6,7,8,9,10
Chile,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,7442,9625,7741,3296,1626,1537,1844,969,667,4623,5065,1926,1191,653,261,165,3,2.3333,1.6667,1,1.2,1.4,1.6,1.8,2,4.7143,7.4286,10.1429,12.8571,15.5714,18.2857,21,2,1.8571,1.7143,1.5714,1.4286,1.2857,1.1429,1
Colombia,129,475,141,64,16,5,66,117,33,14,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo (Brazzaville)",136,19,9,16,12,6,12,1,1,1.8182,2.6364,3.4545,4.2727,5.0909,5.9091,6.7273,7.5455,8.3636,9.1818,10,47,86.4,125.8,165.2,204.6,244,283.4,322.8,362.2,401.6,441,1,,,,,,,,
