Country,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Fiji,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,,,,,
Finland,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
France,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Gabon,,,,,,,,,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2
Gambia,1,1,1,1,2,2,1,2,2,2,2,2,2,1.8,1.6,1.4,1.2,1,1,1,1,1,2,1,1,2,2,2,1,1,1
Georgia,,,,,,,,,,,,,,1,2,2,1,1,1,1,1,1,1,1,1,1,1.5,2,1.5,1,
Germany,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ghana,,,,,,,,,,,,1,2,2,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,2,2
Greece,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,1,2,1,1,1,1,1,1,1,1
Grenada,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2
Guatemala,,,,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,1,2,2
Guinea,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
"Guinea Bissau",,,,,,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,1,1,1,1,2,2,2
Guyana,,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
Haiti,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,1
Honduras,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1
Hungary,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,1
Iceland,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
India,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,
Indonesia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,
Ireland,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
Israel,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,,,,,
