Country,2012,2013,2014,2015,2016,2017,2018
Pakistan,0.36,0.3835,0.407004817,0.41263812,0.408397218,0.395,0.381618817
Panama,0.38,0.4015,0.423054801,0.427479445,0.404375017,0.4595,0.51456557
Peru,0.36,0.3547,0.349385447,0.373222484,0.347163161,0.3852,0.423251668
Philippines,0.39,0.4015,0.412924242,0.421782541,0.425970078,0.4221,0.418320519
Poland,0.8,0.7919,0.783756764,0.822567764,0.832684403,0.8469,0.861127112
Portugal,0.77,0.7509,0.731771064,0.807596274,0.825439867,0.8514,0.877267291
Romania,0.62,0.6029,0.585879212,0.633100978,0.656435155,0.7005,0.744576017
Russia,0.42,0.4172,0.414321212,0.462516785,0.454055548,0.498,0.541988052
"Saint Kitts and Nevis",,,,,0.870984385,0.9137,0.956327996
"Saint Lucia",,,,,0.844842299,0.8822,0.919550844
"Saint Vincent and Grenadines",,,,,0.770885483,0.7896,0.808371305
Senegal,0.46,0.4454,0.430810289,0.520861431,0.540767618,0.5502,0.559558953
Serbia,0.45,0.4308,0.411586369,0.414181124,0.42632745,0.4339,0.441391726
"Sierra Leone",0.35,0.3349,0.319786474,0.284261445,0.317780251,0.3428,0.367847659
Singapore,0.92,0.8794,0.83882619,0.919799388,0.913814724,0.8898,0.865834408
Slovenia,0.75,0.7194,0.688740254,0.744611694,0.748121388,0.7148,0.681474648
"South Africa",0.67,0.642,0.614042288,0.65764383,0.723519846,0.7216,0.719761334
"South Korea",0.84,0.8183,0.796531524,0.896953496,0.828417365,0.844,0.859492181
Spain,0.84,0.7855,0.731096381,0.777078446,0.789143654,0.8201,0.85111602
"Sri Lanka",0.64,0.5993,0.558679034,0.573932558,0.543368135,0.5716,0.599908529
Suriname,,,,,0.754654131,0.7551,0.755506685
Sweden,0.96,0.9586,0.957154822,0.944202653,0.94057017,0.958,0.975500746
Tanzania,0.41,0.3949,0.379727885,0.327452837,0.371370286,0.3848,0.398194684
Thailand,0.58,0.5959,0.611830676,0.60565818,0.608979167,0.6604,0.711753099
"Trinidad and Tobago",,,,,0.759341847,0.7425,0.725586569
Tunisia,0.55,0.5352,0.520472648,0.463691195,0.402541739,0.4279,0.453326198
Turkey,0.61,0.6125,0.615023195,0.532365671,0.529742051,0.55,0.570331651
Uganda,0.43,0.4233,0.416552502,0.390728972,0.388676131,0.3655,0.342399776
Ukraine,0.38,0.3966,0.413283387,0.374442093,0.370010918,0.4007,0.431318538
"United Arab Emirates",0.78,0.7845,0.78899437,0.834426193,0.859888717,0.8136,0.767410602
"United Kingdom",0.87,0.8586,0.847167631,0.930132696,0.945763343,0.952,0.958307963
"United States",0.88,0.8471,0.814228027,0.866956057,0.86801706,0.8861,0.904213515
Uruguay,0.81,0.7946,0.77912078,0.825552965,0.855438218,0.8832,0.910958338
Uzbekistan,0.29,0.343,0.395985942,0.418940808,0.356412365,0.3364,0.316461302
Venezuela,0.24,0.2378,0.235652364,0.211663298,0.146971274,0.1809,0.214754469
Vietnam,0.28,0.2873,0.294551031,0.347701688,0.357406079,0.3773,0.39712631
Zambia,0.49,0.4882,0.486337635,0.487048664,0.509936753,0.5283,0.546674674
Zimbabwe,0.4,0.412,0.423972524,0.414360306,0.393038359,0.3959,0.398708708
