Country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albania,6.6,2.4,6.6,5.9,8.4,4.1,9.5,7.7,7.5,8.5,4.2,6.5,6.5,6.5,6.6,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,2.7,2.6,2.6,2.7,2.6,2.6,2.8,2.5,2.6,2.7,2.6,2.6,2.6,2.6,2.6,2.6,2.6,-28,-7.2,9.6,8.3,13.3,9.1,-10.8,9,13.5,6.6,7.9,4.2,5.7,5.7,5.8,5.4,5.9,7.5,3.4,3.7,2.5,1.6,1.4,1.5,2.5
Algeria,0.7,4.5,2.2,5.9,3,9.8,11.3,3.6,18.3,6.8,-12.1,-21.2,26.4,5.2,6.7,-4.8,9.4,11.7,9.6,10,-8.5,21,3.3,6.1,7.1,6.6,9.1,12.8,9,1.9,2.5,6.4,5.2,5.5,5.2,-1,-0.7,-2.1,3.4,-1.6,-1.2,1.6,-2.1,-0.9,3.8,3.8,1.1,5.1,3.2,3.8,3,5.6,7.2,4.3,5.9,1.7,3.4,2.4,1.6,3.6,2.8,3.3,2.8,4.1,2.8
Angola,3.7,3.8,3.7,-2.7,8,-1.9,9.5,5.3,0.5,4.1,10.4,-2.9,5.4,11.7,8,5.4,5,-1.3,3.4,7.1,0.3,1.5,6.9,-5,-38.4,-10.2,2.3,4.1,2.4,4.8,-2,-4.8,-3.3,0.5,0.5,-9,11.3,14.3,1.7,3.5,1,-5.8,-24,1.3,15,20,5.5,4.35,3.2,3,3.1,14.5,3.3,11.2,20.5,18.6,23.2,13.8,2.4,3.5,3.9,5.2,5.1,4.2,4.4
Argentina,3.9,-5.1,5.4,4.1,7.1,2.8,5.1,6.1,-6.5,7.8,7.2,-1.6,-2.4,10.3,9.1,0.7,2.7,4.3,8.5,5.4,4.8,3.1,6.1,6.5,-0.9,-0.2,6,-4.4,7.1,1.4,-5.7,-3.2,3.5,2,-6.6,7.3,2.6,-1.9,-6.2,0.1,9.6,7.6,6.3,6.2,-2.9,5.2,7.7,4.4,-3,-0.5,-4.3,-10.8,7.9,7.3,8.5,7.8,8,3.5,-4,8.7,5.3,-1.2,1.9,-2,-1
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,4.4,2.2,4.8,4.6,0.6,-4.5,-3.7,7,-6.7,-11.7,-41.8,-8.8,5.4,6.9,5.9,3.3,7.3,3.3,5.9,9.6,15.1,14,10.5,13.9,13.2,13.7,6.9,-14.2,2.2,4.7,7.2,3.5,3,
Australia,4.3,0.9,3.1,6.2,5.5,3.4,2,4.8,6.2,4.2,0.7,6.2,6.1,6.8,5.1,2.8,6.8,5.9,6.1,6.4,4.4,2.8,5.4,2.5,2.7,4,1,2.9,5.3,2,3.9,-0.1,3.4,6.9,5.1,2.1,4.9,4.5,4.4,1.5,-0.9,2.5,4,4.8,3.1,4.1,4.3,4.8,4.3,3.1,2.4,4,3.1,4,3.1,2.8,4.5,2.7,1.5,2.2,2.9,3.5,2.1,2.6,3.2
Austria,6.8,0.1,4.4,10.2,11.1,6.9,6.1,3.7,2.8,8.2,5.3,2.4,4.1,6,2.9,5.6,3,4.4,6.3,7.1,5.1,6.2,4.9,3.9,-0.4,4.6,4.7,-0.4,5.5,2.3,-0.1,1.9,2.8,0.3,2.2,2.3,1.7,3.2,4.2,4.6,3.4,2.1,0.5,2.4,2.7,2.4,2.2,3.6,3.6,3.4,1.4,1.7,0.8,2.7,2.1,3.4,3.6,1.5,-3.8,1.9,3.1,0.9,0.2,0.3,0.8
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,6.2,3.9,6.1,4,2.7,5.3,5.2,-8.1,-11,-0.7,-22.6,-23.1,-19.6,-11.8,1.3,5.8,10,7.4,11.1,9.9,10.6,11.2,10.1,26.5,34.4,25.1,10.7,9.3,5,0.6,2.2,5.8,2.8,3
Bahrain,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.5,6.4,6.4,6.3,6.5,6.4,6.4,6.8,7.9,7.9,7.9,8.6,-10.6,16.3,12,7.7,-0.4,7.5,2.8,6.4,7,4.2,-0.3,2.3,2,3.5,2.5,3.55,4.6,7.8,12.9,-2.1,1.9,3.3,2.3,4.9,6,7,2.5,3.3,6.3,7,6.8,6.5,8.3,6.2,2.5,4.3,2.1,3.6,5.3,4.5,2.7
Bangladesh,1.4,2.9,1.4,2,-5.3,10.5,-2.1,-1.9,5.3,5.7,5.7,-0.5,10.6,1.1,4.9,1.3,-2.2,9.3,1.4,5.4,-4.4,-11.9,0.7,13.4,-1.2,4.4,1,7.4,4.8,0.8,3.4,1.2,4.9,5.4,3,4.3,4.2,2.9,2.5,6.6,3.4,3.8,3.9,4.5,4.8,5,5.3,5,5.4,5.6,4.8,4.8,5.8,6.1,6.3,6.5,6.3,6,5.9,6.4,6.6,6.3,6.1,6.1,6.3
