Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,18,15,13,14,15,8,8,12,11,15,15
Albania,NA,NA,NA,NA,23,NA,NA,25,25,25,24,26,29,34,32,33,31,33,31,33,36,39,38
Algeria,NA,NA,NA,NA,NA,NA,NA,NA,26,27,28,31,30,32,28,29,29,34,36,36,36,34,33
Angola,NA,NA,NA,NA,NA,17,NA,17,18,20,20,22,22,19,19,19,20,22,23,19,15,18,19
Argentina,52,34,28,30,30,35,35,28,25,25,28,29,29,29,29,29,30,35,34,34,32,36,39
Armenia,NA,NA,NA,NA,25,25,NA,NA,30,31,29,29,30,29,27,26,26,34,36,37,35,33,35
Australia,88,86,89,87,87,83,85,86,88,88,88,87,86,87,87,87,88,85,81,80,79,79,77
Austria,71,76,76,75,76,77,78,78,80,84,87,86,81,81,79,79,78,69,69,72,76,75,75
Azerbaijan,NA,NA,NA,NA,17,15,20,20,18,19,22,24,21,19,23,24,24,27,28,29,29,30,31
Bahamas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,71,71,71,NA,66,65
Bahrain,NA,NA,NA,NA,NA,NA,NA,NA,61,58,58,57,50,54,51,49,51.09879,51,48,49,51,43,36
Bangladesh,NA,NA,NA,NA,NA,NA,4,12,13,15,17,20,20,21,24,24,26.56912,26,27,25,25,26,28
Barbados,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,69,67,69,70,74,78,78,76,75,74,NA,61,68
Belarus,NA,NA,NA,39,34,41,NA,48,42,33,26,21,21,20,24,25,24,31,29,31,32,40,44
Belgium,68,68,53,54,53,61,66,71,76,75,74,73,71,73,71,71,75,75,75,76,77,77,75
Belize,NA,NA,NA,NA,NA,NA,NA,NA,45,38,37,35,30,29,NA,NA,NA,NA,NA,NA,NA,NA,
Benin,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,29,25,27,31,29,28,30,36,36,39,37,36,39
Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,50,52,50,57,57,63,63,65,65,65,67
Bolivia,NA,34,20,28,25,27,20,22,23,22,25,27,29,30,27,28,28,34,34,35,34,33,33
"Bosnia and Herzegovina",NA,NA,NA,NA,NA,NA,NA,NA,33,31,29,29,33,32,30,32,32,42,42,39,38,39,38
Botswana,NA,NA,NA,61,61,60,60,64,57,60,59,56,54,58,56,58,61,65,64,63,63,60,61
Brazil,27,30,36,40,41,39,40,40,39,39,37,33,35,35,37,37,38,43,42,43,38,40,37
Brunei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,55,52,55,60,NA,NA,58,62
Bulgaria,NA,NA,NA,29,33,35,39,40,39,41,40,40,41,36,38,36,33,41,41,43,41,41,43
"Burkina Faso",NA,NA,NA,NA,NA,30,NA,NA,NA,NA,34,32,29,35,36,31,30,38,38,38,38,42,42
"Burma (Myanmar)",NA,NA,NA,NA,NA,NA,NA,NA,16,17,18,19,14,13,14,14,14.90296,15,21,21,22,28,30
Burundi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,24,25,19,18,18,19,19,21,20,21,20,22
Cambodia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,21,20,18,20,21,21,22,20,21,21,21,21
Cameroon,NA,NA,NA,14,15,20,20,22,18,21,22,23,24,23,22,22,25,26,25,27,27,26,25
Canada,89,87,91,92,92,92,89,90,87,85,84,85,87,87,87,89,87,84,81,81,83,82,82
"Cape Verde",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,51,51,51,55,60,58,57,55,59,55
"Central African Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,20,20,20,21,22,26,25,24,24,20,23
Chad,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,17,20,18,16,16,17,20,19,19,22,22,20,20
Chile,80,68,60,68,69,74,75,75,74,74,73,73,70,69,67,72,72,72,71,73,70,66,67
China,22,24,29,35,34,31,35,35,34,34,32,33,35,36,36,35,36,39,40,36,37,40,41
Colombia,34,27,22,22,29,32,38,36,37,38,40,39,38,38,37,35,34,36,36,37,37,37,37
Comoros,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,25,23,21,24,28,28,26,26,24,27
"Congo (Brazzaville)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,21,NA,NA,NA,NA,NA,20,21
"Congo (Kinshasa)",NA,NA,NA,NA,NA,NA,NA,NA,NA,20,21,20,19,17,19,20,20.21067,21,22,22,22,21,21
"Costa Rica",NA,NA,65,56,51,54,45,45,43,49,42,41,50,51,53,53,47.98095,54,53,54,55,58,59
"Ivory Coast",NA,NA,NA,31,26,27,24,27,21,20,19,21,21,20,21,22,22.33704,29,27,32,32,34,36
Croatia,NA,NA,NA,NA,27,37,39,38,37,35,34,34,41,44,41,41,40.34245,46,48,48,51,49,59
Cuba,NA,NA,NA,NA,NA,NA,NA,NA,46,37,38,35,42,43,44,37,41.63939,48,46,46,47,47,57
Cyprus,NA,NA,NA,NA,NA,NA,NA,NA,61,54,57,56,53,64,66,63,62.65644,66,63,63,61,55,57
"Czech Republic",NA,54,52,48,46,NA,39,37,39,42,43,48,52,52,49,46,43.68084,49,48,51,56,55,57
Denmark,93,93,99,100,100,98,95,95,95,95,95,95,94,93,93,93,93.9208,90,91,92,91,90,88
Djibouti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,30,28,32,29.8107,36,36,34,34,30,31
Dominica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,56,60,59,52,51.7456,58,58,58,NA,59,57
"Dominican Republic",NA,NA,NA,NA,NA,NA,31,35,33,29,30,28,30,30,30,30,25.89769,32,29,32,33,31,29
Ecuador,NA,NA,NA,23,24,27,23,22,22,24,25,23,21,20,22,25,26.50216,32,35,33,32,31,32
Egypt,NA,NA,NA,29,33,31,36,34,33,32,34,33,29,28,28,31,28.62187,32,32,37,36,34,32
"El Salvador",NA,NA,NA,36,39,41,36,34,37,42,42,40,40,39,34,36,34.24892,38,38,39,39,36,33
"Equatorial Guinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,21,19,17,18,19,19.1,20,19,NA,NA,NA,17
Eritrea,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,26,29,28,26,26,26,24.75597,25,20,18,18,18,20
Estonia,NA,NA,NA,57,57,57,56,56,55,60,64,67,65,66,66,65,63.5,64,68,69,70,70,71
Ethiopia,NA,NA,NA,NA,NA,32,NA,35,25,23,22,24,24,26,27,27,26.90912,33,33,33,33,34,35
Fiji,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Finland,91,90,95,96,98,100,99,97,97,97,96,96,94,90,89,92,94.03927,90,89,89,90,89,85
France,70,67,70,67,66,67,67,63,69,71,75,74,73,69,69,68,70.05064,71,71,69,70,69,70
Gabon,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,29,30,33,31,29,28,29.83002,35,34,37,34,35,32
