Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,1490,1576,1510,1349,1695,2084,2073,2121,2248,2105,1691,1935,2066,1738,1925,1780,1584,1650,1802,2001,1683,1674,1704,1811,1673,1800,1976,1950,1764,2102,1957,2126,1995,2087,1978,1964,2002,2076,2135,2232,2219,2201,2528,2725,2717,2531,2379,2305,2532,2390,2357,2372,2615,2670
Albania,1652,2154,2173,2990,2155,2368,2289,2149,2078,1789,2182,2012,2487,2573,2997,2775,3057,2820,2721,2113,2187,2096,3448,3386,2693,2311,2397,1636,2226,1327,1720,1074,1329,1514,1985,1483,1798,2468,2273,2608,3412,2346,1886,3713,2472,2639,2557,2835,4331,4572,4978,6393,5251,5416
Algeria,63825,62612,70105,81040,84487,62997,63861,72187,2602,2957,2815,2511,1718,2224,2442,2623,1533,1132,2264,1755,3251,2430,2333,2345,3070,3585,3413,3050,2654,3206,2173,4001,3301,2783,2328,4448,4578,2173,5006,3184,2872,2572,2132,4348,2855,2495,1972,2257,3781,2555,4420,2815,3782,2916
"American Samoa",2243,2570,2925,3033,2730,3033,3033,2817,2600,2371,2383,2210,2241,2321,2364,2407,2500,2600,2438,2492,2492,2546,2600,2657,2600,2600,2595,2654,2708,2632,2797,2777,2766,2772,2778,2783,2788,2794,2777,2804,2817,2828,2857,2777,2930,3022,3123,3229,3416,3386,3425,3434,3611,3607
Angola,5430,5150,4745,5163,4390,4702,4688,4702,4525,4145,3664,4299,3625,3647,4042,3725,3447,3691,3969,5804,5417,5387,5541,5465,5589,5606,5936,6704,6566,6336,6146,5966,6156,6157,5969,6691,6948,6958,6498,6266,5007,4998,3921,3429,3598,3696,3068,2723,3005,3030,2968,2598,2898,3243
"Antigua and Barbuda",851,725,500,512,400,365,336,419,480,500,521,514,603,547,886,630,674,725,485,268,145,77,200,213,264,204,204,198,181,181,167,167,167,167,160,160,160,160,160,147,155,150,144,144,144,144,137,144,144,149,149,186,184,202
Argentina,2382,2561,2363,2351,2577,2678,2998,3305,2469,3094,2905,2618,2696,2724,2618,3023,3227,3193,3434,3002,3474,3788,3761,4044,4225,4311,3833,4333,3761,4324,4701,4388,4328,4567,4850,4583,4140,5121,5036,4941,4861,5138,5229,4289,5176,5053,5381,5365,3572,5242,4954,4370,4817,5088
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1654,,,,,,,,,,,,,,,,,,,,,,
Australia,2109,2230,2107,2645,1733,2777,2355,2726,2315,2581,2375,2167,2056,2575,2394,2719,2445,2997,3052,2710,3054,3096,2361,2939,3485,3350,3250,3525,3742,3680,3858,4291,4114,2894,4286,4414,4184,4608,4403,4340,4517,2992,4976,4143,5214,2758,3715,4226,4264,4295,4134,5308,4854,5301
Austria,6166,5978,5369,5783,6158,6929,7119,6486,6172,6136,5778,5566,5060,5067,5210,5072,5246,5311,4944,5023,5560,5799,6678,6400,7276,6584,9075,9133,9431,8349,9304,6826,7278,8556,9325,6417,7137,8117,8797,7504,7907,7621,6495,8513,7950,8062,7929,9249,8298,7910,8408,7149,7972,8657
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1331,1171,1270,1107,1086,587,725,1069,1209,1567,2120,2467,2489,2343,2120,2284,2871,3866,3262,3205,4108,4570,4573
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10198,10214,10205,10242,10251
Bangladesh,1814,1849,1873,1886,2120,2151,2333,2507,2544,2498,2538,2389,2291,2255,2318,2233,2289,2477,2319,2486,2230,2383,2478,2529,2683,2609,2551,2640,2473,2524,2565,2714,2893,2653,2707,2686,2748,2829,2863,2927,2897,3013,2925,3034,3235,3216,3294,3509,3248,3435,3538,3519,3625,3743
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,3900,4480,4094,4100,4100,4104,4102,4113,4105,4058,4208,3979,4098,4096,4000,3991,3956,3956,4024,3929,3928,3926,3910,4066,4255,4247,4510,5209,5207,5251
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1472,1443,1380,1489,1748,1838,1803,1510,2067,2423,2175,2422,3351,3425,3034,3801,5708,6106,4077,4270,5898,5930,6583
Belgium,2291,2302,2109,2247,2132,2013,2582,2486,2515,2552,2881,3588,3629,3170,2704,3154,2927,3366,3405,3430,3875,4976,5653,5167,4283,5373,5834,5414,5341,5927,7365,6025,6321,6252,6844,7768,7770,7352,8332,,,,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,3770,3900,3900,4160,3043,4163,4344,4516,5682,6212,5936,6247,4265,5054,4308,4651,3901,2472,2682,3463,3797,4039,3930,3715,4304,3851,4124,3830,3341,2413
Benin,4613,3946,4388,5290,4509,4373,3826,4181,4743,4532,4105,3334,3847,4153,5671,6318,5450,3542,3609,4768,4196,4155,4180,4073,3592,2728,3027,2817,2629,2549,2226,2378,2511,2145,2150,1918,1690,1739,1874,2367,2382,2234,2153,2291,2561,3134,2918,3013,3373,3347,3208,2611,2657,2503
Bhutan,2200,2179,2179,2215,2215,2250,2229,2229,2209,2209,2240,2240,2270,2298,2325,2304,2329,2354,2333,1989,1923,1864,1723,1897,1843,1800,1485,1161,1178,1055,1138,1191,1246,1311,1381,1422,1502,1584,1640,1211,1277,1385,3524,3268,3063,2407,1927,2097,2476,3058,6093,2542,3805,3564
Bolivia,2995,3022,3213,2704,2963,3095,3100,3427,2976,3075,2169,1526,2009,2084,1814,1974,1845,2041,2032,2026,2813,3105,2465,2843,2468,3336,3323,3330,3605,3084,3667,2915,4051,3988,3563,3240,3299,3265,2825,3176,3329,3396,3919,3353,3006,2943,3119,3255,3816,2983,2843,3756,3797,3817
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3961,3368,3500,4208,3185,3623,3347,4157,3114,5281,5600,2145,4679,4211,4220,4149,4469,4737,3943,3968,2496,4025,4711
Botswana,2469,2313,2434,3752,5097,2714,2490,2536,2692,2073,2685,1743,1746,1591,1338,1311,1244,1203,840,1119,1668,1737,2818,1526,2774,1784,1729,1939,2233,2164,2247,2317,2062,2583,3142,4142,2681,1732,3731,3741,3762,3691,4456,3936,4002,4107,5703,3958,2343,2959,4363,4410,2238,1303
Brazil,1782,1866,1779,1718,1945,2135,1506,1488,1514,1553,1611,1812,1830,2167,2259,2406,2378,1830,1941,2493,2556,2257,2658,2531,2769,2279,3010,2797,3238,2933,2688,3343,3643,3717,3785,3954,4153,4231,4346,4404,5078,4861,5170,4309,4164,4445,5184,5228,4930,5448,5701,4928,5445,5323
Brunei,2600,2047,2093,1978,1960,1960,2438,2494,2403,1988,2528,2306,2461,2500,2460,1425,1557,530,457,568,569,3744,4063,6589,2022,2022,2022,1988,2113,1926,2056,1959,1950,1912,2115,2354,2192,2231,2182,2197,2196,2199,2186,2130,2216,2217,2275,2258,2251,2248,2254,2261,2267,2274
Bulgaria,3900,4255,4274,4759,4638,5501,5853,5442,6355,4918,5619,6097,5921,4667,6130,5118,5655,4869,5738,4803,5474,6687,5775,5823,4326,6375,5416,5579,6741,5071,5941,4799,3596,4767,5131,4095,3822,3851,4093,3375,4058,5409,4780,7245,5934,6381,3994,7484,7752,8702,7910,7202,9083,9736
