Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,,,,,,,,,29,,,
Albania,1006,1651,1414,3124,2236,896,1696,236,824,50,22,21,39,18,20,19,18,17,6,13,5
Algeria,,,,,,,,,,,,,,,27,47,67,,,,
Andorra,,,4,2.5,1,2,1,3,4,3.4,2.8,2.2,1.6,1,2,3,3,7,5,31,20
Angola,,,,,,23,,,,,,,,,,,,,,,
Argentina,24028,20999,17970,15807.6667,13645.3333,11483,10727,11461,11575,12198,5913,5083,5481,4619,3772,87,156,74,4396,7715,9278
Armenia,11380,3431,987,1759,1131.5,504,167,128,133,98,71,38,15,6,2,2,4,1,8,4,1
Australia,178,212,113,68,76,106,240,409.5,579,286,164,89,145,195,216,187,633,800,806,634,168
Azerbaijan,4265,6817,7138,5178,794,508,303,162,129,82,232,125,101,126,76,9,6,,,,
Bahamas,,,,,,,,,,,3,,,,,,,,,,
Bahrain,48,167,21,28,35,35,87,22,91,77,16,46,18,29,59,21,36,24,15,12,39
Belarus,23104,19069,10758,7044,2189,759,502,446,318,245,172,88,48,61,8,4,3,4,4,1,8
Belgium,,,6,50,94,56,70,54,54,46,59,31,15,2687,4573,228,163,153,183,230,234
Belize,,,,3,12,21,30,24,27,30,33,36,19,2,4.4,6.8,9.2,11.6,14,11,13
Bhutan,25554,1967,5333,4035.75,2738.5,1441.25,144,158.8,173.6,188.4,203.2,218,262,198,20,206,620,795,259,27,254
Bolivia,,680,1915.75,3151.5,4387.25,5623,6858.75,8094.5,9330.25,10566,3696,1781,1096,930,764,586,3409.6667,6233.3333,9057,36,13
"Bosnia and Herzegovina",1237,3577,2531,1485,813,141,93,91,83,54,474,209,8209,7881,5272.6667,2664.3333,56,170,113,80,
Brunei,57,33,35,31,27,21,25,30.3333,35.6667,41,1,12,19,14,8.5,3,3,3,2,1,1
Bulgaria,15845,2357,1446,334,180,91,608,911,5299,5582,1111,317,139,58,25,31,18,19,15,27,50
"Burkina Faso",,,,,,,,,,,,,,,8090,12884.5,17679,18272,18865,26982,15008
"Cape Verde",,,,2,3.8333,5.6667,7.5,9.3333,11.1667,13,3,42,198,40,11,1,1,,,,
Cambodia,,,,,,,,,,,,,,17,,,,,,,
Canada,,88,142.5,197,20,32,83,37,1108,748,214,799,282,54,92,40,65,309,2157,787,186
Chile,2253,2352,2262,2044,1826,1491,1587,1497,1387,1243,825,891,950,876,821,863,1346,1265,6069,14865,4829
China,,,,,,226619,291135,273242,252701,310826,299329,298932,454385,479518,327759,187500,182833,175001,252740,259071,
Colombia,,,1401,1401,1505,1545,2366,2243,2294,5930,9457,10376,15926,9377,7884,7368,6573,10452,17835,19105,15125
Comoros,,,,,,,,,,,109,94.4286,79.8571,65.2857,50.7143,36.1429,21.5714,7,64,27,10
"Cook Islands",,,,,1,105.75,210.5,315.25,420,,,,,,,,,,,,
"Costa Rica",432,419,298,290,282,66,46,40.75,35.5,30.25,25,17,1,30,41.25,52.5,63.75,75,54,127,7
"Ivory Coast",,,,,,,,,,,,,,,,,,,,3248,687
Croatia,175,152,116,101,72,84,155,66,74,110,56,37,86,95,35,32,29,33,15,24,15
Cuba,,,,,,279,346,882,267,11,4,1,,,,,,,,,
Cyprus,,,,,,14,5,4.3333,3.6667,3,5,2,2.5,3,2,1,2,1,2,3,
"Czech Republic",117,120,107,748,753,244,1803,5172,1297,403,357,1068,2885,3902,1553,677,1616,5734,1407,516,191
"North Korea",,,,2710,2710,2050,187,176,176,67,18,42,66,11,,,,,,,
Denmark,,34,15,12,3,8,11,13,11,24,17,32,13,15,60,41,15,15,11,17,16
"Dominican Republic",,2760,1843.3333,926.6667,10,708.1429,1406.2857,2104.4286,2802.5714,3500.7143,4198.8571,4897,3430.6667,1964.3333,498,1784,2087,1833,1910,1572,1848
Ecuador,,,,,,,1037,524,11,626,837,1331,733,799,1308,1522,1491,1352,1472,2699,2701
Egypt,,1390,849,744,639,445,251,251,108,50,33,26,531,10460.5,20390,7626,5143,803,5891,4545,4193
"El Salvador",778,1170,678,534.5,391,501,488,980,329,313,126,369,632,351,274,257,225.6667,194.3333,163,232,2264
