Country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Austria,,,,,,51.796,49.966,49.897,47.265,48.468,48.604,46.53,45.362,44.058,45.37,46.318,46.972,
Belgium,,,,,,42.568,44.54,46.873,45.037,41.821,35.683,32.343,30.243,32.939,34.088,34.638,,
Canada,,,,,,35.79,37.523,39.57,41.076,44.313,46.347,42.105,42.857,50.12,38.889,43.25,40.657,
"Czech Republic",,,,,,,32.046,30.815,28.949,29.356,29.208,29.655,29.798,31.073,31.235,30.633,,
Denmark,,,,,,9.217,6.214,12.368,12.008,17.159,11.085,16.109,17.467,22.241,23.142,,,
Finland,,,,,,32.75,35.397,41.991,39.52,39.91,36.902,35.94,33.25,34.803,34.581,30.315,26.835,
France,,,,,,37.429,33.926,31.851,32.935,36.227,35.963,31.633,29.95,30.464,30.188,29.273,,
Germany,,,,,,,45.446,44.655,43.4,40.483,39.664,39.006,42.649,42.973,,,,
Greece,,,,,,,,,40.581,39.759,38.113,42.147,44.008,46.311,39.931,36.729,34.961,
Hungary,,,,,,,29.287,26.686,26.587,23.905,27.658,32.132,34.467,32.554,25.827,21.619,17.974,
Iceland,,,,,,44.342,40.797,34.343,28.282,24.901,20.501,15.902,11.352,17.471,24.547,25.993,26.354,
Ireland,,,,,,25.482,28.412,28.569,33.647,29.999,26.541,19.366,21.431,23.747,29.433,28.851,,
Italy,,,,,,,,,48.015,48.111,46.708,49.468,52.62,55.426,55.891,54.779,,
Luxembourg,,,,,,46.462,45.353,37.066,42.774,45.745,44.476,36.783,25.906,22.91,16.379,13.307,,
Mexico,,,,,,,,52.428,50.231,48.811,47.554,47.192,46.61,45.318,44.466,44.344,44.772,44.483
Netherlands,,,,,,,37.014,38.56,42.27,44.169,41.47,35.053,30.314,27.786,26.048,22.07,20.579,
"New Zealand",41.26,39.8,35.6,30.16,27.88,29.47,33.17,35.45,34,36.16,34.69,35.247,34.149,31.664,32.361,32.612,36.855,38.151
Norway,,,,,,32.323,32.486,30.879,27.92,26.36,28.096,28.104,26.657,25.351,18.677,18.541,14.857,
Poland,,,,,,,53.691,54.655,53.15,56.828,58.066,61.635,61.632,61.928,61.234,60.521,,
Portugal,,,,,,,,,62.25,60.922,60.392,58.39,59.245,58.696,54.437,50.676,,
Slovakia,,,,,,,21.466,19.87,23.739,26.853,29.885,31.579,30.928,32.207,32.337,34.184,,
Slovenia,,,,,,,28.552,29.832,29.044,28.612,27.706,29.537,32.83,33.933,31.093,31,30.732,
Spain,,,,,,,,38.984,37.543,36.206,31.654,29.971,24.738,23.489,23.035,24.9,26.44,
Sweden,,,,,,5.566,13.169,18.081,19.746,12.053,9.975,15.59,17.998,17.935,12.707,13.117,,
Switzerland,,,,,,,,,,58.173,56.092,51.422,50.67,49.35,50.092,47.743,,
"United Kingdom",,,,,,,46.036,44.92,43.584,39.929,38.441,38.215,40.421,39.6,36.377,33.745,,
"United States",,,,,,,,63.912,63.742,63.267,62.381,61.301,59.985,59.321,58.962,58.478,57.854,57.244
