Country,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Georgia,,,,,,,,,,,,,,,,,,,34.3,34.13,33.96,33.79,33.62,33.45,33.28,33.11,32.94,32.77,32.6,32.16,31.72,31.28,30.84,30.4,28.8333,27.2667,25.7,24.1333,22.5667,21
Germany,,,,,,,,,,,,,,,,,,,18.3,18.03,17.76,17.49,17.22,16.95,16.68,16.41,16.14,15.87,15.6,15.46,15.32,15.18,15.04,14.9,14.4167,13.9333,13.45,12.9667,12.4833,12
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5,21.04,20.58,20.12,19.66,19.2,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9,20.7545,19.6091,18.4636,17.3182,16.1727,15.0273,13.8818,12.7364,11.5909,10.4455,9.3
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6,,,,,,
"Hong Kong",,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9,14.86,13.82,12.78,11.74,10.7,12.1,13.5,14.9,16.3,17.7,19.1
Hungary,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.75,22,22.25,22.5,22.75,23,23.25,23.5,23.75,24,23.4818,22.9636,22.4455,21.9273,21.4091,20.8909,20.3727,19.8545,19.3364,18.8182,18.3
India,,,,,,,,,,,,,,27.6,26.6,25.6,24.6,23.6,22.6,22.77,22.94,23.11,23.28,23.45,23.62,23.79,23.96,24.13,24.3,21.88,19.46,17.04,14.62,12.2,,,,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,6.4636,6.4273,6.3909,6.3545,6.3182,6.2818,6.2455,6.2091,6.1727,6.1364,6.1
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3,20.3,21.3,22.3,23.3,24.3,25.3,26.3,27.3,28.3,29.3,30.3
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5,42.62,39.74,36.86,33.98,31.1,30.7667,30.4333,30.1,29.7667,29.4333,29.1
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10.6273,11.2545,11.8818,12.5091,13.1364,13.7636,14.3909,15.0182,15.6455,16.2727,16.9
Japan,15.5,15.5385,15.5769,15.6154,15.6538,15.6923,15.7308,15.7692,15.8077,15.8462,15.8846,15.9231,15.9615,16,14.7,13.4,12.1,10.8,9.5,9.55,9.6,9.65,9.7,9.75,9.8,9.85,9.9,9.95,10,10.08,10.16,10.24,10.32,10.4,10.2667,10.1333,10,9.8667,9.7333,9.6
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,13.34,13.58,13.82,14.06,14.3,14.1167,13.9333,13.75,13.5667,13.3833,13.2
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,11.3333,11.1667,11,10.8333,10.6667,10.5
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,,,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3.9833,3.9667,3.95,3.9333,3.9167,3.9
Latvia,,,,,,,,,,,,,,,,,,,27.5,,,,,,,,,,,,,,,,,,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2,19.9833,18.7667,17.55,16.3333,15.1167,13.9
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,40.9,39.6667,38.4333,37.2,35.9667,34.7333,33.5,32.2667,31.0333,29.8,28.5667,27.3333,26.1,24.8667,23.6333,22.4,21.1667,19.9333,18.7,17.4667,16.2333,15
"Macedonia (F.Y.R.O.M.)",,,,,,,,,,,,,,,,,,,36,34.8048,33.6095,32.4143,31.219,30.0238,28.8286,27.6333,26.4381,25.2429,24.0476,22.8524,21.6571,20.4619,19.2667,18.0714,16.8762,15.681,14.4857,13.2905,12.0952,10.9
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,5.02,4.74,4.46,4.18,3.9,5.65,7.4,9.15,10.9,12.65,14.4
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2,,,,,,,,,,,
Mexico,19,19.7154,20.4308,21.1462,21.8615,22.5769,23.2923,24.0077,24.7231,25.4385,26.1538,26.8692,27.5846,28.3,28.42,28.54,28.66,28.78,28.9,26.91,24.92,22.93,20.94,18.95,16.96,14.97,12.98,10.99,9,8.34,7.68,7.02,6.36,5.7,6.0833,6.4667,6.85,7.2333,7.6167,8
Moldova,,,,,,,,,,,,,,,,,,,55.5,54.63,53.76,52.89,52.02,51.15,50.28,49.41,48.54,47.67,46.8,,,,,,,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,29.2,29.81,30.42,31.03,31.64,32.25,32.86,33.47,34.08,34.69,35.3,32.7455,30.1909,27.6364,25.0818,22.5273,19.9727,17.4182,14.8636,12.3091,9.7545,7.2
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1,19.56,20.02,20.48,20.94,21.4,,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,5.96,6.12,6.28,6.44,6.6,6.7833,6.9667,7.15,7.3333,7.5167,7.7
"New Zealand",,,,,,,,,,,,,,,,,,,4.9,4.67,4.44,4.21,3.98,3.75,3.52,3.29,3.06,2.83,2.6,3.08,3.56,4.04,4.52,5,5.2333,5.4667,5.7,5.9333,6.1667,6.4
Nigeria,,,,,,,,,,,,,,33.8,30.1,26.4,22.7,19,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,17.2833,19.2667,21.25,23.2333,25.2167,27.2
Norway,,,,,,,,,,,,,,,,,,,5.5,5.3,5.1,4.9,4.7,4.5,4.3,4.1,3.9,3.7,3.5,3.6909,3.8818,4.0727,4.2636,4.4545,4.6455,4.8364,5.0273,5.2182,5.4091,5.6
Pakistan,,,,,,,,,,,,,,,,,,,20.9,20.5133,20.1267,19.74,19.3533,18.9667,18.58,18.1933,17.8067,17.42,17.0333,16.6467,16.26,15.8733,15.4867,15.1,14.3667,13.6333,12.9,12.1667,11.4333,10.7
"West Bank and Gaza",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.2,,,,,,
Peru,,,,,,,,,,,,,,,,,,,36.3,35.89,35.48,35.07,34.66,34.25,33.84,33.43,33.02,32.61,32.2,30.42,28.64,26.86,25.08,23.3,22.55,21.8,21.05,20.3,19.55,18.8
Philippines,,,,,,,,,,,,,,,,,,,7.4,7.62,7.84,8.06,8.28,8.5,8.72,8.94,9.16,9.38,9.6,9.82,10.04,10.26,10.48,10.7,10.3167,9.9333,9.55,9.1667,8.7833,8.4
Poland,,,,,,,,,,,,,,12,12.4,12.8,13.2,13.6,14,13.44,12.88,12.32,11.76,11.2,10.64,10.08,9.52,8.96,8.4,7.88,7.36,6.84,6.32,5.8,6.2667,6.7333,7.2,7.6667,8.1333,8.6
"Puerto Rico",,,,,,,,,,,,,,,,,,,8.8,8.8143,8.8286,8.8429,8.8571,8.8714,8.8857,8.9,8.9143,8.9286,8.9429,8.9571,8.9714,8.9857,9,9.0143,9.0286,9.0429,9.0571,9.0714,9.0857,9.1
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
Romania,,,,,,,,,,,,,,,,,,,42.3,42.46,42.62,42.78,42.94,43.1,43.26,43.42,43.58,43.74,43.9,41.2,38.5,35.8,33.1,30.4,28.8667,27.3333,25.8,24.2667,22.7333,21.2
Russia,,,,,,,,,,,,,,43.1,44.06,45.02,45.98,46.94,47.9,46.09,44.28,42.47,40.66,38.85,37.04,35.23,33.42,31.61,29.8,28.34,26.88,25.42,23.96,22.5,21.6833,20.8667,20.05,19.2333,18.4167,17.6
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,13.42,12.44,11.46,10.48,9.5,,,,,,
Serbia,,,,,,,,,,,,,,,,,,,29,29.63,30.26,30.89,31.52,32.15,32.78,33.41,34.04,34.67,35.3,33.8636,32.4273,30.9909,29.5545,28.1182,26.6818,25.2455,23.8091,22.3727,20.9364,19.5
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,
Slovakia,,,,,,,,,,,,,,47.9,43.92,39.94,35.96,31.98,28,27.1286,26.2571,25.3857,24.5143,23.6429,22.7714,21.9,21.0286,20.1571,19.2857,18.4143,17.5429,16.6714,15.8,14.9286,14.0571,13.1857,12.3143,11.4429,10.5714,9.7
Slovenia,,,,,,,,,,,,,,,,,,,25.3,24.64,23.98,23.32,22.66,22,21.34,20.68,20.02,19.36,18.7,18.16,17.62,17.08,16.54,16,16.05,16.1,16.15,16.2,16.25,16.3
"South Africa",17.8,18.3278,18.8556,19.3833,19.9111,20.4389,20.9667,21.4944,22.0222,22.55,23.0778,23.6056,24.1333,24.6611,25.1889,25.7167,26.2444,26.7722,27.3,26.75,26.2,25.65,25.1,24.55,24,23.45,22.9,22.35,21.8,22.1,22.4,22.7,23,23.3,,,,,,
"South Korea",,,,,,,,,,,,,,19.7,17.98,16.26,14.54,12.82,11.1,11.25,11.4,11.55,11.7,11.85,12,12.15,12.3,12.45,12.6,12.06,11.52,10.98,10.44,9.9,10.0667,10.2333,10.4,10.5667,10.7333,10.9
