Country,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Albania,,,,,,,,,,,,,,,,36.12,36.8283,37.5367,38.245,38.9533,39.6617,40.37,39.97,39.57,39.17,39.1133,39.0567,39,38.705,38.41,38.115,37.82,,
Angola,,,,,,,,,,,,,,,,,,,,56.12,55.1725,54.225,53.2775,52.33,51.3825,50.435,49.4875,48.54,,,,,,
Argentina,,,,,,48.43,50.49,50.9725,51.455,51.9375,52.42,50.86,49.9,50.96,53.79,53.95,53.65,55.08,54.16,55.15,57,57.78,57.1,54.15,53.32,52.39,51.63,50.66,49.71,49.38,48.66,47.51,47.23,47.78
Armenia,,,,,,,,,,,,,,,,50.6,48.46,46.32,44.18,44.045,43.91,43.51,42.16,45.77,44.68,41.4,38.87,39.71,38.91,40.31,40.39,39.38,40.25,40.05
Australia,39.17,39.44,39.71,39.98,40.25,40.335,40.42,40.505,40.59,40.6217,40.6533,40.685,40.7167,40.7483,40.78,40.8417,40.9033,40.965,41.0267,41.0883,41.15,41.13,41.11,41.454,41.798,42.142,42.486,42.83,42.495,42.16,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,38.55,37.54,38.29,38.69,38.61,39.34,38.4,38.68,38.41,,
Azerbaijan,,,,,,,,,,,,,,,42.01,42.425,42.84,43.255,43.67,44.085,44.5,30.33,31.02,29.71,30.19,33.61,37.03,40.45,,,,,,
Bangladesh,,,35.84,36.54,37.24,37.6933,38.1467,38.6,38.1867,37.7733,37.36,38.63,39.9,41.17,42.44,42.484,42.528,42.572,42.616,42.66,42.632,42.604,42.576,42.548,42.52,42.312,42.104,41.896,41.688,41.48,,,,
Belarus,,,,,,,,33.12,33.076,33.032,32.988,32.944,32.9,35.065,37.23,38.2367,39.2433,40.25,39.58,39.1,38.9,38.79,37.57,35.92,36.46,37.11,38.4,36.78,36.99,37.47,36.34,36.13,36.19,36.68
Belgium,,,,,,,,,,,,,,,,,,,,,,,,39.19,38.35,37.01,38.15,37.38,37.23,37.23,36.92,36.41,,
Belize,,,,,,,,,,,,,64.29,65.4,60.94,61.26,64.15,59.25,57.69,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,46.21,46.7738,47.3375,47.9013,48.465,49.0288,49.5925,50.1563,50.72,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,53.01,51.0325,49.055,47.0775,45.1,45.29,45.48,45.67,45.86,46.05,,
Bolivia,,,,,,,,,,48.23,51.48,54.73,56.116,57.502,58.888,60.274,61.66,61.095,60.53,65.33,61.94,63.08,61.315,59.55,61.75,60.15,59.46,55.38,53.35,52,50.65,50.5,52.23,52.71
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,38.79,39.7967,40.8033,41.81,41.4367,41.0633,40.69,40.855,41.02,41.185,41.35,,,
Botswana,,,,,58.88,59.6338,60.3875,61.1413,61.895,62.6488,63.4025,64.1563,64.91,65.4156,65.9211,66.4267,66.9322,67.4378,67.9433,68.4489,68.9544,69.46,68.8286,68.1971,67.5657,66.9343,66.3029,65.6714,65.04,,,,,
Brazil,62.29,62.74,63.4,62.9,59.98,62.8,63.73,65.48,67.31,64.61,60.855,57.1,64.27,64.05,63.83,63.86,63.81,63.82,63.3,63.375,63.45,62.93,62.21,61.24,61.03,60.43,59.57,58.85,58.34,57.95,57.56,57.18,57.38,56.25
Bulgaria,,,,,,,,,34.02,35.7933,37.5667,39.34,37.055,34.77,43.11,39.935,36.76,37.585,38.41,39.235,40.06,39.035,38.01,39.2633,40.5167,41.77,36.73,41.01,40.92,42.22,41.11,42.7,,
"Burkina Faso",,,,,,,,,,,,,,55.01,55.4025,55.795,56.1875,56.58,55.226,53.872,52.518,51.164,49.81,49.3517,48.8933,48.435,47.9767,47.5183,47.06,46.512,45.964,45.416,44.868,44.32
Burundi,,,,,,,,,,,,41.63,42.685,43.74,44.795,45.85,46.905,47.96,47.325,46.69,46.055,45.42,44.785,44.15,43.515,42.88,,,,,,,,
"Cape Verde",,,,,,,,,,,,,,,,,,,,,58.01,57.22,56.43,55.64,54.85,54.06,53.27,,,,,,,
