Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.11,54.61,51.33,48.4767,45.6233,42.77,37.71,34.67,42.49,51.81,49.29,50.99,56.55,50.32,47.3,53.38,58.35,58.29,51.67,53.15,41.79,46.12,43.79,,,,,
Argentina,,,,,,,,,,,,,,,,,104.34,120.09,125.8,128.03,123.28,122.8243,122.3686,121.9129,121.4571,121.0014,120.5457,120.09,121.74,120.83,119.99,119.15,118.31,117.93,120.5,118.65,118.03,118.46,121.67,122.14,121.35,122.28,122.91,122.3,125.29,122.64,127.78,126.8,129.12,127.85,127.97,128.45,126.42,129.68,128.39,130.02,129.65,,,,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.78,69.29,70.8233,72.3567,73.89,70.81,74.42,71.5,74.1,82.3,79.2,83.03,77.6,69.34,75.5,80.22,79.67,90.11,87.47,87.26,89.27,88.76,92.3,91.5267,90.7533,89.98,92.325,94.67,93.36,89.67,88.09,108.58,,
Australia,103.47,100.76,102.56,103.68,101.99,100.49,101.61,99.87,96.82,99.01,96.46,97.41,96.68,101.02,98.14,94.98,97.4,96.88,98.41,97.88,100.84,99.42,98.34,100.13,98.06,98.19,99.58,100.02,97.95,96.05,98.6,97.25,101.04,103.3,103.73,103.76,102.58,102.71,101.81,102.32,100.51,101.45,98.69,99.24,98.99,96.8,97.33,95.44,93.22,90.59,89.82,90.06,90.8,88.29,86.7,84.54,82.71,82.26,83.17,80.93,79.96,78.77,,,
Austria,,,,,,134.64,137.66,138.46,136.37,136.51,132.18,133.46,129.65,133.25,133.3,131.74,132.84,130.99,130.12,128.21,128.72,125.88,125.06,122.42,124.68,120.85,119.63,119.58,113.54,113.39,115.94,115.02,115.63,113.22,114.92,110.78,109.22,110.97,108.37,107.22,106.3,105.24,105.87,105.85,103.96,102.68,97.89,97.05,93.22,93.39,94.25,90.82,88.48,90.11,89.43,87.63,84.27,84.4,83.89,82.87,83.07,83.56,84.32,80.98,83.91
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.59,78,76.7667,75.5333,74.3,80.02,77.7,76.05,68.04,61.77,66.55,66.14,62.01,65.12,63.05,58.5,58.76,60.39,63.03,58.78,63.98,67.56,70.35,69.3,63.12,56.94,50.76,,,,,,,
Barbados,,,,,,,,,,,105.2,123.42,97.76,102.47,117.33,106.835,96.34,111.91,109.06,112.43,90.41,91.41,98.18,116.24,105.75,115.37,101.51,101.74,102.34,106.28,101.83,90.44,84.96,103.13,111.6,87.2,109.19,120.02,109.23,98.86,109.84,114.03,110.47,104.03,96.91,90.01,91.19,90.724,90.258,89.792,89.326,88.86,91.01,106.49,95.12,105.16,88.69,80.11,94,96.54,95.86,105.18,82.7,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.74,75.97,77.31,78.65,79.99,81.14,82.72,83.95,86.01,87.69,86.56,90.69,86.62,87.02,88.75,84.97,85.78,87.26,84.34,83.37,82.89,80,79.608,79.216,78.824,78.432,78.04,77.96,75.2,75.27,75.34,,,
Belgium,,,,,124.09,124.81,124.6,124.26,125.57,123.48,124.9,123.23,127.01,124.37,122.12,121.36,122.61,120.61,121.36,117.14,117.6,118.69,116.97,115.47,113.51,115.81,112.98,111.66,117.69,112.85,112.18,114.05,113.22,112.1,110.83,108.9,111.48,106.47,106.56,106.87,103.79,104.7,104.82,102.15,102.93,103.41,98.86,99.33,99.06,94.4,91.57,91.61,90.66,88.2,86.79,87.21,85.99,87.66,87.02,86.74,84.79,85.81,81.8,,
Belize,,,,,,,,,,,,,,,88.67,61.9,81.7,33.39,44.86,73.67,49.61,55.3,90.49,63.32,58.64,70.78,50.63,49.02,44.75,40.48,44.37,48.26,52.15,56.04,40.11,40.965,41.82,38.69,47.83,56.97,45.25,35.28,42.945,50.61,58.83,54.91,51.38,73.14,129.48,86.35,95.78,95.68,84.18,82.65,107.43,88.96,90.98,103.61,86.35,72.49,88.33,70.24,81.16,67.22,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.38,66.61,66.37,66.42,66.92,66.56,67.11,68.25,67.84,67.95,67.4,69.26,69.08,69.91,69.56,70.56,70.48,70.99,70.89,70.66,71.44,72.1,72.27,71.49,71.66,72.18,72.55,73.82,73.36,73.64,72.91,73.25,73.18,73.52,72.8,
Bulgaria,,,,,,,,,,,,,,,89.79,86.6,87.32,85.2,87,83.79,81.91,80.84,81.58,81.02,81.43,79.93,79.11,78.42,81.91,82.55,76.95,81.78,83.66,82.73,87.03,88.16,84.53,83.91,85.66,85.1,83.3,86.11,85.36,84.34,86.16,86.93,86.99,87.23,83.61,85.82,82.27,80.43,81.72,78.28,80.95,90.16,86.67,88.14,88.39,82.1,79.83,81.57,85.79,,
Canada,119.82,118.49,116.29,117.18,116.37,114.71,113.43,114.01,112.87,113.53,113.64,108.69,112.28,112.23,111.22,110.11,107.9,110.74,110.08,109.46,109.34,106.78,109.9,108.61,108.95,105.25,104.02,105.8,105.35,107.18,105.79,106.88,107.17,106.73,108.09,109.79,109.93,109.91,110.14,108.05,108.15,108.33,108.41,108.71,109.29,105.99,108.3,103.41,105.24,103.22,103.36,101.71,102.69,101.76,100.77,97.76,96.35,96.16,95.17,92.8,91.47,89.86,,,
Chile,,,,,,121.51,121.91,125.56,122.29,124.37,127.67,122.42,120.77,124.91,127.05,123.19,126.41,123.16,124.99,125.72,125.32,121.81,118.01,122.09,116.88,114.08,114.67,109.38,107.62,111.84,109.7,109.27,107.12,105.835,104.55,108.89,106.05,108.42,106.39,105.21,107.18,104.75,103.73,103.36,101.05,103.42,101.57,98,98.69,96.9,95.99,93.49,93.84,93.01,90.1,89.49,87.96,84.59,83.24,85.5,83.13,83.52,82.93,81.26,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.15,87.87,88.26,89.86,84.16,85.38,83.97,83.8,83.67,79.96,82.72,84.33,85.99,86.51,,,,,,,,,,,,,,
Colombia,,,,71.55,66.54,69.44,71.18,72.01,74.18,74.24,80.75,77.72,80.81,85.52,86.14,83.77,87.79,89.11,89.3,81.97,83.34,84.71,86.08,88.14,87.55,87.2525,86.955,86.6575,86.36,86.0625,85.765,85.4675,85.17,87.18,89.69,95.96,90.9,92.6,88.55,89.29,86.66,87.18,83.58,84.61,83.79,83.66,84.02,83.89,80.95,83.38,84.55,81.68,83.06,83.41,81.62,79.04,77.24,76.97,74.89,73.48,72.3,67.7,69.25,,
"Costa Rica",,,,,,,,,,,,121.74,117.14,123.42,121.79,121.21,123.99,125.61,120.47,103.56,103.87,97.15,109.71,96.55,103.91,95.29,98.44,92.49,97.64,91.5,83.95,86.87,92.62,91.76,95.175,98.59,97.78,98.75,95.24,88.45,79.27,86.51,83.55,87.29,84.72,86.32,85.55,80.85,81.91,77.87,76.07,78.39,71.63,74.45,73.02,70.78,70.7,61.14,62.27,63.83,71.69,65.82,68.87,67.57,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.76,93.59,96.02,98.77,100.72,102.06,98.12,93.56,93.7,93,92.29,93.1,95.31,101.11,98.67,101.14,98.02,101.58,98.72,99.37,99.24,98.66,95.79,102.02,99.24,101.86,101.77,100.1,101.97,
Cuba,,,,,,,,,,,,,,,103.1,101.9975,100.895,99.7925,98.69,92.43,95.4,93.85,95.36,91.66,90.57,92.67,94.6,91.86,84.47,85.67,88.63,85.46,85.32,86.38,90.67,89.21,88.08,88.46,90.35,90.49,91.86,89.72,91.43,88.51,91.2,89.97,92.32,90.06,91,96.18,92.86,95.97,94.66,98.42,94.27,94.65,97.19,97.44,99.78,97.01,98.02,93.96,93.37,95.03,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.76,126.15,129.97,128.21,129.01,129.9,126.72,128.51,126.58,128.95,120.76,121.03,119.35,120.88,120.09,119.36,115.64,117.56,114.19,110.56,109.17,103.06,101.97,98.38,98.32,95.89,94.83,92.07,
Czechoslovakia,,,,117.53,118.03,119.02,117.01,119.27,116.33,118.41,117.74,118.7,117.49,118.71,122.29,119.64,118.49,118.54,119.57,118.42,118.31,117.98,120.12,118.96,117.19,115.94,114.86,117.22,119.31,117.46,116.82,115.96,116.01,118.58,118.94,116.65,120.39,117.97,121.35,120.71,120.78,121.87,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,139.9,143.07,146,140.39,141.98,145.05,141.87,143.52,141.24,142.76,139.5,143.96,139.12,141.17,135.46,132.31,130.74,133.07,133.28,134.09,135.06,129.13,125.53,129.36,136.75,130.67,132.5,135.14,136.48,135.53,130.49,139.35,138.44,136.08,138.73,137.5,141.74,139.86,136.85,140.84,138.82,138.53,140.89,142.29,136.76,138.78,132.78,137.18,132.9,132.18,126.32,122.83,120.73,122.61,120.55,118.09,115.91,110.9,111.7,106.45,107.65,,
"Dominican Republic",,,,,,,,,,,,,,,,30.69,33.27,41.05,39.8,36.9,35.29,37.34,36.86,35.39,36.1,36.75,38.58,37.82,35.7,39.02,42.86,44.28,47.58,51.69,51.67,47.6,39.73,42.86,40.56,41,39.6,39.38,37.23,37.35,37.47,37.72,39.87,43.44,48.41,37.35,37.9,41.27,41.01,41.91,43.73,41.58,38.92,33.63,36.58,34.23,39.96,40.22,40.2,,
Ecuador,,,,,,,,,,,,,,,,,,,55.26,57.22,58.26,56.97,56.73,59.14,58.12,58.92,58.74,58.56,61.88,68.39,69.37,71.65,76.58,74.04,73.13,78.42,76.85,77.76,79.34,76.32,76.62,74.2,76.02,72.79,72.54,75.49,73.38,74.87,70.94,70.37,68.29,67.39,63.12,62.1,62.82,66.03,67.1,66.07,64.51,64.96,64.54,63.42,63.76,61.04,
Egypt,,,,,,13.12,13.29,12.09,13.71,14.5,13.62,13.08,13.66,13.9467,14.2333,14.52,14.8067,15.0933,15.38,15.6667,15.9533,16.24,16.5267,16.8133,17.1,17.3867,17.6733,17.96,18.2467,18.5333,18.82,19.1067,19.3933,19.68,19.9667,20.2533,20.54,20.8267,21.1133,21.4,21.6867,21.9733,22.26,22.5467,22.8333,23.12,23.4067,23.6933,23.98,24.2667,24.5533,24.84,27.72,29.39,31.18,31.85,32.38,32.67,31.71,33.31,33.81,35.16,35.09,,
"El Salvador",34.71,41.02,34.15,32.94,37.79,36.22,36.52,35.27,39.08,41.87,34.87,40.44,39.07,41.89,41.31,39.7,39.42,43.45,38.49,39.26,43.31,39.15,43.15,40.44,37.95,39.72,39.39,40.26,37.26,55.25,56.61,61.24,58.08,56.67,65.58,71.85,65.32,64.59,68.65,68.73,68.12,66.8,67,67.91,62.99,64.07,62.04,60.1,59.05,57.53,57.14,,,,,,,,,,,,,,
"England and Wales",120.38,117.76,118.13,116.12,116.48,116,115.99,114.09,116.08,115.2,115.15,115.02,115.16,114.66,116.35,115.93,115.85,116.83,118.31,119.88,119.59,119.81,119.9,120.44,121.02,121.25,123.19,122.11,122.83,123.53,123.77,122.02,122.79,123.08,127.49,127.49,126.48,126.86,127.43,127.2,124.76,123.34,122.3,119.39,117.75,116.08,113.89,111.97,110.57,108.75,106.84,107.41,106.22,104.07,102.42,101.64,100.25,100.2,98.98,96.3,95.41,95.11,94.91,92.69,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.65,96.82,97.9433,99.0667,100.19,96.47,98.71,99.48,104.91,101.7,109.87,104.18,110.28,106.62,98.93,106.7,103.11,101.52,100.4,102.2,97.52,97.05,92.31,94.75,91.75,95.94,89.91,89.77,91.28,85.93,89.63,89.8,,
Finland,,,122.81,121.6,117.08,113.61,115.38,117.81,114.12,112.59,113.45,111.38,103.95,110.28,109.35,105.35,105.62,102.84,104.32,104.87,100.83,101.67,101.25,98.3,99.02,97.18,95.29,96.96,95.03,98.47,94.16,94.07,92.95,96.56,94.1,91.08,93.02,90.48,91.64,90.98,91.71,88.37,89.97,89.46,83.25,86.51,81.96,86.81,83.62,80.5,82.99,80.6,78.38,78.83,77.35,77.8,75.35,75.4,75.5,73.74,75.9,74.17,74.15,73.48,
France,105.41,106.5,107.59,106.04,106.07,106.64,106.26,106.19,105.82,106.69,106.55,103.93,104.55,105.61,104.59,104.13,104.56,102.53,102.9,101.18,99.39,100.39,100.71,99.18,99.35,99.19,98.31,95.62,95.26,94.83,95.29,95.44,94.08,94.11,93.4,92.07,92.36,92.07,91.35,90.68,89.49,89.34,88.79,88.5,86.77,86.85,86.25,84.53,84.76,84.82,83.72,83.26,83.29,83,81.93,81.45,80.75,78.84,79.7,79.09,77.48,76.3,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.73,64.79,64.7867,64.7833,64.78,66.52,65.05,68.52,64.03,63.72,61.58,57.58,52.32,47.06,43.82,41.87,48.29,52.07,50.91,52.1,52.79,57.2567,61.7233,66.19,55.23,55.23,50.18,61.87,32.35,48.93,52.36,50.77,60.29,
Germany,,,,,,,,,,,,,,,,,,,,,,,,117.64,117.39,117.56,116.84,114.91,114.95,113.965,112.98,113.36,113.54,112.38,110.68,110.49,110.51,111.06,111.37,110.17,108.5,110.53,109.13,108.92,106.29,104.92,103.37,100.34,99.81,97.88,96.37,94.29,93.95,92.17,90.87,90.71,88.84,87.81,88.48,87.45,86.96,87.45,85.43,85.08,
Greece,,,,,,,,,,,,75.47,75.02,75.29,76.26,78.15,73.88,73.77,74.65,74.7,72.01,73.3,76.35,74.02,76.78,78.73,83.03,82.55,82.08,82.29,80.97,79.97,80.6,79.68,80.29,81.66,80.48,79.48,79.04,79.64,77.38,76.97,78.37,78.31,77.83,76.63,77.75,76.22,74.4,75.16,74.18,74.73,74.97,72.49,73.57,73.49,72.15,74.03,73.58,71.82,72.79,70.36,71.68,,
