Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,9,9.8,10.6,11.4,12.2,13,14.6,16.2,17.8,19.4,21,22.8,24.6,26.4,28.2,30,32
Albania,40,42.6,45.2,47.8,50.4,53,55.4,57.8,60.2,62.6,65,67,69,71,73,75,77
Algeria,86,87,88,89,90,91,91.2,91.4,91.6,91.8,92,92.2,92.4,92.6,92.8,93,93
Andorra,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
Angola,37,37.8,38.6,39.4,40.2,41,41.6,42.2,42.8,43.4,44,44.6,45.2,45.8,46.4,47,48
"Antigua and Barbuda",95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
Argentina,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
Armenia,82,83.6,85.2,86.8,88.4,90,90.8,91.6,92.4,93.2,94,94.2,94.4,94.6,94.8,95,95
Australia,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
Austria,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
Azerbaijan,73,75.4,77.8,80.2,82.6,85,86.2,87.4,88.6,89.8,91,91.8,92.6,93.4,94.2,95,95
Bahamas,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
Bahrain,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
Bangladesh,7,7.6,8.2,8.8,9.4,10,10.6,11.2,11.8,12.4,13,13.8,14.6,15.4,16.2,17,18
Barbados,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
Belarus,94,94.2,94.4,94.6,94.8,95,95,95,95,95,95,95,95,95,95,95,95
Belgium,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
Belize,78,78.6,79.2,79.8,80.4,81,81.4,81.8,82.2,82.6,83,83.4,83.8,84.2,84.6,85,85
Benin,5,5,5,5,5,5,5,5,5,5,5,5.2,5.4,5.6,5.8,6,6
Bhutan,32,33.6,35.2,36.8,38.4,40,41.2,42.4,43.6,44.8,46,47.2,48.4,49.6,50.8,52,52
