Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Gambia,,64.34049,64.4663,64.5921,64.7179,64.8437,64.9694,65.0952,65.221,65.3468,65.4726,65.5984,65.7242,65.85,65.97576,,,
Georgia,,,,99.78848,99.7793,99.77,99.7608,99.7516,99.7423,99.7331,99.7239,99.7146,99.7054,99.6962,99.687,99.67772,,
Ghana,,75.9459,77.1824,78.4189,79.6554,80.8918,82.1283,83.3648,84.6013,85.8378,87.0743,88.31075,,,,,,
Greece,,,98.89446,99.0542,99.214,99.3738,99.53356,99.4894,99.44521,99.4787,99.51223,99.0472,98.58221,,,,,
Greenland,,,,,,,,,,,,,,,,,100,
Guatemala,,,,86.37878,87.2875,88.1963,89.1051,90.0138,90.9226,91.8314,92.7401,93.6489,94.5576,95.46641,94.18228,95.48186,,
Guinea,,,,,59.46237,56.3345,53.2066,50.0787,46.9508,43.8229,40.695,37.56715,42.418,47.2688,52.1197,56.97051,,
"Guinea Bissau",,74.80124,74.5476,74.294,74.0403,73.7867,73.5331,73.2794,73.0258,72.7721,72.5185,72.2649,72.0112,71.7576,71.504,71.25033,,
Guyana,,,,,,,,,,,92.42121,93.2033,93.9855,94.7676,95.5497,96.33186,,
Haiti,,,,,82.65737,79.8941,77.1307,74.36741,,,,,,,,,,
Honduras,,,86.89099,87.8584,88.8257,89.7931,90.7605,91.7279,92.69526,93.2795,93.8638,94.44801,94.93154,94.00283,93.85074,95.04737,94.99325,94.94519
India,,,84.19224,85.0362,85.8801,86.724,87.5679,88.41184,88.7384,89.065,89.3916,89.7182,90.04483,,,,,
Indonesia,,,,,,98.86708,97.9473,97.02747,98.2825,99.53748,99.55003,99.1769,98.80384,99.0964,99.389,99.68156,99.70176,99.68345
Iran,,,,,,,98.10998,97.14548,97.701,98.25652,98.2759,98.2952,98.3146,98.33392,98.10902,98.19154,,
