Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Algeria,,,,,,6.497,,,,,,
Andorra,6.049,6.1204,6.1917,6.2631,6.3345,6.4058,6.4772,6.5485,6.6199,6.6913,6.7626,6.834
Azerbaijan,,,,,,8.549,,,,,,
Argentina,4.949,5.2442,5.5394,5.8346,6.1298,6.425,6.3717,6.3183,6.265,6.2117,6.1583,6.105
Australia,7.11,7.2442,7.3784,7.5126,7.6468,7.781,7.755,7.729,7.703,7.677,7.651,7.625
Armenia,,,,,,6.738,,,,,,
Bangladesh,,,,,,,,,,,,8.323
Brazil,6.606,6.5154,6.4248,6.3342,6.2436,6.153,6.142,6.131,6.12,6.109,6.098,6.087
Belarus,,,,,,7.534,,,,,,
Bolivia,,,,,,,,,,,,5.448
Bulgaria,5.818,,,,,,,,,,,
"Burkina Faso",5.235,,,,,,,,,,,
Chile,5.864,5.8718,5.8796,5.8874,5.8952,5.903,5.8278,5.7527,5.6775,5.6023,5.5272,5.452
China,7.718,7.5356,7.3532,7.1708,6.9884,6.806,7.0802,7.3543,7.6285,7.9027,8.1768,8.451
Canada,7.008,,,,,,,,,,,
Colombia,6.216,6.1946,6.1732,6.1518,6.1304,6.109,6.0745,6.04,6.0055,5.971,5.9365,5.902
Cyprus,6.695,6.649,6.603,6.557,6.511,6.465,6.4937,6.5223,6.551,6.5797,6.6083,6.637
Ecuador,,,,,,6.892,6.6952,6.4983,6.3015,6.1047,5.9078,5.711
Estonia,,,,,,7.515,,,,,,
Ethiopia,6.716,6.7744,6.8327,6.8911,6.9495,7.0078,7.0662,7.1245,7.1829,7.2413,7.2996,7.358
Finland,6.662,,,,,,,,,,,
Georgia,4.965,5.4496,5.9342,6.4188,6.9034,7.388,,,,,,
"West Bank and Gaza",,,,,,6.282,,,,,,
Germany,6.945,7.0078,7.0706,7.1334,7.1962,7.259,7.305,7.351,7.397,7.443,7.489,7.535
Ghana,7.133,7.042,6.951,6.86,6.769,6.678,,,,,,
Greece,,,,,,,,,,,,7.318
Guatemala,,,,,,,,,,,,6.343
