Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Chile,5.8,4,4.1,3.8,3.2,3.5,3.4,2.9,2.6,2.5,1.9,2.2,2.1,1.9,1.8,1.5,1.7,1.5,1.3,1.4,1.6,1.4,1.3,1.2
China,19,18,17,15,14,13,12,12,11,9.6,8.7,7.9,7.3,6.7,6.1,5.7,5.2,4.8,4.5,4.1,3.8,3.5,3.2,3
"Hong Kong",6.3,6.7,6.3,6.1,6.1,6.2,4.6,3.9,4.1,4.4,4,3.7,3.3,3.3,3.7,3.5,3.9,3.2,3.2,2.9,2.6,2.6,2.6,2.6
Macau,10,8.5,7.4,6.5,5.9,5.4,5.2,5.1,5,4.8,4.6,4.4,4.1,3.9,3.6,3.3,3.1,3,2.9,2.8,2.8,2.8,2.8,2.8
Colombia,5,4.7,4.7,5,4.4,4,4.1,3.4,3.8,3.9,3.2,3.3,3.3,3.2,3.1,2.4,2.3,2.5,2.4,2.3,2,1.9,1.7,1.6
Comoros,11,11,10,9.5,8.9,8.4,7.9,7.3,6.9,7,7.3,7.6,7.9,8.3,8.4,8.6,8.3,7.9,7.8,7.4,7.4,7.8,7.8,7.8
"Congo (Brazzaville)",44,41,38,35,33,31,30,29,28,29,30,33,35,39,41,44,45,45,45,45,45,45,45,44
"Cook Islands",0.3,0.4,11,7.6,4.8,0.4,0.4,1.1,0.3,5.3,0.3,3,0.4,0.2,0.4,0.3,0.3,1.5,2.7,2.6,0.2,0.2,0.2,2
"Costa Rica",2.5,3.1,3.2,2.5,2.5,2.3,2.5,2.3,2.4,2.4,1.8,2,1.8,1.7,1.6,1.4,1.2,0.8,1.2,1,1,1.2,0.9,0.7
"Ivory Coast",67,72,77,83,87,89,89,87,83,79,74,69,63,56,50,45,40,36,32,28,25,23,21,20
Croatia,9.1,7,6.1,6.2,5.5,5.4,5.7,4.7,4.5,5,4.2,3.4,4.2,3.7,3.6,2.5,3.3,2.3,2.4,2.8,1.9,1.5,1.4,1.2
Cuba,0.6,0.5,0.6,0.8,1,0.9,0.9,0.8,0.4,0.5,0.4,0.3,0.3,0.4,0.3,0.3,0.3,0.2,0.3,0.2,0.4,0.3,0.3,0.3
Cyprus,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.3,0.1,0.2,0.3,0.4,0.4,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2
"Czech Republic",1.9,1.7,1.7,1.3,1.3,0.9,1,0.9,1.2,1.2,1.2,0.9,0.8,0.8,0.7,0.7,0.6,0.7,0.5,0.5,0.4,0.5,0.3,0.3
"Congo (Kinshasa)",102,99,97,95,93,91,89,87,84,82,79,75,72,69,67,65,64,63,63,63,64,65,67,68
Denmark,1.1,0.8,1.2,1,0.6,0.5,0.9,0.6,0.5,0.4,0.4,0.5,0.6,0.3,0.6,0.4,0.3,0.5,0.3,0.5,0.7,0.3,0.4,0.4
Djibouti,108,91,77,65,56,50,46,44,44,47,52,59,67,75,81,85,86,85,83,82,83,86,92,100
Dominica,9.2,3.2,7.8,7.9,1.7,3.2,1.6,4.7,3.1,7.7,3.4,1.6,1.6,3.1,1.5,1.4,1.4,4.3,4.4,4.3,4.3,4.3,3.7,3.7
"Dominican Republic",14,13,13,12,11,13,11,10,11,8.7,8.7,8,8.6,9.2,9,6.4,3.6,3,2.7,2.5,5.7,5.7,5.7,5.7
Ecuador,19,20,18,18,15,17,13,14,17,15,14,12,11,9.5,8.9,7.7,7.2,6.4,6,5,4.7,3.5,3,2
Egypt,3.5,3,3.2,3,2.7,2.5,2.3,2.1,2,1.8,1.7,1.6,1.5,1.6,1.3,1.2,1,1,1,0.9,0.7,0.9,0.7,0.7
"El Salvador",4.8,6.1,6.2,5.6,4.6,3.8,4.1,4.2,3.6,3.5,2.8,2.4,2.5,1.7,2.2,1.8,1.2,1.9,1.6,1.4,1.4,1,1.1,1
"Equatorial Guinea",7.3,7.4,7,6.6,6.3,6.3,6.7,7.4,8,8.5,8.7,8.5,8.1,7.6,7.2,7,7.1,7.3,7.6,8,8.3,8.5,8.8,8.8
Eritrea,38,28,20,15,11,9.2,8.7,9.3,11,12,14,16,17,19,20,20,21,21,21,21,21,20,20,20
Estonia,4.5,4.6,5.3,7.4,8.8,10,9.8,10,11,11,8.1,7.4,6.8,7.1,7.6,3.8,5,4.8,3.7,3.4,2.8,2.8,2.5,2.5
Ethiopia,89,99,108,115,119,121,120,118,114,108,102,95,87,79,72,66,60,55,50,46,42,39,35,32
