Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Iran,500,500,500,500,500,500,500,500,500,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Italy,200,200,200,500,500,500,500,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,500,500,500,500,500
Jamaica,500,500,500,500,1000,1000,1000,1000,1000,1000,1000,1000,1100,1100,1100,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Kazakhstan,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,100,200,200,200,200,200,500,500,500,500,500,500,500,500,500
Kenya,42000,58000,76000,95000,110000,130000,150000,170000,190000,200000,210000,220000,230000,240000,240000,240000,240000,240000,230000,220000,200000,190000,180000,170000,160000,150000,140000,130000,120000,110000
Kyrgyzstan,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,500,500,500,500,500,500,500,500,500
Cambodia,100,200,500,1000,1300,1900,2600,3300,3900,4500,5000,5500,5800,6100,6300,6400,6500,6400,6400,6200,6000,5700,5400,5000,4600,4300,3900,3600,3200,2900
Laos,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,500,500,500,500,500,500,500,500,500,500,500,1000,1000,1000,1000
Liberia,1300,1700,2000,2300,2700,3200,3700,4300,4900,5400,5800,6100,6300,6400,6500,6500,6500,6500,6400,6300,6200,5900,5700,5500,5300,5000,4600,4300,3900,3600
Libya,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,500,500,500,500,500,500,500,500
Lesotho,1400,2000,2800,3800,5100,6500,8100,9900,12000,14000,15000,17000,18000,20000,21000,21000,22000,21000,21000,21000,21000,20000,19000,19000,17000,16000,15000,14000,13000,12000
Morocco,100,100,100,100,200,200,200,200,200,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,1000,1000,1000,1000,1000
Moldova,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,200,200,200,200,200,500,500,500,500,500,500
Madagascar,100,100,100,100,100,100,100,100,100,100,100,200,200,200,500,500,500,500,500,500,1000,1000,1000,1000,1000,1100,1200,1400,1500,1700
