Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Austria,43.03987397,42.5248889,41.5647892,40.45896004,38.95784082,37.90219977,36.841641,34.81133961,33.01866765,31.15350662,29.18657879,27.52654154,26.69728711,25.94330964,24.57559618,23.56448793,22.3895193,21.62218862,20.78134512,20.30759998,19.35739355,18.4566694,17.55005186,16.5386657,15.45651969,14.64060514,13.20342477,12.17343196,12.0574453,12.22025629
Azerbaijan,69.1196137,74.20216768,81.21179585,87.6920255,93.26732592,93.94433095,92.73588282,90.93119141,90.1818295,89.84708815,89.56747512,88.35965101,90.28039661,93.46009448,95.2044705,99.20793705,102.3206885,105.1552727,108.7140889,111.7054318,113.9576698,115.6062047,117.3394177,118.320373,120.1936784,119.7261065,117.9562214,116.030723,110.1867443,108.3913639
Bahamas,39.77863786,38.93657216,38.35384518,38.34251636,38.25699598,37.85951529,38.82558332,37.56535343,37.30770482,38.20569117,36.29247158,36.1173597,34.15806778,33.34807761,32.66893363,30.43888961,29.90449837,28.13662735,27.99917627,28.41291285,27.9270011,27.86202115,27.77695979,27.70129994,27.81214601,28.34385304,27.61355853,26.7543748,26.90942122,27.21445189
Bahrain,195.6431501,196.1310949,192.3833752,183.985313,179.7090906,179.6560424,181.6934805,180.6605205,181.407793,180.9076024,158.6891165,137.4975852,157.0446332,174.8860695,175.8176561,173.2900753,166.2144208,158.1533347,150.7612467,143.0553721,137.5304293,133.4609308,130.4166784,121.6142635,113.0478905,109.0957052,108.0100004,107.5541919,104.8588523,103.7141549
Bangladesh,32.39063287,31.19677342,32.17982961,33.00604939,33.84895135,35.45937936,36.39726556,37.46194394,39.1443416,40.94936567,42.91470834,43.59975734,45.21408169,46.64179274,47.0810871,48.26875853,50.15403506,50.99142112,50.92487943,51.66753005,53.24995868,51.01402427,50.25644101,53.07292528,57.10255536,56.93632672,56.46014294,58.56810401,59.57005939,61.78096654
Barbados,50.45281765,49.36306691,49.99634099,49.90205107,49.85112738,49.30123206,48.38829846,47.90775923,46.39855292,44.21368062,43.71972399,41.19376191,41.18222407,41.1334215,39.80893756,37.95570557,37.40709928,37.0571764,36.14458885,34.66601149,34.20298981,34.41133479,34.37593798,35.22039654,36.08130703,36.36165385,35.51998699,34.72499891,35.13385905,36.56705363
Belarus,84.53206058,85.94141512,87.45682522,94.40541594,94.49605515,96.6743953,94.51712812,94.90269503,95.23470988,96.50013786,90.52392464,93.64265054,97.53605995,93.81589483,91.18504576,92.32495325,88.97245119,84.67188155,84.83274985,85.74326467,86.13559421,86.04241071,74.60545993,70.40941356,66.11599662,61.32312686,56.71160788,53.88303356,52.60627265,52.36211304
Belgium,45.21472411,43.34677741,41.95225851,40.88837652,39.16109014,37.90745463,36.53876861,35.05268868,33.79506567,32.41891217,30.77862969,29.09588537,27.99766845,26.68698612,24.89226188,23.86415895,22.93201374,22.8246936,22.89229221,22.71104579,22.09968753,21.04951549,19.66895604,17.80558848,15.84223535,14.97362624,14.23977073,14.02322608,13.85500063,13.79648755
Belize,26.57781478,26.797726,27.92819486,29.42964403,31.09517358,33.10089535,36.01931669,39.60910215,42.55650937,45.12777779,46.12919139,41.86377046,39.10787583,38.06472849,37.63758632,36.41340744,35.84860407,34.19390026,31.97442336,31.51402506,31.35714747,31.26333228,31.61496776,33.16460798,34.86672242,35.53231929,34.43237784,33.77357589,34.68629956,35.34338565
Benin,21.30942372,21.22185968,21.19411898,21.26730687,21.58504427,21.90455082,22.75046354,23.94147218,25.32904411,26.37465451,26.87373513,26.40258842,26.216752,25.58616538,25.14190428,24.69044111,24.70893761,24.74119717,25.45790832,26.30401764,27.22548166,28.60525414,30.67577841,32.63618332,33.86302879,34.63374466,33.89316958,33.39987416,33.53296288,35.01735059
Bermuda,25.48626818,24.48166657,23.08288807,22.63758688,21.78547773,20.3926941,19.83414687,17.63459369,15.89759198,14.61842599,13.67613301,12.53541015,11.71264327,10.98537844,10.36663354,9.818079936,9.244879033,8.526638203,7.870428258,7.33181532,6.922469935,6.737117063,6.551724791,6.440542433,6.328586143,6.23246765,6.288541264,6.382084951,6.269958523,6.027297525
Bhutan,17.84835328,18.06509129,18.20015798,18.46716207,18.84710153,19.31482746,19.84923025,21.06622884,22.48702836,23.59771249,25.41104761,26.88805074,28.51261835,30.59575703,32.50014435,34.37335583,36.07251119,38.47619596,40.63851013,42.8761728,44.90098706,47.25814543,49.9481441,52.4957559,54.24528144,54.72378396,53.13190186,51.60136238,51.99988419,53.63070036
Bolivia,67.69061315,67.92240435,67.67379365,67.11592095,65.57371467,64.27705038,61.30999854,57.97548137,53.60265945,49.92154275,47.61777913,46.17370288,45.23614232,44.48917965,43.80981118,43.46186142,43.80024845,45.15672896,46.63343306,47.82781684,48.2416272,48.12388287,47.79733002,47.40118527,46.87746488,46.55089748,46.64965438,46.95748142,47.28592038,47.55780338
"Bosnia and Herzegovina",57.13297929,61.07468369,60.9026377,61.40495207,61.47050001,60.73615642,60.46485549,62.71013142,62.14885319,63.86269272,66.17962418,71.14516928,74.54987047,75.50388541,75.41723702,77.23778821,75.40316157,77.96746991,73.31982361,72.2647537,70.74100983,70.89615049,69.32386365,69.17166237,69.14816185,70.3365878,66.66702165,63.94580658,63.65880274,63.1176264
Botswana,37.23685064,39.42868165,42.0777825,44.92883871,48.37648758,51.98912104,55.26325834,58.27951727,61.76123192,64.99972591,68.70014827,71.80151314,74.38085924,75.49732481,75.14392537,74.08984997,74.54401516,74.32599287,76.18180789,77.37217982,78.57149917,79.06875122,78.77707227,78.62162927,78.19880597,77.45412902,75.06937943,73.53628385,73.26703974,73.52210418
Brazil,34.16196543,33.05733359,32.89481012,33.67072471,33.3204164,32.83433926,32.62880306,31.75426717,31.56754803,31.1258751,30.46728187,29.98154774,29.68474125,29.46960041,29.17566356,28.10207108,27.83567204,27.46620706,27.13117896,26.85537069,26.37875804,25.4444663,23.73579105,22.2456724,20.85040759,20.17550139,20.22050047,19.63387871,19.38181127,19.28075805
Brunei,31.9072559,29.23181489,27.035363,25.06023206,22.57019939,20.95684419,19.34544967,19.22728201,18.74134091,18.23113787,17.84768147,17.24296869,17.27389632,17.6081322,17.55063185,17.57361518,16.95685542,15.66418604,14.39457817,13.89534185,13.54359816,14.06624802,15.65676682,17.76536498,19.34046316,19.75775134,18.06355255,16.49393699,16.5694776,17.35984271
Bulgaria,109.5406927,107.2956687,110.8141197,118.3102385,122.455777,122.5483239,122.6305238,125.586197,120.5528128,114.3709451,112.318234,108.4274338,104.4669242,99.68939565,95.14327971,92.72774089,90.38908924,86.43948207,82.8140387,80.01219059,77.81790359,74.8441273,70.79038799,67.11641475,67.10481025,65.09985849,63.77580208,62.76636454,63.0736318,62.76697585
"Burkina Faso",14.8349857,14.59662035,14.5229381,14.56357155,14.64724075,14.77443661,15.08712656,15.69040849,16.39342305,17.22866427,18.21271595,18.50570055,19.10974517,19.20740913,19.52836527,19.84390391,20.20206166,20.18347895,20.455245,20.75368324,21.35434555,22.29119344,23.63737951,24.9791474,25.81595754,26.48821488,25.73349332,24.99962537,25.11930748,25.50505842
Burundi,19.49796516,19.74127974,19.90888952,19.96429167,20.0211043,20.32068735,20.30303069,20.06515875,19.84659819,19.44576444,19.07240242,18.34611417,17.98677275,17.62500763,17.41349435,17.19672127,16.91272241,16.76707767,16.75943678,16.9053437,17.30713174,17.75063834,18.49748924,19.18375024,19.63127255,19.61827277,18.81368897,18.21873809,18.46494747,18.85114609
"Ivory Coast",34.32190758,34.34815733,34.82684246,35.54923692,36.36458804,37.20427111,38.5099174,40.8130639,43.67639216,45.99556212,47.53002944,47.37266529,47.57900263,47.21368198,47.05501525,46.50218387,46.17491576,44.98177782,44.25671023,43.65335601,43.23624023,44.46264557,47.94587784,52.43944744,55.00966101,55.88893807,52.45822625,50.02065324,50.45733647,51.60724097
"Cape Verde",22.84900924,23.14501724,23.67534654,24.8243304,25.93600449,27.14737255,29.39522448,32.58804046,34.56148837,36.68038406,37.73517562,38.5266304,39.36815712,39.91985589,40.39126763,40.64486013,37.92977266,36.64467366,36.18024646,35.90922439,35.80866846,38.6384821,43.8570331,49.44392252,54.95654451,58.92311926,62.20333233,63.56330425,76.31486418,76.07087182
Cambodia,21.25397402,21.20998078,21.3131381,21.59165815,21.99030966,22.39805368,22.75505901,23.24656834,23.86492084,24.50430801,25.06685224,25.80658681,26.75827899,27.68203709,28.60722912,29.32636318,29.99566436,30.92049917,31.7524468,32.41186555,32.78763013,32.79762653,32.65271623,32.36956622,32.10514374,31.76812248,31.33132213,31.01729499,31.58748787,32.99185361
Cameroon,42.80754502,43.35857346,44.30459842,45.40688398,46.25138606,47.22213173,48.8302093,51.23672526,53.68015088,55.49382654,57.09681567,56.98605811,58.02216138,57.82635472,57.61654067,57.67373949,58.33211287,58.4474967,59.72307176,61.16175355,62.7460958,65.26576064,69.05435691,72.74419505,74.87603316,75.35895148,73.11262137,71.31749129,72.14731397,74.6269169
Canada,18.51961156,17.99435488,17.53320394,17.32669048,16.8952701,16.50966055,15.9263487,15.30286658,14.65262617,13.94924009,13.20751166,12.69365658,12.33002201,11.92039671,11.40927957,10.89890144,10.17331673,9.471544662,8.6798361,7.892114392,7.243181152,6.715176119,6.313634958,5.960458046,5.731669013,5.5605906,5.541853905,5.509663511,5.540038296,5.350263215
"Central African Republic",25.63194968,25.93600516,25.93592283,26.29300189,26.65748151,27.00162518,27.70940865,28.13669347,28.63549289,28.99507006,28.87237373,28.64018851,28.39835367,28.06132631,27.76924562,27.55471782,27.8198909,28.30240292,28.95657283,29.81809057,30.82714743,31.84565973,33.04020459,34.51868551,35.26646518,35.33572015,34.08976147,32.97604381,33.16191749,34.24968301
Chad,15.97572638,15.8487432,15.94818415,16.15664965,16.32968506,16.54794459,17.17932524,17.89748448,18.62674845,19.30260584,19.82626664,20.16441123,20.55616829,20.82007779,20.88141361,20.81036268,21.05132522,21.38382275,21.82810899,22.27813158,22.82361937,23.82303859,25.32616306,26.81360647,27.81559614,28.32626578,27.98043508,27.75021893,28.00681879,28.4676003
Chile,40.53772331,38.26967094,36.73590974,36.19668074,35.35267164,35.32649632,35.23352251,34.26553218,34.29567817,34.18006948,32.43884401,31.96982002,30.69434182,30.3564532,29.79228097,28.68975921,27.79765133,27.43646395,26.38003892,26.71748623,26.94877032,26.61318268,26.74763102,27.04059378,26.87947928,26.54320286,24.84383337,24.18041793,24.18385346,24.62206419
China,77.14973725,78.46471998,79.96034659,81.55460713,82.52141487,83.53011182,85.00387043,86.27027455,87.69548943,90.00365534,92.62607556,93.53297281,94.44207161,94.87227388,96.23835299,95.68895207,92.46963329,91.59972661,92.90072465,94.78649157,96.36574749,96.31547206,94.8869506,93.82662325,92.23122752,89.86359935,86.81066078,83.25248042,81.57226651,81.28262814
Colombia,39.07658282,40.14355659,40.01331818,39.40559957,39.05540515,38.56662643,39.05982521,37.50580532,36.91625002,37.57494191,36.94119684,35.87693443,37.39088607,33.73442594,31.99409217,29.859011,29.98231432,29.43825726,29.91355128,30.83696419,30.17249678,28.3092465,27.4777806,26.56449176,25.63414571,25.46135075,24.85935977,24.32120166,24.31165898,24.34329893
Comoros,11.63585155,11.95958563,12.5731409,12.94607559,13.50564239,13.92251094,14.28508594,14.54568828,14.50580937,14.55848881,14.93959512,15.06735483,15.28191346,15.32450817,15.30681775,15.70626073,15.59513518,16.26023258,16.58951682,16.4127189,16.4462339,17.05206162,17.66735439,18.19447349,19.18832186,19.20522372,18.8324075,18.52135032,18.58397559,19.35949105
"Congo (Brazzaville)",42.92812282,43.44328749,44.21808274,45.43880303,47.50245154,49.20290666,51.07663196,52.71389426,52.95819708,53.46599381,52.92805171,51.65038298,50.58167543,50.82882662,50.87924247,50.9487195,51.72608444,53.26994124,55.33954481,57.12306673,58.87589121,61.292585,64.9205838,68.37196498,71.07742761,71.9074426,70.99366875,70.46448412,71.68590138,74.05733322
"Cook Islands",18.54663076,18.020644,17.5216151,17.05296417,16.6758393,16.38854631,16.14037799,15.94415324,15.78732173,15.64702546,15.46228838,15.10009436,14.88653716,14.68641479,14.44798224,14.11413225,13.54038843,12.99887442,12.40903779,11.99266824,11.88065716,11.9069077,11.89884272,11.87342863,11.9051684,12.02836655,12.58178902,13.02231228,12.95896325,12.78570215
"Costa Rica",20.83509966,20.86987576,21.08613392,20.94764062,21.95292788,22.78692574,22.14511367,22.82377812,23.50975613,24.47125332,23.78890017,23.88133731,22.5542413,22.54890774,22.3810958,20.36591246,20.7879947,18.35215928,18.41549989,17.77207294,19.81519729,18.78208202,18.63607724,18.75150297,18.76129262,19.13807252,19.29630501,18.64651694,18.62670877,18.45288862
Croatia,77.41118425,74.9883383,73.58589172,72.61524102,71.07602094,70.41037453,70.46392661,70.47618656,68.11166649,65.78292409,62.05972402,60.15283264,59.86340288,60.14791688,57.06284237,56.81633888,54.34783695,53.68706921,52.26811264,48.70035599,46.5409781,44.48581656,42.80956999,40.14491014,39.32607137,39.70099154,35.31516054,33.92171389,33.48096333,33.56497147
Cuba,46.26479269,45.09755227,45.43656731,45.77283757,45.27900516,44.37066006,43.7748942,43.18612875,43.31427376,43.14082328,41.66464009,40.93993203,37.5821443,37.16643539,36.61742918,36.35858575,33.58344165,32.77262283,32.44451253,31.92602536,31.6751691,29.85921508,31.01815867,32.00076854,33.06943569,34.30563649,32.84262322,32.35254804,31.61747229,30.03505032
Cyprus,56.54937398,59.83264042,62.6157172,63.43279336,61.99815385,60.18341415,57.57311323,55.61996887,54.38199461,52.55587777,49.5868185,46.89804174,44.91388259,43.11035119,41.87626925,41.16096949,40.67933899,39.94547549,38.35255424,36.82127451,35.54991114,33.86842146,32.23282399,30.70426724,29.475891,28.19558827,25.32865055,23.17188536,22.89643159,23.35802589
"Czech Republic",96.55678576,91.38127393,87.97398837,83.42160622,80.62446118,79.01321237,73.47508842,70.42755389,64.5960091,61.01139702,58.59608773,56.78703575,54.70994099,54.70308379,51.37667175,49.61517865,46.65526086,45.24256377,44.26910297,42.77610436,41.28367579,39.84799917,37.81433877,35.71625083,33.04900043,31.88346551,30.14715251,29.21694836,29.32155767,28.81359567
"North Korea",50.17527069,50.34578134,50.65675457,51.18777923,51.80281416,52.49906747,53.24863071,54.10185877,54.91976401,55.78478731,56.53739265,57.38580093,58.4345283,59.54911157,60.62066641,61.47560048,62.11672553,62.56853821,63.0221221,63.37921392,63.87537672,65.72220579,69.00513979,72.4161684,74.64549731,74.71172961,72.21501852,70.01798164,70.30710705,72.51151165
"Congo (Kinshasa)",24.71836615,24.9449622,24.99158431,24.85126398,24.87731134,24.91536833,25.07371284,24.30652964,23.87897232,23.33295081,22.9112028,22.24379174,21.18712012,20.51192293,19.63757779,19.07200918,18.97651465,19.01969541,19.35941959,19.65943725,20.02546216,21.28558798,23.59637464,25.97625505,27.8342368,28.47079132,28.05301374,27.83889171,28.77501337,30.2648307
Denmark,44.26336652,42.15712789,40.85091086,39.63664563,38.10120604,36.65812698,34.72015437,32.77134319,30.86568405,30.1681415,28.33453411,27.50724005,26.40609228,24.7988131,23.18737158,21.84788179,21.32605861,20.93869477,20.35044357,20.00968126,19.29520288,17.78001542,15.87673302,13.95773305,12.29438437,11.52601153,11.58311215,11.6302206,11.33226366,10.69690499
Djibouti,29.08742206,30.01397139,30.96594788,32.1493657,33.12105644,34.97672148,36.65437553,38.81279329,41.99140166,44.89753997,47.55267987,50.40314357,54.04726193,57.47166902,62.14618213,64.60761349,66.01043648,67.33274233,68.27793123,68.83499715,70.24596802,71.3848056,72.61323777,73.73379206,73.64925205,74.3169932,74.03987574,74.41083108,75.19026061,75.94532037
Dominica,32.74210228,33.7957066,33.79202738,34.33648609,35.08586475,35.61328554,36.17811161,36.32629954,36.48707849,37.39709376,37.30245954,36.69393618,36.42249549,36.06878538,35.06716942,34.33490521,34.34724336,34.43674354,34.27079473,34.32971881,34.65945056,35.40050213,36.54729746,37.53403548,38.2710797,38.50341312,37.20291666,36.15541152,36.4200317,37.14043584
"Dominican Republic",15.97396139,15.39751592,14.99335124,15.1523203,15.13140642,15.55518429,16.59474308,17.95097885,19.20500022,20.45066173,21.0075486,21.80655387,22.92387591,25.11533158,27.84110817,29.61354939,30.74469223,31.42508844,31.86348692,32.5065473,33.11075439,34.1090179,36.85926875,40.16725912,42.4202896,44.05902983,43.79484224,42.61081096,41.88092641,41.50151362
Ecuador,30.75122578,31.76498095,30.50602398,29.06805664,27.99389089,26.90907081,27.16045902,25.48059814,25.71199681,25.67290773,25.44243356,24.79105159,27.38228157,28.68291733,29.58817775,31.26354758,32.27883108,33.01781006,33.51658098,33.22906472,33.38048415,32.55208677,32.89017551,32.83408359,32.57171345,32.00392491,31.10122002,30.22392254,30.29953774,30.53344893
Egypt,170.5530114,172.3000961,171.8838281,176.8757761,179.8897196,175.9613002,173.0364041,173.2582878,172.5531513,170.2674665,161.8330167,167.6090079,172.6930799,180.2869098,179.4060083,175.3039357,173.5356857,171.7801131,174.2752957,176.737727,176.2437303,172.9245063,174.6109359,167.3294785,166.75609,172.3728859,168.3754788,160.786893,158.8453244,157.4675149
"El Salvador",21.04899721,20.68686974,21.1896859,21.74884049,22.20298088,21.82460783,22.04236173,23.72769319,26.67680992,26.02322567,26.24413201,25.68885184,24.38049147,24.8508774,25.54845395,25.71120948,25.9459314,25.69144051,25.13839564,26.64841991,25.33993481,26.70757372,26.25605443,28.76139327,31.99443233,32.43566981,31.5130442,30.76362058,30.49531975,30.7200876
"Equatorial Guinea",21.02369411,20.90126249,20.96651268,21.426195,22.07056225,22.97451125,24.98259779,27.39072367,30.86470239,34.34063475,36.9656672,38.18924096,39.33963305,41.54362878,44.03376361,46.52740921,49.33245683,51.75565658,54.51164145,57.50851851,60.83975662,66.09360222,71.01239712,74.72805768,77.25372488,79.59767743,79.10356762,78.17414665,79.55996335,82.23034463
Eritrea,23.80635311,24.09382333,24.27614414,24.91012365,26.0980706,27.86639877,29.18805038,31.19978269,33.17705275,35.12017578,36.10906698,36.18070072,36.78873123,37.06638133,37.60307749,37.89761089,38.18192388,38.47104687,38.89406729,39.2019293,39.6597793,40.0736329,40.72035583,41.54518607,42.40744039,43.34487469,44.69795969,46.19771294,47.6440824,49.01311664
Estonia,35.62490403,36.29261731,35.30624663,37.13528237,38.87203948,35.9746794,30.92990379,29.36604465,29.27740878,26.60779667,25.3832119,25.3762727,23.87013458,22.6160519,21.3976356,20.20334271,19.41023166,18.87458651,17.00408656,15.67167613,13.96378408,13.16077989,11.67675468,9.734526582,8.42727958,6.99822492,6.017254397,5.389596698,5.417717967,5.653975231
Swaziland,32.537076,33.8442482,34.61908562,35.14485659,36.31311117,38.06288241,39.9335556,40.84334356,42.80136038,44.81930955,48.00790909,50.64896435,53.0109651,54.69246018,56.36458068,57.72649039,58.23314603,59.40616318,60.78736022,61.87491698,61.70959418,60.88220587,60.81675906,60.49369101,59.9819127,59.70201842,59.62615864,59.68328922,60.02187845,60.57175145
Ethiopia,11.82325929,11.56624123,11.44947971,11.28506822,11.14634391,11.06411743,11.03486844,11.2565888,11.61831151,11.93078592,11.97837792,11.87037898,11.80574657,11.7778688,11.80379975,11.9084345,12.17528009,12.65024681,13.23835247,13.85942413,14.34863219,14.86904282,15.3695181,15.82540017,16.33940064,16.80729806,17.23015273,17.74999917,18.32048449,18.90828186
Fiji,23.2831066,23.81011724,24.50455981,25.60610728,26.87236685,28.34824391,31.08105421,34.98258828,38.11809903,43.75265914,46.99356553,46.45638878,45.80734091,46.67321349,44.65052804,44.75566356,45.00396448,45.56819716,45.60081239,44.20293496,44.31247227,44.49400464,44.46367311,44.49704563,44.87628216,45.2490913,46.55929629,47.97589227,48.34649541,48.40943119
Finland,19.02455444,17.84998471,17.01821733,16.0995849,14.75212443,14.07396643,13.24895586,12.51942001,11.74063939,11.02750813,10.36722924,9.65130911,9.123645926,8.564847746,8.035370767,7.580204511,7.226399603,7.086337327,6.903935716,6.754019297,6.544304873,6.024740841,5.279108056,4.42116557,3.632253394,3.047036108,2.666008871,2.482318174,2.576766632,2.913253869
France,26.84567029,25.74227554,24.64178766,23.85650071,22.87104638,22.40965357,21.93929598,21.13689895,20.81637188,20.22106619,19.40886072,18.7568468,18.1443889,17.45120956,16.13854459,15.656328,15.16058,14.84245846,14.70482075,14.55593411,14.19056425,13.62610942,12.86205523,11.82157914,10.71112833,10.16788515,9.222499461,8.849525981,8.748605249,8.732487667
Gabon,47.58506451,49.46535332,51.6347308,53.84125581,56.90890273,60.53928832,63.95869454,66.7023564,69.77032922,72.53427979,75.37804387,76.87354939,76.77177912,78.06631611,78.95909894,78.95448579,80.22722218,81.01725719,82.91023286,83.42358096,83.30656917,85.06586118,86.41250516,87.55641416,88.69952612,89.26014458,86.15876682,83.37946247,83.44881483,85.10890344
