Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.78,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.93,,,,,,,
Austria,,,,,,,,,,,5.27,5.2033,5.1367,5.07,5.0033,4.9367,4.87,4.8033,4.7367,4.67,4.6033,4.5367,4.47,4.4033,4.3367,4.27,4.2033,4.1367,4.07,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.47
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,4.17,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,5.02,4.985,4.95,4.915,4.88,4.845,4.81,4.775,4.74,,,,,
Canada,,,,,,,,,,,4.29,4.302,4.314,4.326,4.338,4.35,4.285,4.22,4.155,4.09,4.025,3.96,3.895,3.83,3.765,3.7,3.428,3.156,2.884,2.612,2.34,,,,,
Denmark,,,,,,,,,,,3.05,3.0909,3.1318,3.1727,3.2136,3.2545,3.2955,3.3364,3.3773,3.4182,3.4591,3.5,3.5313,3.5625,3.5938,3.625,3.6563,3.6875,3.7188,3.75,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,4.94,4.85,4.76,4.67,4.58,4.49,4.4,4.31,4.22,4.13,4.04,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,3.93,3.91,3.89,3.87,3.85,3.83,3.81,3.79,3.77,3.75,3.73,,,,,
France,,,,,,,,,,,,,,,,,,,,,4.54,4.479,4.418,4.357,4.296,4.235,4.174,4.113,4.052,3.991,3.93,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,4.23,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.37,,
Hungary,,,,,,,,,,,,,,,,,,,,,4.95,4.93,4.91,4.89,4.87,4.85,4.83,4.81,4.79,4.77,4.75,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,5.33,5.2917,5.2533,5.215,5.1767,5.1383,5.1,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,6.94,6.7333,6.5267,6.32,5.95,5.58,5.21,4.84,4.47,4.1,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,6.65,6.46,6.27,6.08,5.89,5.7,5.65,5.6,5.55,5.5,5.45,5.482,5.514,5.546,5.578,5.61
Latvia,,,,,,,,,,,,,,,,,,,,,,,,3.93,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,4.48,,,,,,,,,,,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.88,
"Macedonia (F.Y.R.O.M.)",,,,,,,,,,,,,,,,,,,,,,,,,5.7,5.496,5.292,5.088,4.884,4.68,4.598,4.516,4.434,4.352,4.27,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.08,,,
Netherlands,4.87,4.785,4.7,4.615,4.53,4.445,4.36,4.275,4.19,4.105,4.02,4.042,4.064,4.086,4.108,4.13,4.114,4.098,4.082,4.066,4.05,4.044,4.038,4.032,4.026,4.02,4.06,3.956,3.852,3.748,3.644,3.54,,,,
Norway,,,,,,,,,,,4.15,4.098,4.046,3.994,3.942,3.89,3.838,3.786,3.734,3.682,3.63,3.597,3.564,3.531,3.498,3.465,3.432,3.399,3.366,3.333,3.3,,,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,4.75,4.7389,4.7278,4.7167,4.7056,4.6944,4.6833,4.6722,4.6611,4.65,,
Portugal,,,,,,,,,,,,,,,,,,,,,5.1,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,5.47,5.4225,5.375,5.3275,5.28,5.2325,5.185,5.1375,5.09,5.0425,4.995,4.9475,4.9,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.82,4.862,4.904,4.946,4.988,5.03
Slovenia,,,,,,,,,,,,,,,,,,,,,,4.95,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,,,,4.92,4.8671,4.8143,4.7614,4.7086,4.6557,4.6029,4.55,,,,,
Sweden,,,,,,,,,,,4.3,4.235,4.17,4.105,4.04,3.975,3.91,3.845,3.78,3.715,3.65,3.623,3.596,3.569,3.542,3.515,3.488,3.461,3.434,3.407,3.38,,,,,
Switzerland,,,,,,,,,,,,,,,,4.85,4.818,4.786,4.754,4.722,4.69,4.685,4.68,4.675,4.67,4.6633,4.6567,4.65,4.5133,4.3767,4.24,4.2367,4.2333,4.23,,
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,5.28,5.2489,5.2178,5.1867,5.1556,5.1244,5.0933,5.0622,5.0311,5
"United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,3.53,,,,,,,,,,
"United States",,,,,,,,,,,,,,,,,,,,,,,,3.75,3.75,3.72,3.65,3.65,3.48,3.58,3.44,3.41,3.41,3.49,3.46,3.54
