Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,5,4.75,4.5,4.5,4.5,4.75,5,5,5,5,5,4.5,4
Albania,8,8.25,8.5,8.5,8.5,8.5,8.5,8.25,8,7.75,7.5,7.5,7.5
Algeria,7,7.25,7.5,7,6.5,6.5,6.5,6.75,7,7,7,6.75,6.5
Angola,5.5,5.75,6,6,6,6.5,7,7,7,6.75,6.5,6.25,6
Argentina,7,6.75,6.5,6.25,6,5.75,5.5,5.25,5,4.75,4.5,5.75,7
Armenia,9,9,9,8.5,8,7.5,7,7,7,7,7,7.25,7.5
Azerbaijan,7,7,7,6.75,6.5,6.5,6.5,6.5,6.5,6.75,7,6.5,6
Bahrain,9,9,9,9.25,9.5,9.5,9.5,8.75,8,7.5,7,6.75,6.5
Bangladesh,7,6.75,6.5,6.5,6.5,6.75,7,6.5,6,6,6,6.25,6.5
Belarus,3.5,4,4.5,4.5,4.5,4,3.5,3.25,3,3,3,4,5
Benin,8,7.75,7.5,7.25,7,7.25,7.5,7.25,7,7.25,7.5,7.5,7.5
Bhutan,,,4.5,4.75,5,5.25,5.5,5.5,5.5,5.75,6,6,6
Bolivia,7,7,7,7.25,7.5,7.75,8,8,8,8.25,8.5,8.25,8
"Bosnia and Herzegovina",8.5,8.5,8.5,8.25,8,8.25,8.5,8.25,8,8,8,8,8
Botswana,9,8.75,8.5,8,7.5,7.75,8,8.25,8.5,8.75,9,9.5,10
Brazil,10,10,10,10,10,10,10,10,10,9,8,7.75,7.5
Bulgaria,9,9.25,9.5,9.25,9,8.75,8.5,8.75,9,9,9,9,9
"Burkina Faso",8,8,8,7.25,6.5,6.75,7,7.25,7.5,7.5,7.5,7.5,7.5
"Burma (Myanmar)",1.5,1.75,2,1.5,1,1,1,2,3,3,3,3.25,3.5
Burundi,5.5,5,4.5,4.75,5,5.5,6,6,6,6,6,6,6
Cambodia,6.5,6.75,7,6.75,6.5,6.25,6,6,6,6,6,6,6
