Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Angola,,,,3.634288,3.236166225,2.9775,2.71875,2.501171412,,,
Albania,3.712462157,3.999535672,3.984633898,4.043797492,4.229913516,4.187727347,3.81274625,3.754909004,4.109738922,4.165601408,4.02896452
"United Arab Emirates",4.638429607,4.928527418,5.203901396,5.069712432,4.760950819,4.988770309,5.219269,5.260204582,5.260204582,5.349174479,5.692491055
Argentina,3.581549157,3.689627664,3.706539066,3.501374493,3.465537947,3.365241,3.335203144,3.475895146,3.346203151,3.29312512,3.504193544
Armenia,3.439890042,3.503860622,3.439178879,3.2339899,3.532226093,3.773608628,3.768672046,3.69895281,3.607250726,3.777266254,3.786661386
Australia,5.860171513,5.666884121,5.21666425,5.202196618,5.258115077,5.098862286,4.940448832,5.039552064,5.057359174,5.036738,5.145608902
Austria,5.863799092,5.796995445,5.210035122,4.778672453,4.798238495,5.084629146,4.99434386,4.788221849,4.948296427,5.190477235,5.097393513
Azerbaijan,3.32404629,3.579371361,3.9578559,3.760956274,3.892289661,4.014984393,3.927963933,3.858964328,3.858964328,4.088614098,4.42601347
Burundi,3.918671329,3.771362441,3.488679101,3.327732854,3.092076843,3.122865994,2.952925687,3.081507933,3.081507933,3.531569537,3.446324587
Belgium,5.607484584,5.47505208,5.075962666,4.900727278,4.999665064,4.932589846,4.788104404,4.928553217,5.048906164,5.044469131,5.149755001
Benin,4.59547922,4.605884902,4.628503011,4.32081233,4.546611071,3.826372308,3.415339947,3.5905,3.765625,3.58515625,3.837781668
"Burkina Faso",4.798642439,4.588022904,4.419105148,4.13363255,4.075543815,3.88260096,3.561340942,3.602278245,,,
Bangladesh,3.924865591,3.831503188,3.645391362,3.43749665,3.520969132,3.235151594,3.132105711,3.034792261,3.055249662,3.381834239,3.359750032
Bulgaria,3.261358238,3.62845716,3.570985888,3.456251623,3.63461166,3.73584828,3.771312421,3.922975311,3.678878251,3.773362,3.858357191
Bahrain,5.432174998,5.439569764,5.011362955,5.099185737,5.574043132,5.457644634,5.164820841,5.110401136,5.034942389,5.08854709,5.08854723
