Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Zimbabwe,,,51.7,48.78,45.86,42.94,40.02,37.1,35.3,
Zambia,,,49,47.34,45.68,44.02,42.36,40.7,39.8,
Yemen,,,39.8,39.64,39.48,39.32,39.16,39,39,
Vietnam,,,16,15.82,15.64,15.46,15.28,15.1,14.9,
Venezuela,,,12.9,12.84,12.78,12.72,12.66,12.6,12.4,
Vanuatu,,,22.3,22.16,22.02,21.88,21.74,21.6,21.1,
Uzbekistan,,,27.2,25.66,24.12,22.58,21.04,19.5,18.2,
Uruguay,,,8,7.8,7.6,7.4,7.2,7,6.9,
"United States",,,5.6,5.5,5.4,5.3,5.2,5.1,5.1,
"United Kingdom",,,4,3.86,3.72,3.58,3.44,3.3,3.3,
"United Arab Emirates",,,6.5,6.38,6.26,6.14,6.02,5.9,5.8,
Ukraine,,,9,8.64,8.28,7.92,7.56,7.2,6.9,
Uganda,,,47.4,44.92,42.44,39.96,37.48,35,33.6,
Tuvalu,,,22.6,21.98,21.36,20.74,20.12,19.5,18.9,
Turkmenistan,,,41.4,40.26,39.12,37.98,36.84,35.7,34.6,
Turkey,,,15.3,14.42,13.54,12.66,11.78,10.9,10.3,
Tunisia,,,13.3,12.82,12.34,11.86,11.38,10.9,10.5,
"Trinidad and Tobago",,,17.7,17.22,16.74,16.26,15.78,15.3,14.8,
Tonga,,,17,16.88,16.76,16.64,16.52,16.4,16,
Togo,,,52.9,51.62,50.34,49.06,47.78,46.5,45.3,
"Timor Leste",,,48.1,46.5,44.9,43.3,41.7,40.1,38.8,
Thailand,,,11,10.66,10.32,9.98,9.64,9.3,9,
Tanzania,,,44.2,43.02,41.84,40.66,39.48,38.3,37.1,
Tajikistan,,,39.3,38.18,37.06,35.94,34.82,33.7,32.7,
Syria,,,12.5,12.54,12.58,12.62,12.66,12.7,12.7,
Switzerland,,,3.6,3.54,3.48,3.42,3.36,3.3,3.4,
Sweden,,,2.2,2.2,2.2,2.2,2.2,2.2,2.2,
Swaziland,,,58.8,56.6,54.4,52.2,50,47.8,47.1,
Suriname,,,18.7,18.18,17.66,17.14,16.62,16.1,15.6,
Sudan,,,45.5,44.52,43.54,42.56,41.58,40.6,39.6,
"Saint Vincent and Grenadines",,,16.8,16.28,15.76,15.24,14.72,14.2,13.7,
"Saint Lucia",,,12.1,11.86,11.62,11.38,11.14,10.9,10.6,
"Saint Kitts and Nevis",,,8.8,8.48,8.16,7.84,7.52,7.2,6.9,
"Sri Lanka",,,8.7,8.44,8.18,7.92,7.66,7.4,7.2,
Spain,,,2.9,2.84,2.78,2.72,2.66,2.6,2.5,
"South Sudan",,,65.3,63.32,61.34,59.36,57.38,55.4,53.7,
"South Africa",,,33,32.7,32.4,32.1,31.8,31.5,30.1,
Somalia,,,90.3,87.92,85.54,83.16,80.78,78.4,76.3,
"Solomon Islands",,,21.4,21.14,20.88,20.62,20.36,20.1,19.6,
Slovenia,,,2.4,2.28,2.16,2.04,1.92,1.8,1.7,
Slovakia,,,5.2,5.06,4.92,4.78,4.64,4.5,4.5,
Singapore,,,2,1.98,1.96,1.94,1.92,1.9,2,
"Sierra Leone",,,99.3,95.36,91.42,87.48,83.54,79.6,76.8,
Seychelles,,,10.9,10.92,10.94,10.96,10.98,11,10.8,
Serbia,,,5.9,5.7,5.5,5.3,5.1,4.9,4.6,
Senegal,,,38.1,36.64,35.18,33.72,32.26,30.8,29.7,
"Saudi Arabia",,,12.5,12.12,11.74,11.36,10.98,10.6,10.3,
"Saint Thomas and Principe",,,29.5,28.36,27.22,26.08,24.94,23.8,23,
"San Marino",,,2.8,2.7,2.6,2.5,2.4,2.3,2.3,
Samoa,,,14.7,14.52,14.34,14.16,13.98,13.8,13.5,
Rwanda,,,39.7,37.2,34.7,32.2,29.7,27.2,26.1,
Russia,,,7.5,7.2,6.9,6.6,6.3,6,5.8,
Romania,,,8.6,8.28,7.96,7.64,7.32,7,6.8,
Qatar,,,7.1,7.04,6.98,6.92,6.86,6.8,6.7,
Portugal,,,2.9,2.84,2.78,2.72,2.66,2.6,2.6,
Poland,,,4.7,4.52,4.34,4.16,3.98,3.8,3.7,
Philippines,,,21.7,21.22,20.74,20.26,19.78,19.3,18.7,
Peru,,,14.1,13.5,12.9,12.3,11.7,11.1,10.7,
Paraguay,,,18.3,17.78,17.26,16.74,16.22,15.7,15.2,
"Papua New Guinea",,,45.4,44.26,43.12,41.98,40.84,39.7,38.6,
Panama,,,14.9,14.48,14.06,13.64,13.22,12.8,12.5,
Palau,,,14.6,14.18,13.76,13.34,12.92,12.5,12.1,
Pakistan,,,68.6,67.08,65.56,64.04,62.52,61,59.4,
Oman,,,9,8.88,8.76,8.64,8.52,8.4,8.2,
Norway,,,2.3,2.22,2.14,2.06,1.98,1.9,1.9,
Nigeria,,,73.8,71.56,69.32,67.08,64.84,62.6,60.7,
Niger,,,57.1,55.2,53.3,51.4,49.5,47.6,46.3,
Nicaragua,,,18.3,17.7,17.1,16.5,15.9,15.3,14.8,
"New Zealand",,,4.6,4.5,4.4,4.3,4.2,4.1,4,
Netherlands,,,3.4,3.32,3.24,3.16,3.08,3,2.9,
Nepal,,,34.8,33.3,31.8,30.3,28.8,27.3,26.1,
Nauru,,,28.7,28.2,27.7,27.2,26.7,26.2,25.5,
Namibia,,,36.4,35.3,34.2,33.1,32,30.9,28.8,
"Burma (Myanmar)",,,44,42.58,41.16,39.74,38.32,36.9,35.7,
Mozambique,,,65.5,62.62,59.74,56.86,53.98,51.1,49.2,
Morocco,,,25.6,24.76,23.92,23.08,22.24,21.4,20.6,
Montenegro,,,5.8,5.36,4.92,4.48,4.04,3.6,3.3,
Mongolia,,,17.3,16.38,15.46,14.54,13.62,12.7,12.1,
Monaco,,,2.9,2.82,2.74,2.66,2.58,2.5,2.5,
Moldova,,,12.9,12.76,12.62,12.48,12.34,12.2,12,
Micronesia,,,28.9,28.14,27.38,26.62,25.86,25.1,24.4,
Mexico,,,13.3,12.96,12.62,12.28,11.94,11.6,11.3,
Mauritius,,,11.8,11.7,11.6,11.5,11.4,11.3,10.9,
Mauritania,,,54.7,53.58,52.46,51.34,50.22,49.1,48,
"Marshall Islands",,,27.8,27.46,27.12,26.78,26.44,26.1,25.4,
Malta,,,5.5,5.5,5.5,5.5,5.5,5.5,5.5,
Mali,,,73.7,71.8,69.9,68,66.1,64.2,62.5,
Maldives,,,10.1,9.46,8.82,8.18,7.54,6.9,6.5,
Malaysia,,,6.1,6.16,6.22,6.28,6.34,6.4,6.4,
Malawi,,,52.2,49.12,46.04,42.96,39.88,36.8,34.9,
Madagascar,,,38.7,37.22,35.74,34.26,32.78,31.3,30.3,
"Macedonia (F.Y.R.O.M.)",,,8.5,8.74,8.98,9.22,9.46,9.7,9.8,
Luxembourg,,,2.1,2.06,2.02,1.98,1.94,1.9,1.8,
Lithuania,,,4.5,4.36,4.22,4.08,3.94,3.8,3.9,
Libya,,,12.6,12.12,11.64,11.16,10.68,10.2,9.8,
Liberia,,,59.8,57.48,55.16,52.84,50.52,48.2,46.6,
Lesotho,,,67.9,67.8,67.7,67.6,67.5,67.4,65.4,
Lebanon,,,8.5,8.18,7.86,7.54,7.22,6.9,6.6,
Latvia,,,6.1,5.68,5.26,4.84,4.42,4,3.7,
Laos,,,52.1,50.62,49.14,47.66,46.18,44.7,43.4,
Kyrgyzstan,,,23,21.9,20.8,19.7,18.6,17.5,16.5,
Kuwait,,,8.6,8.26,7.92,7.58,7.24,6.9,6.7,
