Country,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Argentina,,,,,,,,,,,,,,,85995,82500,83197,83894,90781,
Armenia,,,,,,,,,,,,,2,1,,,,,,
Australia,,,,,,,,,,,,,31645,30670,31875,37473,38173,35170,38515,
Austria,,,,,,,,12096,11901,12232,12062,12508,20938.5,29369,14724,14619,11856,12341,11989,12317
Azerbaijan,,,,,,,,,,,,,,,,,12,18,15,15
Belarus,,,,,,,,,,,,,,,536,520,472,481,407,388
Belgium,,,,,,,,19005,,,,,,,,,,,,
Belize,,,,,,,,,,,,,271,246,180,204,,,,
Brazil,,,,,,,,,,,,,,,175802,,,,,
Bulgaria,,,,,,,1447,1320,1372,1230,1182,1255,,,,,,,,
Chile,46729,42871,37738,41002,40910,43375,44398,45022,,,,,,,,,,,,
Croatia,,,,,,,,,,,,,,,6686,6088,,,,
Cyprus,,,,,,,,,,,,,,,460,457,454,468,,
Denmark,,,,,,,,,,,,,,,17757,17193,,,,
"Dominican Republic",,,,,,,,,,,,2195,,,,,,,,
"El Salvador",,,,4890,6270,3497,4207,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,1082,1151,1328,1601,1545,1652,1627,1766
Finland,,,,,,,,,,,,,15454,15889.5,16325,16203,16081,,,
France,139268,144881,152051,165849,169385.8,172922.6,176459.4,179996.2,183533,187352,198536,200695,195955,204760,,,,,,
Guyana,,,187,,,,,,,,,,,,,,,,,
Hungary,6738,6897,6948,7206,6938,7171,7552,7251,7435,6969,6389,7141,7279.375,7417.75,7556.125,7694.5,7832.875,7971.25,8109.625,8248
Ireland,,,,,,,,,,,,,10232,13417,,,,,,
Italy,101848,106466,121836,129088,125572,120958,120394,120183,118688,116951,115205,113170,109764.6667,106359.3333,102954,93592,87491,85798,80198,79625
Kazakhstan,,,,,,,,,,,,,,,,,,,430,
Kyrgyzstan,,,,,,,,,,,,,,,,,3,,,
Latvia,,,,,,,,,,,,,,,451,524,,,,
Macau,,,,1433,1449,1538,1635,1855,1967,1062,2186,2001,2827,2874,3183,3506,3454,3426,3422,
Malaysia,,,,,,,,,,,,,,,,,6417,6383.5,6350,
Malta,,,,,,,,,,,,,,,466,475,502.6667,530.3333,558,668
Mauritius,,,,,,,,,,,,,,,133,75,95.6667,116.3333,137,127
Mexico,,,,,,106434,97917,100549,105427,113927,119545,131067,143491,163999,175967,186062,182628,179194,189347,
"New Zealand",,,,,,,,5882,6381.5,6881,6559.6667,6238.3333,5917,5415,,,,,,
"West Bank and Gaza",,,,,,,,,,,,,,,,,,,15,
Peru,,,,,,,,,,,,,,,442,1086,1774,1033.5,293,
Romania,1127,944,870,853,911,854,847,863,831,881,825,878,699,725.1429,751.2857,777.4286,803.5714,829.7143,855.8571,882
"Saint Vincent and Grenadines",,,53,18,21,13,8,15,15,11,23,31,,,,,,,,
Singapore,,,,,,,,,,,,,,,,,,,2431,
Slovakia,,,,,,,,,,,,,,,2775,2763,2802,2836.5,2871,3208
Spain,102789,119106,143883,164554,175082,172936,177213,177690,180022,187993,201291,193912,163521,155756,143949,119684,125937,132964,140147,
"Sri Lanka",,,345,356,,,,,,,,,,,,,,,,
Sweden,,,,,,,,,,,,,,,,,12926,12946,13531,14141
Switzerland,,,,,,,,,,,,,17755,18308.5,18862,19179,19496,19501,19695,
Ukraine,,,,,,,,,,,,,,,,,,,1133,
"United Kingdom",,,,,,,,,,,,,,,,,,34777,,
"United States",,,,,,,,,,,,,,,461,451,453,458,,
