Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albania,54.8,54.4,54.3,51.56537753,51.85477,59.731,58.923,60.597,70.497,72.564
Algeria,14.6,11.4,19,6.5,13.5,10.3,9.925,9.9,9.214,8.764
Angola,,,,,22.8,31.384,30.3395,29.295,26.638,
Argentina,73.5,64,56.1,48.5,48.8,47.846,44.203,44.887,46.914,48.564
Armenia,24.2,26.3,20,15.8,40.14242,39.395,35.103,39.548,41.898,44.222
Australia,16.8,16.1,15.41272884,14.20190996,19.2,22.306,22.861,27.159,28.79,34.258
Austria,63.5,62.2,61.26593636,65.71787091,70.3,69.859,72.201,73.717,74.193,86.824
Azerbaijan,11.6,8.3,9.4,9.7,9.9,10.84,10.234,11.599,13.754,16.353
Bahrain,,,29.4,28.9,36.3,32.046,36.456,33.727,43.87,43.763
Bangladesh,41.5,40.817,37.4,34.5,38.837,35.209,42.9,42.9,39.743,33.86
Barbados,81.6,74,89,95.7,100.6,113.669,117.251,72.634,92.017,
Belgium,93.2,89.1,88.33281391,93.18298196,101,97.135,98.506,99.6,99.75,105.6
Belize,,,,,,81.651,,,,
Benin,36.9,12.7,13.45,14.2,14.5,30.589,31.327,32.525,31.696,30.867
Bhutan,,,,,,,,72.075,110.659,107.511
Bolivia,72.1,55,44.5,41,42,37.432,32.878,33.09,33.096,32.409
"Bosnia and Herzegovina",31.7,48,34,40,28.80896,36.889,40.628,44.265,44.5855,44.906
Botswana,,,2.7,5.9,6.837327659,13.206,17.259,14.92,15.872,14.45
Brazil,71.41352909,65.5,46.99,39.4,48.01145,66.065,66.181,68.469,66.335,65.218
Brunei,,,,,,,,2.406,,
Bulgaria,29.2,22.8,20.8,19.63192302,14.8,17.96,17.041,18.497,17.625,26.9
"Burkina Faso",42.9,19.7,21.65,23.6,21,27.683,29.437,27.695,33.3,
Burundi,185.6,176.9,174.1,126.52,28.3,47.525,35.266,32.002,31.728,30.541
"Cape Verde",,,,,60.5,80.324,77.581,103.353,94.996,112.199
Cambodia,54,36.8,30.7,27.5,29.2,30.292,28.596,28.503,28.121,29.543
Cameroon,50.3,17.3,15.4,14.3,14.9,12.861,12.866,14.859,18.558,23.932
Canada,78.6,74.1,68.45,63.626,81.612,84.046,84.953,85.641,89.119,86.515
Chad,36,26.6,24.1,32.7,22.3,36.086,32.154,34.454,30.168,24.983
Chile,7.2,5.392,4.107,5.21,22.1,8.831,9.914,11.222,12.18,13.891
China,23.3,22,18.4,15.9,16.9,17.711,25.843,22.849,22.397,41.061
Colombia,45.8,43.1,53.5,42.821,42.7,36.508,34.674,32.838,31.799,38.015
"Costa Rica",55.2,51.973,46.587,42.244,42.3,39.381,30.764,34.821,37.003,39.758
"Ivory Coast",,,81.1,60.3,82.1,67.212,90.525,49.07,43.194,36.414
Croatia,43.7,40.8,39.6,35.3,35.9,40.038,45.571,56.282,59.783,80.926
Cyprus,69.2,65.3,59.789415,49.140632,56.219278,61.659,71.843,86.205,112.011,107.106
"Czech Republic",30.4,30.4,33.38908842,34.8353985,42.1,39.594,41.462,43.146,47.944,41.595
Denmark,36.3,30.2,31.84729831,40.05665153,51.8,44.252,46.427,50.102,45.171,42.617
"Dominican Republic",,22.8,21.14,24.3,29.9,28.989,29.264,33.486,33.76,35.142
Ecuador,39.8,32.996,33.6,26.7,17.9,20.389,17.976,18.613,24.201,29.789
Egypt,104.3,101.2,105.8,85.9,80.1,73.778,76.448,80.155,89.179,90.473
"El Salvador",44.1,41.2,34,40.5,42.1,50.799,50.794,52.193,54.89,56.464
Estonia,4.8,4.1,2.9,4.785028,7.2,6.559,6.043,8.498,11.349,9.666
Ethiopia,88.8,82,43.2,35,36.8,36.705,37.261,21.551,22.166,21.862
Finland,41.4,39.1,41.04182889,40.60729833,52.6,48.374,48.562,53.335,57.038,59.627
France,66.7,64.7,63.972,67.295,77.439,84.252,86.262,90.291,93.876,95.14
Gabon,,,,,,,20.451,21.999,22.871,27.785
Gambia,,,49.9,41.8,33.3,57.386,68.768,77.179,82.094,100.196
Georgia,36.6,28.9,23.4,20.7,29.886,39.072,33.879,32.738,31.789,35.088
Germany,66.4,66.8,63.222,67.216,72.5,79.994,81.506,81.964,78.063,73.112
Ghana,,,39.6,51.4,49.8,41.241,43.39,56.526,60.114,67.555
Greece,107.5,104.6,102.3699601,101.1437004,119,142.024,160.807,158.546,173.813,177.188
Guatemala,25.2,23,20.8,21.7,22.7,24.012,24.062,25.112,24.442,23.74
Guinea,,,,,,,72.187,42.993,37.845,37.444
Guyana,,193,110,92.5,108.6,61.337,61.754,60.333,63.891,65.806
Haiti,,,,,,15.711,10.633,15.446,21.318,26.707
Honduras,53.14,50.02,24.8,21.9,22.7,26.342,28.119,34.676,40.182,46.145
"Hong Kong",1.8,1.5,1.2,16.86,33.4,4.822,33.857,32.393,33.836,6.942
Hungary,61.7,66,72.16663779,76.47415691,84.3,80.376,80.446,79.003,79.232,76.892
Iceland,25.5,31.5,24.26272083,93.21204496,122.7,96.595,99.186,99.083,90.204,82.071
India,82.55,79.45,75.91,75.17,73.13,69.17,68.053,66.842,66.717,64.958
Indonesia,49,42.3,35.7,31.2,31.1,26.936,25.03,24.004,26.105,25.027
Iran,,,,,16.3,12.04,12.697,10.726,10.628,12.166
Ireland,27.4,24.9,29.90642354,47.45840527,70.3,96.149,104.951,117.122,122.817,109.464
Israel,95.1,85.908,80.552,77.6,78.4,77.857,74.337,74.568,66.732,68.822
Italy,106.2,106.8,103.987,105.813,115.802,119.009,120.106,126.978,132.53,132.109
Jamaica,,,128.8,128.3,117.1,139.729,138.981,146.591,138.905,140.643
Japan,182.9,184.8,195.483,196.287,217.559,220.282,229.773,237.918,243.222,246.42
Jordan,81.1,71.5,72.9,60.1,64.4,60.519,69.777,79.586,87.749,89.331
Kazakhstan,7.1,6.1,10.7,6.81460992,8.51037,11.424,10.882,12.318,13.534,15.122
Kenya,51.4,53.1,40.5,58.3,66.7,50.549,48.944,48.185,50.45,48.604
"South Korea",24.7,26.5,24.6,25.21440261,34.9,30.863,34.136,33.668,36.673,35.716
Kuwait,10.3,8.8,7.8,5.3,8.1,10.526,7.348,7.29,5.278,7.138
Kyrgyzstan,85.3,71.7,56.4,49.20819191,54.75594,63.035,52.437,48.935,47.725,53.035
Laos,,,,,,,,53.082,62.027,62.508
Latvia,12,10,9.7,19.48328508,36.1,39.894,37.771,36.417,32.06,37.792
Lebanon,,,,,162,136.692,136.221,139.527,139.68,134.41
Lesotho,57.1,53.1,49.4,45.6,41.4,37.734,39.649,41.903,39.562,45.883
Liberia,,,,,,,13.918,29.076,31.159,33.242
Libya,,6.1,4.7,4.2,3.9,,,,,
Lithuania,18.6,18.2,17.3,15.57996875,29.3,38.666,38.964,39.586,39.314,37.705
Luxembourg,6.1,6.8,11.26705607,12.6585954,18.2,16.56,20.846,21.138,22.87,24.608
"Macedonia (F.Y.R.O.M.)",47.6,43.3,25.8,21.31182475,21.31979,24.812,28.105,33.271,35.764,38.008
Madagascar,80.3,34.2,35.9,34.8,24.2,35.024,5.678,38.309,49.8,34.907
Malawi,,,51.3,48.9,39.5,42.912,42.455,54.903,68.87,62.018
Malaysia,46.2,44.336,41.578,41.2,53.7,54.203,52.556,55.474,58.152,56.95
Mali,,,,26.9,22.4,28.312,30.639,32.003,31.512,31.489
Malta,72.4,66.5,62.635578,64.073529,69.117647,67.014,70.937,72.538,71.723,68.131
Mauritania,,,123.2,75.3,103.1,85.595,92.401,79.703,87.719,59.108
Mauritius,65,62.849,57,56.613,59.7,50.52,50.626,50.29,53.845,52.814
Mexico,43.83068709,20.2,22.7,24.5,30.3,42.717,43.813,43.519,46.479,50.084
Moldova,,,,,29.95215,29.812,23.387,23.845,24.393,31.492
Mongolia,76,58,46.8,33.20148597,26.85677,20.3,47.1,51.7,63,76.5
Montenegro,,38.3,32.4,28.1,46.48985,44.069,45.827,51.068,56.837,58.37
Morocco,75.5,67,72.4,59.7,55.1,49.86,54.394,59.587,61.911,63.889
Mozambique,,,22.2,21.4,38.1,31.97,33.202,46.628,43.275,55.404
"Burma (Myanmar)",,,,,,,,47.524,42.659,39.722
Namibia,32.5,30.7,21.8,22,15.1,18.461,21.85,26.642,26.56,25.19
Nepal,60.8,57.8,46.7,44.3,44.1,35.505,34.074,33.129,31.038,26.257
Netherlands,52.7,48.7,51.3585339,64.58456664,68.6,63.676,66.231,71.736,74.909,68.305
"New Zealand",24.5,24.8,25.0118267,25.50766717,35,31.586,37.044,38.154,35.916,33.984
Nicaragua,117.7,83.7,78.8,53.2,78.5,82.29,72.026,52.086,42.367,32.225
