Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.06721,26.9492,28.2486,26.13369,28.99817,27.8512,26.70415,26.73218,26.3887,26.0451,25.7016,25.3581,25.0145,24.671,24.32748,24.23744,26.21662,23.84105,27.52589,,,
Afghanistan,,26.53717,29.1065,31.6758,34.2451,36.81436,38.5092,40.204,41.8989,43.59369,47.29202,42.30996,42.82383,44.01152,44.6828,45.3541,46.0254,46.6967,47.368,48.0393,48.7106,49.3819,50.0532,50.7245,51.3958,52.0671,52.7383,53.4096,54.0809,54.7522,55.4235,56.0948,56.7661,57.4374,58.1087,58.78,59.4513,60.1226,60.7939,61.4652,62.13647,61.97491,59.11301,60.00801,59.1065,56.69549,43.30205,44.1906,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.49876,31.43351,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,54.80033,54.894,54.9876,55.0813,55.1749,55.2686,55.3622,55.4559,55.5495,55.6432,55.7368,55.8305,55.9241,56.0177,56.1114,56.205,56.2987,56.3923,56.486,56.5796,56.6733,56.76693,57.1873,57.60767,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.13887,28.2071,29.27523,24.13593,23.76173,25.64062,26.0065,26.37233,28.89524,28.80875,30.4763,32.14382,22.28986,22.07571,21.50379,22.04794,21.42039,
Argentina,28,27.8476,27.69517,31.71021,32.3764,25.97148,25.0985,40.324,40.54391,41.44551,40.55377,41.416,42.27821,39.95483,39.06241,5.1061,5.04961,4.7429,3.8557,2.96848,3.26374,9.1766,15.0894,21.0022,26.9151,32.8279,38.74074,36.9056,35.07048,36.34503,35.69129,37.91883,35.4339,38.0148,36.69546,34.19573,35.04241,35.47537,35.11319,32.80265,33.05494,31.96866,31.79885,30.03234,30.06039,30.04134,30.07402,29.59458,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.67795,20.11078,19.735,19.3593,20.66574,19.37351,,
"American Samoa",,,,,85.06311,90.17017,70.5559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antigua and Barbuda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.10893,31.5899,30.0708,28.55169,30.4176,32.2836,34.1495,36.0154,37.8814,39.7473,41.61324,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,29.32973,31.1816,30.9417,29.28808,30.483,31.678,32.873,34.06792,34.1793,34.2906,34.4019,34.5133,34.62461,34.96822,35.14115,35.42323,35.9633,36.80703,35.97164,34.14038,32.81864,32.62542,31.78434,32.99107,,,
Austria,29.5366,28.78403,26.95643,24.36956,24.33579,23.29126,19.71989,19.75428,19.22727,18.49873,17.77629,15.86493,16.11188,15.14402,17.30624,17.48344,16.96239,17.57817,17.79489,17.98538,18.12517,18.19999,18.55665,18.39869,19.9769,21.55519,20.9069,20.154,19.40117,19.38196,19.6978,19.63966,19.79905,19.72309,18.95076,18.99533,18.56855,18.03007,17.83971,17.42743,17.13281,17.09498,15.49043,16.30241,16.29671,16.56793,16.60016,,,
Burundi,,,,,,,,,,38.85003,38.9346,39.01914,39.7641,40.5091,41.2541,41.9991,42.744,43.489,44.234,44.979,45.72394,44.9503,44.17657,43.1567,42.13683,39.97287,41.53402,40.1785,38.8231,37.4676,37.78079,40.08182,42.86891,46.7632,50.65756,51.55736,51.634,51.7106,51.78716,53.26733,45.41761,49.70045,43.99556,45.42999,,,,,,
Belgium,,,,,,,,,,26.50896,26.5201,26.5312,26.5423,26.5535,26.5646,26.5757,26.5868,26.598,26.60909,25.2147,23.8203,22.4259,21.0315,19.63713,20.98051,20.21047,20.837,20.985,21.1329,21.2809,21.4288,21.5768,21.7248,21.8727,22.0207,22.1687,22.3166,22.4646,22.6125,22.7605,22.9085,23.0564,23.2044,23.35235,23.1117,23.53562,23.81164,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.37396,55.3743,53.98192,52.58811,51.19521,45.96998,53.1921,57.22713,56.48592,57.46588,52.82559,51.9771,51.12865,50.12866,48.94131,49.80869,,,,
"Burkina Faso",,,,,,,,,41.02674,36.4585,31.89031,33.69,35.4896,37.28924,39.8048,42.32045,48.6328,54.9451,61.25742,60.0212,58.785,57.5487,56.3125,55.0762,53.84001,76.2542,98.66846,95.6143,92.5601,89.506,86.4518,83.3976,80.3435,77.2893,74.2352,71.18099,66.81058,67.0338,64.8029,62.572,60.34116,62.6415,60.62655,59.7878,65.40953,57.86803,,,,
Bangladesh,,,,,,,,,,38.42838,40.27201,43.54699,43.33958,49.51023,44.98658,48.31074,49.16474,40.00027,42.2208,44.4414,46.66192,49.2207,49.30687,53.73628,53.1278,52.5194,51.9109,51.30245,47.8826,44.46281,46.49041,45.7978,45.10525,45.42799,39.98727,40.9721,41.95689,46.25168,45.29479,44.72804,45.9325,47.13705,44.60291,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.938,22.2211,21.5042,20.78723,20.09847,19.10566,19.49264,20.29997,19.71527,19.87313,18.92772,18.60716,19.58745,18.50048,18.62869,19.69638,,,,,,
