Country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Lesotho,,,,,,,,,,63,,,,,,,,,,,,,,,,,,
Liberia,24,279,306,43,105,148,2,34,39.75,45.5,51.25,57,56,340,165,,,,,,,,,,,,,
Libya,,,,,,,,,,,,,,,,,,,,,,,1178,911,644,377,991,2045
"Macedonia (F.Y.R.O.M.)",,,,,,,,,,,,3,61,,,,,,,,,,,,,,,
Madagascar,,,,,,,,,,,,,,54,,,,,,,,,,,,,,
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,36,,,
Mali,,203,9,33.6667,58.3333,83,62.6667,42.3333,22,21.7143,21.4286,21.1429,20.8571,20.5714,20.2857,20,22.3333,24.6667,27,101,126,26,18,267,793,232,218,120
Mauritania,100,95.3158,90.6316,85.9474,81.2632,76.5789,71.8947,67.2105,62.5263,57.8421,53.1579,48.4737,43.7895,39.1053,34.4211,29.7368,25.0526,20.3684,15.6842,11,6,1,8,,,,,
Mexico,,,,9,56,103,5,27,10,3,3,3,3,3,3,3,4,9,7,9,57,21,45,160,60,35,67,27
Moldova,,,,429,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,207,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,1129,467,1368,85,78,71,64,57,50,43,36,29,22,15,8,1,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,24,21,23,25
"Burma (Myanmar)",807,372,684,1001,130,611,305,194,106,57,27,140,173,171,51,58,145,225,216,35,151,112,601,790,246,148,634,93
Namibia,,,,,,,,,,,1,57,,,,,,,,,,,,,,,,
Nepal,,,,,,,,2,10,32,115,160,356,900,1178,1577,980,421,27,16,5,,,,,,,
Nicaragua,378,37,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,,,33,28,6,49,34,12,67,58,49,40,31,22,13,4,28,52,76,38,28.75,19.5,10.25,1,30,174,318,274
Nigeria,,,200,148.5,97,2,118,234,350,4,17,4,93,29,99,1130,20,119,11,134.5,258,679,702,683,1879,4710,4072,2819
Pakistan,3,71,7,9,11,10,34,35,15,20,10.5,1,16,31,44,259,108,258,878,932,1355,4744,2584,2853,1785,2986,2052,652
Panama,420,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Papua New Guinea",12,49,18,30,33,5,15,62,11,15.5,20,23.5,27,24.7273,22.4545,20.1818,17.9091,15.6364,13.3636,11.0909,8.8182,6.5455,4.2727,2,,,,
Peru,1568,754,1077,851,561,209,230,91,107,23,69,5,21,5,11,3,4.5,6,31,36,28,23,12,7.5,3,6,9,8
Philippines,774,1213,1429,403,235,268,146,153,277,87,191,1446,629,637,990,329,428,398,429,430,896,304,343,267,493,437,571,409
Romania,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,,189,97,59.5,22,76,1090,1569,11,7,1167,2526,390,896,414,767,620,248,171,379,638,387,321,500,299,163,84,71
Rwanda,,1074,153,50,21,504,289.5,75,400,1084,1394.6667,1705.3333,2016,1349.3333,682.6667,16,15.375,14.75,14.125,13.5,12.875,12.25,11.625,11,,,,
"Saudi Arabia",,,90,86.5385,83.0769,79.6154,76.1538,72.6923,69.2308,65.7692,62.3077,58.8462,55.3846,51.9231,48.4615,45,31,9,2,8.875,15.75,22.625,29.5,36.375,43.25,50.125,57,85
Senegal,119,57,66.5,76,206,248.5,291,3,300,215,17,33,26,7,39,3,1,3,6,9,10,16,25,19,2,,,
Serbia,,,1883,167,125.5,84,42.5,1,3,668,835,,,,,,,,,,,,,,,,,
