Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,,,,,,,,,,,,,,,,,,,,,0.638356048,0.62119341,0.604709309,0.589998195,0.57039593,0.5528354,0.535155543,0.513828509,0.496635116,0.477700624,0.457433902,0.441132687,0.425426111,0.40899851,0.393739167,0.380716633,0.366484944,0.375628619,0.400121859,0.398443795,0.394991112,0.495926718,0.399154437,0.414791607,0.451184815,0.429222937,0.468768436,0.454844122,0.481664647,0.516760662,0.53753694,0.552936261,0.573817279,0.596956338,0.617705366,0.624919092,0.66451685,0.716355517,0.735993549,0.733421059,0.776877348,0.840405284,0.843722147,0.823379385,0.824749233
Angola,,,,,,,,,,,,,,,,,,,,,0.092372385,0.092440511,0.095785606,0.109393629,0.11903653,0.092643203,0.093716907,0.101115861,0.118898159,0.131068084,0.169056201,0.15265217,0.15830146,0.153960242,0.150990248,0.181887006,0.196268326,0.200820378,0.234800586,0.262649023,0.268779699,0.43454792,0.938578456,0.498604695,0.369811776,0.288590998,0.143656202,0.342351684,0.105965698,0.258529687,0.331350455,0.237371205,0.243228626,0.42468056,0.524662304,0.59350693,0.682640823,0.805018272,0.871096878,0.873634645,0.753158981,0.763122295,0.814156976,0.795184814,0.740899883
Anguilla,,,,,,,,,,,,,,,,,,,,,0.097028191,0.117962703,0.125835433,0.138102259,0.152586242,0.161743874,0.152904773,0.169614982,0.182355067,0.191377046,0.208847059,0.232220602,0.270374977,0.310498138,0.345093022,0.378589192,0.438023527,0.494051987,0.533744041,0.608704396,0.520780548,0.656710603,0.556413671,0.565450822,0.583315789,0.596702801,0.609299602,0.622522344,0.642594133,0.659998916,0.667705738,0.673561365,0.714656267,0.73216305,0.7621705,0.756315438,0.78651963,0.868547078,0.872508577,0.85626573,0.845874888,0.881223863,0.905987067,0.913595974,0.932098401
Albania,,,,,,,,,,,,,,,,,,,,,0.26950803,0.268636792,0.267877016,0.26777455,0.265097127,0.263229779,0.261209235,0.256435379,0.254276821,0.203640161,0.174323621,0.174189734,0.173035626,0.171370029,0.171359253,0.170466206,0.170904463,0.17098752,0.17897976,0.193639617,0.151902418,0.157554627,0.203836882,0.179889147,0.162485108,0.184400519,0.235359621,0.216513175,0.253880311,0.272828798,0.266930498,0.279739824,0.307295628,0.361544236,0.445697126,0.467829284,0.483468902,0.540723636,0.586837344,0.518031591,0.522551063,0.546031185,0.47484647,0.485936404,0.482743131
"United Arab Emirates",,,,,,,,,,,,,,,,,,,,,0.021217648,0.024734586,0.034230774,0.058558219,0.141214732,0.169093729,0.161822821,0.197114055,0.19851149,0.229763978,0.266666279,0.293316768,0.290495293,0.29569495,0.272101122,0.26458897,0.27335915,0.282688559,0.286750966,0.285002047,0.280717269,0.284074544,0.290240145,0.263758802,0.277806007,0.273141939,0.285386192,0.279057872,0.295191922,0.291736908,0.275927791,0.357167012,0.372926441,0.396629716,0.443051229,0.487847362,0.524139892,0.582920745,0.635272309,0.624186319,0.675383132,0.714344106,0.809329664,0.750194893,0.818751658
Argentina,0.211604609,0.234359085,0.254750126,0.255755585,0.254667943,0.256422016,0.270611706,0.276537012,0.274171981,0.290907424,0.298110409,0.285576303,0.3129469,0.319044153,0.333581825,0.304865698,0.312942474,0.315806796,0.33910766,0.369219029,0.360488669,0.415979038,0.385441846,0.396532651,0.422659916,0.42428131,0.476039792,0.538677743,0.572217882,0.621914175,0.633285151,0.667557648,0.671458963,0.667520244,0.666285864,0.688121874,0.725106495,0.691988705,0.779136687,0.496183061,0.779710532,0.887543236,0.924601725,0.833649608,0.811201749,0.771999082,0.712243927,0.715972702,0.706164754,0.693139938,0.69312053,0.688383272,0.274159772,0.328611045,0.352025465,0.380577791,0.412196028,0.46978751,0.55380231,0.515543455,0.572128817,0.619069386,0.655982595,0.640994196,0.546771991
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.185962163,0.201481857,0.204898266,0.210958159,0.21771364,0.2203948,0.246845148,0.243704518,0.258129871,0.23750413,0.228356635,0.224767126,0.219468943,0.225571074,0.25971153,0.292589468,0.328799706,0.401809741,0.462509142,0.390191852,0.393112823,0.409104296,0.388536732,0.403306477,0.408749884
"Antigua and Barbuda",,,,,,,,,,,,,,,,,,,,,0.161326149,0.183531595,0.236398567,0.306120648,0.316104146,0.343557164,0.310864485,0.332753268,0.36430637,0.403380653,0.44730555,0.451459755,0.333242459,0.431466145,0.604041465,0.625309295,0.584297175,0.633394662,0.70851249,0.730913994,0.72061589,0.73875975,0.760848266,0.773994551,0.800389499,0.817250281,0.838188309,0.838934457,0.840896638,0.831024777,0.808558864,0.815573971,0.80884491,0.784332695,0.794361949,0.790099833,0.783190924,0.809521718,0.80409073,0.786349346,0.781342223,0.76391742,0.784822378,0.760108813,0.766265374
Australia,0.076807338,0.091324193,0.102117378,0.101981104,0.104061038,0.1088423,0.116064469,0.118494011,0.12121525,0.12526019,0.129062445,0.128486107,0.129852188,0.131811133,0.136974541,0.141981954,0.146815618,0.15206806,0.156801394,0.164233447,0.175323697,0.190876191,0.215712215,0.291228579,0.346218296,0.367321923,0.382945779,0.377480333,0.425532254,0.454925876,0.504590269,0.557095701,0.543556995,0.516165396,0.533491372,0.453692264,0.471321949,0.528314509,0.626512327,0.67183704,0.67563807,0.694234727,0.668027065,0.629579909,0.688924979,0.710039656,0.753665107,0.725976082,0.61826752,0.642429573,0.607251436,0.555496963,0.603229847,0.747133757,0.878928251,0.943190295,0.969736103,1.112460492,1.139473046,1.090771008,1.301640527,1.49350786,1.536125965,1.471298871,1.401529794
Austria,0.071785084,0.084202247,0.096730724,0.080840278,0.079291368,0.08148654,0.084596814,0.088499401,0.088839589,0.091007553,0.091646171,0.094169492,0.09801159,0.10104879,0.105797483,0.110297536,0.113108859,0.117260882,0.119987578,0.125210114,0.13063424,0.143829733,0.166908043,0.212210276,0.244857155,0.284595434,0.300441233,0.348057803,0.420104731,0.481092379,0.531567562,0.475609315,0.481808386,0.483248532,0.468931908,0.479054616,0.650148094,0.781870026,0.79693698,0.746549902,0.850941687,0.843158983,0.912918543,0.87359797,0.891854123,1.003360104,0.955266878,0.813908718,0.779897297,0.742163908,0.641996328,0.648095698,0.686804001,0.839877329,0.943926777,0.955490462,0.976552155,1.086308099,1.165787131,1.107410166,1.060306531,1.133640383,1.052353401,1.076577755,1.082851808
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.227239344,0.231770759,0.246274139,0.243637989,0.243127239,0.246981971,0.24606444,0.28011541,0.311740038,0.280445014,0.255716217,0.244658062,0.256436448,0.262672558,0.264604584,0.266618396,0.308914454,0.351974115,0.411623196,0.411123222,0.375720709,0.373964279,0.385254578,0.400470163,0.413583301
Burundi,,,,,,,,,,,0.118099564,0.14018244,0.135119065,0.142883287,0.155466603,0.091469991,0.094173885,0.08969403,0.09129609,0.100307536,0.101810512,0.104964117,0.108721259,0.125834853,0.146056859,0.179496068,0.167364762,0.166045373,0.198419817,0.249740588,0.285032656,0.275929559,0.289756554,0.29506736,0.271415133,0.286737585,0.27782056,0.255478021,0.212275858,0.229261524,0.225515546,0.223505881,0.214007723,0.228932736,0.244020963,0.244128691,0.215872445,0.248682605,0.217377652,0.20559833,0.195898369,0.182516694,0.164389351,0.155836737,0.172343758,0.278652471,0.322274011,0.349364163,0.397493236,0.352269265,0.35941232,0.372247515,0.336907827,0.346865671,0.364660779
Belgium,0.105128425,0.111290911,0.114092234,0.117408167,0.118151534,0.117626382,0.120924325,0.126435115,0.127190432,0.131944965,0.128466634,0.130632713,0.131679751,0.137459518,0.143984479,0.150673995,0.157285281,0.160722437,0.164939759,0.17088502,0.176348579,0.187160224,0.217848803,0.257987796,0.285603931,0.334475221,0.341474427,0.388544447,0.457702715,0.504398662,0.55057377,0.486820523,0.441422986,0.438326226,0.426076556,0.44967808,0.596283333,0.72020601,0.732312442,0.69998441,0.814186632,0.815901694,0.87869874,0.831516446,0.870954817,0.985565429,0.93765101,0.802084245,0.794495214,0.752809584,0.640512429,0.635948308,0.671734285,0.86038375,0.9715663,0.985059535,1.026863465,1.134973477,1.220062604,1.15090014,1.108399811,1.176485231,1.090115148,1.109317308,1.10605987
Benin,,,,,,,,,,0.05755669,0.057732205,0.058410977,0.060085371,0.060731607,0.061078782,0.062173032,0.060548464,0.05855763,0.058016141,0.059370654,0.058904557,0.061523737,0.075022696,0.089595256,0.09148541,0.129602442,0.145235197,0.154950057,0.185239307,0.197392352,0.232721037,0.207958893,0.272944815,0.245534046,0.208023783,0.181997051,0.243577136,0.287973334,0.27090688,0.261555093,0.323155768,0.310410285,0.340380282,0.319038213,0.245684529,0.310415082,0.311878667,0.283162632,0.293195997,0.279335768,0.244350207,0.243375728,0.25543928,0.305146489,0.329387529,0.336780323,0.353721139,0.390161783,0.450275268,0.436529251,0.425791922,0.46233934,0.462792937,0.482525915,0.478450897
"Burkina Faso",,,,,,,,,,0.086964977,0.091581015,0.099664702,0.100096348,0.107665772,0.105725911,0.114053242,0.117332901,0.110117962,0.107585846,0.110564389,0.110924612,0.114574378,0.122497749,0.150555823,0.1517653,0.191770921,0.179502806,0.202119127,0.237760968,0.26458547,0.30755485,0.26457641,0.245451857,0.232618024,0.202643754,0.250367367,0.288163523,0.339335899,0.352647332,0.343435205,0.401534931,0.368361756,0.391229794,0.35637581,0.21407361,0.23905716,0.232699548,0.207273452,0.225011312,0.236442436,0.203357236,0.211134206,0.228921445,0.272523081,0.301030713,0.314043542,0.331899045,0.371043073,0.435124176,0.432505283,0.422759733,0.468300175,0.446726006,0.482374613,0.446354379
Bangladesh,,,,,,,,,,0.04087907,0.042096238,0.041572515,0.043966879,0.040673116,0.044408166,0.048115695,0.054149755,0.054709303,0.053766891,0.055578627,0.06194853,0.0579073,0.06897602,0.090844653,0.108148092,0.118601885,0.11911098,0.121542773,0.149581173,0.165282952,0.179054603,0.176078895,0.15920196,0.162272026,0.176683847,0.173038491,0.191397511,0.204227626,0.212443458,0.2073905,0.200261448,0.208083277,0.209033051,0.212836981,0.217179302,0.234986805,0.24231151,0.242295485,0.24792886,0.260388296,0.258675796,0.249932163,0.249773454,0.265842286,0.279199394,0.274583841,0.300559673,0.305852965,0.323893826,0.328685742,0.326363791,0.307230097,0.305218421,0.341499029,0.37238237
Bulgaria,,,,,,,,,,,,,,,,,,,,,0.100898593,0.106856674,0.112404264,0.11976413,0.130688269,0.143338596,0.151590563,0.160088431,0.171527395,0.184942764,0.19994371,0.218084091,0.223115448,0.233250882,0.237135732,0.251532995,0.266676962,0.27232966,0.265987972,0.296083254,0.268086921,0.100618692,0.136649496,0.194479576,0.179977322,0.230535248,0.203290635,0.24218688,0.274175237,0.263239393,0.239560441,0.248614419,0.266282675,0.324613256,0.375524624,0.3956109,0.422751516,0.477966663,0.541808255,0.520187766,0.497868621,0.53174558,0.495775104,0.495751957,0.485830279
