Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Paraguay,62,43,51,48,65,74,67,51,52,45,60,62,64,63
Peru,55,54,54,55,59,45,54,58,56,60,64,67,70,71
Philippines,48,51,48,46,41,53,56,55,62,60,58,65,66,65
Poland,,50,40,39,44,40,38,40,57,41,32,34,40,47
Portugal,60,61,62,67,64,69,73,76,78,79,80,82,87,86
Romania,,62,62,62,53,55,59,56,63,68,57,63,58,56
Russia,37,43,41,35,38,40,34,35,35,42,35,48,55,57
Senegal,73,87,91,87,90,85,83,86,92,82,83,79,77,81
Serbia,76,77,78,71,75,69,72,64,73,61,67,61,63,70
"Sierra Leone",55,53,50,41.5,33,56,45,34,46,57,57,64,65,74
Singapore,73,87,83,83,93,77,87,87,87,90,87,85,92,95
Slovakia,53,53.25,53.5,53.75,54,55,44,55,56,45,41,51,51,52
Slovenia,52,57.3333,62.6667,68,70,65,69,71,70,70,66,64,71,72
"South Africa",54,59.5,65,55,57,60,71,58,64,69,63,60,63,61
"South Korea",47,63,53,59,58,65,65,65,63,63,64,63,60,66
Spain,,76,75,76,74,76,75,76,83,85,81,80,79,84
"Sri Lanka",83,72,69,73,80,70,76,74,71,76,71.5,67,74,79
Sweden,,76,81,76,77,77,78,73,79,75,77,80,81,81
Switzerland,60,60.6667,61.3333,62,65.6667,69.3333,73,75.5,78,78,75,75,78,81
Taiwan,76,72.5,69,70,71,72,73,74,80,75,76,80,81,79
Tanzania,65,50,54,59,76,49,55,53,61,70,76,80,80,80
Thailand,38,42,23,20,26,25,29,35,41,46,51,49,52,44
Togo,76,65,54,60.6667,67.3333,74,73.6667,73.3333,73,75,72,62,62,66
Uganda,57,78,61,53,53,59,67,69,71,61,70,68,70,61
Ukraine,42,44,37,34,33,41,38,45,44,39,39,57,44,48
"United Kingdom",,80,79,81,76,86,82,83,85,87,84,81,80,77
"United States",,83,83,83,85,82,83,81,82,80,84,83,78,84
Uruguay,80,80,77,77,72,79,81,74,80,76,73,79,79,81
Uzbekistan,77,64.5,52,64,70,67,56,66,76,86,83,88,91,92
Venezuela,,63,52,48,60,62,62,48,43,37,57,70,68,69
Vietnam,40,43,46,51,45,34,49,56,56,56,56,61.5,67,83
Zambia,52,57,49,51,54.5,58,68,56,56,58,66,67,64,64
Zimbabwe,62,69,58,53,47,63,70,63,57,51,63,72,63,67
Afghanistan,,,68,62,62,56,68,80,58,54,63,62,48,
"Czech Republic",,46,44,42,42,44,46,40,47,37,43,46,36,
Haiti,40,40,40,30.5,21,22,31,36,37,35,36,25,50,
Pakistan,,27,34,43,61,62,64,66,66,78,72,66,75,
"Central African Republic",,79,73,67,61,74,68.8,63.6,58.4,53.2,48,58,,
"Congo (Kinshasa)",,,,66,65,64,59,59,63,45,60,54,,
"South Sudan",,,,,,,,,52,46,43,42,,
Tajikistan,58,68,54,55,72,64,65,68,65,60,60,66,,
"Trinidad and Tobago",64,61,58,62.6667,67.3333,72,72.5,73,75.5,78,80.5,83,,
Somalia,,,,,,,,,57,75,67,,,
Tunisia,,,,,27,32,27,16,19,37,49,,,
Bhutan,,,,,,,,79,68.5,58,,,,
Syria,,,51,43,42.5,42,40,43,45,47,,,,
Angola,,,,,,26,52,45,29,,,,,
Belize,,63,64,65,66,67,68,69,70,,,,,
Burundi,,,80,89,83,77,73.6667,70.3333,67,,,,,
Iran,,52,44,48.3333,52.6667,57,58,59,62,,,,,
Iraq,,,48,34,23,34,32,50,68,,,,,
Lebanon,,59,45,54,47.5,41,33,42,36,,,,,
"West Bank and Gaza",,29,24,22,21,14,18,19,25,,,,,
"Puerto Rico",70,71.25,72.5,73.75,75,76.25,77.5,78.75,80,,,,,
"Saudi Arabia",,44,33,33,40.2,47.4,54.6,61.8,69,,,,,
Sudan,,,,64,52,51,62,49.5,37,,,,,
Turkey,,61,51,44,45,49,40,37,66,,,,,
Yemen,37,34.25,31.5,28.75,26,12,11,14,12,,,,,
Algeria,,,,,,21,25,,,,,,,
Qatar,,,,55,66.5,78,79,,,,,,,
Somaliland,,,,42,76,80,68,,,,,,,
Suriname,,,,,,,63,,,,,,,
Djibouti,,,69,66,62,58,,,,,,,,
Egypt,,39,33.75,28.5,23.25,18,,,,,,,,
Morocco,,,,,,53,,,,,,,,
Bahrain,,,,24,,,,,,,,,,
Kuwait,41,46.3333,51.6667,57,,,,,,,,,,
"United Arab Emirates",59,59,59,59,,,,,,,,,,
Jordan,,28,22,,,,,,,,,,,
Guyana,,73,,,,,,,,,,,,
Cuba,65,,,,,,,,,,,,,
Rwanda,69,,,,,,,,,,,,,
