Country,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,196,152,415,501,46,750,558.5,367,43,59,42,53,37,59
Albania,,,15,1752,10,12,9,8.4286,7.8571,7.2857,6.7143,6.1429,5.5714,5,5,1,1.25,1.5,1.75,2,,,
Algeria,,,,,,,,,,,,1339,23,212,170,420,414,3,3,13,110,624,31
Andorra,,,,,,,,,,22,,,,,,,,,,,,,
Angola,,,,,,,22,43,10,14,25,28,10,38,24,65,36,112,230,12,20,31,69
Argentina,47137,29856,10831,7171.5,3512,3366,8,6,152.5,299,90,2252,4,2.5,1,1,1.5,2,2.4,2.8,3.2,3.6,4
Armenia,,,340,673,5936,1318,333,733,620,13500,87,4,4,3,2,1,4,,,,,,
Australia,,,379,313,262,253,56,44,31,33.5,36,38,25,42,60,35,26,17,18,17,11,8,22
Austria,,,,,,,,,,,13,7,252,2,2,23,17,11,1,3,39,8,
Azerbaijan,,,504,219,441,1197,1055,5796,1025,127,4,3,2,1,1.1111,1.2222,1.3333,1.4444,1.5556,1.6667,1.7778,1.8889,2
Bahamas,19,2,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,4,2,1,4,7,2,7,3,5,2,9,6,3,4,2,8,1,,,,
Bangladesh,,,,,,,,327,9229,3418,13226,5526,13076,12963,5631,3245,3034,381,189,165,299,308,176
Barbados,,,,1,,,,,,,,,,,,,,,,,,,
Belarus,,,44443,16034,6857,5173,1625,4492,3812,2360,7,2,3,11.5,20,10,1,1,1,1,1,,
Belgium,,,,,3,8,58,38,34.9167,31.8333,28.75,25.6667,22.5833,19.5,16.4167,13.3333,10.25,7.1667,4.0833,1,1,1,1
Belize,107,4,11,8,6,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,30,2,8,29,97,15,1,20,41,10,8,40,3,7.5,12,3
Bhutan,,,4127,3182.75,2238.5,1294.25,350,12,81,11,3,2,15,9,3,2,6,3.5,1,3,9,11,7
Bolivia,84,19,35,434,550,129,41,12,8,2,,,,,,,,,,,,,
"Bosnia and Herzegovina",,,369,144,105,66,46,43,43,29,25,19,523,2784,31,17,14,11,8,16,4,4,
Botswana,,,6,170,6,1,14,27,579,409,18,2,1,13,214,163,121,508,5,25,3,3,4
Brazil,576,6729,11763,8781,3769,1256,563,319,233,1631,8739,2201,1834.3333,1467.6667,1101,734.3333,367.6667,1,,,,,
Brunei,,,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,,
Bulgaria,,,4215,28449,1655,805,252,474,1968,247,88,58,44,39,41,18,10,7,5,2,1.5,1,
"Burkina Faso",,,,,49,303,668,49,12,3,4,97,242,387,532,677,27,57,4,1,1,4,1
Burundi,,,,,,,,,26,39,15,173,305,247,67,11,7,71,79,29,25,25,9
"Cape Verde",,,,,,,,,,,,9648,11329,28,10,18,3,2.6667,2.3333,2,1.6667,1.3333,1
Cambodia,,,,,,,,,,508,386,4211,528,85,1096,185,104,29,18,4,7,3,30
Cameroon,,,,,,,83,121,159,58,126,78,33,48,106,147,148,147,277,13,711,693,55
Canada,,,,28,22,16,11,165.5,320,7,1,1,7,12,1,2,2,1,1,1,1,1,1
"Central African Republic",,,,,,,,,2,12,118,28,32,15,15,11,31,507,354,38,19,4,182
Chad,,,,,,,,,,46,31.6667,17.3333,3,3,8.6,14.2,19.8,25.4,31,24,24,1457,24
Chile,3858,4571,1608,743,441,287,2,3,47,2141,4235,14,9.6667,5.3333,1,1,1,1,1,1,1,1,1
China,,,,,,,,24015,25446,37137,74746,120354,69860,43117,65549,40156,17580,11793,8133,4535,1605,3930,32539
Colombia,226,1906,974,157,70,1206,47,45,85,6,2,4,4,2.5,1,1,,,,,,,
Comoros,,,,,,,,,,,,,1,7.8,14.6,21.4,28.2,35,24,13,2,,
"Congo (Brazzaville)",,,,,,,,,1,18,2,21,11,10,16,22,107,45,4,1,12,157,39
"Costa Rica",,,1341,86,71,,,,,,,,,,,,,,,,,,
"Ivory Coast",,,,,,,,,,15,48,113,51,31,43,298,98,54,50,192,329,197,77
Croatia,,,16,8,3,10,2,2,3,2,33,1,1,1,1,1,1,1,1,2,,,
Cuba,,,,,,,,18,,,,,,,,,,,,,,,
Cyprus,,,,,,,,6,,,,,,,,,,,,,,,
"Czech Republic",,,974,743,894,3156,28,31,8,8,4,14,6,4,27,6,3.5,1,1.3333,1.6667,2,2,
"North Korea",,,,,,520,520,507,123,101,101,82,56.3333,30.6667,5,1,,,,,,,
"Congo (Kinshasa)",,,,,,,,,,207,588,969,110,130,318,1860,1704,864,464,204,245.5,287,561
Denmark,,,,,,,,,,,1,2,,,,,,,,,,,
Djibouti,,,,,,,,,,,,118,83.6667,49.3333,15,12.8,10.6,8.4,6.2,4,,,
"Dominican Republic",,17,337,818,42,42,4,7,6,21,,,,,,,,,,,,,
Ecuador,20,1008,247,538,499,271,94,79,,,,,,,,,,,,,,,
Egypt,,,6,24,12,274,261,18,520,2587,11354,1097,608,461,30,35,34,21,53,28,34,7,7
"El Salvador",,532,194,298,26,14.5,3,1,1.5,2,,,,,,,,,,,,,
"Equatorial Guinea",,,,,,,,,,,,2,3.7143,5.4286,7.1429,8.8571,10.5714,12.2857,14,79,42,5,3
Eritrea,,,33,39,11,46,4,2,16,44,52.3333,60.6667,69,163,354,18,19,109,16,113,413,10,12
Estonia,,,238,370,274,96,48,22,6,5,10,4,1,1.25,1.5,1.75,2,,,,,,
Swaziland,,,,115,11,7,1,36.3333,71.6667,107,15,26,138,93,20,23,110,1,2,4,4.3333,4.6667,5
Ethiopia,,,12,30.4,48.8,67.2,85.6,104,175,276,187,191,160.5,130,174,795,793,213,328,184,420,1137,266
Fiji,,,,,,63,65,2,6,10,7,4,1,9,17,25,19,13,7,1,3,5,7
Finland,,,,,,4,3.25,2.5,1.75,1,1.2,1.4,1.6,1.8,2,2.75,3.5,4.25,5,,,,
Gabon,,,,,,,,63,3,20.3333,37.6667,55,40,2,4,2,5,137,62,3,3.5,4,
Gambia,,,,,,,,30,20,10,11,12,13,14,42,39,66,35,1,4,2.5,1,
Georgia,,,799,428,293,420,838,4809,1841,482,225,188,67,59,64,75,224,149,100,11,5,7,9
Germany,,,,,,,,,,,,,,,,,,151,90,95,74,16,58
Ghana,,,,,,25,252,146,209,344,175,459,133,422.5,712,272,168,26,12,11,17,24,18
Greece,,,1439,12,14,14,8,2,16,13,10,7,4,,,,,,,,,,
Guatemala,101,45,160.5,276,62,19,5,36,4,11,,,,,,,,,,,,,
Guinea,,,,,,,28,9,17.5,26,26,88,7,3,34,55,10,8,4,289,168,15,80
"Guinea Bissau",,,,,,,,,,,,,,,3,23,13,3,,,,,
Guyana,144,2,,,,,,,,,,,,,,,,,,,,,
Haiti,,,,,,1,2,3,7,11,11.6154,12.2308,12.8462,13.4615,14.0769,14.6923,15.3077,15.9231,16.5385,17.1538,17.7692,18.3846,19
Honduras,170,399,1108,201,9,5,1,1,,,,,,,,,,,,,,,
Hungary,,,97,107,65,42,47,36,32,22,18.2,14.4,10.6,6.8,3,7,,,,,,,
Iceland,,,,,,,,,,,,1,1.25,1.5,1.75,2,,,,,,,
India,,,,,,,,,,,,,,,,1232,3698,4870,3252,8274,2748,2328,3404
Indonesia,,,,,,,,,,105,168,340,2090,1323,1959,1020,2355,3542,2156,1238,1264,1767,713
Iran,,,,1154,992,830,668,506,344,182,20,14,11,24,20,30,32,14,45,18,20,33,16
Iraq,,,4127,1612,91,188.3333,285.6667,383,99,72,51,110,167,15,18,22,30,8,2,1,2,21,9
Ireland,,,62,59.5,57,31,58,49,17,14,19,42,23,29,6,10,6.5,3,6,1,1,1,
Israel,,,4,54,5,1,7,11,23,4,3,5,6,1,1,1,1,1,1,1,1,2,
Italy,,,1129,2605,4217.5,5830,1424,363,171,208,429,4847,106,47,84,85,62,39,16,23.5,31,21,23
Jamaica,49,26,3,,,,,,,,,,,,,,,,,,,,
Japan,,,,3120,3123,2561,2794,2794,1651.5,509,406,303,148,89,369,2353,14359,320,163,126,90,2947,2247
Jordan,,,443,165,2,1,6,7647,13879,150,3,1,2,1.5,1,1,1,1,1.6,2.2,2.8,3.4,4
Kazakhstan,,,7645,14989,29271,30541,18139,15103,8783,2461,2692,3350,622,3,44,13,36,152,2,4,2.5,1,5
