Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14215.2612561159,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544.030561688565,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1036.22742177385,1084.14811805823,1088.82640046272,1103.84626502974,1132.84742851513,1157.20564114962,1206.15393763719,1282.22192612696,1284.38173928128,1365.47440556742,1446.88414321393,1511.82838490463,1644.88617267282,1636.30608641857,1675.19061223066,1667.44681641017,1558.62828365926,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,958.354064165005,790.514921080941,946.495458983622,1162.96119606894,1272.98750711845,1359.21503219084,1493.1188310823,1711.68106676425,1798.8828184522,1940.8811955983,2132.56698783201,2480.38404493581,2845.48627525221,2979.84336767625,3198.06286067482,3264.46761556965,3274.65238148619,3341.22030781754,3442.2267249582,,,,,
"United Arab Emirates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39429.8260033291,39756.911254376,38003.2478955895,38632.2004813597,35170.8374388173,35088.2216000838,33855.7467171587,32968.304434376,21251.4131230386,14316.7174867204,15173.4813638267,13244.682065477,13849.2557287423,15528.0516959933,12499.5355287126,12570.548872645,13566.4722477817,14179.0102880908,15847.3291378726
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4850.70387659309,5080.37332545961,4798.6206669645,5004.11569805163,5390.44816885873,5514.97162965201,5344.93248484144,5251.55748115232,4896.28285115787,4148.26789016195,4439.29367395423,4809.97680104064,5112.3048035293,5615.11223760663,6078.47911448257,6454.45806541333,6045.3400039222,6671.33231257047,7212.70262248694,7210.34140541348,7389.56482487945,6990.23179792168,7168.11797799898,7037.39458684014,7242.37155791047,6998.94371052651,6485.9125129704
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,911.512804570504,1020.09307716548,1078.29668744052,1177.74081756291,1243.93966768094,1261.20308845208,1373.34665226581,1481.32002908573,1612.80276354531,1739.1024953278,1904.75300185333,2091.44003212427,2282.44033444844,2606.89365000115,2770.3084276407,2664.46266989065,2776.06807816576,2843.46461006246,3093.42179332787,3106.36358888684,3121.68298221329,2867.97361728395,2829.05784453971,3178.58015706829,3404.84837757096,3749.41213905024
"American Samoa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7393.68479414007,7518.31941953747,7814.24917016152,7741.28830753212,7640.22114438395,7592.72862673199,7524.49775963352,7408.51768385611,7168.45878136201,6887.91033063692,6766.61514639429,6988.28967524932,7035.25545352967,7013.70348487131,7098.35294197418,7113.79524161422,7152.698268256,
Australia,10331.7460704963,10352.5937959173,10356.307720053,10713.6924609409,11245.2897091255,11578.6631640206,11649.7112667376,12092.0485696544,12470.2591914594,12862.0163939887,13381.5026447396,13438.7250543562,13669.7469855646,14090.9472271651,14601.3106252045,15126.0733070363,15088.3128357733,15714.1182745133,15839.7692080004,15901.9639852621,15989.8289682978,16247.8773333496,16870.9989584542,17062.9139668242,17047.6932970447,16965.8416343006,17552.7195490646,17637.067322579,17902.0423954056,18417.1725276518,18928.3700718839,18869.3711266432,19076.8788249418,19244.1664392622,19450.6888963095,20067.4480629682,20479.7669848805,20853.7583748191,21658.9207059266,22640.1762272663,23324.4047167714,23743.8736487955,24182.4095783475,24848.8216654277,25800.1390776272,26619.0581576946,27080.7671266507,28376.516872536,29180.8283640917,28748.568133394,29225.696736594,29971.0277711273,30327.95587329,30337.8513492453,30617.5447400857,30888.2360212347,31242.3269477909,31421.7255282521,31840.7107532008,31948.3241118169
Austria,,,,,,,,,,,10568.8469254671,11228.6616172886,11842.3551964156,12409.5614647856,12759.134310172,13208.4576534152,13833.1220835026,14716.924267007,14477.6390734418,15190.7267543722,15573.503431683,15731.9564734454,16023.0019661102,16921.0545575658,16562.0843677957,16854.0886256311,17212.7507155876,17617.7694404627,18016.4610675989,18579.0306003559,19218.8150633457,19597.7684837816,20057.6681771384,19914.0183073969,20242.8068690359,20384.1283415203,20954.8933122895,21019.0895924989,21606.0312087945,22085.3529995251,22718.9306552054,22922.030743512,22965.0911150028,23251.7948559573,23644.294706132,24011.7756777822,24393.2003407279,24582.6210688568,24737.6905645577,24882.8553121903,25069.9490859479,25321.6613714494,25338.0316226208,25169.2278192893,25049.1249813939,24890.7559265743,25021.2559556476,25200.7403285991,25360.9364138939,25601.3031561892
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1158.11046986333,852.06556437848,615.337790605602,592.476045884956,642.242737928456,711.770138466797,803.047855779823,893.146992433526,1078.48052650892,1036.72638685351,1156.91934922403,1214.51871876592,1332.18094352827,1598.15375458082,2155.61016246456,2516.80767094936,2626.8052925525,2737.2121518061,2299.87640443591,2812.77996415458,2836.71632545993,,,,,,,
