Country,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,968,1374,873,1618,1208,1481,912,355,2829,698,168,951,51,131,3,57.2857,111.5714,165.8571,220.1429,274.4286,328.7143,383,221,472.3333,723.6667,975,121,81,62,43,71,57,19,23,20,37,24,39,74,37,45,53,
Albania,,,,,,,5,3,1,4,2,4,5,6,5,3,15,8,7,18,14,18,2,3,2.6667,2.3333,2,2,1,1,1,1,2,2,1.6667,1.3333,1,1,1,1,1,1,1,1,1.5,2
Algeria,72,81,78,79,85,81,86,164,100,79,74,343,129,415,50,63,38,42,44,57,21,23.5,26,31,25,24,22,20,17.6667,15.3333,13,18,9,11,9,3,2.7778,2.5556,2.3333,2.1111,1.8889,1.6667,1.4444,1.2222,1,
Angola,622,214,429,1491,1927,810,1185,1383,1398,1115,1320,893,129,778,1631,2701,1826,1324,1053.5,783,682.2,581.4,480.6,379.8,279,450.25,621.5,792.75,964,643,153,89,1633,790,601,675,490,953,543,360,330,305,316.6667,328.3333,340,
"Antigua and Barbuda",3,2,4,4,3,1,3,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,321,331,376,335,270,241,219,204,168,141,171,76,71,76,81,88,49,56,41,32,43,43,41,24,22,18,12,11,18,25,25,14,5,6,8,15,5,1,10,11,8,10,8,8,,
Armenia,,,,,,,,,,,,,,,,,,1,2,1,2,4.5,7,1,2,1.5,1,3,1,1,1,1.5,2,2.25,2.5,2.75,3,2,1,1,1,1,1,,,
Australia,12,11,3,13,14,15,9,12,12,10,7,11,5,5,5,11,6,7,14,10,15,5,6,7,7,3,7,3,2,3,5,2,2.5,3,4,3,2,3,7,4,3,3,7,4,3,3
Azerbaijan,,,,,,,,,,,,,,,,,,11,11,11,20,18,5,5,3,1,3,1,1,1,2,2,2,3,6,6.25,6.5,6.75,7,5,9,8,13,7,9,11
Bahamas,1,7,2,2,1,2,3,2,2,1.5,1,6,4.3333,2.6667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
Bahrain,10,9,5,3,6,5,4,7,4,1,1,1,1,1,1,1.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,1610,1273.5,937,1244,3041,2855,373,2251,6996,2012,363,899,201,2067,7993,2511,2666,3780,3130,3304,3114,3121.5,3129,1991,1814,1155,1221,1036,715,1897,1388,1235,1034,943,791,710,644,614,508,533.5,559,441,352,226,166
Barbados,10,15,20,13,9,8,13,7,5,6,10,2,3,3,1,2,5,4,1,2,1.6667,1.3333,1,1,1,1,1,1.1429,1.2857,1.4286,1.5714,1.7143,1.8571,2,2,2,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,5,9,6,12,2,3,4,2,3,1,2,4,2,2,1,1,1,1,1,2,,,,,,,,,
Belgium,,,9,5,7,3,4,3,10,2,2,1,5,3.6667,2.3333,1,2,2,2,2.3333,2.6667,3,3,1,1.5,2,2.5,3,1,1,2,3,1,1,2,2,,,,,,,,,,
Belize,2,4,1,3,5,4,1,5,7,2,2,2,1.75,1.5,1.25,1,1,1,1,1.2,1.4,1.6,1.8,2,1,1,1,1,1,1,1,1,1,1,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,
Benin,618,472,728,523,614,589,499,444,445,449,448,636,388,441,371,266,252.3333,238.6667,225,211.3333,197.6667,184,72,43.5,15,296,288,200.3333,112.6667,25,17,12,10.5,9,7,4,82,6,7,8,3,7,122,116.5,111,252
Bhutan,,,,,6,9,3,1,1,1,77,34,107,3,9,81,1,4,2,1.5,1,14.4,27.8,41.2,54.6,68,2,1.8,1.6,1.4,1.2,1,3,5,7,23,13,3,3.3333,3.6667,4,2.5,1,,,
Bolivia,49,73,108,132,117,187,153,144,91,91,43,57,69,104,118,116,46,53,42,21,21,28,22,18,9,2,8,3,29,16,29,15,10,9,13,9,5,1,1.6667,2.3333,3,3.6667,4.3333,5,,
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,1,2,1,1.4,1.8,2.2,2.6,3,5,4.8571,4.7143,4.5714,4.4286,4.2857,4.1429,4,1,1.3333,1.6667,2,,,,,,,,,
Botswana,20,29,18,23,19,15,15,15,13,21,14,2,2.5,3,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,1819,1957,3006,3273,3218,2917,3098,2940,2810,2858,2800,2623,2569,1852,1852,1720,1547,1441,1321,1282,1049,913,815,74,750,629,346,129,268,513,463,420,431,281,333,278,308,333,314,213,273,273,224,225,218,211
Brunei,,,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
Bulgaria,,24,28,29,19,21,18,18,27,26,13,12,8,5,4,6,7,7,12,6,8,7,4,5,4.3333,3.6667,3,4,2,2,2,2,4,3,2,2,2,4,2,1,2,3,4,,,
"Burkina Faso",85,630,890,676,717,569,746,763,748,744,657,602,799,636,299,207,100,181,72,53,53,48,28,29,30,31,21.5,12,4,16,4,35,9,13,11,7,74,3,1,27,96,48.5,1,105,206,11
Burundi,,152,140,155,237,182,256,338,263,290,278,256,209,194,141,140,65,66,33,124,20,35,46,57,68,59,33,52,71,40,28,16,23,14,12.5,11,2,2,1,1,3,,,,,
"Cape Verde",,,47,23,45,45,40,41,34,18,22.25,26.5,30.75,35,14,8,8,3,2,26,10,14,8,2,7,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1.8333,1.6667,1.5,1.3333,1.1667,1,
Cambodia,,,,,,,2089,1481,2337,147,827,1169,581,415,259,272,219,163,84,145,287.5,430,605,238,321,425,295,913,966,796,1041,68,806,242,324,27,23,19,15,13,18,17,16,15,14,14
Cameroon,,,,,,,,18,26,3,1050,893,1084,879,713.3333,547.6667,382,351.8571,321.7143,291.5714,261.4286,231.2857,201.1429,171,207,243,279,247.75,216.5,185.25,154,129,138,147,65,72,83,93,23,43,110,120,58,51,27,7
Canada,8,1,7,9,5,7,2,1,10,8,2,9,4,7,3,2,3,2,4,6,3,6,3,4,1,1,1,6,4.6667,3.3333,2,4,2,5,1,2,3,2,4,2,6,4,5,4,4,4
"Central African Republic",,,238,37,132,101,217,70,137,201,145,124,67,96,45,57,34,44.6,55.2,65.8,76.4,87,63,39,38.3333,37.6667,37,36.75,36.5,36.25,36,20,44,68,25,15,20,49,74,68,24,96,100.5,105,119,109
Chad,728,1950,2421,2509,2889,512,8,286,625,1977,316,217,462,1646,1618,1533,1603,1094,1086,1073,1037.25,1001.5,965.75,930,1110,978.7143,847.4286,716.1429,584.8571,453.5714,322.2857,191,145.5,100,163,146,180.5,215,225,176,154,195,172,47,189,237
Chile,26,37,31,26,29,24,31,28,36,34,23,26,19,13,17,19,22,15,15,18,11,11,17,6,15,15,5,11,6,10,10,8,7,3,8,10,9,12,6,10,7,8,11,8,3,7
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2761,2436.5,2112,1786,1527.2,1268.4,1009.6,750.8,492,426,,,,,
Colombia,428,621,510,631,695,685,593,675,768,688,621,517,249,452,251,215,167,152,86,77,61,85,26,24,21,19,27,25,37,7,39.5,72,63,65,45,40,71,37,50,31,59,48,45,37,38,27
Comoros,9,9.2857,9.5714,9.8571,10.1429,10.4286,10.7143,11,11.2857,11.5714,11.8571,12.1429,12.4286,12.7143,13,14.3333,15.6667,17,17,17,11.6667,6.3333,1,1.3333,1.6667,2,1.8333,1.6667,1.5,1.3333,1.1667,1,2,2,3,3,2,1.75,1.5,1.25,1,2,3,4,5,3
"Congo (Brazzaville)",206,225,211,273,278,232,167,134,31,23,144,250,74,42,53,39,27,26,20.75,15.5,10.25,5,7,7.1667,7.3333,7.5,7.6667,7.8333,8,15,14,12,25,3,3,2,2,2,2,5,14,,,,,
"Cook Islands",,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Costa Rica",66,46,56,46,47,23,17,13,16,7,7,6,3,7,4,2,2,1,2,2.5,3,6,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
"Ivory Coast",,1922,1356,790,224,317,323.0909,329.1818,335.2727,341.3636,347.4545,353.5455,359.6364,365.7273,371.8182,377.9091,384,419.5,455,429,403,377,351,515,416,317,218,119,20,12,7,2,16.5,31,15,8,8.3333,8.6667,9,15,12,9,3,138,368,70
Croatia,,,,,,,,,,,,,,,,,,17,8,11,19,17,11,10,8,13,18,14,8,12,8,3,4,5,1,9,4,2,1,1,2,3,2.5,2,3,2
Cuba,91,67,58,56,38,30,26,22,21,24,14,7,14,6,5,7,7,4,5,2,6,5,4,1,4,2,1,2,2.5,3,3,3,3,3,3,3,1,1,3,2,1,1,1.5,2,,
Cyprus,,,,,,,,,2,1.8,1.6,1.4,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.9333,1.8667,1.8,1.7333,1.6667,1.6,1.5333,1.4667,1.4,1.3333,1.2667,1.2,1.1333,1.0667,1,
"Czech Republic",,,,,,,,,,,,,,,,,,1,1,2,3,2,2,2,1,1,1,3,2.8571,2.7143,2.5714,2.4286,2.2857,2.1429,2,1.8571,1.7143,1.5714,1.4286,1.2857,1.1429,1,1,1,1,1
"North Korea",,,488,333,341,350,537,733,1688,1335,982,804,570,123,24,1,1,1,3,3.5,4,3,4,5,6,,,,,,,,,,,,,,,,,,,,,
"Congo (Kinshasa)",,,,,292,442,848,802,495,400,268,262,198,235,178,135,129.7273,124.4545,119.1818,113.9091,108.6364,103.3636,98.0909,92.8182,87.5455,82.2727,77,1369,4763,574,1515,1524,802,1153,1252,1368,1038,943,1296,748.5,201,330,80,939,792,807
Denmark,6,8,14,8,8,4,2,4,5,2,1.5,1,3,4,2,5,2,1.5,1,1,2.5,4,3,2,1.6667,1.3333,1,1,1,1,1,1.5,2,3,1,1,1,1,1,1,1.25,1.5,1.75,2,2,
Djibouti,,,11,5,7,9,11,13,10,19,28,44.75,61.5,78.25,95,6,2,2,1,3,4,5,6,5.1667,4.3333,3.5,2.6667,1.8333,1,1,1,1,1,,,,,,,,,,,,,
Dominica,4,4,4.5,5,3,2,2,2,2,2,1.75,1.5,1.25,1,1,1,1,1,2.5,4,3.6667,3.3333,3,2.6667,2.3333,2,1.6667,1.3333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
"Dominican Republic",252,259,259,270,203,235,113,92,100,107,90,91,45,176,104,53,56,54,58,68,52,52,27,27,12,36,25,37,58,53,49,54,69,64,66,59,50,45,40,55,45,37,46,46,44,39
Ecuador,173,197,155,151,116,92,81,77,70,97,98,186,162,186,257,199,169,125,129,162,140,158,88,68,24,43,28,36,22,7,11.5,16,47,15,15,5,2,2,1,27,2,49,52,60,59,14
Egypt,,3298,3393,3745,4221,6513,6644,7128,8393,10381,8559,9286,9995,9287,8624,7194,4952,4228,2827,2253,1636,1097,1390,1425,1198,996,597,732,673,523,368.6667,214.3333,60,34,189,11,137.5,264,136.5,9,8,,,,,
"El Salvador",162,147,122,147,122,114,98,88,92,44,62,52,43,40,50,45,40,35,30,18,10,13,10,4,12,7,13,7,7,6,7,7,5,6,1,10,2,9,7,4,6,6,2,3,4,4
"Equatorial Guinea",,,,,,,,,,,28,15,2,33,29.5556,26.1111,22.6667,19.2222,15.7778,12.3333,8.8889,5.4444,2,2,2,2,2,2,1.5,1,2,1.5,1,1,4,2,2.5,3,2.5,2,1.5,1,2.6667,4.3333,6,1
Eritrea,,,,,,,,,,,,,,,,,,,,,,1,2,1,4,21,11,9,10,17,15,6,1,4.5,8,49,16,17,19,15,11,7,1,,,
Estonia,,,,,,,,,,,,,,,,,,1,1,1,2,5,1,2,1,1,1,1,1,1,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,1.5,1,1,1,1,1,1,
Swaziland,,,,,,,,,378,38,156,230,154,174,595,25,3,6,5,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Ethiopia,410,750,583,131,640,686,409,668,2724,816,711,649,738,704,210,456,140,159,178,197,216,235,293,329,365,480,409.5,339,268.5,198,127.5,57,59.5,62,66,50,75,33,24.5,16,16.6667,17.3333,18,16,14,107
Fiji,4,3,3,2,1,1,1,1,1,1,1,1,2,1,1,3,1,1.0909,1.1818,1.2727,1.3636,1.4545,1.5455,1.6364,1.7273,1.8182,1.9091,2,,,,,,,,,,,,,,,,,,
Finland,12,18,13,3,5,16,4,12,11,11,6,5,4.5,4,3.5,3,2.5,2,2,2,1.6667,1.3333,1,,,,,,,,,,,,,,,,,,,,,,,
France,276,317,289,268,263,183,208,158,142,120,114,124,88,106,72,63,33,43,55,61,40,24,39,19,21.3333,23.6667,26,21.5,17,26,26,21,16,8,8,8,14,9,9.5,10,8,6,4,4,,
Gabon,79,86,52,44,46,34,12,5,290,59,20,42,23,26,21,34,22,20.5,19,17,16.625,16.25,15.875,15.5,15.125,14.75,14.375,14,3,3,3,3,3,4.5,6,5,3,2.5,2,2.2857,2.5714,2.8571,3.1429,3.4286,3.7143,4
Gambia,32,40,61,28,31,45,567,115,308.5,502,695.5,889,825.5714,762.1429,698.7143,635.2857,571.8571,508.4286,445,381.5714,318.1429,254.7143,191.2857,127.8571,64.4286,1,2,2.5,3,3,3,6,5.3333,4.6667,4,3.3333,2.6667,2,1.8333,1.6667,1.5,1.3333,1.1667,1,3,1
Georgia,,,,,,,,,,,,,,,,,,2,3,5,4,3,5,6,5,3,6,8,13,7,7,2,3,7,4,3,7,5,6,2,7,4,5,5,7,2
Germany,18,68,65,40,40,34,21,22,25,22,21,18,28,15,16,13,18,16,14,16,14,11,17,11,7,7.5,8,,,,,,,,,,,,,,,,,,,
Ghana,1232,1520,1142,1012,1038,1694,1045,897,896,731,600,754,736,1059,619,705,660,559,536,522,404,389,374,311,248,185,219,233,213,85,64.5,44,46,1027,69,256,79,267.5,456,1,1,607.5,1214,538,270,20
Greece,31,21,47,53,38,48,15,30,31,25,32,9,4,3,2,5,16,5,3,4,5,4,7,2,6.6667,11.3333,16,4,3,4,5,7,8.5,10,7,2,5,11,7,1,2,6,3,2,4,5
Grenada,,,1,10,5,2,3,3,3,2,1,2,5,3.6667,2.3333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,,,,,,,,,,
Guatemala,87,92,65,85,64,62,60,80,85,87,113,101,64,143,110,103,60,15,32,19,18,9,12,8,6,2,11,7,3,5,3,6,8,3,2,4,2,2,2,2,2,2.3333,2.6667,3,4,5
Guinea,172,140,75,67,91,175,482,832,740,483,289,108,568,682,234,428,524,484.8333,445.6667,406.5,367.3333,328.1667,289,280,272,287,245,332,518,400.6667,283.3333,166,161,27,28,54,59,64,57.5,51,75,94,113,103,326,107
"Guinea Bissau",,,17,109,215,289,221,229,203,289,324,229,254,155,88,109,45,79,64.8,50.6,36.4,22.2,8,7,14,21,35,49,24,28,19,16.5,14,8,11,5,1,,,,,,,,,
Guyana,17,10,8,21,21,27,20,11,8,4,7,7,4,2,6,5.5,5,4.5,4,3.5,3,2.5,2,5,1010,1010,1010,1010,947.1875,884.375,821.5625,758.75,695.9375,633.125,570.3125,507.5,444.6875,381.875,319.0625,256.25,193.4375,130.625,67.8125,5,,
Haiti,655,383,301,143,91,95,381,252,223,245,262,318,122,407,63,153,143,127.2857,111.5714,95.8571,80.1429,64.4286,48.7143,33,35,37,39,41,43,4,33,119,53,92,16,3,2,6.3333,10.6667,15,3,13,8,3,3,92
Honduras,64,62,64,61,36,47,31,24,31,25,46,47,71,50,32,37,62,22,28,14,29,7,20,11,18,16,9,17,17,23,13,19,18,13,12,21,16,14,17,12,8,17,14,27,14,15
Hungary,64,69,56,48,54,57,48,44,41,31,41,37,31,36,18,17,25,11,14,23,17,14,11,12,12,11,10,8,5,4,1,3,7,4,4,6,5,4,5,2,2,3,5,3,1,5
India,47051,76066,72965,36636,43048,42378,45948,41161,41726,34442,31366,37647,32453,31926,24343,24774,23356,15036,11268,15354,32551,24141.6667,15732.3333,7323,6705,2125,8997,5764,12197,4020,3883,2981,2815,7491,2959,2126,1756,2843,2404,2814,5017,2268,3781,4946,7000,7071
Indonesia,3882,4153,3657,7797,7841,9661,7231,7217,6583,3277,4192,4249,2800,167,5325,6760,7784,5739,5915,4999,4220.75,3442.5,2664.25,1886,1834,1782,466,318.5,171,1759,715,1907,318,141,183,231,147,210,106,225,1032,777,522,506,448.5,391
Iran,254,48,9,8,1460,143,86,120,302,359,294,236,172,111,101,56,30,14,35,37,43,26,42,23,41,26,27,22,16,9,11,8,11,11,10,8,14,18,13,10,6,11,3,5,1,
Iraq,811,940,1221,1079,1116,1092,1045,937,1061,828,1370,1398,495,360,372,284,610,936,331,235,126,99,91,99,38,68,57.8,47.6,37.4,27.2,17,21,9,17,18,34,25,39,34,34,31,6,12.5,19,14,23
Ireland,,,,,,,,,,,,,,,1,1,1,1,1,1.2222,1.4444,1.6667,1.8889,2.1111,2.3333,2.5556,2.7778,3,2.3333,1.6667,1,1,1,1,2,1.75,1.5,1.25,1,2,1,1,1,1,,
