Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,6.25,6.25,6.25,6.25,6.25,37.5,37.5,37.5,37.5,43.75,45,45,45
Albania,56.25,56.25,56.25,56.25,87.5,87.5,87.5,87.5,87.5,87.5,65,65,65
Algeria,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,10,10,10
Angola,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,5,5,5
"Antigua and Barbuda",,43.75,43.75,43.75,43.75,43.75,43.75,43.75,43.75,43.75,25,25,25
Argentina,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,50,50,50
Armenia,31.25,31.25,37.5,68.75,68.75,68.75,68.75,75,75,75,65,65,75
Australia,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,93.75,93.75,90,90,90
Austria,75,75,75,75,75,75,75,75,75,75,60,60,60
Azerbaijan,31.25,31.25,31.25,31.25,31.25,62.5,62.5,62.5,62.5,62.5,40,40,40
Bahamas,,,,56.25,56.25,56.25,56.25,56.25,56.25,56.25,30,30,30
Bahrain,,,,37.5,37.5,37.5,37.5,37.5,37.5,43.75,40,40,45
Bangladesh,43.75,43.75,43.75,37.5,37.5,37.5,37.5,37.5,37.5,34.75,25,25,25
Barbados,,,,,,,,56.25,56.25,56.25,35,35,35
Belarus,12.5,12.5,12.5,12.5,12.5,43.75,50,50,50,50,40,40,45
Belgium,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,45,45,45
Belize,,43.75,43.75,43.75,43.75,43.75,43.75,43.75,43.75,43.75,20,20,20
Benin,18.75,18.75,18.75,18.75,18.75,18.75,18.75,37.5,37.5,37.5,30,30,30
Bhutan,37.5,37.5,37.5,37.5,37.5,37.5,37.5,62.5,62.5,68.75,50,50,50
Bolivia,18.75,31.25,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,35,35,35
"Bosnia and Herzegovina",50,62.5,62.5,62.5,62.5,62.5,62.5,62.5,56.25,56.25,65,65,65
Botswana,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,55,55,55
Brazil,50,50,50,50,50,50,50,50,50,42.69,45,45,45
Brunei,,,43.75,43.75,43.75,43.75,43.75,43.75,43.75,68.75,45,50,60
Bulgaria,56.25,81.25,81.25,81.25,93.75,93.75,93.75,81.25,81.25,81.25,70,70,70
"Burkina Faso",18.75,18.75,18.75,18.75,18.75,18.75,18.75,37.5,37.5,37.5,30,30,30
Burundi,12.5,12.5,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,10,10,10
"Cape Verde",,37.5,37.5,37.5,37.5,31.25,31.25,50,50,50,40,40,40
Cambodia,,,,,50,50,50,50,68.75,75,80,80,85
Cameroon,18.75,18.75,18.75,18.75,18.75,18.75,18.75,37.5,43.75,43.75,35,35,35
Canada,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,85,85,85
"Central African Republic",18.75,18.75,18.75,18.75,18.75,18.75,18.75,37.5,37.5,37.5,30,30,30
Chad,18.75,18.75,18.75,18.75,18.75,18.75,18.75,37.5,37.5,37.5,30,30,30
Chile,56.25,56.25,56.25,56.25,56.25,56.25,56.25,68.75,62.5,68.75,50,50,50
China,18.75,18.75,43.75,50,56.25,56.25,56.25,56.25,56.25,62.5,50,50,60
Colombia,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,95,95,95
Comoros,,18.75,18.75,18.75,18.75,18.75,18.75,37.5,37.5,37.5,30,40,40
"Congo (Kinshasa)",18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,37.5,30,30,30
"Congo (Brazzaville)",18.75,18.75,18.75,18.75,18.75,18.75,18.75,50,50,50,40,40,40
"Costa Rica",18.75,18.75,43.75,50,50,50,50,50,56.25,56.25,45,85,85
"Ivory Coast",18.75,18.75,18.75,18.75,18.75,18.75,18.75,37.5,37.5,37.5,30,30,30
Croatia,25,31.25,37.5,62.5,62.5,68.75,68.75,75,75,75,55,55,55
Cyprus,,,,,56.25,56.25,68.75,68.75,68.75,68.75,55,65,60
"Czech Republic",68.75,75,75,75,68.75,68.75,68.75,68.75,68.75,68.75,70,70,70
Denmark,75,75,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,70,70,70
Djibouti,,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,12.5,5,5,5
Dominica,,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,30,30,30
"Dominican Republic",50,50,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,45,45,45
Ecuador,37.5,37.5,43.75,43.75,43.75,50,50,50,50,50,45,45,45
Egypt,18.75,18.75,18.75,18.75,18.75,56.25,56.25,56.25,56.25,56.25,50,50,50
"El Salvador",62.5,62.5,68.75,68.75,68.75,68.75,68.75,68.75,68.75,68.75,50,80,65
